RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
TIPO DE BIBLIOGRAFIA	TOTAL CONSIGNADO	TOTAL DISPONIBLE	% COBERTURA		
Electivo I: Taller de Geogebra	Primer Semestre	"Stanley Clemens, Phares O""Daffer y Thomas Vooney. (1998).""Geometría"", México, Addison Wesley"	OBLIGATORIA	5	0
Elec. I: Taller de Geogebra	Primer Semestre	"Stanley Clemens, Phares O""Daffer y Thomas Vooney. (1998).""Geometría"", México, Addison Wesley"	OBLIGATORIA	6	0
Didáctica de la Geometría	Segundo Semestre	Cofré,A.,&Tapia, L.(1988).Cómo desarrollar el pensamiento lógico matemático. Santiago Chile: Universitaria	OBLIGATORIA	35	0
Didáctica de la Geometría	Segundo Semestre	Rico, L., Segovia, I.. (2011). Matemáticas para maestros de Educación Primaria. Madrid: Pirámides.	OBLIGATORIA	35	0
Evaluación para el  Aprendizaje	Tercer semestre	San Martí N. (2007) Diez ideas claves. Evaluar para aprender. Barcelona: Grao	COMPLEMENTARIA	30	0
Comunicación Oral	Tercer Semestre	Guía: Escuchar hablar, leer y escribir en la EGB I y II	COMPLEMENTARIA	34	0
Comunicación Oral	Tercer Semestre	Guía: Iguale ante la lengua, Desiguales en el uso. Bases sociolingüísticas para el desarrollo discursivo	COMPLEMENTARIA	34	0
Ciencias Naturales I	Cuarto Semestre	Cultural S.A. (1998). Botánica--Atlas. Barcelona: Cultural.	OBLIGATORIA	30	0
Ciencias Naturales I	Cuarto Semestre	CURTIS, H. Y BARNES, N. S. (1996). Invitación a la biología. 5º edición. Madrid: Editorial médica Panamericana	COMPLEMENTARIA	30	0
Didáctica de la Lectura y Escritura Inicial	Quinto Semestre	Solís, M. (2016). Enseñar a leer y escribir en educación inicial.	OBLIGATORIA	34	0
Didáctica de la Lectura y Escritura Inicial	Quinto Semestre	López jiménez , S. (2015) La escritura: cómo conseguir un buen grafismo. Prevención y atención de sus dificultades en el aula	OBLIGATORIA	34	0
Didáctica de la Lectura y Escritura Inicial	Quinto Semestre	Ferreiro, E. (2014), El Iingreso a la escritura y a las culturas de lo escrito, España, siglo XXI	OBLIGATORIA	34	0
Taller de Desarrollo Personal y Profesional II	Quinto semestre	CPEIP, M. (2008). Marco para la Buena Enseñanza. Santiago: Maval Limitada.	COMPLEMENTARIA	30	0
Optativo I:Preparando un Ensayo	Quinto Semestre	Ferreiro, E y Gómez, M., (2002), Nuevas Perspectivas sobre los Procesos de Lectura y Escritura, Edit. Siglo XXI, México.	OBLIGATORIA	15	0
Optativo I:Preparando un Ensayo	Quinto Semestre	Ortega y Gasset, José (1954) Diccionario de ensayistas, Madrid	COMPLEMENTARIA	15	0
Optativo I:Preparando un Ensayo	Quinto Semestre	De Unamuno, Miguel. Del sentimiento trágico de la vida (1913) Madrid	COMPLEMENTARIA	15	0
Fundamento de la investigación científica	Quinto semestre	Rodríguez, G.; Gil, J. y García, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L. (Capítulo 2, 3 y 4)	COMPLEMENTARIA	35	0
Fundamento de la investigación científica	Quinto semestre	León, O. E Montero, I. (1993). Diseños de investigaciones. España: McGraw-Hill. (Capítulo 4, 5, 6, 7, 8 y 9)	COMPLEMENTARIA	35	0
Metodología de la investigación educativa	Sexto semestre	Fernández, A. M. y López, M. (1997). Algunas puntuaciones sobre epistemología y campos de problemáticas en Ciencias Sociales. Veracruz – México.	OBLIGATORIA		0
Metodología de la investigación educativa	Sexto semestre	Kemmis S., Mctaggart R. (1988). ¿Cómo planificar la investigación Acción. Barcelona: Laertes.	COMPLEMENTARIA		0
Metodología de la investigación educativa	Sexto semestre	Pérez, C. (2001). Técnicas de Estadísticas con SPSS. Pearson Educación.	COMPLEMENTARIA		0
Metodología de la investigación educativa	Sexto semestre	Rodríguez, G.; Gil, J. y García, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L.	COMPLEMENTARIA		0
Didáctica de las Ciencias Sociales II	Séptimo semestre	Aurell, Jaume; et. al. (2013).Comprender el Pasado. Una Historia de la Escritura y el Pensamiento Histórico. Madrid Editorial AKAL.	COMPLEMENTARIA	35	0
Didáctica de las Ciencias Sociales II	Séptimo semestre	Prats, Joaquín. (2001): Enseñar Historia: notas para una didáctica renovada. Recursos Didácticos. Junta de Extremadura, Consejería de Educación, Ciencia y Tecnología. Mérida, España.	COMPLEMENTARIA	35	0
Políticas Educacionales	Octavo semestre	Echeita, G. (2006). Educación para la inclusión o educación sin exclusiones. Madrid: Narcea.	COMPLEMENTARIA	30	0
Políticas Educacionales	Octavo semestre	Hargreaves, A. (2005). Profesorado, cultura y postmodernidad. Cambian los tiempos, cambia el profesorado. Madrid: Morata.	COMPLEMENTARIA	30	0
Políticas Educacionales	Octavo semestre	Oliva, M. (2008). Políticas educativas y profundización de la desigualdad en Chile. Estudios Pedagógicos, 207-226.	COMPLEMENTARIA	30	0
Políticas Educacionales	Octavo semestre	Sacristán, J. (2005). La educación que aún es posible. Madrid: Morata.	COMPLEMENTARIA	30	0
Políticas Educacionales	Octavo semestre	Sacristan, J. (2006). La reforma necesaria: Entre la política educativa y la práctica escolar. Madrid: Morata S. L.	COMPLEMENTARIA	30	0
Políticas Educacionales	Octavo semestre	Stainback, S., & Stainback, W. (2007). Aulas Inclusivas. Un nuevo modo de enfocar y vivir el currículo. Madrid: Narcea.	COMPLEMENTARIA	30	0
