PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0
		CHANG Raymond, “Química”, 7ª Edición, McGraw-Hill, México.2009.	OBLIGATORIA	4	26597	
		MORTIMER E. Charles, “Química”, 5ª Edición, Grupo Editorial Iberoamericana, España, 1983.	COMPLEMENTARIA	0	0	
Bioética	102	Lolas Stepke, F.; Bioética. El diálogo moral en las ciencias de la vida. Santiago de Chile. Mediterráneo. 2001.	OBLIGATORIA	0	0	
		Lolas Stepke, F.; Temas de Bioética. Santiago de Chile. Editorial Universitaria. 2002.	OBLIGATORIA	0	0	
		Outomuro Delia. Manual de Fundamentos de Bioética”, , Editorial Magister, primera edición, 2004.	OBLIGATORIA	0	0	
		Vial del Río Victor. Teoría general del acto jurídico.. Editorial Jurídica de Chile. 5° edición, año 2003.	COMPLEMENTARIA	0	0	
Histología	102	D.W. FAWCETT, “Tratado de Histología” 12da. edición. Ed. Interamericana. 1995 en adelante.	OBLIGATORIA	0	0	
		JUNQUEIRA. L. C, CARNEIRO JOSÉ, “HISTOLOGÍA BÁSICA”, Edición 6 año 2005, Ed. Masson.	OBLIGATORIA	2	26199	
		GARTNER LP, HIATT JL “Biología celular e histología”, edición 2011, Philadelphia, Sunders.	OBLIGATORIA	3	25773	
		GENESER FINN, “TRATADO DE HISTOLOGÍA”, Edición 2004 en adelante, Ed. Médica Panamericana.	COMPLEMENTARIA	2	21085	
		ROSS MICHAEL H. WOJCIECH PAWLINA, “Histología, texto y Atlas color con Biología Celular y Molecular” Editorial medica Panamaricana, Edición 5, 2007, Madrid.	COMPLEMENTARIA	7	26099	
Inglés aplicado a la Nutrición I	102	Raymond Murphy. (2003). Essential Grammar in Use. Great Britain: Cambridge .	OBLIGATORIA	6	27054	
		Sandra Heyer. (1994). Easy True Stories “ Pictures Based Begginer Reader”.. UK: Longman.	COMPLEMENTARIA	0	0	
Nutrición Humana	102	Hernandez, A. G. (2010). Tratado de Nutricion. Panamericana.	OBLIGATORIA	4	25153	
		Suárez, L. B. (2002). Fundamentos de nutrición normal. EL ateneo.	OBLIGATORIA	0	0	
Primeros Auxilios Optativo I	102	Muñiz, R. G. (2007). Manual básico : prevención de riesgos laborales . Madrid: Paraninfo.	OBLIGATORIA	2	22714	0
		(IST), I. d. (2002). Curso primeros auxilios. (Viña del Mar) .	OBLIGATORIA	0	0	
		C., P. R. (1994). Prevención de accidentes y primeros auxilios. Santiago, Chile: Andrés Bello.	COMPLEMENTARIA	0	0	
Práctica de Observación	102	Gil Hernandez, Á. (2010). Tratado de nutrición. Panamericana.	OBLIGATORIA	4	25153	
		Martinez, M. A. (2013). Conceptos de salud publica y estrategias preventivas. Barcelona: Elsevier.	OBLIGATORIA	15	25190	
		Perea Quesada, R. (2009). Promoción y educación para la salud, tendencias innovadoras. Díaz de Santos.	OBLIGATORIA	4	25132	
		Restrepo, H. (2001). Promoción de la salud: como construir vida saludable. Panamericana.	OBLIGATORIA	2	21095	
Bioquímica	102	"MATHEWS, Christopher. ""Bioquimica"". Editorial Person, Madrid, 21 Edición, 2002"	OBLIGATORIA	0	0	
		"BERG, Jeremy, ""Bioquimica / Lubert. Stryer, Jeremy Berg y John Tymoczko"" Editorial Reverte. 51 Edición 2002."	COMPLEMENTARIA	0	0	
Inglés aplicado a la Nutrición II	201	Raymond Murphy. (2003). Essential Grammar in Use. Great Britain: Cambridge .	OBLIGATORIA	6	27054	
		Sandra Heyer. (1994). Easy True Stories “ Pictures Based Begginer Reader”.. UK: Longman.	COMPLEMENTARIA	0	0	
Fisiología	201	GUYTON, C.G and HALL, I.E. 2001. Tratado de Fisiología M6dica, 100 Edición. Mc Graw-Hill, Interamericana, New York.	OBLIGATORIA	17	24951	0
		GANONG,W. Fisiología Médica. 2000.17a odic/6n. Editorial el Manual Moderno.	OBLIGATORIA	6	25175	
		BERNE,R; LEVY, M., MATTHEW, N. 2000. Fisiología. 3ª Edición. Harcourt Brace.	COMPLEMENTARIA	2	25611	
Higiene y Control de los alimentos	201	Microbiología Moderna de los alimentos, 4ta Edición. J.Jay, 2009. Editorial Acribia.	OBLIGATORIA	2	25298	
Microbiología y Parasitología de Alimentos	201	Microbiología Moderna de los Alimentos, 5ta Edición. J.Jay, M. Loessner, D. Golden. 2009. Editorial Acribia, S.A..España.	OBLIGATORIA	2	25298	
		Microbiología de los Alimentos, 4ta. Edición. W.C. Frazier, D.C. Westhoff. 1993. Editorial Acribia, S.A., España.	OBLIGATORIA	0	0	
Evaluación Nutricional en el Ciclo Vital I	201	Indicadores y Referentes Para Evaluación del Estado Nutritivo, Crecimiento y Riesgo Metabólico, M. Gladys Barrera, INTA, 2010.	OBLIGATORIA	0	0	
		Fundamentos de la Valoración Nutricional y Composición Corporal, Daniel H. de Girolamo, Editorial El Ateneo, 2004.	OBLIGATORIA	1	27952	0
		Cornejo, V., & Cruchet, S. (2014). Nutrición en el ciclo vital. Santiago: Mediterraneo.	OBLIGATORIA	13	25125	
		Mahan, L. (2010). Dietoterapia Krause. Masson.	OBLIGATORIA	4	26817	
		Fernandez, A., & Navarro, K. (2010). El ABC de la evaluación del estado de nutrición. Mexico: Mc Grall Hill.	OBLIGATORIA	3	26989	0
Valoración Biológica de la Condición Física de la Salud	201	Evaluación fisiológica del deportista. Howard a. Wenger, Howard j. Green. Editorial paidotribo, 2005.	OBLIGATORIA	0	0	
		Evaluación de la aptitud física y prescripción del ejercicio. Heyward. Ed. Médica panamericana. 2008.	OBLIGATORIA	0	0	
		Manual acsm para la valoración y prescripción del ejercicio. American college of sports medicine. Editorial paidotribo, 2005	OBLIGATORIA	0	0	
		Sanz, J. M. M., Otegui, A. U., & Ayuso, J. M. (2013). Necesidades energéticas, hídricas y nutricionales en el deporte. Motricidad: revista de ciencias de la actividad física y del deporte, (30), 37-52	COMPLEMENTARIA	0	0	
Educación y Promoción en Salud	202	Higashhida. (2008). Educación para la salud. Mc Graw-Hill.	OBLIGATORIA	0	0	
		Jauregui, C. (2004). Promoción de la salud y prevención de enfermedades. Panamericana.	OBLIGATORIA	0	0	
		Martinez, M. A. (2013). Conceptos de salud publica y estrategias preventivas. Barcelona: Elsevier.	OBLIGATORIA	15	25190	
		Perea Quesada, R. (2009). Promoción y educación para la salud, tendencias innovadoras. Díaz de Santos.	OBLIGATORIA	4	25132	
		Restrepo, H. (2001). Promoción de la salud: como construir vida saludable. Panamericana.	OBLIGATORIA	2	21095	
Envejecimiento Activo en el Ciclo Vital	202	Fisiología clínica del ejercicio. José López Chicharro, Luis Miguel López Mojare. Ed. Médica Panamericana. 2008.	OBLIGATORIA	2	26362	
		Envejecimiento activo y actividades socioeducativas con personas mayores: guía de buenas práctica. Lourdes Bermejo García. Ed. Médica Panamericana, 201	OBLIGATORIA	0	0	
		Biología del desarrollo. Scott F. Gilbert. Ed. Médica Panamericana, 2005	OBLIGATORIA	0	0	
Evaluación Nutricional en el Ciclo Vital II	202	Cornejo, V., & Cruchet, S. (2014). Nutrición en el ciclo vital. Santiago: Mediterraneo.	OBLIGATORIA	13	25125	
		Goic, G., & Chamorro, A. (2010). Semiología Medica. Santiago: Mediterraneo.	OBLIGATORIA	4	25265	
		Henry, M., Jane, W., & cols. (2011). Guía Mosby de exploración física. Elsevier.	OBLIGATORIA	9	25142	
		Mahan, L. (2010). Dietoterapia Krause. Masson.	OBLIGATORIA	4	26817	
Fisiopatología I	202	Dan L. Longo, D. L. (2012). Harrison, Principios de Medicina Interna. . Mac Graw Hill.	OBLIGATORIA	2	21072	
		Guyton A. “Fisiología y Fisiopatología”, Editorial Interamericana-McGraw-Hill, 11° edición, España, 2011.	OBLIGATORIA	20	24591	
		Ganong W.F. “Fisiología Médica”, Editorial El Manual Moderno, 24° edición, México, 2013.	COMPLEMENTARIA	6	25175	
Psicología Nutricional	202	Eroles et al. (2004). Antropología, cultura popular y derechos humanos. Argentina.	OBLIGATORIA	0	0	
		Davidoff. L. Introducción a la Psicología. México	OBLIGATORIA	0	0	
		Maslow. (1991). Motivación y personalidad. Madrid.	OBLIGATORIA	0	0	
Salud Pública y Comunitaria	202	Martínez-González, Miguel Ángel. Conceptos de Salud Pública y Estrategias Preventivas: Un Manual para Ciencias de la Salud.	OBLIGATORIA	15	25190	
		Álvarez, Rafaél y Kuri-Morales, Pablo A. Salud Pública y Medicina Preventiva. México. Manual Moderno. 2.012.	OBLIGATORIA	1	25296	0
		Hernández Ávila, Mauricio y Lazcano Ponce, Eduardo. Salud Pública: Teoría y Práctica. México. Instituto de Salud Pública. Manual Moderno. 2.013.	OBLIGATORIA	2	25304	
		Piedrola Gil, G.: Medicina preventiva y salud pública. Editorial Masson Salvat. 2000.	COMPLEMENTARIA	1	25234	
Técnicas Dietéticas	202	Guía de la Composición Nutricional de Alimentos Naturales, de la industria y preparaciones chilena habituales.	OBLIGATORIA	50	25121	
Bioestadística	301	MARTÍNEZ GONZÁLEZ, Miguel Ángel. Bioestadística Amigable. Editorial Díaz de Santos.	OBLIGATORIA	9	25308	
		PARISI, Mario. Estadística Medicina. McGraw-Hill. 2001. Santiago. Chile.	OBLIGATORIA	0	0	
		GUILFOR, J.P.; FRUCHTER, Benjamín. Estadística Aplicada a la Psicología y a la Educación. McGraw-Hill. 1984. México.	COMPLEMENTARIA	0	0	
Bromatología	301	CHEFTEL, J.G. y col. 1984. Introducción a la bioquímica y tecnología de los alimentos.	NO INDICA	0	0	
		FENNEMA, O.R. (2000). Química de los Alimentos. Ed. Acribia. Zaragoza.	NO INDICA	0	0	
		POTTER, N. (1973). Ciencia de los alimentos.	NO INDICA	2	25222	
		JAY, J. (2009). Microbiología Moderna de los Alimentos. Ed. Acribia. España	NO INDICA	2	25298	
Farmacología en Nutrición	301	Fernández, P. L. [et. al.](2009). Velázquez: Farmacología básica y clínica. Madrid, España: Panamericana.	OBLIGATORIA	3	26081	
		Mestres Miralles, Concepción  (2012). Farmacología en Nutrición. Madrid, España: Panamericana.	OBLIGATORIA	4	26863	0
		Florez, J. (2003). Farmacología Humana. Barcelona: Masson.	OBLIGATORIA	3	26704	
		Heinz Lüllmann, K. M. (2010). Farmacología: Texto y atlas. Madrid, España: Panamericana.	COMPLEMENTARIA	0	0	
		A Gilman, L. G. (1986). Las bases farmacológicas de la terapéutica.	COMPLEMENTARIA	3	26075	
Fisiopatología II	301	Dan L. Longo, D. L. (2012). Harrison, Principios de Medicina Interna. . Mac Graw Hill	OBLIGATORIA	1	26359	
		Guyton A. “Fisiología y Fisiopatología”, Editorial Interamericana-McGraw-Hill, 11° edición, España, 2011.	OBLIGATORIA	17	24591	
		Ganong W.F. “Fisiología Médica”, Editorial El Manual Moderno, 24° edición, México, 2013.	COMPLEMENTARIA	6	25175	
		Mahan L. y col. “Nutrición y Dietoterapia de Krause”, Editorial Interamericana-McGrawHill, 13° edición, México, 2014.	COMPLEMENTARIA	2	26817	
Nutrición Materno Infantil	301	"Bueno M, Sarria A, Perez-Gonzalez JM. ""Nutrición en Pediatría"". Editorial Ergon. Zaragoza. 1999."	OBLIGATORIA	1	27822	0
		"Ruz M, Araya H, Atalah E, Soto D. ""Nutrición y Salud"". 1g Edición. Universidad de Chile. Santiago. 1996."	OBLIGATORIA	0	0	
		"Jury G, Urteaga C, Taibo M. ""Porciones de Intercambio y Composición Química de los alimentos de la Pirámide Alimentaria Chilena"". Universidad de Chile. Santiago. 1999."	OBLIGATORIA	0	0	
		"Barrera A, ""Estándares Antropométricos para la Evaluación del Estado Nutritivo"". INTA. Universidad de Chile. Santiago. 2004."	OBLIGATORIA	0	0	
		"Bowman B, Russell B, ""Conocimientos Actuales Sobre Nutrición"".OPS. Internacional Life Sciences Institute. Publicación Científica y Técnica Ng 592. 8g Edición. Washington, DC. 2003"	OBLIGATORIA	0	0	
		"Kathleen L, Escott-Stump S. ""Nutrición y Dietoterapia de Krausse"". Décima Edición. Mexico. Mac Graw-Hill.2001."	OBLIGATORIA	4	26817	
		Cervera P, Clapes J, Rigolfas R. « Alimentación y Dietoterapia >>. 4ta Edición. Madrid. Interamericana. Mc Graw-Hill. 2004.	COMPLEMENTARIA	0	0	
Tecnología de los alimentos y Evaluación Sensorial	301	POTTER, N. (1973). Ciencia de los alimentos.	OBLIGATORIA	2	25222	
		ORDOÑEZ, J.(1999). Tecnología de los Alimentos. Editorial Acribia	OBLIGATORIA	0	0	
Práctica Intermedia I	301	Cornejo, V., & Cruchet, S. (2014). Nutrición en el ciclo vital. Santiago: Mediterraneo.	OBLIGATORIA	13	25125	
		Goic, G., & Chamorro, A. (2010). Semiología Medica. Santiago: Mediterraneo.	OBLIGATORIA	4	25265	
		Henry, M., Jane, W., & cols. (2011). Guía Mosby de exploración física. Elsevier.	OBLIGATORIA	9	25142	
		Mahan, L. (2010). Dietoterapia Krause. Masson	OBLIGATORIA	4	26817	
		Millán, J. C. (2011). Gerontología y geriatría. Panamericana.	OBLIGATORIA	1	25282	
Electivo I Innovación en Nutrición	302	Gil (2010). Tratado de nutrición: composición y calidad nutritiva de los alimentos. Editorial Médica Panamericana.	OBLIGATORIA	1	25153	
		Aranceta. (2009). Alimentos Funcionales Y Salud En La Etapa Infantil Y Juvenil. Editorial Médica Panamericana.	OBLIGATORIA	0	0	
		Santana. (2007). Marketing de alimentos. Editorial Akadia.	OBLIGATORIA	0	0	
		Cortés. (2005). Alimentos funcionales: una historia con mucho presente y futuro.Colombia.	COMPLEMENTARIA	0	0	
Enfermedades Crónicas No Transmisibles de Origen Nutricional	302	Dietoterapia de Krause: Duodécima Edición Ed. McGraw – Hill.	OBLIGATORIA	4	26817	
		Nutrición Clínica y Dietoterapia. 1era Edición. 2012. Liliana Ródota. María Eugenia Castro.	OBLIGATORIA	3	25091	
		Nutrición y Riñón, 2° edición. 2016. Riella C, Martins C. Editorial Médica Panamericana.	OBLIGATORIA	3	26990	
Epidemiología	302	Moreno Altamirano L., Cano Valle F., García Romero H. Epidemiología Clínica. Mc.Graw-hill interamericana 3ª edición. México; 2000	OBLIGATORIA	0	0	
		Rothman and Greenland, Modern Epidemiology; Rothman, Modern Epidemiology. 1986	OBLIGATORIA	0	0	
		León Gordis. Epidemiología, Tercera Edición Ed Elsevier 2005	OBLIGATORIA	9	26117	
		BUNGE, M. (1978). La Ciencia, su método y su filosofía. Buenos Aires: Siglo Veinte.	OBLIGATORIA	0	0	
		HERNÁNDEZ SAMPIERI, (2013, tercera edición). Metodología de la Investigación. Ciudad de México: Mc Graw Hill. Capítulo.	OBLIGATORIA	2	25859	
Nutrición Clínica Adulto-Adulto Mayor	302	Dietoterapia de Krause: Duodécima Edición Ed. Mc Graw – Hill.	OBLIGATORIA	4	26817	
		Nutrición Clínica y Dietoterapia. 1era Edición. 2012. Liliana Ródota. María Eugenia Castro.	OBLIGATORIA	3	25091	
		Nutrición en el Ciclo Vital. Verónica Cornejo-Sylvia Cruchet M. Ed Mediterráneo.	OBLIGATORIA	13	25125	
Nutrición Clínica Pediátrica y del Adolescente	302	Nutrición en el Ciclo Vital. Verónica Cornejo-Sylvia Cruchet M. Ed Mediterráneo.	OBLIGATORIA	13	25125	
		Mahan, L. (2010). Dietoterapia Krause. Masson.	OBLIGATORIA	4	26817	
Planificación Alimentaria	302	Tejada, B. D. (2007). Administracion de Servicios de Alimentacion y Nutricion. Colombia: Universidad de Antioquia.	OBLIGATORIA	1	27867	0
		Ramos, G. (2001). Administración de Alimentos a Colectividades y Servicios de la Salud. Mexico: Mc Graw Hill.	OBLIGATORIA	0	0	
		Laverde, G. M.-L. (2008). Administración Hospitalaria. Colombia: Panamericana.	COMPLEMENTARIA	0	0	
Administración General y Servicios de Alimentación	401	Tejada, B. D. (2007). Administracion de Servicios de Alimentacion y Nutricion. Colombia: Universidad de Antioquia.	OBLIGATORIA	1	27867	0
		Ramos, G. (2001). Administración de Alimentos a Colectividades y Servicios de la Salud. Mexico: Mc Graw Hill.	OBLIGATORIA	0	0	
		Laverde, G. M.-L. (2008). Administración Hospitalaria. Colombia: Panamericana.	OBLIGATORIA	0	0	
Actualización en Nutrición	401	Dietoterapia de Krause: Duodécima Edición Ed. Mc Graw – Hill.	OBLIGATORIA	4	26817	
		Oyarzún, H. D., & Tapia, S. D. (1996). Vocabulario Elemental de Biología Molecular e Ingeneria Genética. Santiago: Sociedad Edicor.	OBLIGATORIA	0	0	
		Navarro, P. L. (1994). Percepción y Prevención de Catástrofes Naturales en Chile. Santiago: Universidad Católica de Chile	OBLIGATORIA	0	0	
		West, J. B. ( 2008). Fisiología y Fisiopatología Pulmonar. Madrid : Wolters Kluwer/Lippincott Williams & Wilkins.	OBLIGATORIA	1	25184	0
		Diego, S. C. (2005). Perspectivas de Genética y Biomedicina. Madrid: Universidad Internacional de Andalucìa.	COMPLEMENTARIA	0	0	
		Patiño Restrepo, J. F. (2005). Gases sanguíneos, fisiología de la respiración e insuficiencia respiratoria aguda. Bogotá: Médica Panamericana	COMPLEMENTARIA	1	25199	0
Enfermedades Metabólicas y Ejercicio	401	ACSM's Advanced Exercise Physiolog. Charles M. Tipton. Lippincott Williams & Wilkins, 2006.	OBLIGATORIA	0	0	
		Fisiología clínica del ejercicio. José López Chicharro, Luis Miguel López Mojare. Ed. Médica Panamericana. 2008	OBLIGATORIA	2	26362	
		Evaluación fisiológica del deportista. Howard a. Wenger, Howard j. Green.editorial paidotribo, 2005.	COMPLEMENTARIA	0	0	
Gestión de Calidad en Servicio de Alimentación	401	NO INDICA LIBROS		0	0	
Integración en Nutrición	401	Cornejo, V., & Cruchet, S. (2014). Nutrición en el ciclo vital. Santiago: Mediterraneo.	NO INDICA	13	25125	
		FORSYTHE, T. J. Hayes Tucker, P. (2012). Higiene de los alimentos: microbiología y HACCP. Acribia	NO INDICA	2	25223	0
		Dietoterapia de Krause: Duodécima Edición Ed. Mc Graw – Hill.	NO INDICA	4	26817	
		Millán, J. C. (2011). Gerontología y geriatría. Panamericana.	NO INDICA	1	25282	
		Norton, K., & Olds, T. (1996). Antropometrica. Rosario, Argentina: Biosystem	NO INDICA	0	0	
		Pinto, Rafael J. (2008). Examinación diagnóstica pediátrica. Mexico: McGraw-Hill.	NO INDICA	1	25167	0
		Nutrición Clínica y Dietoterapia. 1era Edición. 2012. Liliana Ródota. María Eugenia Castro.	OBLIGATORIA	3	25091	
Metodología de la Investigación	401	BUNGE, M. (1978). La Ciencia, su método y su filosofía. Buenos Aires: Siglo Veinte.	OBLIGATORIA	0	0	
		HERNÁNDEZ SAMPIERI, (2013, tercera edición). Metodología de la Investigación. Ciudad de México: Mc Graw Hill. Capítulo.	OBLIGATORIA	2	25859	
		Díaz, P. (2009). Metodología de la Investigación Científica y Bioestadística: Para profesionales y estudiantes de ciencias de la salud. Santiago: RI Editores.	COMPLEMENTARIA	11	25185	
Práctica Intermedia II	401	Cornejo, V., & Cruchet, S. (2014). Nutrición en el ciclo vital. Santiago: Mediterraneo.	OBLIGATORIA	13	25125	
		Fernandez, A., & Navarro, K. (2010). El ABC de la evaluación del estado de nutrición. Mexico: Mc Grall Hill.	OBLIGATORIA	3	26989	0
		Goic, G., & Chamorro, A. (2010). Semiología Medica. Santiago: Mediterraneo.	OBLIGATORIA	4	25265	
		Dietoterapia de Krause: Duodécima Edición Ed. Mc Graw – Hill.	OBLIGATORIA	4	26817	
Gestión de Recursos Humanos	402	Administración de recursos humanos. Idalberto Chiavenato. Editorial Mc. Graw Hill. 9na Edición. 2015.	NO INDICA	0	0	
Nutrición y Enfermedades Metabólicas	402	Colombo M, Raimann E, Cornejo, V.(eds). Errores innatos en el metabolismo del niño. Editorial Universitaria, Santiago, 2010:1 -735	OBLIGATORIA	4	26887	
		Burlón BK. Inborn errors of metabolism in infancy: a guide to diagnosis. Pediatrics. 1998 Dec;102(6):E69.	OBLIGATORIA	0	0	
		Dietoterapia de Krause: Duodécima Edición Ed. Mc Graw – Hill.	OBLIGATORIA	4	26817	
Nutrición y Deporte	402	Burke, L. (2010). Nutrición en el deporte. Panamericana.	NO INDICA	4	25124	
		MacMillan, D. N. (s.f.). Nutricion Deportiva (2º Edicion). Ediciones Universitarias De Valparaíso.	NO INDICA	0	0	
		Palavecino, N. (s.f.). Nutrición para el alto rendimiento. Ciencias de la Salud.	NO INDICA	0	0	
Diseño de Proyectos en Comunidad	402	NO INDICA LIBROS				
		Dan L. Longo, D. L. (2012). Harrison, Principios de Medicina Interna. . Mac Graw Hill.	OBLIGATORIA	2	21072	
		Guyton A. “Fisiología ”, Editorial Interamericana-McGraw-Hill, 11° edición, España, 2011.	OBLIGATORIA	17	24951	0
		Guía de alimentación del niño(a) menor de 2 años, guía de alimentación hasta la adolescencia.	OBLIGATORIA	0	0	
		Dietoterapia de Krause : Duodécima Edición Ed. Mc Graw – Hill.	OBLIGATORIA	4	26817	
		Nutrición Clínica y Dietoterapia. 1era Edición. 2012. Liliana Ródota. María Eugenia Castro.	OBLIGATORIA	3	25091	
		Nutrición en el Ciclo Vital. Verónica Cornejo-Sylvia Cruchet M. Ed Mediterráneo.	OBLIGATORIA	13	25125	
Práctica Profesional Área Clínica	501	Dan L. Longo, D. L. (2012). Harrison, Principios de Medicina Interna. . Mac Graw Hill.	OBLIGATORIA	2	21072	
		Guyton A. “Fisiología ”, Editorial Interamericana-McGraw-Hill, 11° edición, España, 2011.	OBLIGATORIA	17	24951	0
		Guía de alimentación del niño(a) menor de 2 años, guía de alimentación hasta la adolescencia.	OBLIGATORIA	0	0	
		Dietoterapia de Krause : Duodécima Edición Ed. Mc Graw – Hill.	OBLIGATORIA	4	26817	
		Nutrición Clínica y Dietoterapia. 1era Edición. 2012. Liliana Ródota. María Eugenia Castro.	OBLIGATORIA	3	25091	
		Nutrición en el Ciclo Vital. Verónica Cornejo-Sylvia Cruchet M. Ed Mediterráneo.	OBLIGATORIA	13	25125	
		Ganong W.F. “Fisiología Médica”, Editorial El Manual Moderno, 24° edición, México, 2013.	COMPLEMENTARIA	6	25175	
Proyecto de Intervención Disciplinar	502	GONZALEZ, W. J. (1990). Aspectos metodológicos de la investigación científica : un enfoque multidisciplinar . Madrid: Universidad Autónoma de Madrid.	OBLIGATORIA	0	0	
		Brand, J. P., & Gelinier, p. O. (1991). Dirección y gestión de proyectos . Madrid: Díaz de Santo.	OBLIGATORIA	0	0	
		Bunge, M. (1978). La Ciencia, su método y su filosofía. Buenos Aires: Siglo Veinte	OBLIGATORIA	0	0	
		HERNÁNDEZ SAMPIERI, (2013, tercera edición). Metodología de la Investigación. Ciudad de México: Mc Graw Hill. Capítulo.	COMPLEMENTARIA	2	25859	
		Restrepo, H. (2001). Promoción de la salud: como construir vida saludable. Panamericana.	COMPLEMENTARIA	2	21095	
Práctica Profesional Área Atención Primaria	502	SIN BIBLIOGRAFÍA				
