ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA	AÑO	TIPO DE BIBLIOGRAFIA	Disponibilidad	COPIAS DISPONIBLES	NRO DE BIB#
Psicología Social	102	Fischer, G. (1990). Psicología Social: Conceptos Fundamentales. Madrid, España. Ed. Narcea.	1990	NO INDICA	DISPONIBLE	2	11815
Psicología Social	102	Fischer, G. (1990). Campos de Intervención de la Psicología Social. Madrid, España. Ed. Narcea.	1990	NO INDICA	DISPONIBLE	2	11938
Psicología Social	102	Fichter, J. (1994). Sociología. Barcelona, España. Ed. Herder.	1994	NO INDICA	DISPONIBLE	1	13152
Psicología Social	102	Montero, M. (1994). Construcción y Crítica de la Psicología Social. Caracas, Venezuela. Ed. Antrophos.	1994	NO INDICA	DISPONIBLE	1	17547
Psicología Social	102	Moscovici, S. (1986). Psicología Social. Ed. Paídos.	1986	NO INDICA	DISPONIBLE	2	17541
Psicología Social	102	Moya, J. (2204). Representación, Discursividad y Acción Situada. Valparaíso, Chile. Ed. Universidad de Valparaíso.	2204	NO INDICA	NO disponible	0	
Psicología Social	102	Pérez Soto, C. (1996). Sobre la Condición Social de la Psicología. Santiago de Chile, Ed. LOM.	1996	NO INDICA	DISPONIBLE	1	11736
Taller de Integración I	102	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Taller de Integración I	102	Leahey, T. (2003). Historia de la Psicología. Editorial Prentice Hall. Madrid, España. (código biblioteca sede Cordillera: 150.9 H222 1998 c.2)	2003	NO INDICA	NO disponible	0	
Taller de Integración I	102	Papalia, D. (1995). Psicología. Editorial Mac- Graw-Hill. México. (código biblioteca: 150 P213)	1995	NO INDICA	DISPONIBLE	11	8115
Taller de Integración I	102	Chile, C. d. (1990). Código de ética profesional. Recuperado el 08 de 09 de 2015, de http://colegiopsicologos.cl/web_cpc/quienes-somos/codigo-de-etica-profesional/	1990	NO INDICA	DISPONIBLE	1	14816
Teorías del Aprendizaje y la Conducta	102	- Domjan, Michael. (1995). Principios de aprendizaje y conducta. Editorial Debate. (código biblioteca: 153.15 D672 1999)	1995	OBLIGATORIA	DISPONIBLE	2	12988
Teorías del Aprendizaje y la Conducta	102	Leahey, C451Thomas H. (2003). Historia de la Psicología. Editorial Prentice Hall. (código biblioteca sede Cordillera: 150.9 H222 1998 c.2)	2003	OBLIGATORIA	NO disponible	0	
Promoción en Salud	201	Gil Piédrola, Sierra López , (2008) Medicina Preventiva y Salud Pública, 11ª Ed, Elsevier Masson, Barcelona. Elsevier, Barcelona.	2008	OBLIGATORIA	DISPONIBLE	7	27522
Promoción en Salud	201	Miguel Angel Martínez- González, (2013). Conceptos d esalud pública y estrategias preventivas: Un manual para ciencias de la salud,	2013	OBLIGATORIA	DISPONIBLE	20	27613-25190
Promoción en Salud	201	Hernández- Aguado. IIdefonso, Gil de Miguel. Angel, Lumbreras Lacarra, Blanca. (2011), Manual de Epidemiologíay Salud Pública: para grados en ciencias de la salud, 2ª Edición, Médica Panamericana, Buenos Aires.	2011	OBLIGATORIA	DISPONIBLE	5	27985
Promoción en Salud	201	Cecilia Albala, Sonia Olivares, Judith Salinas Fernando Vio, (2004). Bases, prioridades y desafíos de la Promoción Salud. Santiago Chile.	2004	COMPLEMENTARIA	NO disponible	0	
Psicología Aplicada	201	Papalia. (1987). Psicología. EEUU: Mc Graw Hill.	1987	OBLIGATORIA	DISPONIBLE	10	8115
Psicología Aplicada	201	 O´Sullivans,S.( 2013). RehabilitaciónFísica. EEUU:Paidotribo.	2013	OBLIGATORIA	DISPONIBLE	1	25208
Psicología Aplicada	201	Townsend, C.(2011). Fundamentos de Enfermería Psiquiátrica. EEUU: Mcgraw Hill.	2011	OBLIGATORIA	DISPONIBLE	8	24630
Psicología Aplicada	201	Papalia.( 2010). Desarrollo Humano. EEUU: McGraw Hill.	2010	OBLIGATORIA	DISPONIBLE	1	11365
Psicología Aplicada	201	· Craig, C. (1997). Desarrollo Psicológico. México: Prentice Hall.	1997	COMPLEMENTARIA	DISPONIBLE	5	504-10991
Psicología Comunitaria	201	Alfaro, J. & Berroeta, H. (2007). Trayectorias de la Psicología Comunitaria en Chile: Prácticas y Conceptos. Valparaíso, Chile. Universidad de Valparaíso.	2007	OBLIGATORIA	NO disponible	0	
Psicología Comunitaria	201	Montero, M. (2004).Introducción a la Psicología Comunitaria. Buenos Aires, Argentina: Paidós.	2004	OBLIGATORIA	DISPONIBLE	3	25028
Psicología Comunitaria	201	Montero, M. (2004). Relaciones Entre Psicología Social Comunitaria, Psicología Crítica y Psicología de la Liberación: Una Respuesta Latinoamericana. Psykhe (Santiago), 13(2), 17-28.	2004	OBLIGATORIA	NO disponible	0	
Psicología Comunitaria	201	Montero, M. (2003). Teoría y Práctica de la Psicología Comunitaria: La Tensión entre comunidad y Sociedad. Buenos Aires, Argentina: Paidós.	2003	OBLIGATORIA	NO disponible	0	
Psicología Comunitaria	201	Musitu, G., Herrero, J., Cantera, L. & Montenegro, M. (2004). Introducción a la Psicología Comunitaria. Barcelona, España. Ed.UOC.	2004	OBLIGATORIA	NO disponible	0	
Psicología del desarrollo infanto-juvenil	201	Faw, Terry (1988). Psicología del niño: Teoría y 488 problemas resueltos. Serie Schaum. Ed. Mc Graw Hill. - No. Pedido UDA 155.4 F278	1988	OBLIGATORIA	DISPONIBLE	2	4850
Psicología del desarrollo infanto-juvenil	201	Kail, Robert V. y Cavanaugh, John C. (2006). Desarrollo humano: Una perspectiva del ciclo vital. Tercera edición. Ed. Thomson. - No. Pedido UDA 303.4 K13	2006	OBLIGATORIA	DISPONIBLE	1	21343
Psicología del desarrollo infanto-juvenil	201	Hoffman, Lois; Paris, Scott, Hall Elizabeth (1996). Psicología del desarrollo hoy. Sexta edición. Ed. Mc. Graw Hill. - No. Pedido UDA 155.4 F278	1996	COMPLEMENTARIA	DISPONIBLE	21	162
Psicología del desarrollo infanto-juvenil	201	- Vidal, Lucena Margarita y Diaz, Curiel Juan (2002). Atención temprana: Guía práctica para la estimulación del nino de 0 a 3 años. Quinta edición. Ed. Cepe, Madrid, Espana Hill. Hill - No. Pedido UDA 155.4 V649	2002	COMPLEMENTARIA	DISPONIBLE	3	15705
Psicología del desarrollo infanto-juvenil	201	- Craig, Grace J. (1992). Desarrollo Psicológico. Ed. Pretince Hall Hispano Americana S.A. - No. Pedido UDA 155.7 C886	1992	COMPLEMENTARIA	DISPONIBLE	5	10991
Psicología del desarrollo infanto-juvenil	201	- Papalia, Diane E.; Olds, Wendkos Sally; Feldman, Duskin Ruth (2009). Psicología del desarrollo. Undécima edición. Ed. Mc.Graw Hill. - No. Pedido UDA 155.0202 P213p C.3	2009	OBLIGATORIA	DISPONIBLE	1	4748
Psicología del desarrollo infanto-juvenil	201	- Almonte, C; Monnt, M; Correa ,. (2009). Psicopatología infantil y de la adolescencia.	2009	OBLIGATORIA	NO disponible	0	
Psicología del desarrollo infanto-juvenil	201	- Hoffman, Lois; Paris, Scott, Hall Elizabeth (1996). Psicología del desarrollo hoy. Sexta edición. Ed. Mc. Graw Hill. - No. Pedido UDA 155.4 F278	1996	COMPLEMENTARIA	DISPONIBLE	21	162
TEORIAS SISTEMICAS	201	- Watzlawick, Paul; Beavin, Janet; Jackson, D.(1997). Teoria de la comunicación humana. Undecima edición. Ed. Herder.153.6 W353t.	1997	OBLIGATORIA	DISPONIBLE	2	13176
TEORIAS SISTEMICAS	201	- Berger, Milton. ( 1993).Mas alla del doble vinculo. 616.893. M394.	1993	OBLIGATORIA	DISPONIBLE	1	21539
TEORIAS SISTEMICAS	201	- Suzzane Midori anna; Josep Brown. La práctica de de laTerapia familiar.Ed Descleé. (1988)	1988	OBLIGATORIA	NO disponible	0	
TEORIAS SISTEMICAS	201	- Ritvo E, Glick I. Terapia de pareja y familiar. Guia practica. Manual moderno.(2012)	2012	OBLIGATORIA	DISPONIBLE	3	28221
Teoria Psicoanalítica	201	Freud, Sigmund (1936). Psicopatología de la Vida Cotidiana. Ercilla, Santiago de Chile. (Registro de Biblioteca 616.8917 F889p)	1936	OBLIGATORIA	DISPONIBLE	1	350
Teoria Psicoanalítica	201	Freud, Sigmund (1954). Obras Completas: psicoanálisis aplicado. Santiago Rueda Editores. Buenos Aires. (Registro Biblioteca 154.24 F889)	1954	OBLIGATORIA	DISPONIBLE	1	7884
Teoria Psicoanalítica	201	Freud, Sigmund (1966). Esquemas del Psicoanálisis. Paidós. Buenos Aires. (Registro Biblioteca 150.195 F889e)	1966	OBLIGATORIA	DISPONIBLE	3	292
Teoria Psicoanalítica	201	Freud, Sigmund (1972). Nuevas aportaciones a la interpretación de los sueños. Alianza, Madrid. (Registro Biblioteca 154.63 F889)	1972	OBLIGATORIA	DISPONIBLE	1	7908
Teoria Psicoanalítica	201	Freud, Sigmund (1980). Tres ensayos sobre teoría sexual. Alianza, Madrid. (Registro Biblioteca 155.3 F889)	1980	OBLIGATORIA	DISPONIBLE	2	4759
Teoria Psicoanalítica	201	Fenichel, Otto (2008). Teoria Psicoanalítica de las Neurosis. Paidós, México.	2008	OBLIGATORIA	NO disponible	0	
Teorías Cognitivas	201	Bower, Gordon H. y Hilgard, Ernest R. Teorías del Aprendizaje.		OBLIGATORIA	DISPONIBLE	1	12700
Teorías Cognitivas	201	-Mayor, Richard E. Pensamiento y Resolución de Conflictos		OBLIGATORIA	NO disponible	0	
Teorías Cognitivas	201	- Domjan, Michael. (1995). Principios de aprendizaje y conducta. Editorial Debate. (código biblioteca: 153.15 D672 1999)	1995	OBLIGATORIA	DISPONIBLE	2	12988
Teorías Cognitivas	201	Thomas H. (2003). Historia de la Psicología. Editorial Prentice Hall. (código biblioteca sede Cordillera: 150.9 H222 1998 c.2)	2003	OBLIGATORIA	NO disponible	0	
Teorías Cognitivas	201	-Piaget, Jean. Memoria e Inteligencia		COMPLEMENTARIA	DISPONIBLE	4	4722
Teorías Cognitivas	201	-Whittaker. Psicología.		COMPLEMENTARIA	DISPONIBLE	7	4942
Teorías Cognitivas	201	-Papalia, Diane. Psicología.		COMPLEMENTARIA	DISPONIBLE	11	8115
Psicología de la Personalidad	202	- Segal, H. (2003). Introducción a la obra de Melanie Klein. Buenos Aires, Argentina: Paidós.	2003	OBLIGATORIA	NO disponible	0	
Psicología de la Personalidad	202	- Kernberg, O. F. (1999). Trastornos Graves de la Personalidad. México: El manual moderno.	1999	OBLIGATORIA	NO disponible	0	
Psicología de la Personalidad	202	- Riquelme, R. y Oksenberg, A. (Ed). (2003). Trastornos de Personalidad, hacia una mirada integral. Santiago, Chile.	2003	OBLIGATORIA	NO disponible	0	
Psicología de la Personalidad	202	- Cloninger, S. (2003). Teorías de la personalidad. México: Prentice Hall.	2003	OBLIGATORIA	NO disponible	0	
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Almonte, C., Montt, M., & Correa, A. (2009). Psicopatología infantil y de la adolescencia . Santiago, Chile: Mediterraneo.	2009	NO INDICA	NO disponible	0	
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Diane E. Papalia, S. W. (2010). Psicologia del desarrollo. Mexico: Mac-Graw-Hill.	2010	NO INDICA	DISPONIBLE	9	23143
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Papalia, D. (1995). Psicología. México: Mac- Graw-Hill.	1995	NO INDICA	DISPONIBLE	11	8115
Psicología del Desarrollo del Adulto y Adulto Mayor	202	SENAMA. (s.f.). Las personas mayores en chile situacion avances y desafiosas personas mayores en chile. Recuperado el 09 de 09 de 2015, de www.senama.cl/filesapp/GLOSARIO_GERONTOLOGICO.pdf	2015	NO INDICA	NO disponible	0	
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Ascensión Belart, M. F. (1999). El ciclo de la vida: Una visión sistémica de la familia. España: Desclée De Brower.	1999	NO INDICA	DISPONIBLE	1	22591
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Bowen, M. (1998). De la familia a l individuo: La diferenciación del sí mismo en el sistema familiar. Roma, Italia: Paidos.	1998	NO INDICA	DISPONIBLE	1	19143
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Haley, J. (2013). Terapia no convencional. Amorrortu.	2013	NO INDICA	NO disponible	0	
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Sarquis, C. (s.f.). Introducción al estudio de la pareja humana. Santiago: Ediciones Universidad Católica de Chile.		NO INDICA	DISPONIBLE	1	8859
Taller de Integración II	202	Almonte, C., Montt, M., & Correa, A. (2009). Psicopatología infantil y de la adolescencia . Santiago, Chile: Mediterraneo.	2009	NO INDICA	NO disponible	0	
Taller de Integración II	202	Chile, C. d. (1990). CÓDIGO DE ÉTICA PROFESIONAL. Recuperado el 08 de 09 de 2015, de http://colegiopsicologos.cl/web_cpc/quienes-somos/codigo-de-etica-profesional/	1990	NO INDICA	DISPONIBLE	1	14816
Taller de Integración II	202	Diane E. Papalia, S. W. (2010). PSICOLOGIA DEL DESARROLLO. MEXICO: MAC-GRAW-HILL.	2010	NO INDICA	DISPONIBLE	9	23143
Taller de Integración II	202	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Taller de Integración II	202	Papalia, D. (1995). PSICOLOGÍA. México: Mac- Graw-Hill.	1995	NO INDICA	DISPONIBLE	11	8115
Teorías Humanistas	202	Berman, Morris, El Reencantamiento del Mundo, Cuatro Vientos, Santiago de Chile, 1987.	1987	OBLIGATORIA	NO disponible	0	
Teorías Humanistas	202	Cloninger, Susan C. (2003). Teorías de la personalidad (Tercera edición). Ed. Prentice Hall.	2003	OBLIGATORIA	NO disponible	0	
Teorías Humanistas	202	Jiménez V., Carlos Alberto  VISIÓN HOLOÁRQUICA DEL COSMOS. Nómadas 17. p.91-103.		OBLIGATORIA	NO disponible	0	
Teorías Humanistas	202	Jourard, S.M.; & Landsman, T. (2005). La Personalidad Saludable. El punto de vista de la Psicología Humanística. Ed. Trillas. (código biblioteca:155.2 J738)	2005	OBLIGATORIA	DISPONIBLE	1	21655
Teorías Humanistas	202	Hardy Leahey, T. (2003). Historia de la Psicología: Corrientes principales del pensamiento psicológico. Ed. Pearson.	2003	OBLIGATORIA	NO disponible	0	
Teorías Humanistas	202	Naranjo, Claudio. La vieja y novísima Gestalt: Actitud y práctica (1990) Santiago: Cuatro Vientos.	1990	OBLIGATORIA	DISPONIBLE	2	7107
Teorías Humanistas	202	Papalia, D (1995). Psicología. Editorial Mac- Graw-Hill. (código biblioteca: 150 P213)	1995	OBLIGATORIA	DISPONIBLE	11	8115
Teorías Humanistas	202	"Perls, Frederick (2007). ""Yo, hambre y agresión"". Ed. Soc. de Cultura Valle-Inclán. Los Libros del CTP; Ferrol."	2007	OBLIGATORIA	NO disponible	0	
Teorías Humanistas	202	"Rogers, Carl R. (1981). Psicoterapia
centrada en el cliente: práctica, implicaciones y teoría, editorial Paidós."	1981	OBLIGATORIA	NO disponible	0	
Teorías Humanistas	202	Wilber, Ken (1993). Psicologia Integral. Editorial Kairós, S.A.	1993	OBLIGATORIA	NO disponible	0	
Teorías Humanistas	202	Casassus, Juan. (2007). La Educación del ser emocional. Índigo – Cuarto Propio.	2007	COMPLEMENTARIA	NO disponible	0	
Teorías Humanistas	202	Csikszentmihaly, Mihaly. APRENDER A FLUIR. Editorial Kairós. Barcelona. España.		COMPLEMENTARIA	NO disponible	0	
Teorías Humanistas	202	Naranjo, Claudio.  Por una Gestalt viva (2007) Vitoria: Ediciones La Llave.	2007	COMPLEMENTARIA	NO disponible	0	
Teorías Humanistas	202	"Perls, Frederick (2013). ""El enfoque gestalt y testigos de terapia"". Santiago de Chile: Cuatro Vientos Editorial."	2013	COMPLEMENTARIA	NO disponible	0	
Teorías Humanistas	202	Rogers, Carl R. (1993). El proceso de convertirse en persona: mi técnica terapéutica, editorial Paidós.	1993	COMPLEMENTARIA	DISPONIBLE	1	14643
Teorías Humanistas	202	Whittaker, J. (1991). Psicología. Editorial Mc- Graw-Hill. (código biblioteca: 150 W624)	1991	COMPLEMENTARIA	DISPONIBLE	7	4942
Psicología Organizacional y del Trabajo	301	Rodríguez, D. (2001). Gestión Organizacional. Ediciones Universidad Católica de Chile, Stgo., Chile	2001	NO INDICA	DISPONIBLE	6	7529
Psicología Organizacional y del Trabajo	301	Pereda, S. y Berrocal, F. (1999). Gestión de Recursos Humanos por Competencias. Editorial Centro de Estudios Ramón Areces, S.A.,España	1999	NO INDICA	NO disponible	0	
Psicología Organizacional y del Trabajo	301	López - Mejías, F. (2002). Psicología de las Organizaciones. Prentice/ Hall Internacional.	2002	NO INDICA	NO disponible	0	
Psicología Organizacional y del Trabajo	301	De La Plaza, Javiera. (2009). La Inteligencia Asertiva. Aguilar Chilena de Ediciones S.A. Chile.	2009	NO INDICA	DISPONIBLE	1	24080
Psicología Organizacional y del Trabajo	301	Campbell, Susan. (1997). Del Caos a la Confianza. Paidós. Argentina.	1997	NO INDICA	DISPONIBLE	1	14130
Psicología Organizacional y del Trabajo	301	Alcover, C., Martínez, D., Rodríguez, F., Domínguez, R. Introducción a la Psicología del Trabajo. McGraw-Hill. España.		NO INDICA	DISPONIBLE	2	22760
Psicopatología Infanto-juvenil	301	Almonte, C., Montt, M., & Correa, A. (2003). Psicopatología infantil y de la adolescencia. Santiago: Mediterraneo.	2003	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Americana, d. P. (2014). Manual diagnóstico y estadístico de los trastornos mentales DSM-V. España: Panamericana.	2014	NO INDICA	DISPONIBLE	5	26712
Psicopatología Infanto-juvenil	301	Arnedo, Bembibre, & Triviño. (s.f.). Neuropsicologia a través de casos clínicos. Panamericana.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Ballesteros, F. (s.f.). Introducción a la evaluación psicológica, Tomo I y II.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Belloch, A., Sandín, B., & Ramos, F. (s.f.). Manual de psicopatología I-II. España: Mc Graw- Hill.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Caponni, R. (1987). Psicopatología y semiología psiquiátrica. Santiago: Universitaria.	1987	NO INDICA	DISPONIBLE	5	1424
Psicopatología Infanto-juvenil	301	Chile, C. d. (1990). CÓDIGO DE ÉTICA PROFESIONAL. Recuperado el 08 de 09 de 2015, de http://colegiopsicologos.cl/web_cpc/quienes-somos/codigo-de-etica-profesional/	1990	NO INDICA	DISPONIBLE	1	14816
Psicopatología Infanto-juvenil	301	Cormier, H., & Sheilyn, L. (s.f.). Estrategias de entrevista para terapeutas. Desclee De Brouwer.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Gil, R. (2006). Manual de neuropsicología. Elsevier Masson.	2006	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	González, B. (2012). Daño cerebral adquirido: evaluación, diagnóstico y rehabilitación. España: Síntesis.	2012	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	J.Portellano. (s.f.). Introducción a la neuropsicología. MC Graw Hill.		NO INDICA	DISPONIBLE	1	25861
Psicopatología Infanto-juvenil	301	Juan Dittborn, S. R. (2010). Estucturas psicóticas , limítrofes y neuróticas de la personalidad en el test de Rorschach. Santiago: Mediterráneo.	2010	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Kleinke, C. (1998). Principios comunes en psicoterapia. bilbao, españa: desclée de Brouwer.	1998	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Leveton, E. (1988). El adolescente en crisis. Mexico: Pax Mexico.	1988	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Levisky, D. (1998). Adolescencia:Reflexiones Psicoanalíticas. Buenos Aires: Lumen.	1998	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	OMS, O. M. (2003). DÉCIMA REVISIÓN DE LA CLASIFICACIÓN INTERNACIONAL DE LAS ENFERMEDADES CIE-10.	2003	NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Parmelee, D., & David, R. (s.f.). Psiquaitría del niño y el adolescente. España: Harcourt Brace.		NO INDICA	NO disponible	0	
Psicopatología Infanto-juvenil	301	Salud, O. P. (2006). Guia práctica de salud mental en situaciones de desastres. OPS/OMS.	2006	NO INDICA	NO disponible	0	
