PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022							
							
CARRERA: Carrera de Licenciatura en Educación y Pedagogía en Educación Física							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD BIBLIOTECA	Nro Biblioteca	Disponibilidad
Rereación y actividades en contacto con la naturaleza	201	Omeñaca, J. & Ruiz, J. (2005). “Juegos cooperativos y Educación Física”. España Edit. Paidotribo.	Obligatoria	13	2	23841	1
Rereación y actividades en contacto con la naturaleza	201	Villa, J. (1998). “La animación de grupos. Madrid”. España. Edit. Escuela española.	Obligatoria	13	1	14330	1
Rereación y actividades en contacto con la naturaleza	201	Watkins, D. (1991). “Campamentos y Caminatas”. Argentina. Editorial Lumen.	Obligatoria	13	0		0
Rereación y actividades en contacto con la naturaleza	201	Bernal, D. & Carrasco, H. (2016) Manual de actividades motrices en contacto con la naturaleza.  Valparaíso Chile, Edit. Universidad de Playa Ancha	Complementaria	13	0		0
Rereación y actividades en contacto con la naturaleza	201	Méndez, A. (2000). “Los juegos en el currículo de la educación física”. Barcelona,España. Edit. Paidotribo	Complementaria	13	4	23945	1
Rereación y actividades en contacto con la naturaleza	201	Rodríguez, M. (1996). “Actividades recreativas al aire libre” Santiago, Chile. Edit. Digeder	Complementaria	13	2	8243	1
Rereación y actividades en contacto con la naturaleza	201	Ruiz, J. (2000) Desarrollo de la motricidad a través del juego: materiales convencionales y no convencionales como recursos metodológicos. Madrid, España: Edit. Gymnos.	Complementaria	13	0		0
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	AGUADO, X. (1993). Eficacia y técnica deportiva: análisis del movimiento humano. Barcelona, España. Editorial INDE.	Obligatoria	13	1	14503	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	BERMESOLO, J. (2005). Cómo aprenden los seres humanos. Mecanismos psicológicos del aprendizaje. Santiago: Editorial Universidad Católica de Chile.	Obligatoria	13	2	25924	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	BLASQUEZ, D. (1988). Iniciación a los deportes de equipo. Barcelona: Martínez Roca.	Obligatoria	13	2	4365	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	FAMOSE, J. (1998). Aprendizaje motor y dificultad de la tarea. España: Editorial Paidotribo. FLOSDORF, P. y RIEDER, H. (1975). Deportes y juegos en grupos. Argentina Editorial Kapeluz.	Obligatoria	13	0		0
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	CONTRERAS, O (2019) Didáctica se la educación Física un enfoque constructivista España Editorial INDE	Obligatoria	13	0		0
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	HERNÁNDEZ, J. (2005). Fundamentos del deporte: análisis de las estructuras del juego deportivo. Madrid: Editorial INDE publicaciones.	Obligatoria	13	2	1340-22025	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	LAGARDERA, F. (1999). Diccionario Paidotribo de la actividad física y el deporte. España: Editorial Paidotribo.	Obligatoria	13	14	14156	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	PIÉRON, M. (1988). Didáctica de las actividades físicas y deportivas. España Editorial Gymnos.	Obligatoria	13	1	16071	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	PIÉRON, M. (1999). Para una enseñanza eficaz de las actividades físico-deportivas. Zaragoza, España. Editorial INDE Publicaciones.	Obligatoria	13	2	22030	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	SIEDENTOP, D. (1998). Aprendiendo a enseñar la Educación Física. Barcelona, España. Editorial INDE Publicaciones.	Obligatoria	13	0		0
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	TARGET, CH. y CATHELINEAU, J. (2002). Cómo se enseñan los deportes. Zaragoza, España. Editorial INDE Publicaciones.	Obligatoria	13	1	22026	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	VÁSQUEZ, A. (1991). Deporte, política y comunicación. México: Editorial Trillas.	Obligatoria	13	1	3912	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	ARAYA, J. ET AL (2012); Nivel de Dominio de Variables Temporales en Estudiantes en formación como Profesores y Profesoras de Educación Física de la Universidad de Atacama. (Tesis inédita). Universidad de Atacama. Copiapó, Chile.	Complementaria	13	1	23732	1
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	MÁRQUEZ, B. ET AL (2012). Validación de Modelo de Individualización de conductas según el grado de cooperación con la tarea en Clases de Educación Física. (Tesis inédita). Universidad de Atacama. Copiapó, Chile.	Complementaria	13	1	23721	1
Didáctica del Voleibol	301	Bonnefoy, G. (2003). Enseñar Vóleibol para jugar en equipo. España Edit. INDE.	Obligatoria	25	6	22315	1
Didáctica del Voleibol	301	Cabero, A. (1997). Vóleibol Recreativo, Alegría para todos. Chile Edit. DIGEDER.	Obligatoria	25	1	8808	1
Didáctica del Voleibol	301	Cavalli, D. (2013) Didáctica de los deportes de conjunto. Argentina Edit. Stadium	Obligatoria	25	5	28459	1
Didáctica del Voleibol	301	Federación Internacional de Voleibol (2021). Reglas oficiales, Suiza Edit. FIVB.	Obligatoria	25	0		0
Didáctica del Voleibol	301	Hessing, W (2003). Voleibol para principiantes Barcelona, España. Edit. Paidotribo	Obligatoria	25	1	18700	1
Didáctica del Voleibol	301	Iglesias, C. (2006). Aprendiendo a jugar voleibol en la escuela. Argentina. Edit. Stadium	Obligatoria	25	0		0
Didáctica del Voleibol	301	Jesus, D. (2002). Voleibol. Madrid. Edit. Tutor. S.A.	Obligatoria	25	2	23836	1
Didáctica del Voleibol	301	Jáuregui, H. (2011). Iniciación, Vóleibol. Santiago, Chile. Edit. COCH.	Obligatoria	25	0		0
Didáctica del Voleibol	301	Kenny, B. (2008). Voleibol : Claves para dominar los fundamentos y las destrezas técnicas. Madrid. Edit. Tutor. S.A.	Obligatoria	25	2	23957	1
Didáctica del Voleibol	301	Lucas, J. (2000). Recepción, colocación y ataque en voleibol. España. Edit. Paidotribo	Obligatoria	25	1	18706	1
Didáctica del Voleibol	301	Lucas, J. (2005). Vóleibol, iniciación y perfeccionamiento. España. Edit. Paidotribo	Obligatoria	25	0		0
Didáctica del Voleibol	301	Moreno, P. (2009) Manual de apoyo para la formación de técnicos y profesores de vóleibol. Sevilla. Edit. Wanceulen	Obligatoria	25	2	23951	1
Didáctica del Voleibol 	301	Marsenach, J. (1991). Vóleibol. Madrid, España Edit. Gymnos	Complementaria	25	1	12379	1
Didáctica del Voleibol 	301	Moreno, M. (2010). Manual de apoyo para la formación de profesores y técnicos Sevilla Edit. Wanceulen.	Complementaria	25	2	23951	1
Didáctica del Voleibol II	302	Bonnefoy, G. (2003). Enseñar Vóleibol para jugar en equipo. España.Edit. INDE.	Obligatoria		6	22315	1
Didáctica del Voleibol II	302	Cavalli, D. (2013) Didácticas de los deportes en conjunto Argentina.Edit. STADIUM.	Obligatoria		5	28459	1
Didáctica del Voleibol II	302	Federación Internacional de Voleibol. (2021). Reglas Oficiales Lausanne, Suiza Edit. FIVB.	Obligatoria		0		0
Didáctica del Voleibol II	302	García, J. (2000). Deportes de equipo. Barcelona, España. Edit. INDE.	Obligatoria		0		0
Didáctica del Voleibol II	302	Iglesias, C. (2006). Aprendiendo a jugar voleibol en la escuela. Argentina. Edit. Stadium	Obligatoria		0		0
Didáctica del Voleibol II	302	Loscher, A. (2003). Juegos predeportivos en grupo Barcelona, España Edit. Paidotribo	Obligatoria		0		0
Didáctica del Voleibol II	302	Pavlovich, M. (2001). Vóleibol aprender y progresar. Barcelona, España. Edit. Paidotribo	Obligatoria		1	18683	1
Didáctica del Voleibol II	302	Marsenach, J. (1991). Vóleibol. Madrid, España Edit. Gymnos	Complementaria		1	12379	1
Didáctica del Voleibol II	302	Moreno, M. (2010). Manual de apoyo para la formación de profesores y técnicos Sevilla Edit. Wanceulen.	Complementaria		2	23951	1
Educación y Motricidad en el ciclo vital	401	Barrow H. Y Brown J. (1988) Hombre y Movimiento Edit. Doyma. Barcelona	Obligatoria	25	0		0
Educación y Motricidad en el ciclo vital	401	Benjumea, M. (2011) La Motricidad como dimensión humana: un enfoque transdisciplinar Edit. Académica española. Colombia	Obligatoria	25	3	28873	1
Educación y Motricidad en el ciclo vital	401	Blázquez, D. (2020) Descubre cómo es la Educación Física del s. XXI Edit. INDE. España.	Obligatoria	25	3	28879	1
Educación y Motricidad en el ciclo vital	401	Del moral A. (1994) Aprendizaje y Desarrollo Motor Edit. Universidad de Alcalá. España	Obligatoria	25	1	9814	1
Educación y Motricidad en el ciclo vital	401	Le Boulch J. (1995) El desarrollo psicomotor desde el nacimiento hasta los 6 años. Consecuencias educativas. Edit Paidos. Barcelona.	Obligatoria	25	3	25158	1
Educación y Motricidad en el ciclo vital	401	Perez, E. (2018) Historia del deporte y la educación física. Edit. Kinesis. Colombia.	Obligatoria	25	4	28903	1
Educación y Motricidad en el ciclo vital	401	Ruiz L. (1995) Competencia Motriz: Elementos para comprender el aprendizaje motriz en Educ. Física escolar. Edit Gimnos. Madrid.	Obligatoria	25	2	14485	1
Educación y Motricidad en el ciclo vital	401	Toro, S. (2021) Manifestaciones de la motricidad humana Edit. UACH. Valdivia, Chile.	Obligatoria	25	4	28874	1
Educación y Motricidad en el ciclo vital	401	Trigo, E. (2019) Creatividad y motricidad Edit. INDE, España.	Obligatoria	25	2	28850	1
Educación y Motricidad en el ciclo vital	401	Trigo, E. (2013) Motricidad Humana, una mirada retrospectiva. Edit. INDE, España.	Obligatoria	25	2	28888	1
Educación y Motricidad en el ciclo vital	401	Zagalaz, M (2002) Corrientes y tendencias en Educación Física.  Edit. INDE, España.	Obligatoria	25	4	28890	1
Educación y Motricidad en el ciclo vital	401	Mineduc (2012), Bases Curriculares EFIS.	Complementaria	25			1
Educación y Motricidad en el ciclo vital	401	Manual de educación física deporte y recreación por edades (2001) Editorial Cultural S.A.	Complementaria	25	0		0
Educación y Motricidad en el ciclo vital	401	Mercado, H. (1997) Manual de estimulación motora para el preescolar Edit. DIGEDER	Complementaria	25	2	8828	1
Educación y Motricidad en el ciclo vital	401	Rigal R. (1987) Motricidad Humana Fundamentos y Aplicaciones Pedagógicas.	Complementaria	25	3	11819	1
Educación y Motricidad en el ciclo vital	401	Saavedra, C. (2005)   Guía de Actividad Física en adultos mayores Edit. Chiledeportes	Complementaria	25	0		0
Educación y Motricidad en el ciclo vital	401	Tefarikis, E (2008) Motricidad humana, un cambio urgente y necesario.	Complementaria	25	0		0
Teorías de la Motricidad	101	0	Obligatoria	30			1
Teorías de la Motricidad	101	Benjumea, M. (2010) La motricidad como dimensión humana -un abordaje transdiciplinar. España – Colombia Edit. Instituto Internacional del Saber	Obligatoria	30	3	28873	1
Teorías de la Motricidad	101	Collado, S. y Otros, (2004). Motricidad fundamentos y aplicaciones. Madrid Edit. Dykinson	Obligatoria	30	2	25005	1
Teorías de la Motricidad	101	Cratty, B. (1990) Desarrollo perceptual y motor en los niños. España Edit. Paidós.	Obligatoria	30	1	13151	1
Teorías de la Motricidad	101	Lagardera, F. (2003) Introducción a la Praxiología motriz. España. Edit. Paidotribo.	Obligatoria	30	1	18686	1
Teorías de la Motricidad	101	Le’ Boulch, J. (1992) Hacia una ciencia del movimiento humano. España. Edit. Paidós	Obligatoria	30	2	14639	1
Teorías de la Motricidad	101	Massion, J. (2000) Cerebro y motricidad. Barcelona, España: Edit. INDE	Obligatoria	30	4	24575	1
Teorías de la Motricidad	101	Parlebas, P. (2001) Juegos, deportes y sociedades: Léxico de Praxiología motriz.	Obligatoria	30	1	18695	1
Teorías de la Motricidad	101	Pikler, E. (1985) Moverse en libertad. Madrid, España. Edit. Narcea.	Obligatoria	30	3	12512	1
Teorías de la Motricidad	101	Rigal, R. (1988) Motricidad Humana, fundamentos y aplicaciones Pedagógicas. Madrid,	Obligatoria	30	3	11819	1
Teorías de la Motricidad	101	Toro, S. (2005) Motricidad en la Vida Humana. Apunte División Educación General-	Obligatoria	30	0		0
Teorías de la Motricidad	101	Unidad Deporte y Tiempo Libre Escolar. Stgo, Chile MINEDUC	Obligatoria	30	0		0
Teorías de la Motricidad	101	Toro, S. (2021) Manifestaciones de la Motricidad Humana. Chile, Ediciones UACH	Obligatoria	30	4	28874	1
Teorías de la Motricidad	101	Trigo, E. (2000). Manifestaciones de la Motricidad Humana. España. Edit. INDE.	Obligatoria	30	2	24938	1
Teorías de la Motricidad	101	Da Fonseca, V. (1998) Manual de observación psicomotriz : significación psiconeurológica de los factores psicomotores. Barcelona, España: Edit. INDE	Complementaria	30	1	14589	1
Teorías de la Motricidad	101	Vaca, E. y Otros, (2008). Motricidad y aprendizaje tratamiento pedagógico del ámbito corporal Barcelona, España. Edit. Grao.	Complementaria	30	1	23882	1
Desarrollo Motor	201	Carrasco, D. (1998). Desarrollo Motor. (1.ed.). España. Edit. Univ. Politécnica Madrid.	Obligatoria	13	0		0
Desarrollo Motor	201	Cratty, B. (1990). Desarrollo perceptual y motor en los niños. (2.ed.). Barcelona, España: Edit. Paidos Ibérica.	Obligatoria	13	1	13151	1
Desarrollo Motor	201	Del Moral, A. (1994). Aprendizaje y Desarrollo Motor. (1.ed.). Madrid, España: Edit.Universidad de Alcalá España.	Obligatoria	13	1	9814	1
Desarrollo Motor	201	Lagardera, F. & Lavega, P. (2004) La ciencia de la acción motriz. (1.ed.). Madrid,	Obligatoria	13	2	24931	1
Desarrollo Motor	201	"Le Boulch, J. (1997).          La Educación por el Movimiento en Edad Escolar. (1.ed.).  
            Barcelona, España: Edit. Paidos Ibérica."	Complementaria	13	4	2348	1
Desarrollo Motor	201	Pikler, E. (1984). Moverse en libertad. (1.ed.). Madrid, España: Edit. Narcea.	Complementaria	13	3	12512	1
Orientación y convivencia escolar	301	Ruz, J. (2003).Convivencia Escolar y calidad de educación. Chile. Ministerio de Educación.	Obligatoria	25	4	18517	1
Orientación y convivencia escolar	301	Ministerio de Educación. (2003). Marco para la Buena Enseñanza.Chile.Ministerio de Educación.	Obligatoria	25	0		0
							
							
Orientación y convivencia escolar	301	Suarez, M. (1998). Familia y valores: Escuela para padres,la hora del encuentro. Bogotá.  Editorial Magisterio.	Complementaria	25	4	22613	1
Orientación y convivencia escolar	301	Gutierrez, F. (1993). Orientación y Desarrollo Afectivo. Chile.Coprim.	Complementaria	25	2	2135	1
Psicomotricidad	401	Cratty, B. J. (2003). Desarrollo perceptual y motor en los niños. Barcelona: Paidós.	Obligatoria	25	1	13151	1
Psicomotricidad	401	Fernández-Marcote, A. E. (1999). Psicomotricidad: Fundamentos teóricos aplicables en la práctica. Madrid: Gymnos.	Obligatoria	25	2	15615	1
Psicomotricidad	401	Fonseca, V. (2008). Manual de observación psicomotriz: Significación psiconeurológica de los factores psicomotores. Barcelona: Inde.	Complementaria	25	1	14589	1
Psicomotricidad	401	Pastor, P. J. L. (1998). Psicomotricidad escolar. Alcalá de Henares: Universidad de Alcalá, Servicio de Publicaciones.	Complementaria	25	5	10934	1
Didáctica de la Natación 1	302	Lanuza, F & Torres, A () 1.060 Ejercicios y Juegos de Natación. 3ª ed. 797.21 L296.	Obligatoria	25	4	5513	1
Didáctica de la Natación 1	302	Navarro, F. (1995) Manuales para la enseñanza 1ª ed.. 797.21 N322m	Obligatoria	25	1	16070	1
Didáctica de la Natación 1	302	Navarro. F (1995) Hacia el dominio de la natación. 1ª ed.. 707.21 N322.	Obligatoria	25	2	12398	1
Didáctica de la Natación 1	302	"Arenillas, R [1990] Salvamento y socorrismo acuático.
 "	Complementaria	25	5	15672	1
Didáctica de la Natación 1	302	"Soler, A. [1998] Actividades acuáticas para personas mayores. 797.2
 "	Complementaria	25	1	15265	1
Didáctica de la Natación 1	302	Jiménez, J. [1998] Columna Vertebral y medio acuático. 615.8 J61 	Complementaria	25	1	16120	1
Didáctica de la Natación 1	302	Conde, E.. [1997] Educación infantil en el medio acuático..2 C745 Sova, R. (S.A) Ejercicios acuáticos. 797. 215729 	Complementaria	25	2	15266-4188	1
Didáctica de la Natación 1	302	Vásquez, J. [1999] Natación y discapacitados. 797. V335	Complementaria	25	2	15267	1
Didáctica de la Natación 2	402	Brancacho, J. (1999). Programa de preparación de los nadadores. (1.ed.).Edit. Gymnos.	Obligatoria	25	1	14054	1
Didáctica de la Natación 2	402	Conde, E. (1997). Educación infantil en el medio acuático. (1.ed.). Madrid, España:	Obligatoria	25	1	15266	1
Didáctica de la Natación 2	402	Soler, A. (1998). Actividades acuáticas para personas mayores. (1.ed.). Madrid, España: Edit. Gymnos.	Obligatoria	25	1	15265	1
Didáctica de la Natación 2	402	Arenillas, R (1990). Salvamento y socorrismo acuático. (1.ed.). Madrid, España:	Obligatoria	25	5	15672	1
Didáctica de la Natación 2	402	Jiménez, J. (1998). Columna Vertebral y medio acuático. (1.ed.). Madrid, España: Edit. Gymnos.	Complementaria	25	1	16120	1
