 BIBLIOGRAFICA GEOLOGIA						
						
CARRERA:	GEOLOGÍA					
Geología de Chile 	401	Charrier, R; Pinto, L y Rodriguez, M. 2007. Tectonostratigraphic evolution of the andean orogen inChile. En: Moreno, T y Gibbons, W. (Eds): The Geology of Chile. UK, The Geological Society ofLondon Publications, pp. 21-114.	OBLIGATORIA		ARTICULO REVISTA	
Geomorfología	401	Arancibia, G., Matthews, S.J. & De Arce, C.P. (2006). K-Ar and 40 Ar/ 39 Ar geochronology of supergene processes in the Atacama Desert, Northern Chile: tectonic and climatic relations. Journal Geological Society of London, 163, 107–118.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Bissig, T. & Riquelme, R. (2009) Contrasting landscape evolution and development of supergene enrichment in the El Salvador porphyry Cu and Potrerillos-El Hueso Cu–Au districts, Northern Chile. In: Supergene Environments, Processes and Products (Ed. By Titley, S), Society of Economic Geologists Special Publication, 14, 59–68.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Bissig, T. & Riquelme, R. (2010) Andean uplift and climate evolution in the southern Atacama Desert deduced from geomorphology and supergene alunite-group minerals. Earth and Planetary Science Letters, 299, 447–457.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Dunai et al., 2005. Oligocene–Miocene age of aridity in the Atacama Desert revealed by exposure dating of erosion-sensitive landforms	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Clark, A.H., Tosdal, R.M., Farrar, E. & Plazolles, V.A. (1990) Geomorphologic environment and age of supergene enrichment of the Cuajone, Quellaveco, and Toquepala porphyry copper deposits southern Peru. Economic Geology, 85. 1604–1628.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Dunai, T.J., Gónzalez-López, G.A., Juez-Larré, J. & Carrizo, D. (2005) Oligocene/Miocene age of aridity in the Atacama Desert revealed by exposure dating of erosion sensitive landforms. Geology, 33, 321– 324.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Hartley, A.J. & Chong, G. (2002) Late Pliocene age for the Atacama Desert: implications for the desertification of western South America. Geology, 30, 43– 46.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Hartley, A.J. (2003) Andean uplift and climate change. Journal of the Geological Society, 160, 7-10.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Hartley, A.J. & Rice, C.M. (2005) Controls on supergene enrichment of porphyry copper deposits in the Central Andes: A review and discussion. Mineralium Deposita, 40, 515- 525.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Lamb, S. & Davis, P. (2003). Cenozoic climate change as a possible cause for the rise of the Andes. Nature 425, 792–797.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Marquardt, C. Lavenu, A., Ortlieb L. Godoy E., Comte D. (2004) Coastal neotectonics in Southern Central Andes: uplift and deformation of marine terraces in Northern Chile (27°S). Tectonophysics, 394, 193-219.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Montgomery et al., 2001. Climate, tectonics, and the morphology of the Andes. Geology 29, 579582.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Mortimer, C. (1973). The Cenozoic history of the southern Atacama desert, Chile. Geological Society of London Journal, 129, 505–526.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Naranjo JA, Paskoff R. 1980. Evolución geomorfológica del desierto de Atacama, entre los 26º y 33º latitud sur: Revisión Cronológica. Revista Geológica de Chile 10, 85-89.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Nishiizumi et al., 2005. Remnants of a fossil alluvial fan landscape of Miocene age in the Atacama Desert	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Quang, C.X., Clark, A.H., Lee, J.K.W. & Hawkes, N.(2005) Response of supergene process to episodic Cenozoic uplift, pediment erosion, and ignimbrite eruption in the porphyry copper province of Southern Perú. Economic Geology, 100, 87–114.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Rech, J. A., Currie, B. S., Michalski, G. & Cowan, M. (2006) Neogene climate change and uplift in the Atacama Desert, Chile. Geology , 34, 761-764.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Rech, J.A., Currie, B.S., Shullenberger, E.D., Dunagean, S.P., Jordan, T.E., Blanco, N., Tomlinson, A.J., Rowe, H.D. & Houston, J. (2010) Evidence for the development of the Andean rain shadow from a Neogene isotopic record in the Atacama Desert, Chile. Earth and Planetary Science Letters, 292, 371–382.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Riquelme, R., Hérail, G., Martinod, J., Charrier, R. & Darrozes, J. (2007) Late Cenozoic  geomorphologic signal of Andean forearc deformation and tilting associated with the uplift and climate changes of the Southern Atacama Desert (26°S-28°S). Geomorphology 86, 283-306.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Sillitoe, R. & Mckee, H. (1996) Age of supergene oxidation and enrichment in the Chilean porphyry copper province. Economic Geology, 91,164–179.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Villar 1996. Aspectos Teóricos de los Abanicos aluviales. Cuaternario y Geomorfología, 10, 77-124.	COMPLEMENTARIA		ARTICULO REVISTA	
Geomorfología	401	Zachos J., Pagani1 M., Sloan L., Thomas E, Billups K., 2001. Trends, Rhythms, and Aberrations in Global Climate 65 Ma to Present. Science 292, 686-693.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Hedenquist, J. y Lowenstern, J. (1994). The role of magmas in the formation of hydrothermal ore deposits. Nature, Vol. 370, p. 519-527.	OBLIGATORIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Reed, M. (1997). Hydrothermal alteration and its relationships to ore fluid composition. In: Barnes KL (ed) Geochemistry of hydrothermal ore deposits. Wiley, pp 303-366.	OBLIGATORIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Candela, P. (1997). A review of shallow, ore-related granites: textures, volatiles, and ore metals. Journal of Petrology. Vol.38, no.12, p. 1619-1633.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Corbett, G.J. y Leach, T.M. (1998). Controls on hydrothermal alteration and mineralization. Society of Economic Geologists, Special Publication. no.6, p. 69-82	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Cox, S.F., Knackstedt, M.A., Braun, J. (2001). Principles of structural control on permeability and fluid flow in hydrothermal systems. Society of Economic Geologist. Reviews, Vol. 14, p. 1-24.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Heinrich, C., Ryan, C., Mernagh, T y Eadington, P (1992). Segregation of ore metals between magmatic brine and vapor: A fluid inclusion study using PIXE microanalysis. Economic Geology.Vol. 87, p. 1566-1583.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Heinrich, C.A., Günther, D., Audétat, A., Ulrich, T. y Frischknecht, R. (1999). Metal fractionation between magmatic brine and vapor, determined by microanalysis of fluid inclusions. Geology. Vol. 27 no. 8 p. 755-758.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Heinrich, C., Halter, W., Landtwing, M.R. y Pettke, T. (2005). The formation of economic porphyry copper (-gold) deposits: constraints from microanalysis of fluid and melt inclusions.Geological Society, London, Special Publications. Vol. 248, p. 247-263.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Landtwing, M., Pettke, T., Halter., W., Heinrich., C., Redmond, P., Einaudi, M. y Kunze K. (2005). Copper deposition during quartz dissolution by cooling magmatic-hydrothermal fluids:The Binham porphyry. Earth and Planetary Science Letters. 235, 229-243.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Reed, M. y Palandri, J. (2006). Sulfide mineral precipitation from hydrothermal fluids. Reviews in mineralogy and geochemistry. Vol. 61, p. 609-631.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Rusk, B. y Reed, M. (2002). Scanning electron microscope-cathodoluminiscence analysis of quartz reveals complex growth histories in veins from the Butte porphyry copper deposit, Montana. Geology. V.30; no.8; p. 727-730.	COMPLEMENTARIA		ARTICULO REVISTA	
Metalogénesis y microscopía de menas	402	Sibson, R.H., Moore, J. y Rankin, A.H. (1975). Seismic pumping-a hydrothermal fluid transport mechanism. Jl geol. Soc. Lond. Vol. 131, p. 653-559.	COMPLEMENTARIA		ARTICULO REVISTA	
Exploraciones mineras	501	Sillitoe, R. H. (1995). Exploration and discovery of base- and precious-metal deposits in the circum-pacific region during the last 25 years. Resource Geology, Special Issue No.19. Tokyo: Society of Resource Geology.	OBLIGATORIA		ARTICULO REVISTA	
Exploraciones mineras	501	Vivallo, W., Espinoza, S., Henríquez, F. (1994). Geología y mineralización del distrito ferrífero Cerro Imán, 21(2), 197-212.	COMPLEMENTARIA		ARTICULO REVISTA	
Exploraciones mineras	501	Vivallo, W., Espinoza, S., Henríquez, F. (1995). Metasomatismo y alteración hidrotermal en el Distrito Ferrífero Cerro Negro Norte, Copiapó, Chile. Revista Geológica de Chile, 22(1), 75-88.	COMPLEMENTARIA		ARTICULO REVISTA	
Exploraciones mineras	501	Bulletin of the Society of Economic Geologists.	COMPLEMENTARIA		REVISTA	
Exploraciones mineras	501	Journal of Applied Geophysics, Elsevier.	COMPLEMENTARIA		REVISTA	
Exploraciones mineras	501	Journal of Geochemical Exploration, Elsevier.	COMPLEMENTARIA		REVISTA	
Geoestadística	501	Metasomatismo y alteración hidrotermal en el Distrito Ferrífero Cerro Negro Norte, Copiapó, Chile. Revista Geológica de Chile, 22(1), 75-88.	OBLIGATORIA		ARTICULO REVISTA	
Geología de minas	502	Blasthole Drilling in Open Pit Mining; Atlascopco, Third edition 2012. www.atlascopco.com/blastholedrills	COMPLEMENTARIA		RECURSO ELECTRONICO	
Geología de minas	502	Mining Methods in Underground Mining: Atlascopco, Second edition 2007. www.atlascopco.com	COMPLEMENTARIA		RECURSO ELECTRONICO	
Geoquímica geotérmica	502	 Henley, R. W., Truesdell, A. H. y Barton, P. B. (1984). Fluid-Mineral Equilibria in Hydrothermal Systems. Reviews in Economic Geology, 1, 267 p.	OBLIGATORIA		ARTICULO REVISTA	
Geoquímica geotérmica	502	Norton, D. L. (1984). Theory of Hydrothermal Systems. Annual Review of Earth and Planetary Sciences, 12, pp. 155-177.	COMPLEMENTARIA		ARTICULO REVISTA	
Práctica profesional	601	Charrier, R; Pinto, L y Rodriguez, M. (2007). Tectonostratigraphic evolution of the andean orogen in Chile. En: Moreno, T y Gibbons, W. (Eds): The Geology of Chile pp. 21-114. Londres. UK, The Geological Society of London Publications,	OBLIGATORIA		ARTICULO REVISTA	
Autogestión del aprendizaje	201	Nuñez, J. C., Solano, P., González-Pienda, J. A. & Rosario, P. (2006). Evaluación de los procesos de autorregulación mediante autoinforme. Psicothema, 18(3), 353-358.	COMPLEMENTARIA		ARTICULO REVISTA	
Autogestión del aprendizaje	201	Zimmerman, B. J. & Kitsantas, A. (2007). Reliability and validity of Self-efficacy for Learning Form (SELF) scores of college students. Journal of Psychology, 215, 157-163.	COMPLEMENTARIA		ARTICULO REVISTA	0
Petrología Ígnea y Metamórfica II	302	Bucher, K. & Frey, M. (2002). Petrogenesis of Metamorphic Rocks. Berlin/Heidelberg, Germany: Springer.	COMPLEMENTARIA		ARTICULO REVISTA	0
Geología Histórica	302	Shaw, G. H. (2014). Earth's Early Atmosphere and Surface Environment. Special Papers Geological Society of America.	COMPLEMENTARIA		LIBRO ELECTRONICOS	0
Geoquímica geotérmica	502	Caprai, P. (2005). Volcanic and Geothermal Gases and Low-enthalpy Natural Manifestations Methods of Sampling and Analysis by Gas Chromatography. Journal of Applied Sciences, 5(1), pp.85-92.	COMPLEMENTARIA		0	0
Depósitos minerales	401	Barnes, S., Lightfood, P. (2005). Formation of magmatic nickel sulfide ore deposits and processes affecting their copper and platinium group elements contents. Economic Geology. 100th Anniversary Volume, pp. 179-213.	OBLIGATORIA		ARTICULO REVISTA	0
Depósitos minerales	401	Beane, R.E.  y Bodnar, R.J. (1995). Hydrothermal fluids and hydrothermal alterations in porphyry copper deposits. In: Porphyry Copper Deposits of the American Cordillera. Arizona Geol. Soc. Digest. Volumen (20), p. 83-93.	OBLIGATORIA		0	0
Metalogénesis y microscopía de menas	402	Burnham, C.W. (1997). Magmas and hydrothermal fluids. In: Barnes KL (ed) Geochemistry of hydrothermal ore deposits. Wiley, p. 303-366.	OBLIGATORIA		0	0
Metalogénesis y microscopía de menas	402	Fournier, R. (1999). Hydrothermal processes related to movement of fluid from plastic into brittle rock in the magmatic-epithermal environment. Economic Geology. 94, 1196-1211.	OBLIGATORIA		0	0
Geología Histórica	302	Complex Interactions at the Biosphere–Geosphere Interface. Geological Society London, Special Publications.	COMPLEMENTARIA		0	
Metodología de la investigación	401	Labandeira, C.C., Wilf, P., Johnson, K.R. & Marsh, F. (2007). Guide to Insect (and Other)	COMPLEMENTARIA		0	
Exploraciones mineras	501	Richards, J. R. (2003). Tectono-magmatic precursors for porphyry Cu-(Mo-Au) deposit formation. Economic Geology, 98, 1515-1533.	OBLIGATORIA		0	
Exploraciones mineras	501	Seigel, H. O. (1995). A guide to high precision land gravimeter surveys. – 122 ps, Canada (documento en formato pdf).	OBLIGATORIA		0	
Geotermia	501	Romijin, E., Laugier, R., Groba, E., Löhnert, E., Lüttig, G., Garagunis, C. & Fiedler, K. (Eds) (1985). Geothermics: Thermal-Mineral Waters and Hydrogeology. Atenas Theophrastus Publications.	COMPLEMENTARIA		0	
Geoquímica geotérmica	502	Browne, P. R. L. (1978). Hydrothermal Alteration in Active Geothermal Fields. Annual Review of Earth and Planetary Sciences, 6, pp. 229-248.	COMPLEMENTARIA		0	
