					
RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.		% de cobertura Btca Central	% de cobertura Vallenar
INGLÉS I	120	Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	Complementaria	0	
INGLÉS I	120	Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	Complementaria	0	
INGLÉS I	120	McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.). Cambridge University Press.	Complementaria	0	
INGLÉS I	120	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	Complementaria	0	
INGLÉS I	120	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	Complementaria	0	
INGLÉS I	120	Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	Complementaria	0	
MUESTREO METALÚRGICO	120	Scheaffer, R. L., Mendenhall, W., Ott, L., Rendón, S. G., Gómez, A. J. R., & Vargas, G. S. (2000). Elementos de muestreo. México: Grupo editorial Iberoamérica. 	Básica	0	
MUESTREO METALÚRGICO	120	Pavez Miqueles, O. (1987). Muestreo y control de calidad. Universidad de Atacama.	Complementaria	0	
MUESTREO METALÚRGICO	120	Carvajal Varas, A. (1990). Muestreo de minerales y productos mineros a granel. Universidad de Atacama.	Complementaria	0	
MUESTREO METALÚRGICO	120	Carvajal Varas, A. (1990). Muestreo de sólidos y pulpas. Universidad de Atacama.	Complementaria	0	
INGLÉS II	210	Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	Básica	0	
INGLÉS II	210	Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	Complementaria	0	
INGLÉS II	210	McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.). Cambridge University Press.	Complementaria	0	
INGLÉS II	210	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	Complementaria	0	
INGLÉS II	210	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	Complementaria	0	
INGLÉS II	210	Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	Complementaria	0	
INGLÉS II	210	Concha A., F. (1990). Fundamentos de la clasificación. Universidad de Concepción. Escuela de Ingeniería	Complementaria	0	
OPERACIÓN  DE PLANTAS METALÚRGICAS	210	Ferrer, M. J. L., & Herranz, G. S. (2005). Tratado de dibujo con Autocad 2005. España: Thomson. 	Básica	0	
SOFTWARE APLICADO A LA ESPECIALIDAD	210	Tickoo, S. (2000). AutoCAD 2000: Básico. Madrid: Paraninfo, Thomson Learning. 	Básica	0	
SOFTWARE APLICADO A LA ESPECIALIDAD	210	Concha A., F. (1990). Fundamentos de la clasificación. Universidad de Concepción. Escuela de Ingeniería	Complementaria	0	
TALLER III OPERACIONES INDUSTRIALES	210	Residuos sólidos: Estudios y planes de manejo. (1997). Santiago de Chile, Chile: Ministerio de Planificación y Cooperación. 	Básica	0	
TRATAMIENTO DE RESIDUOS INDUSTRIALES	210	Seminario Internacional sobre tecnologías limpias para la industria minera ( Santiago) 1996. Tecnologías limpias para la industria minera. Universidad de Concepción.	Básica	0	
TRATAMIENTO DE RESIDUOS INDUSTRIALES	210	Vadillo, F. L. (1995). Manual de reutilización de residuos de la industria minera, siderometalúrgica y termoeléctrica. Madrid: Instituto Tecnológico Geominero de España	Básica	0	
TRATAMIENTO DE RESIDUOS INDUSTRIALES	210	Barberá, E. (2008). El estilo e-portafolio. Barcelona: UOC.	Complementaria	0	
PRÁCTICA LABORAL	220	Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación. Madrid: Narcea Edición. 	Básica	0	
PRÁCTICA LABORAL	220	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	Básica	0	
PRÁCTICA LABORAL	220	Adler, R. B., Elmhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	Básica	0	
PRÁCTICA LABORAL	220	Tugendhat, E., Vicuña, A. M., & López, C. (2001). El libro de Manuel y Camila: Diálogos sobre ética. Barcelona: Gedisa Editorial.	Complementaria	0	
PROYECTO DE TITULACIÓN 	220	Muñoz, R. C. (2011). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	Básica	0	
PROYECTO DE TITULACIÓN 	220	Hernández, S. R., & Fernández, C. C. B. L. M. P. (January 01, 2010). Metodología de la investigación. 	Básica	0	
PROYECTO DE TITULACIÓN 	220		Complementaria	0	
