RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de Cobertura		
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Calvo Rodríguez, A. (1994). Programas para mejorar la comprensión lectora. Madrid. España: Escuela Española.	OBLIGATORIA	30	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Alcoba, S. (Coord.) (2000). La expresión oral. Barcelona, España: Ariel.	OBLIGATORIA	30	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Sánchez Lobato, J. (coord.) (2006). Saber escribir. Madrid, España: Instituto Cervantes-Aguilar.	COMPLEMENTARIA	30	0
Gramática, Lengua y Comunicación en Español II	Tercer semestre	"Equipo Editorial Centro de Investigación y Publicaciones del Idioma (2018)
“Enseñar gramática en el aula de Español”, Madrid, Centro de Investigación…
"	OBLIGATORIA	35	0
Gramática, Lengua y Comunicación en Español II		"2) Loreto Busquets y Lidia Bonzi (2010), Ejercicios gramaticales de Español, Madrid,
Editorial Verbum"	OBLIGATORIA	35	0
Competencia Comunicativa III	Tercer semestre	Savage, A. & Shafiei, M. (2007). Effective Academic Writing 1: The paragraph. New York. Oxford University Press. R. 811 S263	COMPLEMENTARIA	30	0
Traducción I	Tercer semestre	Carreres, Á., Noriega-Sánchez, M., & Calduch, C. (2018). Mundos en palabras: Learning Advanced Spanish through Translation. Routledge.	OBLIGATORIA	25	0
Práctica Progresiva I	Tercer semestre	Nolan, J. (2012). Interpretation: Techniques and exercises. Multilingual Matters; Edición: 2nd edition.	OBLIGATORIA	30	0
Práctica Progresiva I	Tercer semestre	Pöchhacker Franz (2016). Introducing interpreting studies. Routledge.	COMPLEMENTARIA	30	0
Electivo I	Tercer semestre	Cronin, M. (2009). Translation Goes to the Movies. Routledge.	OBLIGATORIA	25	0
Electivo I	Tercer semestre	Duro, M. (2001). La traducción para el doblaje y la subtitulación. Editorial Cátedra.	OBLIGATORIA	25	0
Electivo I	Tercer semestre	Díaz, J. (2003). Teoría y práctica de la subtitulación inglés/español. Editorial Ariel.	OBLIGATORIA	25	0
Ética profesional	Cuarto semestre	Hortal Alonso, A. (2007). Ética profesional de traductores e intérpretes. Bilbao, España: Desclée de Brouwer.	OBLIGATORIA	25	0
Ética profesional	Cuarto semestre	Gouadec, Daniel (2007). Translation as a Profession. Amsterdam/Philadelphia: John Benjamins Publishing Company.	COMPLEMENTARIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Álvarez, G. y Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción. Chile: Universidad de Concepción.	OBLIGATORIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Álvarez, G; Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción, Chile: Universidad de Concepción.	OBLIGATORIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	"Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.
"	OBLIGATORIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Cárdenas, V. (2010). La relación entre semántica y sintaxis desde la perspectiva de lenguaje escrito, Tópicos del Seminario Nº 23: Scielo.	OBLIGATORIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Coseriu, E. (1992). Competencia lingüística. Elementos de la teoría del hablar. Madrid. España: Gredos.	OBLIGATORIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Pilleux, M. (2016). “Competencia comunicativa y análisis del discurso”, en Estudios Filológicos, N° 36. Valdivia, Chile: Facultad de Humanidades, Universidad Austral de Chile.	OBLIGATORIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Ullmann, S. (1996). Semántica. Introducción a la ciencia del significado. Madrid. España: Aguilar.	OBLIGATORIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Kristeva, J. (1988). El lenguaje, ese desconocido. Madrid, España: Editorial Fundamentos. 	COMPLEMENTARIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Fuentes, J. (1980). Comunicación. Madrid, España: M. Fernández y Cía., S.A.	COMPLEMENTARIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Painean, O. (2016). Apunte de circulación interna para los estudiantes del curso. Presented at Étimos grecolatinos en el Español en Universidad de Atacama, Copiapó.	COMPLEMENTARIA	25	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Painean, O. (2016). Apunte de circulación interna para los estudiantes del curso. Presented at Elementos para un mapa conceptual de la oración simple. Universidad de Atacama, Copiapó.	COMPLEMENTARIA	25	0
Competencia Comunicativa IV	Cuarto semestre	"LA ERA DE LA TRADUCCIÓN
ANTONIE BERMAN · BONILLA ARTIGA"	COMPLEMENTARIA	30	0
Competencia Comunicativa IV	Cuarto semestre	Delisle, J. et al. (2003) Terminologie de la Traduction/Translation Terminology/Terminología de la Traducción/Terminologie Der Uberzetzung. J. Benjamins. Pág. 213-322	OBLIGATORIA	30	0
Traducción II	Cuarto semestre	Traducir Funciones. Manual De Enseñanza Y Autoaprendizaje	OBLIGATORIA	30	0
Traducción II	Cuarto semestre	Calvi, M. V. (2010). Los géneros discursivos en la lengua del comercio exterior: una propuesta de clasificación. Ibérica, 19, 9 -32.	OBLIGATORIA	30	0
Traducción II	Cuarto semestre	García Yebra, V. (1982). Teoría y práctica de la traducción. Madrid, España: Gredos.	OBLIGATORIA	30	0
Traducción II	Cuarto semestre	Newmark, P. (1999). Manual de traducción. Madrid, España: Ediciones Cátedra.	OBLIGATORIA	30	0
Práctica Progresiva II	Cuarto semestre	Gómez, L. (2011). Ortografía y Gramática. Las Normas Académicas: Últimos Cambios. Madrid, España: Ediciones SM.	COMPLEMENTARIA	30	0
Electivo II	Cuarto semestre	Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.	COMPLEMENTARIA	30	0
Electivo II	Cuarto semestre	Ciruelo, P. (2010). Los Signos de Puntuación: Para Aprender el uso de la Puntuación de Textos en Español. Barcelona: Octaedro.	COMPLEMENTARIA	30	0
Electivo II	Cuarto semestre	Gómez, L. (2009). Ortografía práctica del español. España: Espasa Calpe.	COMPLEMENTARIA	30	0
Competencia Comunicativa V		"Tecnicas Documentales Aplicadas a la Traduccion (Biblioteca Minima) (Spanish Edition)
Jose Antonio Cordon,Maria Pinto · Sintesis Editorial"	OBLIGATORIA	25	0
Traducción III	Quinto semestre	"United Nations. (s.f.). The United Nations Terminology Database. Recuperado de
http://untermportal.un.org/UNTERM/portal/welcome"	COMPLEMENTARIA	25	0
Traducción III	Quinto semestre	García Yebra, V. (1982). Teoría y práctica de la traducción. Madrid, España: Gredos.	OBLIGATORIA	25	0
Optativo	Quinto semestre	Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.	COMPLEMENTARIA	25	0
Optativo	Quinto semestre	Ciruelo, P. (2010). Los Signos de Puntuación: Para Aprender el uso de la Puntuación de Textos en Español. Barcelona: Octaedro.	COMPLEMENTARIA	25	0
Optativo	Quinto semestre	Gómez, L. (2009). Ortografía práctica del español. España: Espasa Calpe.	COMPLEMENTARIA	25	0
Redacción en Español II	Sexto semestre	Ferreiro, E. y Gómez, M. (2002). Nuevas perspectivas sobre los procesos de lectura y escritura, México: Siglo XXI.	OBLIGATORIA	25	0
Redacción en Español II	Sexto semestre	Garrido Medina, J. (1997). Estilo y texto en la lengua, Madrid, España: Gredos.	OBLIGATORIA	25	0
Redacción en Español II	Sexto semestre	Kaufman, A. y Rodríguez M. (2003). Hacia una tipología de los textos y caracterización lingüística de los textos. México: SEP/Santillana, pp. 5, 19-28 y 29-56.	OBLIGATORIA	25	0
Redacción en Español II	Sexto semestre	Mignolo, W. (1986). Teoría del texto e interpretación de textos. México: Universidad Nacional Autónoma de México.	COMPLEMENTARIA	25	0
Redacción en Español II	Sexto semestre	Pelayo, N. y Cabrera, A. (2002). Lenguaje y comunicación. Caracas, Venezuela: Editorial CEC, SA.	COMPLEMENTARIA	25	0
Competencia Comunicativa VI	Sexto semestre	Gamero, S. (2001). La traducción de textos técnicos. Barcelona: Editorial Ariel.	OBLIGATORIA	25	0
Competencia Comunicativa VI	Sexto semestre	García Yebra, V. (1982). Teoría y práctica de la traducción. Gredos, Madrid.	OBLIGATORIA	25	0
Traducción IV	Sexto semestre	"Pavel, S. y Nolet, D. (2002). Manual de terminología. Ontario: Oficina de Traducciones del Gobierno de
Canadá."	OBLIGATORIA	25	0
Traducción IV	Sexto semestre	"Alarcón Palma, M.; Sánchez Medina, M. &amp; A. Pecchi Sánchez (2001). Léxico de la minería y la
metalurgia: inglés-español/español-inglés. Concepción, Chile: Universidad de Concepción."	COMPLEMENTARIA	25	0
Traducción IV	Sexto semestre	Harmer, J., & Rossner, R. (1991). More than Words. Longman.	OBLIGATORIA	30	0
Traducción IV	Sexto semestre	James, C. (1980). Contrastive Analysis. Longman.	OBLIGATORIA	30	0
Traducción IV	Sexto semestre	Lado, R. (1968). Linguistic Across Cultures. The University of Michigan Press.	OBLIGATORIA	30	0
Análisis Contrastivo II	Sexto semestre	Lewis, M. (1993). The Lexical Approach. London: Comercial Color Press.	OBLIGATORIA	30	0
Análisis Contrastivo II	Sexto semestre	Richards, J., Platt, J., & Platt H. (1992). Dictionary of Language Teaching & Applied Linguistics.	OBLIGATORIA	30	0
Análisis Contrastivo II	Sexto semestre	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	20	0
Práctica Progresiva IV	Séptimo semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: Advanced. United Kingdom: Cheriton House Publishing.	OBLIGATORIA	20	0
Competencia Comunicativa VII	Séptimo semestre	Ewer, J. R., & Latorre, G. (1996). A Course in Basic Scientific English. Longman.	OBLIGATORIA	12	0
Traducción V	Séptimo semestre	Austermühl, F. (2001). Electronic Tools for Translators. Manchester, England: St. Jerome Publishing.	OBLIGATORIA		0
Análisis del Discurso Literario en Inglés	Séptimo semestre	Bowker, L. (2002). Computer-aided Translation Technology: A Practical Introduction. Ottawa: University of Ottawa Press.	OBLIGATORIA		0
TIC Aplicada a la Traducción	Séptimo semestre	Somers, Harold (ed.) (2003). Computers and Translation: A Handbook for Translators. Manchester,  England: St. Jerome Publishing.	OBLIGATORIA		0
TIC Aplicada a la Traducción	Séptimo semestre	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	20	0
Competencia Comunicativa VIII	Octavo semestre	Nolan, J. (2005). Interpretation Techniques and Exercises. Texas: Multilingual Matters.	NO INDICA		0
Competencia Comunicativa VIII	Octavo semestre	Gile, Daniel. (1995). Basic Concepts and Models for Interpreter and Translator Training. Amsterdam/Philadelphia: John Benjamins Publishing Company.	NO INDICA		0
Traducción a la Vista	Octavo semestre	Neunzig, W.y H.Milheiro Tanqueiro (2007). Estudios empíricos en traducción: Enfoques y métodos. Girona: Documenta Universitaria.	OBLIGATORIA	Aún no se dicta	0
Trabajo de grado	Octavo semestre	Saldana, G. y S. O'Brien (2014). Research Methodologies in Translation Studies. Londres/Nueva York: Routledge.	OBLIGATORIA	Aún no se dicta	0
Trabajo de grado	Octavo semestre	Williams, J. y A. Chesterman (2002). The Map. A Beginner's Guide to Doing Research in Translation Studies. Manchester: St. Jerome Publishing.	OBLIGATORIA	Aún no se dicta	0
Trabajo de grado	Octavo semestre	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	15	0
Competencia Comunicativa IX 	Noveno semestre	Nolan, J. (2005). Interpretation Techniques and Exercises. Texas: Multilingual Matters.	OBLIGATORIA	15	0
Competencia Comunicativa IX 	Noveno semestre	Gile, Daniel. (1995). Basic Concepts and Models for Interpreter and Translator Training. Amsterdam/Philadelphia: John Benjamins Publishing Company	OBLIGATORIA	15	0
Competencia Comunicativa IX 	Noveno semestre	Gile, Daniel. (1995). Basic Concepts and Models for Interpreter and Translator Training. Amsterdam/Philadelphia: John Benjamins Publishing Company	OBLIGATORIA	15	0
Interpretación Consecutiva I	Noveno semestre	Nolan, J. (2005). Interpretation Techniques and Exercises. Texas: Multilingual Matters.	OBLIGATORIA	15	0
Notación	Noveno semestre	Gómez, L. (2011). Ortografía y Gramática. Las Normas Académicas: Últimos Cambios. Madrid, España: Ediciones SM.	OBLIGATORIA	15	0
Electivo IV	Noveno semestre	Campbell, S. (1998). Translation into the second Language. Harlow: Longman.	OBLIGATORIA	15	0
Electivo IV	Noveno semestre	Grosman M., Kadric M., Kovaĉiĉ I., Snell Hornby M. (eds.). (2000). Translation into	OBLIGATORIA	15	0
Electivo IV	Noveno semestre	Merino, J. y P. H. Sheerin (2013). Manual de traducción inversa español-inglés, 2da Ed. Madrid, España: Anglo-Didacta Publishing.	OBLIGATORIA	15	0
Electivo IV	Noveno semestre	Non-Mother Tongues in Professional Practise and Training. Tübingen, Stauffenburg, Verlag. (eds.). (2003). La direccionalidad en traducción e interpretación: perspectivas teóricas, profesionales y didácticas. Granada, España: Atrio.	OBLIGATORIA	15	0
Electivo IV	Noveno semestre	Newmark, P., (1999). Manual de traducción. Madrid, España: Ediciones Cátedra.	COMPLEMENTARIA	15	0
Electivo IV	Noveno semestre	Torrego, L. G. (2011). Ortografía y Gramática. Las normas académicas: Últimos cambios. Madrid, España: SM.	COMPLEMENTARIA	15	0
Competencia Comunicativa X 	Décimo semestre	Nolan, J. (2005).Interpretation Techniques and Exercises. Texas: Multilingual Matters.	OBLIGATORIA	10	0
Interpretación de Enlace II	Décimo semestre	Gamero Pérez, S. (2001). La traducción de textos técnicos: Análisis de géneros. Barcelona, España: Ariel.	OBLIGATORIA	10	0
Nemotecnia	Décimo semestre	Gile,D.(1995). Basic Concepts and Models for Interpreter and Translator Training.	OBLIGATORIA	10	0
Nemotecnia	Décimo semestre	"Amsterdam/Philadelphia: John Benjamins Publishing Company 
"	OBLIGATORIA	10	0
Electivo V	Décimo semestre	Gile,D.(1995). Basic Concepts and Models for Interpreter and Translator Training.	OBLIGATORIA	10	0
