PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0 
Educación para la Salud	102	Perea QR. Promoción y educación para la salud. Madrid: Ediciones Díaz de Santos. 2009	OBLIGATORIA	4	25132	
		Sáez CS. MMF. CBR. Educación para la salud: Técnicas para el trabajo con grupos pequeños. Lleida: Pages 1995	COMPLEMENTARIA	0	0	
Bioestadística	102	Narváez VPD. Metodología de la investigación científica y bioestadística: Para profesionales y estudiantes de Ciencias de la Salud Santiago: RIL editores; 2006.	OBLIGATORIA	11	25185	
		Taucher E. Bioestadística. Santiago: Editorial universitaria SA; 1999.	OBLIGATORIA	0	0	
		Rohlf RRS,. Introducción a la bioestadística / versión española por Joaquina Gabarrón. Barcelona: REVERTE, S.A; 2002.	COMPLEMENTARIA	4	25300	
		Martínez-González MA. Bioestadística amigable: ELSEVIER; 2014.	COMPLEMENTARIA	9	25308	
		Sch. Bioestadística SANTIAGO: MEDITERRANEO; 1994	COMPLEMENTARIA	0	0	
Anatomía	102	Netter FH. Atlas de Anatomía Humana. Barcelona: MASSON. 2011. 5° edición.	OBLIGATORIA	15	24595	
		Moore. KL.D. Anatomía con orientación clínica. Barcelona: Wolters Kluwer Health España. S.A. 2010. 6° edición.	OBLIGATORIA	17	25177	
		Drake. RL.  Gray Anatomía para estudiantes. Barcelona: Elsevier. 2015. 3° edición.	COMPLEMENTARIA	3	25679	
Fisiología	102	Guyton AC. Hall JE. Tratado de fisiología médica. Barcelona: Elsevier. 2011	OBLIGATORIA	17	24591	
		Barret K. Barman S. Ganong: Fisiología Médica. México: McGraw- Hill. 2013 24° eds.	OBLIGATORIA	6	25175	
		Gal Iglesias B. Bases de la Fisiología. Madrid: Tébar: 2007.	OBLIGATORIA	5	25646	
		Vander AJ. Sherman JH. Fisiología Humana. Bogotá: McGraw.Hill interamericana. 1978.	COMPLEMENTARIA	0	0	
		Tortora GJ. Principios de Anatomía y Fisiología. Buenos Aires: Editorial Médica Panamericana. 2006.	COMPLEMENTARIA	0	0	
Bioquímica	102	Bohinski R. Bioquímica; versión española por María Antonieta Valenzuela. Bogotá: Fondo Educativo Interamericano. 1976	OBLIGATORIA	0	0	
		Stryer L. bioquímica; versión española prof. D. José M. Macarulla. Barcelona: Reverté 1995	OBLIGATORIA	0	0	
		Nelson DL. Lehninger AL. Lehninger principios de bioquímica. Barcelona: Ediciones Omega. 2015	COMPLEMENTARIA	2	26903	
		Mathews CK. Van Holde KE. Bioquímica. Madrid: McGraw-Hill Interamericana.1998.	COMPLEMENTARIA	0	0	
		Horton HR. Moran L. Ochs RS. Bioquímica. México: Prentice-Hall.1993.	COMPLEMENTARIA	0	0	
Práctica Proceso Atención de Enfermería	201	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	OBLIGATORIA	8	24642	
		Vial Larraín B. Procedimientos de enfermería medicoquirúrgica. Santiago: Mediterráneo. 2007.	OBLIGATORIA	8	22274	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	OBLIGATORIA	4	22320	
		Alfaro-lefrive R. Aplicación del proceso enfermero. Barcelona. Masson.2005	COMPLEMENTARIA	4	21092	
		Marriner Tomey. Modelos y Teorías de Enfermería. Madrid: Elsevier Science. 2011.	COMPLEMENTARIA	2	23175	
Salud Pública	201	Hernández-Aguado I. Manual de epidemiología y salud pública: para grados en ciencias de la salud. 2° edición. Editorial Panamericana. 2011.	OBLIGATORIA	18	25205	
		Álvarez R. Salud Pública y medicina preventiva. 4° Edición. Manual Moderno. 2011	OBLIGATORIA	1	25296	0
		Martínez-González. Conceptos de salud pública y estrategias preventivas: Un manual para ciencias de la salud. Editorial Elsevier. 2013.	COMPLEMENTARIA	15	25190	
Modelos de Salud Familiar y Comunitaria	201	Klainberg M. Enfermería comunitaria: Una alianza para la salud. Bogotá: McGraw-Hill Interamericana.2001.	OBLIGATORIA	2	21076	
		Zurro MA. CPJF.GBJ. Atención primaria: principios, organización y métodos en medicina de familia. Barcelona Elsevier.2014	OBLIGATORIA	2	26101	0
		Hidalgo CG. CBE. Salud familiar: un modelo de atención integral en la atención primaria. Santiago: Universidad Católica de Chile. 1999	OBLIGATORIA	0	0	
Microbiología e infectología clínica	201	Murray PR. Microbiología médica. Barcelona: Elsevier- Saunders. 2013	OBLIGATORIA	9	25830	
		CarpenterPL. Microbiología. Mexico: interamericana.1982	OBLIGATORIA	0	0	
		Atías Martín A. Parasitología médica. Santiago: Mediterráneo. (199?)	OBLIGATORIA	5	13732	
		Geneser F. Histología: sobre bases biomoleculares. Buenos Aires: Editorial Médica Panamericana. 2000	COMPLEMENTARIA	2	21085	
		Lombardero OJ. Glosario de términos parasitológicos. Buenos Aires: Eudeba. 1971.	COMPLEMENTARIA	0	0	
Farmacología para Enfermería	201	Mosquera González JM. Galdos Anuncibay P. Farmacología clínica para Enfermería. Madrid: McGraw-Hill Interamericana.2005.	OBLIGATORIA	7	22327	
		Castells Molina S. Farmacología en Enfermería. Barcelona: Elsevier.2012.	OBLIGATORIA	0	0	
		Lorenzo Fernández P. Farmacología básica y clínica. Buenos Aires: Ediorial Médica Panamericana.2008	COMPLEMENTARIA	3	26081	
		Goodman LS. Las bases farmacológicas de la terapéutica. México: McGraw-Hill. 2012	COMPLEMENTARIA	3	26075	
Fisiopatología	201	Porth CM. Fisiopatología: Salud-Enfermedad: un enfoque conceptual. Buenos Aires: Médica Panamericana. 2010	OBLIGATORIA	10	24622	
		Braun C. Fisiopatología: un enfoque clínico. Barcelona: Wolters Kluwer/ Lippincott Williamn &Wilkins. 2012	OBLIGATORIA	10	25262	
		Yáñez A- Neurología fundamental. Santiago: Mediterráneo. 2011.	COMPLEMENTARIA	1	25212	
		Netter FH. Corazón. Barcelona: Masson. 2006	COMPLEMENTARIA	1	25168	
		West JB. Fisiología y fisiopatología pulmonar: Estudio de casos. Madris: Wolters Kluwer/ Lippincott Williams & Wilkins. 2008	COMPLEMENTARIA	1	25184	0
uidados de Enfermería Medico quirúrgica I	202	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	21	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	OBLIGATORIA	8	24642	
		Vial Larraín B. Procedimientos de enfermería medicoquirúrgica. Santiago: Mediterráneo. 2007.	OBLIGATORIA	8	22274	
		Dillon P. Valoración clínica en enfermería. México: McGraw Hill. 2008. 2° edición	COMPLEMENTARIA	1	22326	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	COMPLEMENTARIA	4	22320	
Herramientas de Salud Pública para el Cuidado.	202	Ahlbom-Alfredsson. Fundamentos de epidemiología. 9° Edición. Editorial Siglo XXI. 2007.	OBLIGATORIA	1	25245	
		Villa-Moreno. Epidemiología y estadística en salud pública. Mc. GrawHill. 2012.	OBLIGATORIA	3	25165	
		Ruiz-Murillo. Epidemiología clínica, Investigación clínica aplicada. Editorial Panamericana. 2004	COMPLEMENTARIA	2	25278	0
Cuidados de Enfermería en el Envejecimiento	202	Moraga R. Gerontología social: envejecimiento y calidad de vida. Barcelona: Herder. 1991	OBLIGATORIA	0	0	
		Burke M. WM. Enfermería gerontológica: cuidados integrales del adulto mayor. Madrid: Harcourt. 2° edición. 1998	OBLIGATORIA	1	22324	
		Izal M. MI. Gerontología conductual: intervención y ámbito de aplicación. Madrid: Síntesis. 1999	OBLIGATORIA	0	0	
		Gándara MJ. Envejecer en soledad: repercusiones psicopatologcas de la soledad en los ancianos. Madrid: Popular. 1995	COMPLEMENTARIA	0	0	
		Pont Geis P. tercera edad, actividad física y salud: Teoría y práctica. Paidotribo. 1990.	COMPLEMENTARIA	0	0	
Gestión y Administración en Salud	202	Chiavenato I. Introducción a la Teoría General de la Administración. México: Mcgraw-Hill. 2013.	OBLIGATORIA	3	26091	
		Robbins, S & Coulter M. Administración. México: Pearson Educación. 2005.	OBLIGATORIA	4	22429	
		Villalobos, J. Gestión sanitaria para profesionales de la salud. España: Mcgraw-Hill Interamericana. 2007.	OBLIGATORIA	7	24675	
		Chiavenato I. Administración: teoría, proceso y practica. Bogotá: McGraw-Hill 2001	COMPLEMENTARIA	0	0	
Gestión del Conocimiento y la Innovación	202	Fernández Sánchez E. Estrategias de innovación. Madrid: Thomson Paraninfo. 2005	OBLIGATORIA	0	0	
		Del Moral A. Gestión del Conocimiento. Madrid. Thomson. 2007	OBLIGATORIA	0	0	
		Barnes S. Sistemas de gestión del conocimiento... Madrid: Thomson. 2002	COMPLEMENTARIA	0	0	
Inteligencia emocional	202	Goleman D. La inteligencia Emocional. Buenos Aires: Javier Vergara.1996.	OBLIGATORIA	0	0	
		Céspedes Calderón A, Cerebro inteligencia y emoción: neurociencias aplicadas a la educación permanente. Santiago: Fundación Mirame.2008	OBLIGATORIA	0	0	
		Martineaud S. El test de inteligencia emocional. Buenos Aires: Martínez Roca. C 1998	COMPLEMENTARIA	0	0	
Inglés I	202	Fuscoe K. Garside B. Prodromou L. Attitude Students book and Workbook. México: Mcmillan. 2006..	OBLIGATORIA	0	0	
		Soars L. Wheeldon S. New Headway Elementary Workbook. Mexico: Oxford University Press. 2006.	OBLIGATORIA	0	0	
		Murphy R. Essential Grammar in Use. Great Britain : Cambridge . 2003.	OBLIGATORIA	6	27054	
		Grice. T. Nursing 1. UK: Oxford University Press. 2007.	OBLIGATORIA	8	27378	0
		Evans- V. Salcido. K. Nursing. United States: Express Publishing . 2011.	OBLIGATORIA	0	0	
		Heyer S. Easy True Stories “ Pictures Based Begginer Reader”.. UK: Longman. 1994.	COMPLEMENTARIA	0	0	
		Lebeau I, Rees G. Language Leader Workbook and Student´s book.. Edinburgh: Pearson- Longman. 2008.	COMPLEMENTARIA	0	0	
Practica de Cuidados de Enfermería Medicoquirurgica I	301	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	OBLIGATORIA	8	24642	
		Vial Larraín B. Procedimientos de enfermería medicoquirúrgica. Santiago: Mediterráneo. 2007.	OBLIGATORIA	8	22274	
		Dillon P. Valoración clínica en enfermería. México: McGraw Hill. 2008. 2° edición	COMPLEMENTARIA	1	22326	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	COMPLEMENTARIA	4	22320	
Autocuidado En El Ambiente Laboral	301	Álvarez Heredia f. Salud Ocupacional. Bogotá: Ecoe Ediciones. 2011.	OBLIGATORIA	1	25270	
		Hernández-Aguado I. Manual de epidemiología y salud pública: para grados en ciencias de la salud. 2° edición. Editorial Panamericana. 2011.	OBLIGATORIA	18	25205	
		Henao Robledo F. Salud Ocupacional: Conceptos Básicos. Bogotá: Ecoe Ediciones.2010	COMPLEMENTARIA	1	25251	
		Mancera Fernández M. Seguridad e Higiene Industrial: Gestión de riesgos. Bogotá: Alfaomega.2012	COMPLEMENTARIA	2	25243	0
Practica de Cuidados de Enfermería En personas mayores	301	Moraga R. Gerontología social: envejecimiento y calidad de vida. Barcelona: Herder. 1991	OBLIGATORIA	0	0	
		Burke M. WM. Enfermería gerontológica: cuidados integrales del adulto mayor. Madrid: Harcourt. 2° edición. 1998	OBLIGATORIA	1	22324	
		Izal M. MI. Gerontología conductual: intervención y ámbito de aplicación. Madrid: Síntesis. 1999	OBLIGATORIA	0	0	
		Gándara MJ. Envejecer en soledad: repercusiones psicopatológicas de la soledad en los ancianos. Madrid: Popular. 1995	COMPLEMENTARIA	0	0	
		Pont Geis P. tercera edad, actividad física y salud: Teoría y práctica. Paidotribo. 1990.	COMPLEMENTARIA	0	0	
		NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	COMPLEMENTARIA	18	25140	
		Porth CM. Fisiopatología: Salud-Enfermedad: un enfoque conceptual. Buenos Aires: Médica Panamericana. 2010	COMPLEMENTARIA	10	24622	
Metodología de la Investigación Cuantitativa en Salud	301	García JA. Introducción a la metodología de la investigación en ciencias de la salud. México: McGraw-Hill. 2011	OBLIGATORIA	6	25216	
		Díaz VP. Metodología de la investigación científica y bioestadística. 2° Edición. RIL Editores. 2014	OBLIGATORIA	11	25185	
		Martínez P. Manual básico de investigación científica. 2° Edición. Universidad Anahuac. 2011	COMPLEMENTARIA	3	25229	
análisis e interpretación de pruebas diagnósticas	301	Ruiz Reyes G. Fundamentos de interpretación clínica de los exámenes de laboratorio. Buenos Aires. Editorial Médica Panamericana. 2010.	OBLIGATORIA	0	0	
		Del Cura JL. Radiología esencial. Buenos aires: Editorial Medica Panamericana. 2009	OBLIGATORIA	6	26974	
		Giraldo Estrada H. EPOC. Diagnóstico y tratamiento integral: con énfasis en la rehabilitación pulmonar. Bogotá: Editorial Médica Panamericana.2008	COMPLEMENTARIA	2	25155	
		Ángel Mejías G. Interpretación clínica del laboratorio. Bogotá: Editorial Médica Panamericana.2006	COMPLEMENTARIA	5	27969	0
		Sánchez DI. Enfoque clínico de las enfermedades respiratorias del niño. Santiago: Ediciones Universidad Católica de Chile. 2007.	COMPLEMENTARIA	3	25187	
Cuidados de Enfermería Holística	301	Focks C. Atlas de acupuntura. Barcelona: Elsevier Masson. 2009	OBLIGATORIA	3	25678	0
		Marriner Tomey A. modelos y teorías de Enfermería. Madrid: elsevier Masson. 2011	OBLIGATORIA	2	23175	
		González Ramírez JF. Procedimientos de relajación (método auditivo). Madrid: Eos.1998	COMPLEMENTARIA	0	0	
		Kaminoff L. Anatomía de Yoga. Madrid: Tutor. 2012	COMPLEMENTARIA	0	0	
Fisiopatología Pediátrica	301	Meneghello Rivera J. Diálogos en Pediatría. Santiago: Mediterráneo. C1992.	OBLIGATORIA	13	24623	
		Kliegman RT. Nelson, Tratado de pediatría. Barcelona: Elsevier.2013.	OBLIGATORIA	4	25319	
		Mattson S. Enfermería maternoinfantil. México: McGaw-Hill Interamericana. 2001	COMPLEMENTARIA	4	21099	
Inglés II	301	Fuscoe K. Garside B. Prodromou L. Attitude Students book and Workbook. México: Mcmillan. 2006..	OBLIGATORIA	0	0	
		Soars L. Wheeldon S. New Headway Elementary Workbook. Mexico: Oxford University Press. 2006.	OBLIGATORIA	0	0	
		Murphy R. Essential Grammar in Use. Great Britain : Cambridge . 2003.	OBLIGATORIA	6	27054	
		Grice. T. Nursing 1. UK: Oxford University Press. 2007.	OBLIGATORIA	8	27378	0
		Evans- V. Salcido. K. Nursing. United States: Express Publishing . 2011.	OBLIGATORIA	0	0	
		Heyer S. Easy True Stories “ Pictures Based Begginer Reader”.. UK: Longman. 1994.	COMPLEMENTARIA	0	0	
		Lebeau I, Rees G. Language Leader Workbook and Student´s book.. Edinburgh: Pearson- Longman. 2008.	COMPLEMENTARIA	0	0	
Cuidados de Enfermería Médico-quirúrgico II	302	Marino P. El Libro de la UCI. Barcelona: Wolters Kluwer. 2015 4° edición.	OBLIGATORIA	2	25949	
		López Ramírez. JH. La alegría de leer electrocardiograma. Bogotá: Celsus. 2012.	OBLIGATORIA	9	25146	
		NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	OBLIGATORIA	8	24642	
		Dillon P. Valoración clínica en enfermería. México: McGraw Hill. 2008. 2° edición	COMPLEMENTARIA	1	22326	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	COMPLEMENTARIA	4	22320	
Cuidados de Enfermería Materno Infantil	302	Pérez Sánchez, A: Ginecología. Santiago: Mediterráneo. 1996	OBLIGATORIA	22	25299	
		Pérez Sánchez, A. Donoso SE. Obstetricia. Santiago: Mediterráneo. 2011	OBLIGATORIA	16	25732	
		NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	COMPLEMENTARIA	18	25140	
Cuidados de Enfermería en el Ciclo Vital Adulto en APS	302	Zurro MA. CPJF.GBJ. Atención primaria: principios, organización y métodos en medicina de familia. Barcelona Elsevier.2014	OBLIGATORIA	2	26101	0
		Hidalgo CG. CBE. Salud familiar: un modelo de atención integral en la atención primaria. Santiago: Universidad Católica de Chile. 1999	COMPLEMENTARIA	0	0	
Metodología de la Investigación Cualitativa en Salud	302	García JA. Introducción a la metodología de la investigación en ciencias de la salud. México: McGraw-Hill. 2011	OBLIGATORIA	6	25216	
		Díaz VP. Metodología de la investigación científica y bioestadística. 2° Edición. RIL Editores. 2014	OBLIGATORIA	11	25185	
		Martínez P. Manual básico de investigación científica. 2° Edición. Universidad Anahuac. 2011	COMPLEMENTARIA	3	25229	
Gestión por Proceso	302	Tomey AM. Guía de gestión y dirección de Enfermería. Madrid: Elsevier. 2001 	OBLIGATORIA	2	21087	0
		Chiavenato I. Administración de recursos humanos: el capital Humano de las organizaciones. México: McGraw-Hill. 2011	OBLIGATORIA	0	0	
		Balderas. Administración de los servicios de Enfermería. México: McGraw-Hill. 2012	OBLIGATORIA	6	25172	
		Temes Montes JL. Gestión Hospitalaria. Madrid: McGraw-Hill. 2011	COMPLEMENTARIA	6	25130	
Cuidados de Enfermería en Pediatría	302	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Mattson S. Enfermería maternoinfantil. México: McGaw-Hill Interamericana. 2001	OBLIGATORIA	4	21099	
		Wilson D. Manual de enfermería pediátrica de Wong. México: McGraw-Hill. 2009	OBLIGATORIA	9	24809	
		Meneghello Rivera J. Diálogos en Pediatría. Santiago: Mediterráneo. C1992.	COMPLEMENTARIA	13	24623	
		Kliegman RT. Nelson, Tratado de pediatría. Barcelona: Elsevier.2013.	COMPLEMENTARIA	4	25319	
Practica de Cuidados de Enfermería Medicoquirurgica II	401	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	OBLIGATORIA	8	24642	
		Vial Larraín B. Procedimientos de enfermería medicoquirúrgica. Santiago: Mediterráneo. 2007.	OBLIGATORIA	8	22274	
		Dillon P. Valoración clínica en enfermería. México: McGraw Hill. 2008. 2° edición	COMPLEMENTARIA	1	22326	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	COMPLEMENTARIA	4	22320	
Práctica de Cuidados de Enfermería Pediátrica	401	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Meneghello Rivera J. Diálogos en Pediatría. Santiago: Mediterráneo. C1992.	OBLIGATORIA	13	24623	
		Kliegman RT. Nelson, Tratado de pediatría. Barcelona: Elsevier.2013.	OBLIGATORIA	4	25319	
		Mattson S. Enfermería maternoinfantil. México: McGaw-Hill Interamericana. 2001	COMPLEMENTARIA	4	21099	
		Wilson D. Manual de enfermería pediátrica de Wong. México: McGraw-Hill. 2009	COMPLEMENTARIA	9	24809	
Práctica Cuidados de Enfermería En el Ciclo Vital Adulto en APS	401	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Dillon P. Valoración clínica en enfermería. México: McGraw Hill. 2008. 2° edición	COMPLEMENTARIA	1	22326	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	COMPLEMENTARIA	4	22320	
Seminario de Licenciatura I	401	García JA. Introducción a la metodología de la investigación en ciencias de la salud. México: McGraw-Hill. 2011	OBLIGATORIA	6	25216	
		Díaz VP. Metodología de la investigación científica y bioestadística. 2° Edición. RIL Editores. 2014	OBLIGATORIA	11	25185	
		Martínez P. Manual básico de investigación científica. 2° Edición. Universidad Anahuac. 2011	COMPLEMENTARIA	3	25229	
Gestión del Cuidado para la Práctica Clínica	401	Tomey AM. Guía de gestión y dirección de Enfermería. Madrid: Elsevier. 2001 	OBLIGATORIA	2	21087	0
		Chiavenato I. Administración de recursos humanos: el capital Humano de las organizaciones. México: McGraw-Hill. 2011	OBLIGATORIA	0	0	
		Balderas. Administración de los servicios de Enfermería. México: McGraw-Hill. 2012	OBLIGATORIA	6	25172	
		Temes Montes JL. Gestión Hospitalaria. Madrid: McGraw-Hill. 2011	COMPLEMENTARIA	6	25130	
Electivo Manejo Avanzado de heridas	401	Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	COMPLEMENTARIA	8	24642	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	COMPLEMENTARIA	4	22320	
Electivo Cuidados Paliativos	501	Focks C. Atlas de acupuntura. Barcelona: Elsevier Masson. 2009	OBLIGATORIA	3	25678	0
		Marriner Tomey A. modelos y teorías de Enfermería. Madrid: elsevier Masson. 2011	OBLIGATORIA	2	23175	
		González Ramírez JF. Procedimientos de relajación (método auditivo). Madrid: Eos.1998	COMPLEMENTARIA	0	0	
		Kaminoff L. Anatomía de Yoga. Madrid: Tutor. 2012	COMPLEMENTARIA	0	0	
Cuidados de Enfermería en urgencias, emergencias y desastre	402	Jiménez Murillo L. Medicina de urgencias y emergencias: Guía diagnostica y Protocolos de actuación. Madrid: Elsevier. 2004.	OBLIGATORIA	1	26234	
		National Association of Emergency Medical Technicians. Advanced Medical Life Support Commttee. AMLS. Soporte Vital Avanzado: basado en la valoración del paciente. AMsterdam: ELsevier.2012.	OBLIGATORIA	5	23981	
		Mosquera González JM. Galdos Anuncibay P. Farmacología clínica para Enfermería. Madrid: McGraw-Hill Interamericana.2005.	OBLIGATORIA	7	22327	
		NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	COMPLEMENTARIA	18	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	COMPLEMENTARIA	8	24642	
