BIBLIOGRAFÍA CONSIGNADA EN EL PLAN DE ESTUDIOS - OBLIGATORIA/COMPLEMENTARIA MEDICINA												
												
												
ASIGNATURAS 	SEMESTRE	BIBLIOGRAFIA	TITULO	AUTOR	AÑO	ED.	Nro. Ejemplares	N° EJEMPLARES EN BIBLIOTECA OBLIGATORIA	N° EJEMPLARES EN BIBLIOTECA COMPLEMENTARIA	N° TITULOS EN BIBLIOTECA OBLIGATORIA	N° TITULOS EN BIBLIOTECA COMPLEMENTARIA	Disponibilidad
BIOLOGIA CELULAR Y MOLECULAR	1	OBLIGATORIA:	Introducción a la Biología Celular	Alberts et al.	2011	3a.	5	5		1		1
BIOLOGIA CELULAR Y MOLECULAR	1	OBLIGATORIA:	Biología Molecular y Celular	Chandar & Viselli.	2011	1a.	5	5		1		1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biología Molecular de la Célula	Alberts et al.	2016	6a.	10		10		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biochemistry	Berg et al.	2015	8a.	0		0			0
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biología Celular Biomédica	Alfonso Calvo	2015	1a.	2		2		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	The cell: a molecular approach	Cooper & Hausman.	2016	8a.	0		0			0
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Molecular biology	Cox et al.	2015	2a.	0		0			0
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	The Principles of Clinical Cytogenetics	Gersen & Keagle.	2013		0		0			0
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Genética Médica	Jorde et al.	2016	5a.	2		2		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biología Celular y Molecular	Lodish et al.	2016	7a.	8		8		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Lehninger's Principles of Biochemistry (en español)	Nelson & Cox	2015	6a.	17		17		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Genética en Medicina	Nussbaum et al.	2016	8a.	2		2		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Genética: Un Enfoque Conceptual	Pierce, BA.	2015	5a.	5		5		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Genética Médica: lo esencial de un vistazo	Pritchard & Korf	2015	3a.	5		5		1	1
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biología Molecular: Fundamentos y Aplicaciones en Medicina	Salazar Montes et al.	2016	2a.	0		0			0
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Genética Humana: Fundamentos y Aplicaciones en Medicina	Solari y Roubicek	2011	4a.	0		0			0
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biología Molecular del Gen	Watson et al.	2016	7a.	0		0			0
MATEMATICA PARA MEDICINA	1	OBLIGATORIA:	Cálculo Aplicado para Administración, Economía y Ciencias Sociales	Hoffmann, L., Bradley, G., & Rosen, K.	2006	3a.	0	0				0
MATEMATICA PARA MEDICINA	1	OBLIGATORIA:	Matemática Aplicada (Ciencias de la Salud)	González Rosales, A.	2008		5	5		1		1
MATEMATICA PARA MEDICINA	1	COMPLEMENTARIA:	Cálculo y Geometría Analítica. V.1-2	Larson, RE. Hostetler, RP. Edwars, BH	1999		107		107		1	1
MATEMATICA PARA MEDICINA	1	COMPLEMENTARIA:	Calculus	Spivak, M	2012	3a.	0		0			0
MATEMATICA PARA MEDICINA	1	COMPLEMENTARIA:	Algebra y Trigonometría con Geometría Analítica	Swokowski E. Cole J.	2012		9		9		1	1
HUMANIZACION DE LA ATENCION EN MEDICINA	2	OBLIGATORIA:	Historia de la Medicina y Humanidades Médicas	Sánchez González, MA.	2012	2a.	5	5		1		1
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Psychology and Sociology Applied to Medicine	Alder et al.	2009	3a.	5		5		1	1
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Historia de la Medicina Chilena	Cruz-Coke Madrid R.	1995	1a.	2		2		1	1
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Historia de la Salud Pública. Santiago MINSAL	Illanes MA.	2010		0		0			0
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Némesis Médica: La Expropiación de la Salud	Illich, I.	1975	1a.	0		0			0
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	La Emboscadura	Jünger, E.	1988	4a.	0		0			0
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Historia de la Medicina	Laín Entralgo, P.	2006	2a.	0		0			0
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Introducción a la Medicina	López Piñero & Terrada	2000	1a.	0		0			0
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	The greatest Benefit to Humankind: A Medical History of Humanity	Porter, R.	1998	1a.	0		0			0
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Historia, Medicina y Sociedad	Riera J.	1985	1a.	0		0			0
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Memoria de la Salud en Chile: Un Patrimonio a Preservar	VVAA			0		0			0
FISIOLOGIA HUMANA I	2	OBLIGATORIA:	Guyton y Hall. Tratado de Fisiología Médica	Hall, J. E.	2016	13a	32	32		1		1
FISIOLOGIA HUMANA I	2	OBLIGATORIA:	Fisiología Respiratoria: Fundamentos	West. J. B.	2016	10a.	9	9		1		1
FISIOLOGIA HUMANA I	2	OBLIGATORIA:	Fisiología Renal de Vander (Inglés)	Eaton, D. C., & Pooler, J.P.	2013	8a.	5	5		1		1
FISIOLOGIA HUMANA I	2	OBLIGATORIA:	Ganong Fisiología Médica	Barrett, K. E.	2016	25a.	11	11		1		1
FISIOLOGIA HUMANA I	2	COMPLEMENTARIA:	Fisiología	Constanzo, L .S.	2014	5a.	18		18		1	1
FISIOLOGIA HUMANA I	2	COMPLEMENTARIA:	Cardiovascular Physiology: A Clinical Approach	Courneya, C. A. M., & Parker, M. J.	2011		0		0			0
FISIOLOGIA HUMANA I	2	COMPLEMENTARIA:	Pulmonary Physiology	Levitzky, M. G.	2007	7a.	0		0			0
FISIOLOGIA HUMANA I	2	COMPLEMENTARIA:	Renal Physiology: A Clinical Approach	Danziger, J., Zeidel, M., & Parker, M. J.	2012		2		2		1	1
BIOQUIMICA	2	OBLIGATORIA:	Molecular Cell Biology (español)	Lodish, H.	2016	7a.	8	8		1		1
BIOQUIMICA	2	OBLIGATORIA:	Lehninger's Principles of Biochemistry (en español)	Nelson & Cox	2015	6a.	17	17		1		1
BIOQUIMICA	2	OBLIGATORIA:	Biochemistry	Voet, D. L.	2011	4a.	5	5		1		1
BIOQUIMICA	2	COMPLEMENTARIA:	Biochemistry	Berg, J. M., Tymoczko, J. L., & Stryer, L.	2002	5a.	0		0			0
BIOQUIMICA	2	COMPLEMENTARIA:	Harper Bioquímica Ilustrada	Murray, R. K., Bender, D. A. Botham, K. M., Kennelly, P. J.	2016	30a.	5		5		1	1
BIOQUIMICA	2	COMPLEMENTARIA:	Genética Médica	Jorde, L. B., Carey, J. C., & Bamshad, M. J.	2016	5a.	2		2		1	1
BIOQUIMICA	2	COMPLEMENTARIA:	Genética: Un Enfoque Conceptual	Pierce, B. A.	2015	5a.	5		5		1	1
BIOQUIMICA	2	COMPLEMENTARIA:	Genética Médica: Lo Esencial de un Vistazo	Pritchard, D., J., & Korf, B. R.	2015	3a.	5		5		1	1
BIOQUIMICA	2	COMPLEMENTARIA:	Molecular Biology of the Gene	Watson, J. D.	2014	7a.	0		0			0
ANATOMIA Y EMBRIOLOGIA II	2	OBLIGATORIA:	Anatomía con Orientación Clínica	Moore, K.L., Dalley	2013	7a.	36	36		1		1
ANATOMIA Y EMBRIOLOGIA II	2	OBLIGATORIA:	Prometheus: Texto y Atlas de Anatomía T1-2-3	Schünke et al.	2015	3a.	15	15		1		1
ANATOMIA Y EMBRIOLOGIA II	2	COMPLEMENTARIA:	Gray Anatomía para Estudiantes	Drake et al.	2015	3a.	18		18		1	1
ANATOMIA Y EMBRIOLOGIA II	2	COMPLEMENTARIA:	Terminología Anatómica. International Anatomical Terminology	Federative Committe on Anatomical Terminology	1998		0		0			0
ANATOMIA Y EMBRIOLOGIA II	2	COMPLEMENTARIA:	Anatomía Humana. Manual de Prácticas Basadas en el Razonamiento	Guzman, L. et al.	2015		0		0			0
ANATOMIA Y EMBRIOLOGIA II	2	COMPLEMENTARIA:	Embriología Clínica	Moore et al.	2013	10a.	8		8		1	1
ANATOMIA Y EMBRIOLOGIA II	2	COMPLEMENTARIA:	Anatomía Clínica	Pró	2017	2a.	2		2		1	1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	OBLIGATORIA:	Técnicas de la Comunicación y Relación de Ayuda en Ciencias de la Salud	Cibanal J. et al.	2014	3a.	8	8		1		1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	OBLIGATORIA:	Comunicación Clínica: principios y habilidades para la práctica	Ruiz M.	2014	1a.	5	5		1		1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Communication in Nursing	Balzey-R.	2017	8a.	2		2		1	1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	La Comunicación. Una Competencia Esencial para los Profesionales de la Salud	Cleries X.	2006	1a.	2		2		1	1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	The Medical Interview: The Three Function Approach	Cole & Bird	2014	3a.	2		2		1	1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Smith's Patient Centered Interviewing: An Evidence-Based Method	Fortin et al.	2012	3a.	0		0			0
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Comunicación Médico-Paciente: reflexiones para un cambio de modelo	Gelabert A.	2012	1a.	2		2		1	1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	English in Medicine: A Course in Communication Skills in Medicine	Glendinning & Holmstrom	2005	3a.	0		0			0
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Teaching and Learning Communication Skills in Medicine	Kurtz et al.	2004	2a.	0		0			0
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Communication Skills for the healthcare professional	McCorry & Mason	2011		2		2		1	1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	La Comunicación con el Paciente: habilidades emocionales para los profesionales de la salud	Merayo P. et al.	2014	1a.	5		5		1	1
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	La Comunicación no verbal en la Relación Médico-Paciente	Molinuevo A.	2010	1a.	0		0			0
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Toward Created Physician Healers: Fostering Medical Students Self-Awareness, Personal Growth and Well-Being. Academic Medicine; 74,516-520 ?	Novack, D.	1999		0		0			0
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Teoría de la Comunicación Humana: interacciones y paradojas	Watzawick P.	1997	11a.	2		2		1	1
INGLES I	2	OBLIGATORIA:	Face2Face. Starter Workbook with Key	Cunningham G., Redston	2013	2a.	10	10		1		1
INGLES I	2	OBLIGATORIA:	New Headway. Beginner Student's Book	Maris A., Soars L.	2013	4a.	10	10		1		1
INGLES I	2	OBLIGATORIA:	English Pronunciation in Use Elementary: Self-Study and Classroom use	Marks J.	2007		12	12		1		1
INGLES I	2	OBLIGATORIA:	Essential Grammar in Use: A Self-Study Reference and Practice Book for Elementary Learners of English	Murphy R.	2015	4a.	18	18		1		1
INGLES I	2	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990		0		0			0
INGLES I	2	COMPLEMENTARIA:	New Headway Video Beginner	Murphy J.	2003		0		0			0
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	OBLIGATORIA:	Manual Washington de Procedimientos Clínicos	Freer J.	2017	1a.	5	5		1		1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	OBLIGATORIA:	Procedimientos Clínicos de Enfermería	Jamieson et. Al	2014	5a.	0	0				0
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Semiología Médica: Fisiopatología, Semiotecnia y Propedéutica. Enseñanza-Aprendizaje Centrada en la Persona	Argente y Alvarez	2013	2a.	10		10		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Introduction to Biosocial Medicine: The Social, Phychological and Bilogical Dterminants of Human Behavior and Well-Being	Barr D.	2015	1a.	0		0			0
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Bates Guía de Exploración Física e Historia Clínica	Bickley, L.S.	2013	11a.	5		5		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Compendio de Anamnesis y Exploración Física	Cardellach et al.	2014	1a.	2		2		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Técnicas de la Comunicación y Relación de Ayuda en Ciencias de la Salud	Cibanal J. et al.	2014	3a.	8		8		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	La Comunicación. Una Competencia Esencial para los Profesionales de la Salud	Cleries X.	2006	1a.	2		2		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	The Medical Interview: The Three Function Approach	Cole & Bird	2014	3a.	2		2		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	McLeod Exploración Clínica	Douglas et al.	2014	13	5		5		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Smith's Patient Centered Interviewing: An Evidence-Based Method	Fortin et al.	2012	3a.	0		0			0
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Semiología Médica	Goic et al.	2018	4a.	12		12		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Code Blue: Bedside Procedures and Critical Information	Jandial & Jandial	2014	1a.	0		0			0
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	La Comunicación con el Paciente: habilidades emocionales para los profesionales de la salud	Merayo P. et al.	2014	1a.	5		5		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Noguer-Balcells Exploración Clínica Práctica	Valtueña, JMP	2016	28a.	5		5		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Enfermería Medicoquirúrgica Brunner y Suddarth	Smeltzer et al.	2016	12a.	21		21		1	1
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Clinical Interviewing	Sommers F.	2015	6a.	0		0			0
BIOETICA	3	OBLIGATORIA:	Bioética en Ciencias de la Salud	Sanchez, MA.	2013		5	5		1		1
BIOETICA	3	OBLIGATORIA:	Bioética al Encuentro de una Conciencia	Sapag-Hagar, M.	2009		0	0				0
BIOETICA	3	OBLIGATORIA:	Procedimientos de Decisión en Etica Clínica	Gracia, D.	2007		0	0				0
BIOETICA	3	COMPLEMENTARIA:	Limitación del Esfuerzo Terapéutico en la Situación de Enfermedad Terminal: ¿Nos puede ayudar la Bioética a tomar decisiones? Madrid Med Pal 13(4), 174-178	Ameneiros et al.	2006		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Etica a Nicómaco (Libros 1-4 y 8-10) Madrid	Aristóteles	2010		0		0			0
BIOETICA	3	COMPLEMENTARIA:	El Dolor y el Sufrimiento al Final de la Vida. En Asociación de Bioética Fundamental y Clínica. La Bioética, Tarea de Humanización. Madrid. ABFYC	Clavé E.	2007		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Manifiesto en Defensa de la Confidencialidad y el Secreto Médico	Consejo General de los Colegios Oficiales de Médicos	2003		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Los Comités de Etica Asistencial: origen, composición y método de trabajo. En Couceiro.A. (editora), Bioética para Clínicos. Madrid Triacastela, Págs 269-281	Couceiro A.	1999		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Métodos de Etica Clínica. En: Couceiro A (Editora). Bioética para Clínicos. Madrid. Triacastela	Drane, J.	1999		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Limitación de Medidas de Soporte Vital: una vez instauradas ¿Por qué no retirar?. Bioética y Medicina Intensiva. Dilemas éticos en el paciente crítico. Madrid. Edikamed, 113-117	Gómez, J.	2005		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Comentarios al Código de Etica y Deontología Médica. Pamplona. EUNSA	Herranz, G.	1992		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Bioética en América Latina: una década en evolución. Santiago. Ediciones Universidad de Chile (material descargable sitio web publicaciones U. de Chile)	Lolas, F.	2010		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Garantías Explícitas en Salud. Guía Clínica. Alivio del dolor por cáncer avanzado y cuidados paliativos. Santiago, Minsal	Ministerio de Salud	2005		0		0			0
BIOETICA	3	COMPLEMENTARIA:	Documento de Voluntades Anticipadas: actitud de los pacientes de atención primaria. atención Primaria, España: Aten primaria. 32(1), 1-8	Santos de Unamuno, C.	2003		0		0			0
FISIOLOGIA HUMANA II	3	OBLIGATORIA:	Guyton y Hall. Tratado de Fisiología Médica	Hall, J.	2016	13a.	32	32		1		1
FISIOLOGIA HUMANA II	3	OBLIGATORIA:	Gastrointestinal Physiology	Johnson, L.	2014	8a.	4	4		1		1
FISIOLOGIA HUMANA II	3	OBLIGATORIA:	Endocrine Physiology	Molina, P.	2013		0	0				0
FISIOLOGIA HUMANA II	3	COMPLEMENTARIA:	Fisiología Médica de Ganong	Barrett, e.a.	2016	25a.	11		11		1	1
FISIOLOGIA HUMANA II	3	COMPLEMENTARIA:	Gastrointestinal Physiology	Barrett, K.	2013		0		0			0
FISIOLOGIA HUMANA II	3	COMPLEMENTARIA:	Fisiología	Constanzo, L	2014	5a.	18		18		1	1
FISIOLOGIA HUMANA II	3	COMPLEMENTARIA:	Physiology	Constanzo, L	2014		0		0			0
FISIOLOGIA HUMANA II	3	COMPLEMENTARIA:	Endocrine and Reproductive Physiology	White, Bruce A., Porterfield, Susan P.	2013	4a.	4		4		1	1
HISTOLOGIA	3	OBLIGATORIA:	Histología y Biología Celular	Fortoul, Teresa	2013	2a.	0	0				0
HISTOLOGIA	3	OBLIGATORIA:	Atlas en Color y Texto de Histología	Gartner - Hiatt	2015	6a.	15	15		1		1
HISTOLOGIA	3	OBLIGATORIA:	Nuevo Atlas de Histología Normal de di Fiore	Piezzine, R. & Fornes, M.	2015	8a.	0	0				0
HISTOLOGIA	3	OBLIGATORIA:	Histología: texto y atlas. Correlación con Biología Celular y Molecular	Ross & Pawlina	2015	7a.	22	22		1		1
HISTOLOGIA	3	COMPLEMENTARIA:	Principles of Neural Science	Kandel et al.	2013	4a.	5		5		1	1
HISTOLOGIA	3	COMPLEMENTARIA:	Histología y Biología Celular: introducción a la anatomía patológica	Kierszenbaum & Tres	2016	4a.	2		2		1	1
HISTOLOGIA	3	COMPLEMENTARIA:	Junqueira's Basic Histology: Text &  Atlas (español)	Junqueira	2015	12a.	4		4		1	1
HISTOLOGIA	3	COMPLEMENTARIA:	Histology and Cell Biology: Examination and Board Review	Paulsen, D.	2010	5a.	0		0			0
HISTOLOGIA	3	COMPLEMENTARIA:	Sobotta Histología	Welsch, U.	2013	3a.	5		5		1	1
HISTOLOGIA	3	COMPLEMENTARIA:	Geneser Histología	Brüel. Christensen. Tranum-Jensen. Qvortrup. Geneser	2016	4a.	5		5		1	1
HISTOLOGIA	3	COMPLEMENTARIA:	Apuntes de Microscopía y Técnica Histológica, Departamento de Biología Celular y Tisular. Mexico UNAM	Montalvo, A.	2012		0		0			0
HISTOLOGIA	3	COMPLEMENTARIA:	Atlas de Histología y Organografía Microscópica	Boya, J.	2010	3a.	5		5		1	1
