RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)									
									
									
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura						
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biología Molecular: Fundamentos y Aplicaciones en Medicina	Salazar Montes et al.	2016	2a.	0		
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Genética Humana: Fundamentos y Aplicaciones en Medicina	Solari y Roubicek	2011	4a.	0		
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biología Molecular del Gen	Watson et al.	2016	7a.	0		
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Alimentos, Composición y Propiedades	Astiasarán, I & Martínez, J.A.	1999		0	0	
MATEMATICA PARA MEDICINA	1	COMPLEMENTARIA:	Calculus	Spivak, M	2012	3a.	0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Historia de la Salud Pública. Santiago MINSAL	Illanes MA.	2010		0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Némesis Médica: La Expropiación de la Salud	Illich, I.	1975	1a.	0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	La Emboscadura	Jünger, E.	1988	4a.	0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Historia de la Medicina	Laín Entralgo, P.	2006	2a.	0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Introducción a la Medicina	López Piñero & Terrada	2000	1a.	0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	The greatest Benefit to Humankind: A Medical History of Humanity	Porter, R.	1998	1a.	0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Historia, Medicina y Sociedad	Riera J.	1985	1a.	0		
HUMANIZACION DE LA ATENCION EN MEDICINA	2	COMPLEMENTARIA:	Memoria de la Salud en Chile: Un Patrimonio a Preservar	VVAA			0		
FISIOLOGIA HUMANA I	2	COMPLEMENTARIA:	Cardiovascular Physiology: A Clinical Approach	Courneya, C. A. M., & Parker, M. J.	2011		0		
FISIOLOGIA HUMANA I	2	COMPLEMENTARIA:	Pulmonary Physiology	Levitzky, M. G.	2007	7a.	0		
BIOQUIMICA	2	COMPLEMENTARIA:	Biochemistry	Berg, J. M., Tymoczko, J. L., & Stryer, L.	2002	5a.	0		
BIOQUIMICA	2	COMPLEMENTARIA:	Molecular Biology of the Gene	Watson, J. D.	2014	7a.	0		
ANATOMIA Y EMBRIOLOGIA II	2	COMPLEMENTARIA:	Terminología Anatómica. International Anatomical Terminology	Federative Committe on Anatomical Terminology	1998		0		
ANATOMIA Y EMBRIOLOGIA II	2	COMPLEMENTARIA:	Anatomía Humana. Manual de Prácticas Basadas en el Razonamiento	Guzman, L. et al.	2015		0		
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Smith's Patient Centered Interviewing: An Evidence-Based Method	Fortin et al.	2012	3a.	0		
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	English in Medicine: A Course in Communication Skills in Medicine	Glendinning & Holmstrom	2005	3a.	0		
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Teaching and Learning Communication Skills in Medicine	Kurtz et al.	2004	2a.	0		
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	La Comunicación no verbal en la Relación Médico-Paciente	Molinuevo A.	2010	1a.	0		
COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2	COMPLEMENTARIA:	Toward Created Physician Healers: Fostering Medical Students Self-Awareness, Personal Growth and Well-Being. Academic Medicine; 74,516-520 ?	Novack, D.	1999		0		
INGLES I	2	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990		0		
INGLES I	2	COMPLEMENTARIA:	New Headway Video Beginner	Murphy J.	2003		0		
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Atlas de Cirugía Pediátrica	Ashcraft Keith	1996		0	0	
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Introduction to Biosocial Medicine: The Social, Phychological and Bilogical Dterminants of Human Behavior and Well-Being	Barr D.	2015	1a.	0		
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Smith's Patient Centered Interviewing: An Evidence-Based Method	Fortin et al.	2012	3a.	0		
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Code Blue: Bedside Procedures and Critical Information	Jandial & Jandial	2014	1a.	0		
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	COMPLEMENTARIA:	Clinical Interviewing	Sommers F.	2015	6a.	0		
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Bases, Prioridades y Desafíos de la Promoción de Salud. Santiago. Chile	Albala, C, et al	2004		0	0	
BIOETICA	3	OBLIGATORIA:	Bioética al Encuentro de una Conciencia	Sapag-Hagar, M.	2009		0	0	
BIOETICA	3	COMPLEMENTARIA:	Limitación del Esfuerzo Terapéutico en la Situación de Enfermedad Terminal: ¿Nos puede ayudar la Bioética a tomar decisiones? Madrid Med Pal 13(4), 174-178	Ameneiros et al.	2006		0		
BIOETICA	3	COMPLEMENTARIA:	Etica a Nicómaco (Libros 1-4 y 8-10) Madrid	Aristóteles	2010		0		
BIOETICA	3	COMPLEMENTARIA:	El Dolor y el Sufrimiento al Final de la Vida. En Asociación de Bioética Fundamental y Clínica. La Bioética, Tarea de Humanización. Madrid. ABFYC	Clavé E.	2007		0		
BIOETICA	3	COMPLEMENTARIA:	Manifiesto en Defensa de la Confidencialidad y el Secreto Médico	Consejo General de los Colegios Oficiales de Médicos	2003		0		
BIOETICA	3	COMPLEMENTARIA:	Los Comités de Etica Asistencial: origen, composición y método de trabajo. En Couceiro.A. (editora), Bioética para Clínicos. Madrid Triacastela, Págs 269-281	Couceiro A.	1999		0		
BIOETICA	3	COMPLEMENTARIA:	Métodos de Etica Clínica. En: Couceiro A (Editora). Bioética para Clínicos. Madrid. Triacastela	Drane, J.	1999		0		
BIOETICA	3	COMPLEMENTARIA:	Limitación de Medidas de Soporte Vital: una vez instauradas ¿Por qué no retirar?. Bioética y Medicina Intensiva. Dilemas éticos en el paciente crítico. Madrid. Edikamed, 113-117	Gómez, J.	2005		0		
BIOETICA	3	COMPLEMENTARIA:	Comentarios al Código de Etica y Deontología Médica. Pamplona. EUNSA	Herranz, G.	1992		0		
BIOETICA	3	COMPLEMENTARIA:	Bioética en América Latina: una década en evolución. Santiago. Ediciones Universidad de Chile (material descargable sitio web publicaciones U. de Chile)	Lolas, F.	2010		0		
BIOETICA	3	COMPLEMENTARIA:	Garantías Explícitas en Salud. Guía Clínica. Alivio del dolor por cáncer avanzado y cuidados paliativos. Santiago, Minsal	Ministerio de Salud	2005		0		
BIOETICA	3	COMPLEMENTARIA:	Documento de Voluntades Anticipadas: actitud de los pacientes de atención primaria. atención Primaria, España: Aten primaria. 32(1), 1-8	Santos de Unamuno, C.	2003		0		
INFORMATICA MEDICA	8	OBLIGATORIA:	Biomedical Informatics: An Introduction to Information Systems and Software in Medicine and Health. Boca Ratón: CRP Press	Lubliner, D.	2016		0	0	
FISIOLOGIA HUMANA II	3	COMPLEMENTARIA:	Gastrointestinal Physiology	Barrett, K.	2013		0		
FISIOLOGIA HUMANA II	3	COMPLEMENTARIA:	Physiology	Constanzo, L	2014		0		
MATEMATICA PARA MEDICINA	1	OBLIGATORIA:	Cálculo Aplicado para Administración, Economía y Ciencias Sociales	Hoffmann, L., Bradley, G., & Rosen, K.	2006	3a.	0	0	
BIOETICA APLICADA II	7	OBLIGATORIA:	Case Files Medical Ethics and Professionalism	Toy et al	2015		0	0	
HISTOLOGIA	3	COMPLEMENTARIA:	Histology and Cell Biology: Examination and Board Review	Paulsen, D.	2010	5a.	0		
HISTOLOGIA	3	COMPLEMENTARIA:	Apuntes de Microscopía y Técnica Histológica, Departamento de Biología Celular y Tisular. Mexico UNAM	Montalvo, A.	2012		0		
HISTOLOGIA	3	COMPLEMENTARIA:	Atlas de Histología	Martín-Lacave, I.	2014	1a.	0		
HISTOLOGIA	3	COMPLEMENTARIA:	Histología: Atlas en color de anatomía microscópica	Sobotta & cols	1995	4a.	0		
HISTOLOGIA	3	COMPLEMENTARIA:	Histología para Estudiantes. Texto dibujado de Histología Especial	Villaro, AC.	2015	1a.	0		
BIOETICA APLICADA II	7	OBLIGATORIA:	Casos de Bioética y Derecho. Valencia: Tirant lo Blanch	Andormo & Ivone	2016		0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Cirugía Endoscópica en Infantes y Niños	Klass M.A., B.K.	2011		0	0	
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Métodos de Investigación 1 y 2	Castañeda, JJ.	1998		0		
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Investigación en Sistemas y Servicios de Salud	Lemus, J.	2007		0		
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Metodología de la Investigación y Práctica Basada en la Evidencia. Consejería de Sanidad de Murcia	Soria-Aledo, V.	2012		0		
INGLES II	3	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990		0		
INGLES II	3	COMPLEMENTARIA:	New Headway Video. Beginner	Murphy J.	2003		0		
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Crecimiento Humano y Enfermedad Coronaria. En Impacto del Crecimiento y Desarrollo Temprano sobre la Salud y Bienestar de la Población	Barker, D.	2009	1a.	0	0	
MEDICINA LABORAL / TOXICOLOGIA	9	OBLIGATORIA:	Current Occupational & Environmental Health Medicine	LaDou, J. & Harrison, R.	2014	5a.	0	0	
DERMATOLOGIA	8	OBLIGATORIA:	Dermatología T.1-3	Herane, MI. Urbina, F.			0	0	
DERMATOLOGIA	8	OBLIGATORIA:	Desarrollo Embrionario del Melanocito	Alonso, I Simón, P. Sanchez	1993		0	0	
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	The Medical Interview: Mastering Skills for Clinical Practice	Coulehan	2006	5a.	0		
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Behavioral Science BRS	Fadem B.	2017		0		
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Psychology: The Science of Mind and Behaviour	Gross R.	2015		0		
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Psicología: la ciencia de la mente y el comportamiento	Mosser & Begun	2014		0		
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Atkinson and Hildgard's Introduction to Psychology	Nolen-Hoeksema et al.	2014		0		
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Communication Skills for the Health care Professional: Concepts, Practice and Evidence	Van Servellen, G.	2009		0		
OTORRINOLARINGOLOGIA	10	OBLIGATORIA:	Diagnóstico y Tratamiento en Otorrinolaringología. Cirugía de Cabeza y Cuello	Lalwani, A.	2016	3a.	0	0	
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Educación Alimentaria. Principios para lograr una Alimentación Correcta. Tradiciones Alimentarias Regionales por recrear y Aprovechar hoy y Mañana	Salas, L.	2012		0	0	
FISIOLOGIA HUMANA II	3	OBLIGATORIA:	Endocrine Physiology	Molina, P.	2013		0	0	
INGLES PARA MEDICINA I	6	OBLIGATORIA:	English Grammar in Use Elementary	Murphy R.	2014		0	0	
INGLES PARA MEDICINA II	7	OBLIGATORIA:	English Grammar in Use Elementary	Murphy R.	2014		0	0	Mismo titulo
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Color Atlas of Pathophysiology	Stefan Silbernagl, Florian Lang	2016	3a.	0		
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Pathophysiology of Disease: An Introduction to Clinical Medicine	McPhee., H.	2014		0		
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Robbins Patología Humana	Kumar, e.a.	2013		0		
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Compendio de Anatomía Patológica	Pardo, M.	1998		0		
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Essentials of Rubin's Pathology	Reisner	2015		0		
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Rubin's Pathology: Clinico-Pathological foundations of Medicine	Rubin., S.	2014		0		
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Anatomía Patológica	Stevens, A.	2001		0		
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Manual de Exploración Física: Basado en la Persona, el Síntoma y la Evidencia	Casado, V. et al.	2012	1a.	0		
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Radiology 101: The Basics and Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomy Through Clinical Cases	Blumenfeld, H.	2010		0		
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	El Cerebro Humano: Libro de Trabajo	Diamond, e.a.	2014		0		
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomy: Text and Atlas	Martín, J.H.	2012		0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	OBLIGATORIA:	Essential Anesthesia: from Basics to Clinica	Euliano & Gravenstein 	2004	1a.	0	0	
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Farmacología RT	Loose., R. Y.	2015		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Manual de Farmacología Básica y Clínica de Velazquez	Lorenzo, e.a.	2012		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Farmacología: Texto y Atlas	Lüllmann, e.a.	2010		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Medical Pharmacology at a Glance	Neal, M.	2015		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	"Cursos ""Crash"": Lo esencial en Farmacología"	Page, B.	2013		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Stockley's Drug Interactions (A Source Book of Interactions, Their Mechanisms, Clinical Importance and Management)	Preston, C.	2016		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Oxford Handbook of Práctical Drug Therapy	Richards, e.a.	2011		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Guía de Farmacología y Terapéutica	Rodríguez, CR.	2014		0		
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Pharmacology Examination and Board Review	Trevor, e.a.	2015		0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	OBLIGATORIA:	Essential Anesthesia: from Basics to Clínica	Euliano & Gravenstein 	2004	1a.	0	0	Mismo titulo
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Micología Médica Ilustrada	Roberto Arenas Guzmán	2011	4a.	0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología (Lippincott's Illustrated Reviews)	Doan T., Melvold R., Viselli S., Waltenbaugh C.	2013	2a.	0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología	Male D., Brrostoff J.,Roth D., Roitt I.	2014	8a.	0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Actualidades en Micología Médica	Méndez Lj, López R., Hernández F.	2012	1a.	0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología de Kuby	Owen J., Punt J., Stranford Sa.	2014	7a.	0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología. Molecular, Celular y Traslacional	Pavón Romero L., Jiménez Martinez Mc, Garcés Me	2016		0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Roitt Inmunología. Fundamentos	Delves, Martín, Burton, Roitt	2014	12a.	0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Microbiología y Parasitología Médicas	Tay J., Gutierrez M., Molina J., López R., Manjarrez M.	2012	4a.	0		
BIOESTADISTICA	4	COMPLEMENTARIA:	Bioestadística	Alfredo de Jesús Celis de la Rosa	2014	3a.	0		
BIOESTADISTICA	4	COMPLEMENTARIA:	PDQ Statistics	Norman, G. S.	2007		0		
BIOESTADISTICA	4	COMPLEMENTARIA:	Fundamentos de Bioestadística	Pagano, M.G.	2001		0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Essential Anesthesia: from Basics to Clínica	Euliano & Gravenstein 	2004	1a.	0	0	Mismo titulo
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	The Psychiatric Interview	Carlat D.	2016	4a.	0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Fish' Clinical Psychopathology	Casey &Kelly	2007	3a.	0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Oxford Psiquiatría	Gelder et al.	2000		0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Introducción a la Psicopatología	Eguiluz Uruchurtu I y Segarra Echebarría R.	2013	3a.	0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Psiquiatría Clerkship	Ganti & Kaufman	2016	4a.	0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	The Maudsley Handbook of Practical Psiquiatría	Owen et al.	2014	6a.	0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Oxford Handbook of Clinical Psiquiatría	Semple & Smyth	2013	3a.	0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Manual de Psiquiatría Infantil: Guía Clínica para Pediatras y Médicos Generales	Valdivia, Mario	2017		0		
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	CIE-10: Trastornos Mentales y del Comportamiento	VVAA	1993	1a.	0		
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Pathophysiology of Disease: An Introduction to Clinical Medicine	Hammer & M.	2014		0		
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Color Atlas of Pathophysiology	Silbernal, &.L.	2016		0		
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Robbins Patología Humana	Kumar, e.a.	2013		0		
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Essentials of Rubin's Pathology	Reissner, R.	2015		0		
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Manual de Exploración Física: Basado en la Persona, el Síntoma y la Evidencia	Casado, V. et al.	2012	1a.	0		
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Essential Anesthesia: from Basics to Clínica	Euliano & Gravenstein 	2004	1a.	0	0	
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Farmacología RT	Loose., R. Y.	2015		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Manual de Farmacología Básica y Clínica de Velazquez	Lorenzo, e.a.	2012		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Farmacología: Texto y Atlas	Lüllmann, e.a.	2010		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Medical Pharmacology at a Glance	Neal, M.	2015		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	"Cursos ""Crash"": Lo esencial en Farmacología"	Page, B.	2013		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Stockley's Drug Interactions: A Source Book of Interactions, Their Mechanisms, Clinical Importanceand Management	Preston, C.	2016		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Oxford Handbook of Práctical Drug Therapy	Richards, e.a.	2011		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Guía de Farmacología y Terapéutica	Rodríguez, CR.	2014		0		
FARMACOLOGIA MEDICA II	5	COMPLEMENTARIA:	Pharmacology Examination and Board Review	Trevor, e.a.	2015		0		
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Face2Face. Intermediate	Cunningham G., Redstone, C.	2014	2a.	0	0	
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Face2Face. Intermediate	Cunningham G., Redstone, C.	2014	2a.	0	0	Mismo titulo
FISIOPATOLOGIA I	4	OBLIGATORIA:	Fisiopatología y Patología General Básicas para Ciencias de la Salud	Pastrana, J.	2013		0	0	
ENFERMEDADES INFECCIOSAS	5	COMPLEMENTARIA:	Cellular and Molecular Immunology	Abbas, e.a.	2014		0		
ENFERMEDADES INFECCIOSAS	5	COMPLEMENTARIA:	Microbiology with Disease by Body Sistem	Bauman, R.	2015		0		
ENFERMEDADES INFECCIOSAS	5	COMPLEMENTARIA:	Mim's Medical Microbiology	Goering, e.a.	2008		0		
ENFERMEDADES INFECCIOSAS	5	COMPLEMENTARIA:	Mim's Microbiología Médica	Goering, e.a.	2014		0		
MEDICINA BASADA	5	COMPLEMENTARIA:	Making Sense of Critical Appraisal	Ajetunmobi, O.	2002		0		
EN LA EVIDENCIA	5	COMPLEMENTARIA:	Epidemiología Aplicada. Ariel Ciencias Médicas	De Irala, E.J.	2008		0		
MEDICINA BASADA	5	COMPLEMENTARIA:	Cómo leer un Artículo Científico: Las Bases de la Medicina Basada en la Evidencia. DRK	Greenhalgh	2015		0		
EPIDEMIOLOGIA Y	5	COMPLEMENTARIA:	Introduction to Epidemiology. Jones & Barlett Learning	Merrill, R. M.	2017		0		
MEDICINA BASADA	5	COMPLEMENTARIA:	Bandolier's Little Book of Making Sense of the Medical Evidence	Moore, &.M.	2006		0		
EN LA EVIDENCIA	5	COMPLEMENTARIA:	Epidemiology: An Introduction	Rothman, K.J.	2012		0		
MEDICINA BASADA	5	COMPLEMENTARIA:	Epidemiology: Beyond the Basics. Jones & Bartlett Learning	Szklo, &.N.	2014		0		
EN LA EVIDENCIA	5	COMPLEMENTARIA:	Exercises in Epidemiology: Applying Principles and Methods	Weiss, N.L.	2017		0		
DERMATOLOGIA	8	OBLIGATORIA:	Fitzpatrick's Color Atlas and Synopsis of Clinical Dermatology	Wolff et al	2013	7a.	0	0	
GERIATRIA	10	OBLIGATORIA:	Geriatría y Gerontología	Marín Larraín PP.	2015	3a.	0	0	Mismo titulo
GINECOLOGIA Y OBSTETRICIA	10	OBLIGATORIA:	Ginecología General y Salud de la Mujer	Cuello M., Miranda V. Y Ralph C.	2017		0	0	
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	On the Medicalization of Medical Anthropology. Medical Anthropology Quaterly 13(2), 135-140	Browner, C. H.	1999		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	El Conocimiento de la Vida	Canguilhem, G.	1976		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	Lo Normal y lo Patológico	Canguilhem, G.	1984		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	Teoría Feminista y Sociología Médica: Bases para una Discusión	Castro, R. & Bronfman	1993		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	The Medicalization of Society. On the Transformation of Human Conditions into Treatable Disorders	Conrad, P.	2007		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	Las Reglas del Método Sociológico	Durkheim, E.	1986		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	La Importancia del Estudio de la Sociología Médica. Un Texto del Siglo XIX	Duarte, NE.	1994		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	El Nacimiento de la Biopolítica	Foucault, M.	2007		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	Sociología y Salud en Chile. Pasado y Presente. Rev. Salud Pública, Vol, 18(3), 290-291	Gaete, J.	2014		0		
