PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022							
							
CARRERA:  de Licenciatura en Educación y Pedagogía en Inglés							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BIBLIOTECA  		BIB BIBLIOTECA
Competencia Comunicativa II	SEMESTRE 2	Cambridge Dictionaries Online (s.f). Recuperado de www.cambridgedictionary.org	Complementaria - informáticos		r/d		
Competencia Comunicativa II	SEMESTRE 2	Diccionario WordReference (s.f.). En Word Reference.com Recuperado de www.wordreference.com	Complementaria - informáticos		r/d		
Competencia Comunicativa II	SEMESTRE 2	Dictionary and search engine (s.f.). En Linguee Recuperado de http://www.linguee.com/	Complementaria - informáticos		r/d		
Competencia Comunicativa II	SEMESTRE 2	Grammar guide (s.f.) En Guide to Grammar and Writing. Recuperado de http://grammar.ccc.commnet.edu/grammar/	Complementaria - informáticos		r/d		
Didáctica para Educación Parvularia I	SEMESTRE 2	MINEDUC. (2018). Bases Curriculares Educación Parvularia. Subsecretaría de Educación Parvularia. Ministerio de Educación. Gobierno de Chile. 	Complementaria	13	R/D		
Electivo II	SEMESTRE 2	Normas Apa 2018 – Edición 6. En http://normasapa.net/2017-edicion-6	Complementaria - informáticos	13	r/d		
Electivo II	SEMESTRE 2	MINEDUC (2008). Marco para la Buena Enseñanza. En https://www.docentemas.cl/docs/MBE2008.pdf	Complementaria - informáticos	13	r/d		
Diseño Curricular	SEMESTRE 4	EducarChile. (2019) Recuperado de http://www.educarchile.cl	Complementaria		R/D		
Diseño Curricular	SEMESTRE 4	Novasur, televisión cultural y educativa del Consejo Nacional de Televisión, http://www.novasur.cl	Complementaria - informáticos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	About.com (s.f.). Recuperado de http://www.about.com/	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	Answers (s.f.). En The Most trustable Place for Answering Life`s Questions. Recuperado de http://www.answers.com/	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	Cambridge Dictionaries Online (s.f). Recuperado de www.cambridgedictionary.org	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	Diccionario WordReference (s.f.). En Word Reference.com Recuperado de www.wordreference.com	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	Dictionary and search engine (s.f.). En Linguee Recuperado de http://www.linguee.com/	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	Grammar guide (s.f.) En Guide to Grammar and Writing. Recuperado dehttp://grammar.ccc.commnet.edu/grammar/	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	I Speech (s.f.). En Text to speech by ispeech. Recuperado de http://www.ispeech.org/text.to.speech	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	Rhymezone (s.f.) Recuperado de http://www.rhymezone.com/	Otros Recursos		R/D		
Competencia Comunicativa IV	SEMESTRE 4	Tittlecapitalization.com (s.f.). En Automatically capitalize your texts. Recuperado de http://titlecapitalization.com/#	Otros Recursos		R/D		
Trabajo de Campo II + ABP	SEMESTRE 4	Ministerio de Educación. Curriculum Nacional. Recuperado de www.curriculumnacional.cl	complementaria		R/D		
Trabajo de Campo II + ABP	SEMESTRE 4	www.eslkids.com	complementaria		R/D		
Trabajo de Campo II + ABP	SEMESTRE 4	www.supersimplelearning.com	complementaria		R/D		
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Biblioteca del Congreso Nacional de Chile. (2011). Ley 20.536, sobre violencia escolar. Chile. Recuperado de: http://www.mineduc.cl/usuarios/convivencia_escolar/doc/201109221119290.ley_violencia_escolar.pdf	Complementaria - Informática		R/D		
Evaluación	SEMESTRE 5	http://www.cambridgeenglish.org/	Complementaria - Informática		R/D		
Cultura y Civilización del Reino Unido	SEMESTRE 5	http://www.bbc.com/bitesize/guide	Complementaria - Informática		R/D		
Cultura y Civilización del Reino Unido	SEMESTRE 5	http:/www.britishempire.co.uk/	Complementaria - Informática		R/D		
Cultura y Civilización del Reino Unido	SEMESTRE 5	http://www.britannica.co.uk	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	About.com (s.f.). Recuperado de http://www.about.com/	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	Answers (s.f.). En The Most trustable Place for Answering Life`s Questions. Recuperado de http://www.answers.com/	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	Cambridge Dictionaries Online (s.f). Recuperado de www.cambridgedictionary.org	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	Diccionario WordReference (s.f.). En Word Reference.com. Recuperado de www.wordreference.com	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	Dictionary and search engine (s.f.). En Linguee. Recuperado de http://www.linguee.com/	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	Grammar guide (s.f.) En Guide to Grammar and Writing. Recuperado dehttp://grammar.ccc.commnet.edu/grammar/	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	I Speech (s.f.). En Text to speech by ispeech. Recuperado de http://www.ispeech.org/text.to.speech	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	Rhymezone (s.f.) Recuperado de http://www.rhymezone.com/	Complementaria - Informática		R/D		
Competencia Comunicativa V	SEMESTRE 5	Tittlecapitalization.com (s.f.). En Automatically capitalize your texts. Recuperado de http://titlecapitalization.com/	Complementaria - Informática		R/D		
Lingüística Aplicada I	SEMESTRE 5	http://www.esl.about.com	Complementaria - Informática		R/D		
Lingüística Aplicada I	SEMESTRE 5	http://www.uta.fi/FAST/US1/REF	Complementaria - Informática		R/D		
Lingüística Aplicada I	SEMESTRE 5	http://alt.venus.co.uk/VL/AppLingBBK/VLPapers.html (Linguistics Related Websites)	Complementaria - Informática		R/D		
Lingüística Aplicada I	SEMESTRE 5	http:/www.bangor.ac.uk/ling/courses/part2/q2L33.htm (Error analysis in Linguistics)	Complementaria - Informática		R/D		
Lingüística Aplicada I	SEMESTRE 5	http://www.skills4study.com (Study skills resource)	Complementaria - Informática		R/D		
Didáctica para Educación Básica II	SEMESTRE 5	www. mineduc.cl	Complementaria - Informática		R/D		
Didáctica para Educación Básica II	SEMESTRE 5	www.educarchile.cl	Complementaria - Informática		R/D		
Didáctica para Educación Básica II	SEMESTRE 5	www.ingles.mineduc.cl	Complementaria - Informática		R/D		
Didáctica para Educación Básica II	SEMESTRE 5	www.curriculumenlinea.cl	Complementaria - Informática		R/D		
Trabajo de Campo III + ABP	SEMESTRE 5	"Vale, David Feunteun, Anne. (1995). Teaching Children English: A training course for teachers of English to
 Children. Cambridge University Press"	Obligatoria		R/D		
Trabajo de Campo III + ABP	SEMESTRE 5	MINEDUC (2016).Ley 20903, Art.19: Principio Orientadores del Sistema de Desarrollo Profesional Docente. Recuperado en https://www.leychile.cl/Navegar?idNorma=1087343	Complementaria		R/D		
Trabajo de Campo III + ABP	SEMESTRE 5	www.eslkids.com	Complementaria - Informática		R/D		
Trabajo de Campo III + ABP	SEMESTRE 5	www.supersimplelearning.com	Complementaria - Informática		R/D		
Trabajo de Campo III + ABP	SEMESTRE 5	www.busybeavers.com	Complementaria - Informática		R/D		
Trabajo de Campo III + ABP	SEMESTRE 5	www.curriculumnacional.cl/	Complementaria - Informática		R/D		
Electivo IV	SEMESTRE 6	Comisión de Portafolio Electrónico. Manual de Portafolio Electrónico. Universidad de Atacama. Facultad de Humanidades y Educación. Chile. http://www.e-portafolio.uda.cl/	Obligatoria		R/D		
Electivo IV	SEMESTRE 6	Atacama Workbench. Portafolio Electrónico UDA, Portada, Registro e Identificación. Youtube. Chile. 2017. https://www.youtube.com/watch?v=jyef6EXiIto	Obligatoria		R/D		
Electivo IV	SEMESTRE 6	Proyecto ATA 1402. E-portafolio. Universidad de Atacama. Chile. http://www.e-portafolio.uda.cl/	Obligatoria		R/D		
Electivo IV	SEMESTRE 6	Cpeip Mineduc. Portafolio Docente – Carrera Docente. Youtube. https://www.youtube.com/watch?v=2gcsWw1ek-c	Obligatoria		R/D		
Electivo IV	SEMESTRE 6	Docente Más. Reflexión Pedagógica. Ministerio de Educación. Chile. https://www.docentemas.cl/pages/desarrollo-profesional-docente/reflexion-pedagogica	Obligatoria		R/D		
Electivo IV	SEMESTRE 6	Plataforma Docentemás. https://www.docentemas.cl/#	Obligatoria		R/D		
Electivo IV	SEMESTRE 6	Stein J. (2020) El uso del error para la educación. Youtube. https://www.youtube.com/watch?v=FUXhkBFJIc4	Obligatoria		R/D		
Electivo IV	SEMESTRE 6	Pavéz K., ATA 1402: portafolio electrónico UDA. Youtube. 2016 https://www.youtube.com/watch?app=desktop&v=bE0qXD98kxM	Complementaria		R/D		
Electivo V	SEMESTRE 7	"MINEDUC (2008). Marco para la Buena Enseñanza recuperado de  https://www.docentemas.cl/docs/MBE.2008.pdf
Ley 20903, Art.19: Principio Orientadores del  Sistema de Desarrollo Profesional Docente recuperado de https://registroycertificacionate.mineduc.cl/wp-content/uploads/sites/94/2018/03/Ley-N%C2%BA-20.-903-Sistema-de-Desarrollo-Profesional-Docente.pdf"	Obligatoria		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Macmillan Dictionary (2018) Free English Dictionary and Thesaurus Online. Recuperado de https://www.macmillandictionary.com/	Complementaria - Informáticos		0		
Ética Profesional	SEMESTRE 4	Colegio de Profesores. (2017). Código de ética del colegio de profesores de Chile. Recuperado de http://www.colegiodeprofesores.cl/codigo-de-etica/	Complementaria - informáticos		0		
Diseño Curricular	SEMESTRE 4	Ministerio de Educación. (2003). Marco para la Buena Enseñanza. Chile. Recuperado de  http://www.mineduc.cl	Complementaria		0		
Trabajo de Campo II + ABP	SEMESTRE 4	Ministerio de Educación. (2003). Marco para la Buena Enseñanza Chile. Recuperado de https://www.docentemas.cl/docs/MBE2008.pdf	complementaria		0		
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Centro de Perfeccionamiento, Experimentación e Investigaciones Pedagógicas (2008). Marco para la Buena Enseñanza. Chile. Ministerio de educación. Recuperado de: https://www.cpeip.cl/wp-content/uploads/2019/01/Marco-buena-ensenanza.pdf	Complementaria - Informática		0		
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Mineduc. (2006). Conceptos Claves para la Resolución Pacífica de Conflictos. Chile. Recuperado de: http://www.minduc.cl/usuarios/convivenciaescolar/doc/201103240919330.resolucionpacificadeconflictos.pdf.	Complementaria - Informática		0		
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Palma, A y Álvarez, V. (20011). Acercando a las Familias a la Escuela. Chile. Unicef. Recuperado dewww.unicef.cl	Complementaria - Informática		0		
Electivo IV	SEMESTRE 6	Lara B., Angulo A. (2020). Reflexiones de profesores chilenos en contextos de Evaluación Docente. Pontificia Universidad Católica de Valparaíso Perspectiva Educacional. Formación de Profesores Octubre 2020, Vol 59(3), pp. 24-44.	Obligatoria		0		
	SEMESTRE 6	Moreira, M. A. (2010). El proceso de integración y uso pedagógico de las TIC en los centros educativos. Un estudio de casos 1 The process of integration and the pedagogical use of ICT in schools. Revista de educación, 352, 77-97 	Obligatoria	25	0		
	SEMESTRE 8	"Murillo, J. (2006). Una dirección escolar para el cambio: Del liderazgo transformacional al 
              liderazgo distribuido. Reice, Volumen 4, Número 4e."	Complementaria	20	0		
	SEMESTRE 8	López-Calva, J. M. (2018). Ética e investigación educativa: aproximación teórica para su comprensión desde la estructura dinámica del bien humano. Revista Colombiana De Educación, 1(76), 223-242.https://doi.org/10.17227/rce.num76-81299	Complementaria		0		
Trabajo de Grado	SEMESTRE 8	"López-Calva, J. M. (2018). Ética e investigación educativa: aproximación teórica para su comprensión desde la estructura dinámica del bien humano. Revista Colombiana De Educación, 1(76), 223-242. https://doi.org/10.17227/rce.num76-8129
"	Complementaria	17	0		
Trabajo de Título	SEMESTRE 9	"López-Calva, J. M. (2018). Ética e investigación educativa: aproximación teórica para su comprensión desde la estructura dinámica del bien humano. Revista Colombiana De Educación, 1(76), 223-242. https://doi.org/10.17227/rce.num76-8129
"	Complementaria	19	0		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Oxford, R. (1990). Language Learning Strategies: What Every Teacher Should Know. Boston: Heinle & Heinle. (Propiedad del profesor).	Complementaria - Informáticos		2	28420	1
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Cambridge Dictionary (2018). Cambridge Learner’s Dictionary. Recuperado de https://dictionary.cambridge.org/es/diccionario/ingles-estudiantes/	Complementaria - Informáticos		3	27218	1
Introducción a la Didáctica	SEMESTRE 1	Ministerio de Educación (1996). Estándares orientadores para pedagogías. Chile.	complementaria - Informáticos		0		0
Introducción a la Didáctica	SEMESTRE 1	Ministerio de Educación. (2003) Marco para la Buena Enseñanza Chile.	complementaria - Informáticos		0		0
Introducción a la Didáctica	SEMESTRE 1	Ministerio de Educación (2011). Planes Programas subsector Inglés. Chile.	complementaria - Informáticos		17	15598-14389-14391-14392-15594-21672-11434	1
Didáctica para Educación Parvularia I	SEMESTRE 2	Ministerio de Educación. 2008. Planes Programas sub-sector Parvularia. Unidad Currículum y Evaluación. Chile: ISBN 978-956-292-186-2.	Complementaria - informáticos		0		0
Didáctica para Educación Parvularia I	SEMESTRE 2	Ministerio de Educación. 2008. Planes Programas sub-sector Parvularia. Unidad Currículum y Evaluación. Chile: ISBN 978-956-292-187-9.	Complementaria - informáticos		0		0
Didáctica para Educación Parvularia I	SEMESTRE 2	Ministerio de Educación. (2004). Marco Para La Buena Enseñanza. Santiago: MINEDUC.	Complementaria - informáticos		0		0
Didáctica para Educación Parvularia II	SEMESTRE 3	Ministerio de Educación (2013). Idioma Extranjero Inglés. Propuesta Curricular Primero Básico.	Complementaria - informáticos		0		0
Didáctica para Educación Parvularia II	SEMESTRE 3	Ministerio de Educación (2013). Idioma Extranjero Inglés. Propuesta Curricular Segundo Básico.	Complementaria - informáticos		0		0
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Mineduc. (2013). Orientaciones ante situaciones de maltrato y abuso sexual infantil. Chile. Mineduc.	Complementaria - Informática		0		0
Evaluación	SEMESTRE 5	Djihadi, A (s.f). The Assessment in English Language Teaching: From Theory to Practice [a paper by	Complementaria - Informática		0		0
