PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022						
						
CARRERA:  de Licenciatura en Educación y Pedagogía en Inglés						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BIBLIOTECA  	BIB BIBLIOTECA
Morfosintaxis I	SEMESTRE 1	Burton-Roberts, Noel. Analyzing sentences. An introduction to English Syntax 3rd edition, Routledge,2011	COMPLEMENTARIA	15	0	
Morfosintaxis I	SEMESTRE 1	Newson M. et al. Basic English syntax with excercises. Bolcsesz Konzorcium, 2006.	COMPLEMENTARIA	15	0	
Morfosintaxis I	SEMESTRE 1	Widdowson, H. Linguistics, Oxford University Press,1996	COMPLEMENTARIA	15	1	1821
Morfosintaxis I	SEMESTRE 1	Azar, Bett. Fundamentals of English grammar 3rd edtion. Longman, 2003.	OBLIGATORIA	15	1	19861
Morfosintaxis I	SEMESTRE 1	Hewings, Martin. Advanced Grammar in Use 3rd edtion. Cambridge University Press, 2002	COMPLEMENTARIA	15	0	
Introducción a la Didáctica	SEMESTRE 1	Brown, H. (2007) Teaching by Principles: An Interactive Approach to Language Pedagogy. Pearson Education Limited.	OBLIGATORIA	17	3	23996-28426
Introducción a la Didáctica	SEMESTRE 1	Ur, P (1996) A course in Language Teaching. Cambridge University Press.	OBLIGATORIA		4	18216
Introducción a la Didáctica	SEMESTRE 1	Spratt M., Pulverness A., Williams M. (2011).The TKT Course. Teaching Knowledge Test: Modules Cambridge: Cambridge University Press.	COMPLEMENTARIA		6	27824
Introducción a la Didáctica	SEMESTRE 1	Spratt M., Pulverness A., Williams M. (2011). The TKT Course. Teaching Knowledge Test: Modules Cambridge: Cambridge University Press.	OBLIGATORIA	17	6	27824
Introducción a la Didáctica	SEMESTRE 1	Centro de Perfeccionamiento, Experimentación e Investigaciones Pedagógicas. (2021). Marco para la Buena Enseñanza. Santiago, Chile: Ministerio de Educación	OBLIGATORIA	17	0	
Introducción a la Didáctica	SEMESTRE 1	Centro de Perfeccionamiento, Experimentación e Investigaciones Pedagógicas. (2021). Estándares Pedagógicos  y Disciplinarios para Carreras de Pedagogía en Inglés	OBLIGATORIA	17	0	
Introducción a la Didáctica	SEMESTRE 1	Harmer, J. (2017) How to teach English. Pearson Longman.	COMPLEMENTARIA	17	7	27214
Electivo I	SEMESTRE 1	López, A (1995). Introducción a la psicología de la comunicación: textos y ejercicios. Santiago, Chile: Universidad Católica de Chile.	OBLIGATORIA		4	2868
	SEMESTRE 1	Novara, D. (2007). Educación socioafectiva: 150 actividades para conocerse, comunicarse y aprender de los conflictos. Cap. 1 y 2. Madrid: Narcea.	OBLIGATORIA		1	22635
	SEMESTRE 1	Freire P. (2012). Cartas a quien pretende enseñar. Buenos Aires: Siglo Veintiuno	OBLIGATORIA		9	23891
	SEMESTRE 1	Freire P. (2010). El grito manso. México: Siglo Veintiuno	OBLIGATORIA		8	23893
	SEMESTRE 1	Goleman, D. (1998). La Inteligencia emocional. Partes 1 y 2. Buenos Aires: Javier Vergara.	OBLIGATORIA		4	9007-27107
	SEMESTRE 1	Segal, J. (1998). Su inteligencia emocional: Aprendo a incrementarla y a usarla. Barcelona: Grijalbo.	OBLIGATORIA		1	9967
	SEMESTRE 1	Rulicki, S. (2007). CNV – Comunicación No- Verbal: cómo la inteligencia emocional se expresa a través de los gestos. Buenos Aires, Argentina: Ediciones Granica.	OBLIGATORIA		3	22758
	SEMESTRE 1	Steiner, C. (1998). La educación emocional. Javier Vergara: Buenos Aires.	OBLIGATORIA		1	11153
	SEMESTRE 1	Stevens, J. (1998). El darse cuenta: Sentir, imaginar, vivenciar. Santiago, Chile: Cuatro Vientos.	OBLIGATORIA		3	25111-8967
Producción de Textos Escritos	SEMESTRE 1	Carlos Rodríguez Angel, Programas para mejorar la comprensión lectora	OBLIGATORIA		0	
Filosofía de la Educación	SEMESTRE 2	Díaz, C. (1999) De la Liberación a la esperanza: Paulo Freire y su educación popular. L.O.M. Ediciones. Santiago, Chile	OBLIGATORIA		2	15531
Filosofía de la Educación	SEMESTRE 2	Freire, P. (1996) Política y Educación. Siglo XXI Editores, México.	OBLIGATORIA		2	14670
Filosofía de la Educación	SEMESTRE 2	Briones, G. (1999) Filosofía y teorías de las Ciencias Sociales. Dolmen Ediciones. Santiago, Chile.	COMPLEMENTARIA		0	
Filosofía de la Educación	SEMESTRE 2	Peters, R. (1979) La Filosofía de la Educación. (Cap. XII). Fondo de Cultura Económica. México.	COMPLEMENTARIA		0	
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	Gessel, Arnold. (1971). El adolescente de 10 a 16 años. Paidos, buenos aires.	OBLIGATORIA		1	4717
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	Gutiérrez, F (1993). Orientación y Desarrollo Afectivo. Coprim. Chile.	OBLIGATORIA		2	2135
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	Papalia, Diane (2009). Psicologia del desarrollo, de la infancia a la adolescencia. Santa Fe de Bogotá, Mc Graw-Hill.	OBLIGATORIA		8	12183-23143
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	Ruz, J. (2003). Convivencia escolar y calidad de educación. Ministerio de educación. Chile	OBLIGATORIA		4	18517
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	Sharp, Margaret (1978) Psicología del Aprendizaje Infantil. Kopetusz, Buenos Aires.	OBLIGATORIA		1	1933
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	Toledo, Virginia (1998) Adolescencia tiempo de decisiones. Manual para trabajar con adolescentes. Mediterráneo. Santiago, chile.	OBLIGATORIA		1	11571
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	Travers, Robert (1976). Fundamentos del Aprendizaje. Edición Abierta, Santillana, Madrid.	COMPLEMENTARIA		3	1842
Competencia Comunicativa II	SEMESTRE 2	Hughes, J. Stephenson, H., &amp; Dummett, P. (2014). Life Elementary. National Geographic Learning.	OBLIGATORIA		5	27211
Competencia Comunicativa II	SEMESTRE 2	Murphy, R. (1990). Essential grammar in use. Cambridge: Cambridge University Press.	OBLIGATORIA		22	26240-10050-18172
Competencia Comunicativa II	SEMESTRE 2	Rundell, M. (2002) Macmillan English Dictionary for advanced learners of American English. Oxford: Macmillan Education	COMPLEMENTARIA		10	18176
Competencia Comunicativa II	SEMESTRE 2	Hornby, A. S., Turnbull, J., Wehmeier, S &amp; McIntosh, C (2005). Oxford advanced learner's dictionary of current English. Oxford: Oxford University Press.	COMPLEMENTARIA		11	9992-19895
Competencia Comunicativa II	SEMESTRE 2	Daniel Jones. (2006). English Pronouncing Dictionary. New York: Cambridge University Press	COMPLEMENTARIA		5	4268
Competencia Comunicativa II	SEMESTRE 2	Vince, M(2007) Macmillan Grammar in context. Essential Macmillan Education.	COMPLEMENTARIA		5	28405
Competencia Comunicativa II	SEMESTRE 2	-Suarez, M, (1998). Familia y valores. Escuela para padres, la hora del encuentro. Editorial Magisterio. Bogotá.	OBLIGATORIA	15		
Morfosintaxis II	SEMESTRE 2	Aarts, B. (2001). English Syntax and Argumentation. Bristol: Aarontype, Ltd.	OBLIGATORIA	15	4	18177-28395
Morfosintaxis II	SEMESTRE 2	Yule, G. (2017). The Study of Language. Cambridge: Cambridge University Press.	OBLIGATORIA	15	4	27228
Morfosintaxis II	SEMESTRE 2	Fries, C. (1971). The Structure of English: An Introduction to the Construction of English Sentences.	OBLIGATORIA	15	4	4148
Morfosintaxis II	SEMESTRE 2	Katamba, F. (1993). Morphology. Basingstoke: Palgrave.	NO INDICA		1	18252
Didáctica para Educación Parvularia I	SEMESTRE 2	Harmer, J. (2007). How to Teach English. Pearson Education Limited.	OBLIGATORIA		7	27214
Didáctica para Educación Parvularia I	SEMESTRE 2	Ur, P. (1996) A Course in Language Teaching. Cambridge: Cambridge University Press.	OBLIGATORIA		6	22345-18216
Didáctica para Educación Parvularia I	SEMESTRE 2	Wright, A. (1995). Storytelling with children. Oxford: Oxford University Press.	COMPLEMENTARIA		0	
Didáctica para Educación Parvularia I	SEMESTRE 2	Murado, J. (2010). Didáctica de inglés en educación infantil. Métodos para la enseñanza y el aprendizaje de la lengua inglesa. España: Editorial Ideas Propias.	COMPLEMENTARIA		0	
Didáctica para Educación Parvularia I	SEMESTRE 2	London: Longman	OBLIGATORIA		3	12149
Didáctica para Educación Parvularia I	SEMESTRE 2	Brown, H. (2007). Teaching by Principles: An Interactive Approach to Language Pedagogy. Pearson Education Limited.	COMPLEMENTARIA	13	3	28426-23996
Didáctica para Educación Parvularia I	SEMESTRE 2	Larsen-Freeman, D. (2011) Techniques and Principles in Language Teaching. Oxford University Press	OBLIGATORIA	13	0	
Didáctica para Educación Parvularia I	SEMESTRE 2	Spratt M., Pulverness A., Williams M. (2011).The TKT Course. Teaching Knowledge Test: Modules 2,. Cambridge: Cambridge University Press	NO INDICA	13	6	27824
Electivo II	SEMESTRE 2	López, A (1995). Introducción a la psicología de la comunicación: textos y ejercicios. Santiago, Chile: Universidad Católica de Chile.	OBLIGATORIA	13	4	2868
Electivo II	SEMESTRE 2	Novara, D. (2007). Educación socioafectiva: 150 actividades para conocerse, comunicarse y aprender de los conflictos. Cap. 1 y 2. Madrid: Narcea.	OBLIGATORIA	13	1	22635
Electivo II	SEMESTRE 2	Freire P. (2012). Cartas a quien pretende enseñar. Buenos Aires: Siglo Veintiuno	OBLIGATORIA	13	9	23891
Electivo II	SEMESTRE 2	Freire P. (2010). El grito manso. México: Siglo Veintiuno	OBLIGATORIA	13	8	23893
Electivo II	SEMESTRE 2	Goleman, D. (1998). La Inteligencia emocional. Partes 1 y 2. Buenos Aires: Javier Vergara.	OBLIGATORIA	13	4	9007-27107
Electivo II	SEMESTRE 2	Segal, J. (1998). Su inteligencia emocional: Aprendo a incrementarla y a usarla. Barcelona: Grijalbo.	OBLIGATORIA	13	1	9967
Electivo II	SEMESTRE 2	Rulicki, S. (2007). CNV – Comunicación No- Verbal: cómo la inteligencia emocional se expresa a través de los gestos. Buenos Aires, Argentina: Ediciones Granica.	OBLIGATORIA	13	3	22758
Electivo II	SEMESTRE 2	Steiner, C. (1998). La educación emocional. Javier Vergara: Buenos Aires.	OBLIGATORIA	13	1	11153
Electivo II	SEMESTRE 2	Stevens, J. (1998). El darse cuenta: Sentir, imaginar, vivenciar. Santiago, Chile: Cuatro Vientos.	OBLIGATORIA	13	3	25111-8967
Psicología Educacional	SEMESTRE 3	Carretero, M. (1998). Introducción a la Psicología Cognitiva. Buenos Aires: AIQUE	OBLIGATORIA	13	1	15504
Psicología Educacional	SEMESTRE 3	Carretero, M., Bennet, N., Järvinen A., Pope, M., y Ropo, E. (1998) Procesos de enseñanza y aprendizaje. Madrid: AIQUE	OBLIGATORIA	13	1	16240
Psicología Educacional	SEMESTRE 3	Coll, C. (2002). Constructivismo en el aula Aprendizaje escolar y construcción del conocimiento (3a Ed), Barcelona: Grao Desarrollo psicológico y educación	OBLIGATORIA	13	5	21800
Psicología Educacional	SEMESTRE 3	Coll, M., Palacios, J. (1995). Desarrollo Psicológico y Educación. España: Alianza.	OBLIGATORIA	13	10	22513
Psicología Educacional	SEMESTRE 3	Alvares, A. (1987). Psicología y educación. Realizaciones y tendencias actuales en la investigación y en la práctica: actas de las II jornadas internalizaciones de psicología y educación. Madrid: Visor	OBLIGATORIA	13	1	14607
Psicología Educacional	SEMESTRE 3	Arauyo, J. B., y otro. (1993). Tecnología Educacional. Barcelona. Paidós	OBLIGATORIA	13	1	13136
Psicología Educacional	SEMESTRE 3	Aususbel, D. (1998). Psicología Educativa. México: Trillas	OBLIGATORIA	13	1	13032
Psicología Educacional	SEMESTRE 3	Bruner, J. (1998). Actos de significado: más allá de la revolución cognitiva. Madrid, España: Alianza	OBLIGATORIA	13	1	15001
Psicología Educacional	SEMESTRE 3	- Daud B.; Grahome F (1998); The Challenge of Problem Based Learning, Edit. Kage Page, USA.	OBLIGATORIA	13	2	11795
Psicología Educacional	SEMESTRE 3	- Good, T, L. y Brophy J(1986). Psicología Educativa contemporánea, Edit Mc Graw Hill, Mexico.	OBLIGATORIA	13	6	10887
Psicología Educacional	SEMESTRE 3	- Gardner H. (1995) Estructura de la mente: La teoría de las inteligencias múltiples, Ed. Fondo de cultura económica, México.	OBLIGATORIA	13	1	22493
Psicología Educacional	SEMESTRE 3	- Hagarty S.; Pocklington K (1989); Programas de Integración: Estudio de caso de integración de alumnos con necesidades especiales; Edit Siglo XXI de España; España.	OBLIGATORIA	13	1	12262
Psicología Educacional	SEMESTRE 3	- Henson, K. (2000). Psicología Educativa para la enseñanza eficaz. México: International Thomson Edits.	OBLIGATORIA	13	2	21829
Psicología Educacional	SEMESTRE 3	- Klinger C. (2000): Psicología cognitiva McGraw-Hill, Mexico.	OBLIGATORIA	12	1	16080
Psicología Educacional	SEMESTRE 3	- Losada, J.L. (2003) Métodos de Investigación en Ciencias Humanas y Sociales. Madrid: International Thompson Editores.	OBLIGATORIA	12	3	21038
Psicología Educacional	SEMESTRE 3	- Loughlin C.E. y otro (1990); El ambiente de aprendizaje: Diseño y Organización; edit. Morata, Madrid.	OBLIGATORIA	12	2	11882
Psicología Educacional	SEMESTRE 3	- Mayer, R. (1986). Pensamiento, resolución de problemas y cognición. Paidos, Barcelona.	OBLIGATORIA	12	2	13137-14356
Psicología Educacional	SEMESTRE 3	- Pilar y cols. (1992); Constructivismo y Educación; Edit. Trans Lo Blanch; Valencia.	OBLIGATORIA	12	4	11854-2570
Psicología Educacional	SEMESTRE 3	-MINEDUC (2000 – 2011) Planes y Programas de estudios. Mapas de progreso de aprendizaje bases curriculares.	OBLIGATORIA	12	3	11746
Psicología Educacional	SEMESTRE 3	- Pérez M. Royman, Gallego B. Rómulo (1994)Ç; Corrientes Constructivistas, Edit. Magisterio, Colombia.	OBLIGATORIA	12	3	11746
Psicología Educacional	SEMESTRE 3	- Poeydomenge. M. (1986); La Educación según Rogers; Edit. Narcea, Madrid.	OBLIGATORIA	12	2	10997
Fundamentos del Currículum	SEMESTRE 3	- Pozo, J.I, (1997) Teorías Cognitivas del Aprendizaje. Morata, Madrid.	NO INDICA	12	5	10093
Fundamentos del Currículum	SEMESTRE 3	Dewey, J. (1997). Democracia y Educación; Una introducción a la filosofía de la educación.	OBLIGATORIA	12	5	12497
Fundamentos del Currículum	SEMESTRE 3	Gimeno, J. (1995). Currículum una reflexión sobre la práctica. Madrid: Morata.	OBLIGATORIA	12	3	11520
Fundamentos del Currículum	SEMESTRE 3	Ministerio de Educación. (2003). Marco para la Buena Enseñanza. Chile. Ministerio de Educación.	COMPLEMENTARIA	12	0	
Comunicación Oral	SEMESTRE 3	Real Academia Española. (2004). Gramática de la Lengua Española, Madrid: Espasa	OBLIGATORIA	12	7	4267
Comunicación Oral	SEMESTRE 3	Fuentes, J. (1980). Comunicación estudio del Lenguaje, Madrid: M. Fernández y Cía., S.A.	OBLIGATORIA	12	4	8173
Comunicación Oral	SEMESTRE 3	Condemarín, M., & Medina, A. (1998). Lenguaje Integrado II. Santiago: Ministerio de Educación de Chile.	OBLIGATORIA	12	1	13414
Comunicación Oral	SEMESTRE 3	Fuentes, J. (2001). Gramática Moderna de la Lengua Española (10ª edición). Madrid: M. Fernández y Cía., S.A.	COMPLEMENTARIA	12	1	4382
Comunicación Oral	SEMESTRE 3	Condemarín, M y Medina, A. (2000). Evaluación de los Aprendizajes (4a edición) Santiago: Ministerio de Educación de Chile.	COMPLEMENTARIA	12	1	16918
Literatura Infantil	SEMESTRE 3	Seuss, Geisel Theodor. (1971). The Lorax. New York: Random House	OBLIGATORIA	12	3	11783
Literatura Infantil	SEMESTRE 3	Bibliográfica Internacional. (2006) Fábulas de siempre.	OBLIGATORIA	12	2	21393
Literatura Infantil	SEMESTRE 3	Steiner, R., Gralhi, U. (2003). La sabiduría de los cuentos de hadas. Editorial Rudolf Steiner	OBLIGATORIA	12	3	25757
Literatura Infantil	SEMESTRE 3	Seuss, Dr. (1955). Horton Hears a Who!.New York: Random House	OBLIGATORIA	12	2	13284
Literatura Infantil	SEMESTRE 3	Seuss, Dr. (1971) . The Lorax. New York: Random House	OBLIGATORIA	12	3	11783
Literatura Infantil	SEMESTRE 3	Moss, A., Stott, J. (1986). The Family of Stories: An Anthology of Children’s Literature. New	COMPLEMENTARIA	12	0	
Literatura Infantil	SEMESTRE 3	Munsch, R. (2005) [1980]. The Paper Bag Princess. New York: Annick Press Ltd.	COMPLEMENTARIA	12	0	
Literatura Infantil	SEMESTRE 3	Sneed, B. (2003). Aesop´s Fables. New York: Dial Books for Young Readers.	COMPLEMENTARIA	12	5	28415
Competencia Comunicativa III	SEMESTRE 3	"Tilbury, Clementson, English Unlimited: B1 Pre-intermediate Coursebook. Murphy, R. (2004). English Grammar in Use. Cambridge: Cambridge University Press.	OBLIGATORIA	12	5	
Competencia Comunicativa III	SEMESTRE 3	Murphy, R. (2004). English Grammar in Use. Cambridge: Cambridge University Press	OBLIGATORIA		22	
Competencia Comunicativa III	SEMESTRE 3	Alexander, L.G. (1990). Longman English Grammar Practice. Londres: Longman.	COMPLEMENTARIA		0	
Competencia Comunicativa III	SEMESTRE 3	Stephenson, H. (2012). Life intermediate. Cengage Learning.	COMPLEMENTARIA		5	28343
Competencia Comunicativa III	SEMESTRE 3	Vice, M. (2007). Macmillan English Grammar in Context, Intermediate. Macmillan Education.	COMPLEMENTARIA		5	28405
Fonología Segmental	SEMESTRE 3	Baker, A. (1991). Ship or Sheep?:  An intermediate pronunciation course. Cambridge:  Cambridge University Press.	OBLIGATORIA	15	5	4194
Fonología Segmental	SEMESTRE 3	Marks, J. (2007). English Pronunciation in Use Elementary: Self-Study and Classroom Use. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	0	27074
Fonología Segmental	SEMESTRE 3	Finch, D., Ortiz, H. (1982). A Course in English Phonetics for Spanish Speakers. Heinemann Educational Books, Ltd.	COMPLEMENTARIA	15	5	0
Fonología Segmental	SEMESTRE 3	Jones, D. (1995). An English Pronouncing Dictionary. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	0	4268
Fonología Segmental	SEMESTRE 3	Hooke, R., Rowell, J. (1982). A handbook of English Pronunciation. Edward Arnold Publisher Ltd.	COMPLEMENTARIA	15	0	0
Fonología Segmental	SEMESTRE 3	Hancock, M. (2007). English Pronunciation in Use Intermediate. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	12	27074
Fonología Segmental	SEMESTRE 3	Baker, A., Goldstein, S. (2009). Pronunciation Pair, an Introduction to the Sounds of English. Cambridge University Press.	OBLIGATORIA	14	3	
Didáctica para Educación Parvularia II	SEMESTRE 3	"Brown, H. (2007). Teaching by Principles: An Interactive Approach to Language Pedagogy. Pearson Education Limited."	OBLIGATORIA	13	3	28426-23996
Didáctica para Educación Parvularia II	SEMESTRE 3	Harmer, J. (2007). How to Teach English. Pearson Education Limited	OBLIGATORIA	13	7	27214
Didáctica para Educación Parvularia II	SEMESTRE 3	"Richards, J., Rodgers, T. (2007) Approaches and Methods in Language Teaching. Cambridge University Press. "	COMPLEMENTARIA	13	2	21781
Didáctica para Educación Parvularia II	SEMESTRE 3	"Spratt, M., Pulverness A., y Williams, M. (2011). The TKT Course: Cambridge: Cambridge University Press."	COMPLEMENTARIA	13	6	27824
Didáctica para Educación Parvularia II	SEMESTRE 3	Wright, A. (1995). Storytelling with Children. Oxford: Oxford University Press.	COMPLEMENTARIA	13	0	
Didáctica para Educación Parvularia II	SEMESTRE 3	Larsen-Freeman, D. (2011). Techniques and Principles in Language Teaching. Oxford University Press	COMPLEMENTARIA	13	0	
TRABAJO DE CAMPO 1+ABP	SEMESTRE 3	Ministerio de Educación. (2004). Marco Para La Buena Enseñanza. Santiago: MINEDUC.	OBLIGATORIA		0	
Trabajo de Campo 1 + ABP	SEMESTRE 3	"Vale, D., Feunteun, A. (1995). Teaching Children English: A training course for teachers of English to Children. Cambridge University Press."	COMPLEMENTARIA		3	23997
Trabajo de Campo 1 + ABP	SEMESTRE 3	"Estándares de la Profesión Docente. Marco para la Buena Enseñanza(2021)"	COMPLEMENTARIA		3	23997
Electivo III	SEMESTRE 3	Argondizzo, C. (1992). Children in action: A resource book for language teachers of young learners. New York: Prentice Hall.	OBLIGATORIA		1	11965
Electivo III	SEMESTRE 3	Pavez, K,. y Seguel, R,. (2020). “Progressive and Professional Practicum Processes During Pandemic Times: Class Simulations for English Teachers in Training.”	OBLIGATORIA			
Electivo III	SEMESTRE 3	"Gilliland B, Pavez K, Muñoz A(2018) E-portfolio project: Assessing language teacher learning in the chilean desert."""	OBLIGATORIA			
Electivo III	SEMESTRE 3	Novara, D., y Ballester. C. (2005). Educación Socio Afectiva: 150 actividades para conocerse, comunicarse y aprender de los conflictos. Madrid, España: Narcea.	OBLIGATORIA		1	22635
Electivo III	SEMESTRE 3	Freire, P. (2012). Cartas a quien pretende enseñar. Buenos Aires: Siglo Veintiuno	OBLIGATORIA		9	23891
Electivo III	SEMESTRE 3	Freire, P. (2010). El grito manso. México: Siglo Veintiuno.	OBLIGATORIA		8	23893
Electivo III	SEMESTRE 3	López, A., Parada, A., y Simonetti, F. (1995). Introducción a la psicología de la comunicación: textos y ejercicios (3a Ed). Santiago, Chile: Universidad Católica de Chile	OBLIGATORIA		4	2868
Electivo III	SEMESTRE 3	Goleman, D. (1996). La Inteligencia emocional. Buenos Aires: Javier Vergara.	OBLIGATORIA		1	9007-27107
Electivo III	SEMESTRE 3	Rulicki, S., Cherny, M. (2007). Comunicación No- Verbal: CNV: cómo la inteligencia emocional se expresa a través de los gestos. Buenos Aires, Argentina: Ediciones Granica.	OBLIGATORIA		3	22758
Electivo III	SEMESTRE 3	Stevens, J. O. (2014). El darse cuenta: Sentir, imaginar, vivenciar. Santiago, Chile: Cuatro Vientos.	OBLIGATORIA		3	25111-8967
Electivo III	SEMESTRE 3	Segal, J. (1998). Su inteligencia emocional: Aprendo a incrementarla y a usarla. Barcelona: Grijalbo.	COMPLEMENTARIA		1	9967
