PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022							
							
CARRERA:							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0
INTRODUCCIÓN A LA KINESIOLOGÍA	102	Butler, B., Aguado S., & Josetr, P. (1991). Introducción a la Kinesiología. (1a Ed.). Madrid: Mandala Ediciones, S. A.	OBLIGATORIA		0	0	
		B.P. Hungler, Denise Polit.( 2000).Investigación científica en ciencias de la salud. (6a Ed). México: Mcgraw-Hill.	COMPLEMENTARIA		0	0	
BIOÉTICA Y ASPECTOS LEGALES DE LA PROFESIÓN	201	Lolas Stepke, F., & JG de F, D. (2013). Bioética. Santiago de Chile: Mediterráneo.	OBLIGATORIA		0	0	
		Beca, J. P., & Astete, C. (2012). Bioética Clínica: Mediterráneo.	OBLIGATORIA		2	25159	
		De Lora Deltoro, P., & Abellán, M. F. G. (2008). Bioética: principios, desafíos, debates.	COMPLEMENTARIA		1	25170	
		Talciani, H. F. C. (2003). Lecciones de responsabilidad civil extracontractual. Ed. Jurídica de Chile.	COMPLEMENTARIA		0	0	
FISIOPATOLOGÍA	201	Porth, C. (2010). Fisiopatología. Buenos Aires: Editorial Médica Panamericana.	OBLIGATORIA		10	24622	
		Braun, C. & Anderson, C. (2012). Fisiopatología. Hospitalet de Llobregat, Barcelona: Lippincott Williams & Wilkins.	OBLIGATORIA		10	25262	
		Pinardi, G. (1996). Fisiopatología respiratoria. Santiago: Mediterráneo.	COMPLEMENTARIA		0	0	
		West, J. (2012). Fisiopatología pulmonar. L'Hospitalet de Llobregat, Barcelona: Lippincott Williams & Wilkins.	COMPLEMENTARIA		2	25235	
INGLÉS APLICADO A LA SALUD	201	Murphy, R. (2017). Essential Grammar in Use. Great Britain: Cambridge.	OBLIGATORIA		6	27569	
		Grice. T. (2007). Oxford English for careers nursing 1 students book. UK: Oxford University Press.	OBLIGATORIA		8	27378	0
		Howarth, P. (2015). Initiative 1. España; McMillan.	COMPLEMENTARIA		3	27448	0
		Soars, L & Soars, J., Wheeldon, S. (2006). New Headway Elementary Workbook. Mexico:	COMPLEMENTARIA		0	0	
		Netter, F.H. (2011). Atlas de Anatomía Humana. Barcelona: Elsevier-Masson.	COMPLEMENTARIA		15	24595	
		Fenneis, Heinz. (2006). Nomenclatura Anatómica Ilustrada. Barcelona: Masson S.A.	COMPLEMENTARIA		3	25157	
NEUROCIENCIAS	201	Kandel, E. & otros. (2002). Principios de Neurociencia. (4a Ed.). Editorial McGraw-Hill Interamericana.	OBLIGATORIA		0	0	
		Purves, D., & otros. (2016). Neurociencia. (5a Ed). Buenos Aires: Editorial Medica Panamericana.	OBLIGATORIA		4	26599	
		Snell, R. (2010). Neuroanatomía clínica. (7a Ed.). Barcelona: Editorial Lippincott Williams and Wilkins.	COMPLEMENTARIA		3	25284	
		Haines, D., & Ard, M. (2014). Principios de neurociencia. Aplicaciones básicas y clínicas. (4a Ed.). Ámsterdam: Elsevier.	COMPLEMENTARIA		3	25675	
OPTATIVO (Fundamentos para la interpretación de los análisis diagnósticos de laboratorio)	201	Ruiz, G. & Ruiz, A. (2010). Fundamentos de Interpretación Clínica de los Exámenes de Laboratorio. España: Editorial Médica Panamericana.	OBLIGATORIA		0	0	
		Laposata, M. (2010). Laboratory Medicine: The Diagnosis of Disease in the Clinical Laboratory. USA: McGraw-Hill Medical Publishing Division.	OBLIGATORIA		0	0	
OPTATIVO II (Actividad Física y Salud)	201	Blanco, A. (2007). 1000 Ejercicios de Preparación Física. (3. ed.). Madrid, España. Edit. Paidotribo.	OBLIGATORIA		0	0	
		Blázquez, D. (2010). Evaluar en Educación Física. (11.ed.) Barcelona, España. Edit. INDE	OBLIGATORIA		0	0	
PSICOLOGÍA APLICADA	201	Papalia. (2011). Psicología. EEUU: Mc Graw Hill.	OBLIGATORIA		0	0	
		Townsend, M. C.(2011). Fundamentos de Enfermería Psiquiátrica. EEUU: Mcgraw Hill.	OBLIGATORIA		8	24630	
		Craig, G. (1997). Desarrollo Psicológico. México: Prentice Hall.	COMPLEMENTARIA		0	0	
ANÁLISIS DE MOVIMIENTO II	202	Neumann, D. A. (2007). Fundamentos de rehabilitación física: Cinesiología del sistema músculo esquelético. Barcelona: Paidotribo.	OBLIGATORIA		2	25202	
		Boyling, Jeffrey D., Jull, Gwendolen. (2006). Grieve. Terapia manual contemporanea: Columna vertebral. (3a Ed.). Barcelona: Elsevier Masson.	OBLIGATORIA		1	25141	
		Latash, M. (2008). Neurophysiological basis of movement. (2a Ed.). Champaign (Illions) : Human Kinetics.	COMPLEMENTARIA		1	25272	0
		Nordin M., Frankel H. V. (2013). Bases biomecánicas del sistema músculoesquelético. (4a Ed.). Philadelphia, Lippincott Williams & Wilkins.	COMPLEMENTARIA		3	25279	
FISIOLOGÍA DEL ESFUERZO	202	López, J. & Fernández, A.(2013).Fisiología del Ejercicio. (3aEd). España: Panamericana.	OBLIGATORIA		2	24927	
		Wilmore, J & Cotill, D. (2007). Fisiología del esfuerzo y del deporte. (5a Ed). España, Barcelona: Editorial Paidotribo.	OBLIGATORIA		3	25018	
		Katch.V, McArdle.W, Katch, Frank. (2004). Fundamentos de la fisiología Del ejercicio. (2a Ed.).España:Mcgraw-Hill.	COMPLEMENTARIA		0	0	
NEUROLOGÍA CLÍNICA	202	Fejerman, N., Fernández, E. (2007). Neurología pediátrica. Buenos Aires: Médica Panamericana.	OBLIGATORIA		4	25192	
		Aminoff, M., Greenberg, D., Simón, R. (2006). Neurología Clínica. México: El Manual Moderno.	OBLIGATORIA		4	25307	
		Rodríguez, R. (2002). Fundamentos de neurología y neurocirugía. Tucumán: Editorial Magna	COMPLEMENTARIA		0	0	
PATOLOGÍAS CARDIO RESPIRATORIAS	202	Herrera, O. & Quezada, A. (2012). Enfermedades Respiratorias en Pediatría. Chile: Mediterráneo.	OBLIGATORIA		6	27056	
		Rodríguez, J & Undurraga, A. (2011). Enfermedades Respiratorias.(2° Ed.). Chile: Mediterráneo.	OBLIGATORIA		6	26984	
		Sánchez, I. (2007). Enfoque clínico de las enfermedades respiratorias del niño. Chile: Universidad Católica de Chile.	COMPLEMENTARIA		3	25187	
		West, J. (2012). Fisiología Respiratoria Fundamentos. Barcelona: Wolters Kluwer/Lippincott	COMPLEMENTARIA		4	25195	
PRINCIPIOS DE ENFERMERÍA	202	Berman, A. & Snyder, S. (2013). Fundamentos de enfermería: Kozier & Erb. (9a Ed. ). Madrid: Pearson educación.	OBLIGATORIA		8	24668	
		Jensen, S. (2012). Valoración de la salud en enfermería: una guía práctica. (1a Ed.). Estados Unidos: Lippincott Williams & Wilkins.	OBLIGATORIA		1	23985	
		Rile, M & Marriner, A (2014). Modelos y teorías: en enfermería. (8a Ed.). Barcelona: Elsevier Mosby.	COMPLEMENTARIA		0	0	
TRAUMATOLOGÍA Y ORTOPEDIA	202	Brotzman, S. & Manske R. (2012). Rehabilitación ortopédica clínica: Un enfoque basado en la evidencia. (3a Ed.). Elsevier.	OBLIGATORIA		4	25309	
		Skinner, H., Beglio, J. (2014).Diagnóstico y tratamiento en ortopedia. (5a Ed.). México D.F.: McGraw-Hill.	OBLIGATORIA		4	25662	
		Xhardez,Y.(2011). Vademécum de Kinesioterapia y de reeducación funcional: Técnicas, patologías e indicaciones de tratamiento. (5a Ed.). Buenos Aires: El Ateneo.	COMPLEMENTARIA		1	25293	0
		Kenneth, E. (2015). Manual de Fracturas. (5a Ed.). Lippincott Williams & Wilkins. Wolters Kluwer Health.	COMPLEMENTARIA		3	25680	0
BIOESTADÍSTICA	301	Milton, S. (2007). Estadística para biología y ciencias de la salud. Interamericana de España. Mcgraw-Hill.	OBLIGATORIA		3	26996	0
		Wayne, D. (2002). Bioestadística: Base para el análisis de la salud. (4a Ed.) México. Noriega Editores.	OBLIGATORIA		0	0	
		Martínez-González, M., Sánchez, A. (2014). Bioestadística amigable.(3a Ed.). Barcelona : Elsevier	COMPLEMENTARIA		9	25308	
		Díaz, V. (2009). Metodología de la investigación científica y bioestadística. Santiago, Chile: Ril Editores.	COMPLEMENTARIA		11	25185	
BIOMECÁNICA OCUPACIONAL Y ANTROPOMETRÍA	301	Boyling, J. & Gwendolen, J. (2006). Grieve. Terapia manual contemporánea: Columna vertebral. (3a Ed.). Barcelona: Elsevier Masson.	OBLIGATORIA		1	25141	
		Bialoskorski, G. (2008). Diseño + Ergonomía. (1a Ed.). Ediciones UNAB diseño	OBLIGATORIA		0	0	
		Jouvencel, M. R. (2007). Ergonomía básica. Madrid: Ediciones Díaz de Santos, S.A.	COMPLEMENTARIA		4	25135	
		Enoka, R. (2008). Neuromechanics of human movement. (4a Ed.). Champaign (Illinois): Human Kinetics.	COMPLEMENTARIA		1	25261	0
CICLO VITAL	301	Schonhaut, L. & AseFF, M. (2004). Semiología Pediátrica conociendo al niño. Chile: Mediterráneo.	OBLIGATORIA		4	27055	
		Rodríguez, R., Lazcano, G., Medina, H., Hernández, M. (2011). Práctica de la geriatría. (3a Ed.). México: McGraw-Hill.	OBLIGATORIA		2	25240	
		Kliegman, R & Santon, B. (2013). Nelson Tratado de Pediatría. (1a Ed.). Barcelona: Elsevier.	COMPLEMENTARIA		4	25319	
		Pérez, A & Donoso, E. (2011). Obstetricia. (4a Ed.). Santiago de Chile: Mediterráneo.	COMPLEMENTARIA		22	25299	
KINESIOLOGÍA TRAUMATOLÓGICA I	301	Palmer, L. & Epler, M.(2002). Fundamentos de las técnicas de evaluación Musculoesqueléticas.(2a Ed.).España: Paidotribo.	OBLIGATORIA		4	26963	0
		Kendall McGreavy, E. (2007). Músculos: Pruebas funcionales, postura y dolor. (5a Ed.).España, Madrid: Marban.	OBLIGATORIA		5	25249	
		Hislop, H. (2008).Daniels-Worthingham's Pruebas funcionales musculares: Técnicas de exploración manual.(6a Ed.). España, Madrid: Marban	COMPLEMENTARIA		0	0	
SALUD PÚBLICA Y EPIDEMIOLOGÍA	301	Ahlbom, A., Alfredsson, Lars, Alfvén, T., Bennet, Anna.(2007). Fundamentos de epidemiología.(6a Ed.) Madrid : Siglo XXI.	OBLIGATORIA		1	25245	
		Hernández-Aguado [et. al].(2011).Manual de epidemiología y salud pública : para grados en ciencias de la salud.(2a Ed.). Buenos Aires : Médica Panamericana.	OBLIGATORIA		18	25205	
		Beaglehole, R., Bonita & Kjellström, (2003). Epidemiología básica.	COMPLEMENTARIA		0	0	
		Gordis, L. (2015). Epidemiology. (5a Ed.). Elsevier Saunders.	COMPLEMENTARIA		9	26117	
SEMIOLOGÍA KINÉSICA	301	Goic, A.; Chamorro, G. (2010) Semiología médica. (3a Ed.). Santiago de Chile: Mediterráneo.	OBLIGATORIA		4	25265	
		Surós, B.(2011) Semiología y técnica exploratoria. (8a Ed.). Barcelona: Elsevier Masson.	OBLIGATORIA		2	25133	
		Swartz, M. (2015). Tratado de Semiología: Anamnesis y Exploración. (7a Ed.). Elsevier.	COMPLEMENTARIA		0	0	
FARMACOLOGÍA APLICADA A LA KINESIOLOGÍA	302	Goodman & Gilman. (2006). Las bases farmacológicas de la terapéutica.(11a Ed.) Colombia, Editorial Mc Graw Hill Interamericana.	OBLIGATORIA		3	26075	
		Flores, J., Armijo, J., Mediavilla, A.(2003). Farmacología Humana. (4a Ed.). Barcelona, Editorial Masson.	OBLIGATORIA		3	26704	
		Betés de Toro, M., Durán, M., Mestres, C., Nogués, M. (2008). Farmacología para fisioterapeutas. Médica Panamericana.	COMPLEMENTARIA		2	25297	
FISIOTERAPIA	302	Cameron, M. (2014).Agentes Físicos en Rehabilitación: de la investigación a la práctica. (4a Ed.).España: Elsevier.	OBLIGATORIA		6	25076	
		Rodriguez, M. (2014). Electroterapia en Fisioterapia. (3a Ed.). España: Panamericana.	OBLIGATORIA		5	25260	0
		Plaja, J. (2004). Analgesia por medios físicos. (1a Ed). España, Madrid : Mcgraw-hill-interamericana.	COMPLEMENTARIA		0	0	
KINESIOLOGÍA CARDIO RESPIRATORIA I	302	Cristancho, W. (2015). Fundamentos de fisioterapia respiratoria y ventilación mecánica. (3a Ed.). Colombia: El manual.	OBLIGATORIA		4	26981	
		Valenza, G; González, L; Yuste, M.J. (2005). Manual de Fisioterapia respiratoria y Cardiaca. (1a Ed.). España: Síntesis.	OBLIGATORIA		6	27208	0
		Sánchez, I. (2007). Enfoque clínico de las enfermedades respiratorias del niño. Chile: Universidad Católica de Chile.	COMPLEMENTARIA		3	25187	
		West, J. (2012). Fisiopatología pulmonar. Barcelona: Wolters Kluwer/Lippincott .	COMPLEMENTARIA		2	25235	
KINESIOLOGÍA TRAUMATOLÓGICA II	302	Prentice, W. (2009). Técnicas de rehabilitación en medicina deportiva. (4a Ed.). Barcelona: Paidotribo.	OBLIGATORIA		5	25311	
		Colby, L. Kisner, C. (2010). Ejercicio Terapéutico. (5a Ed.). Panamericana.	OBLIGATORIA		0	0	
		O'Sullivan, S. (2013). Rehabilitación física. Barcelona: Paidotribo.	COMPLEMENTARIA		1	25208	
		Sahrmann, S. (2011). Movement system impairment syndromes of the extremities, cervical and thoracic spines. (1a. Ed.). St. Louis, Missouri: Elsevier.	COMPLEMENTARIA		1	25266	0
PRÁCTICA INTERMEDIA I	302	Goic, A.; Chamorro, G. (2010) Semiología médica. (3a Ed.). Santiago de Chile: Mediterráneo.	OBLIGATORIA		4	25265	
		Aminoff, M., Greenberg, D., Simón, R. (2006). Neurología Clínica. México: El Manual Moderno.	COMPLEMENTARIA		4	25307	
PSICOMOTRICIDAD	302	Bly, L. (1a Ed.). (1994). Motor skills. Acquisition in The first year. Editorial Academicpress.	OBLIGATORIA		0	0	
		Jiménez, J. (2008). Psicomotricidad. Teoría y Programación. Editorial Wolters Kluwer.	OBLIGATORIA		0	0	
		Rodríguez, S. (2014). Escala de evaluación del desarrollo psicomotor de 0 a 24 meses EEDP. Editorial Cronopios.	COMPLEMENTARIA		2	25258	
GIMNASIA TERAPÉUTICA	401	Lederman, E. (2010). Neuromuscular rehabilitation in manual and physical therapy. (1a Ed.). Edinburgh: Churchill Livingstone/Elsevier.	OBLIGATORIA		1	25274	
		Liebenson, C. (2008). Manual de rehabilitación de la columna vertebral. (2a Ed.). Barcelona. Paidotribo.	OBLIGATORIA		4	25241	
		Sahrmann, S. (2002). Diagnóstico y tratamiento de las alteraciones del movimiento. (1a Ed.).Barcelona: Paidotribo.	COMPLEMENTARIA		1	25254	
		Sahrmann, S. (2011). Movement system impairment syndromes: of the extremities, cervical and thoracic spines. (1a Ed.). St. Louis, Missouri: Elsevier.	COMPLEMENTARIA		1	25266	0
IMAGENOLOGÍA	401	Cura, J. L., Pedraza, S. Gayete, A. (2010). Radiología Esencial. (1a Ed.). Editorial Médica Panamericana.	OBLIGATORIA		6	26974	
		Smith, W., Farrel, T. (2014).Introducción al Diagnóstico por imagen (4a Ed.). Lippincott Williams & Wilkins.	OBLIGATORIA		3	27064	0
		Monnier, J. Tubiana, J. (1994). Manual de Radiodiagnóstico. (3a Ed.). Editorial Masson S.A.	COMPLEMENTARIA		0	0	
KINESIOLOGÍA CARDIO-RESPIRATORIA II	401	Rodríguez Machado, M. (2009). Bases de la Fisioterapia respiratoria y Terapia intensiva. Rio de Janeiro: Guanabara Koogan.	OBLIGATORIA		4	27017	
		Pleguezuelos, E. & Miranda, G. (2011). Principios de Rehabilitación Cardíaca. Barcelona: Panamericana.	OBLIGATORIA		6	27256	0
		Giraldo, H. (2008). EPOC: Diagnóstico y tratamiento integral. Con enfoque en la rehabilitación pulmonar,. Bogotá: Médica Panamericana.	COMPLEMENTARIA		2	25155	
METODOLOGÍA DE INVESTIGACIÓN	401	García , J., Jiménez, F., Arnaud, M., Ramírez, Y., Lino, L. (2011). Introducción a la metodología de la investigación en ciencias de la salud. México: McGraw-Hill.	OBLIGATORIA		6	25216	
		Díaz, V. (2009). Metodología de la investigación científica y bioestadística. Santiago, Chile: Ril Editores.	OBLIGATORIA		11	25185	
		Hernández-Aguado [et. al].(2011).Manual de epidemiología y salud pública : para grados en ciencias de la salud.(2a Ed.). Buenos Aires : Médica Panamericana.	OBLIGATORIA		18	25205	
NEUROKINESIOLOGÍA I	401	Shumway-Cook, A., & Woollacott, M. (2016). Motor control Translating research into clinical practice. (5th Ed.). Philadelphia. Wolters Kluwer.	OBLIGATORIA		2	25201	
		Bly, L., & Miller Beeler, L. (2011). Componentes del desarrollo motor típico y atípico (Orit Herzberg). (1a Ed.). Neuro-Developmental Treatment Association.	OBLIGATORIA		0	0	
		Bobath, K. & Bobath, B. (1992). Desarrollo motor en distintos tipos de parálisis cerebral. Editorial médica Panamericana.	COMPLEMENTARIA		0	0	
		Vojta, V. (2011). El descubrimiento de la motricidad ideal. Editorial Morata	COMPLEMENTARIA		4	25149	
SALUD OCUPACIONAL	401	Henao, F. (2010). Salud ocupacional: conceptos básicos. Colombia: Ecoe Ediciones.	OBLIGATORIA		1	25251	
		Hernández-Aguado [et. al].(2011).Manual de epidemiología y salud pública : para grados en ciencias de la salud.(2a Ed.). Buenos Aires : Médica Panamericana.	OBLIGATORIA		18	25205	
		Álvarez, F. (2010). Salud ocupacional. Bogotá DC: Ecoe Ediciones.	COMPLEMENTARIA		1	25207	
		Gil, J. A. O. (2010). Valoración de la incapacidad laboral. Ediciones Díaz de Santos.	COMPLEMENTARIA		2	25137	
ELECTIVO II (Opción II) NEUROREHABILITACIÓN (Equipos e Instrumentos de Investigación Kinésica)	501	Davies, P. (2003). Pasos a seguir: tratamiento integrado de pacientes con hemiplejia. Madrid: Médica Panamericana.	OBLIGATORIA		1	25313	
		Paeth Rohlfs, B. (2007). Experiencias con el concepto Bobath: Fundamentos, tratamiento, casos. Madrid: Médica Panamericana.	OBLIGATORIA		1	25197	
		Vojta, V. (2011). El descubrimiento de la motricidad ideal. Editorial Morata	COMPLEMENTARIA		4	25149	
		Vojta, V. (2005). Alteraciones motoras cerebrales infantiles: Diagnóstico y tratamiento precoz. Editorial Morata.	COMPLEMENTARIA		1	25148	0
ELECTIVO II	501	Rodríguez Machado, M. (2009). Bases de la Fisioterapia respiratoria y Terapia intensiva. Rio de Janeiro: Guanabara Koogan.	OBLIGATORIA		4	27017	
		Cristancho, W. (2015). Fundamentos de fisioterapia respiratoria y ventilación mecánica. (3a Ed.). Colombia: El manual.	COMPLEMENTARIA		4	26981	
		Pleguezuelos, E. & Miranda, G. (2011). Principios de Rehabilitación Cardíaca. Barcelona: Panamericana.	COMPLEMENTARIA		6	27256	0
ELECTIVO II	501	Hamill J., Knutzen K., Derrick T. (2017). Biomecánica básica. Bases del movimiento humano. (4a Ed.).Lippincott Williams & Wilkins.	OBLIGATORIA		3	26915	
		Peterson, D., Bronzíno, J. (2008). Biomechanics: Principles and Applications. (2a Ed.). New York: CRC Press.	OBLIGATORIA		2	25264	0
		Neumann, D. A. (2007). Fundamentos de rehabilitación física: Cinesiología del sistema músculo esquelético. Barcelona: Paidotribo.	COMPLEMENTARIA		2	25202	
INTERNADO I	501	Bobath, B. (1993). Hemiplejia del adulto: Evaluación y tratamiento. Buenos Aires Médica Panamericana.	OBLIGATORIA		0	0	
		Jouvencel, M. R. (2007). Ergonomía básica. Madrid: Ediciones Díaz de Santos, S.A.	OBLIGATORIA		4	25135	
		Paeth Rohlfs, B. (2007). Experiencias con el concepto Bobath: Fundamentos, tratamiento, casos. Madrid: Médica Panamericana.	COMPLEMENTARIA		1	25197	
		Rodríguez Machado, M. (2009). Bases de la Fisioterapia respiratoria y Terapia intensiva. Rio de Janeiro: Guanabara Koogan.	COMPLEMENTARIA		4	27017	
Kinesiología Deportiva	501	Prentice, W. (2009). Técnicas de rehabilitación en medicina deportiva. (4a Ed.). Barcelona: Paidotribo.	OBLIGATORIA		5	25311	
		Pancorbo, A. (2012).Medicina y ciencia del deporte y la actividad física. (1aEd.).España. Océano/Ergon.	COMPLEMENTARIA		2	25285	
