973						
						
CARRERA: Licenciatura en Educación y Pedagogía en Educación General Básica						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	COPIAS EN BIBLIOTECA	NRO. BIBLIOTECA 
Filosofía de la Educación	Primer Semestre	Freire, Paulo (2015) Pedagogía de los sueños posibles.   Siglo XXI editores. Argentina. 	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Giannini, H.(1979) Esbozo para una historia de la Filosofía.  Dionysios, Santiago, Chile. González R.,A. (2016) ¿Por qué es científica la ciencia?  Impresia Ibérica. España.	COMPLEMENTARIA	35	1	5074
Filosofía de la Educación	Primer Semestre	Fromm, E. (1965) El miedo a la libertad.    Edit. Paidos, Buenos Aires.	COMPLEMENTARIA	35	1	
Filosofía de la Educación	Primer Semestre	Hegel,G. (2009) Introducción a la historia de la Filosofía. Editorial Gradifco , Buenos Aires.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Jasper, K. (1970) La Filosofía.  Fondo de cultura económica. México.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Maritain, Jacques (1950) Introducciòn a la Filosofìa.  Biblioteca Argentina de Filosofìa.  Club de Lectores. Buenos Aires.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Munizaga A.,R (S/F) Algunos temas de la Filosofía Educacional de don Valentin Letelier.  Editorial Universitaria. Santiago, Chile.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Pérez,H.C. (2004) Qué es la Filosofía de la Educación.  Edit. Trillas, México, D.F.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Peters, R.S. (1969) El concepto de Educaciòn.  Editorial Paidos, Buenos Aires.	COMPLEMENTARIA	35	9	11094
Filosofía de la Educación	Primer Semestre	Politzer,G. (2013) Principios elementales de la Filosofía.  Ediciones Brontes, S.L. España.	COMPLEMENTARIA	35	1	19516
Filosofía de la Educación	Primer Semestre	Savater, F. (2000) Ética para Amador.  Editorial Planeta,S.A. Buenos Aires.	COMPLEMENTARIA	35	1	10964
Filosofía de la Educación	Primer Semestre	Weber, M. (2012) La ética protestante y el espíritu del capitalismo.  Ediciones Brontes, S.L. España.	COMPLEMENTARIA	35	0	
Comprensión Lectora	Primer Semestre	Guía Estrategias Lectoras (compendio – se entrega impreso y digital -Fundamental.	OBLIGATORIA	35	0	
Comprensión Lectora	Primer Semestre	Arredondo,Marcial (2014) Método de Comprensión Lectora . Catalonia Ltda.	COMPLEMENTARIA	35	0	
Electivo I “La naturaleza al servicio de la creatividad plástica”	Primer Semestre	Comella, A (2000). Acuarelas.Barcelona: Parramón.	OBLIGATORIA	13	3	15620
Electivo I “La naturaleza al servicio de la creatividad plástica”	Primer Semestre	Comamalas, J (1998). Pintando a la acuarela. Barcelona: CEAC.	OBLIGATORIA	13	1	14513
Electivo I “La naturaleza al servicio de la creatividad plástica”	Primer Semestre	Gombrich, E (1992). Historia del arte / Erust H. Gombrich; versión española de Rafael Santos Torroella, revisión de Javier Seto. Madrid: Alianza.	OBLIGATORIA	13	1	5562
Electivo I “La naturaleza al servicio de la creatividad plástica”	Primer Semestre	Wolf, Rachel, Idea Books (1990) Curso básico de técnicas de dibujo y pintura. Barcelona: Idea Books.	OBLIGATORIA	13	6	14792
Electivo I “La naturaleza al servicio de la creatividad plástica”	Primer Semestre	Parramon (1998). Ejercicios Parramon. Barcelona: Parramon.	COMPLEMENTARIA	13	4	12228
Elec.I. Taller de Impostación y Cuidado de la Voz	Primer Semestre	Ander-Egg Ezequiel. Aguilar Idáñez María José . Cómo aprender a hablar en público. Buenos Aires : Magisterio del Río de la Plata, 1994.	OBLIGATORIA	13	1	10598
Elec.I. Taller de Impostación y Cuidado de la Voz	Primer Semestre	Barmat de Miles, Alicia B., Ramos, Laura. Música para fonoaudiólogos. Buenos Aires.Edit. EUDEBA, 1999.	NO INDICA	13	1	16247
Elec.I. Taller de Impostación y Cuidado de la Voz	Primer Semestre	Zuccherini Renzo. Como educar la comunicación oral. Barcelona: Ediciones Ceac, 1992.	NO INDICA	13	1	11915
Elec.I. Taller de Impostación y Cuidado de la Voz	Primer Semestre	de Mena González Ana. Educación de la Voz: Principios fundamentales de Ortofonía. Málaga : Aljibe, 1996	NO INDICA	13	1	14003
Electivo I: Taller de Geogebra	Primer Semestre	Reyes,C., Dissett, L.,Gormaz, R.,Geometría. Colección ReFIP: Recursos para la formación de profesores de educación básica. Ediciones SM Chile. Santiago, Chile. 2014.	OBLIGATORIA	5	5	26162
Electivo I: Taller de Geogebra	Primer Semestre	"Stanley Clemens, Phares O""Daffer y Thomas Vooney. (1998).""Geometría"", México, Addison Wesley"	OBLIGATORIA	5	0	
Elec. I: Taller de Geogebra	Primer Semestre	Reyes,C., Dissett, L.,Gormaz, R.,Geometría. Colección ReFIP: Recursos para la formación de profesores de educación básica. Ediciones SM Chile. Santiago, Chile. 2014.	OBLIGATORIA	6	5	26162
Elec. I: Taller de Geogebra	Primer Semestre	"Stanley Clemens, Phares O""Daffer y Thomas Vooney. (1998).""Geometría"", México, Addison Wesley"	OBLIGATORIA	6	0	
Didáctica de la Geometría	Segundo Semestre	Cofré,A.,&Tapia, L.(1988).Cómo desarrollar el pensamiento lógico matemático. Santiago Chile: Universitaria	OBLIGATORIA	35	0	
Didáctica de la Geometría	Segundo Semestre	Azcárate, et al (2008). Didáctica de las Matemáticas para Maestros de Educación Primaria. Madrid: Síntesis	OBLIGATORIA	35	3	25976
Didáctica de la Geometría	Segundo Semestre	Chamorro M. (2005). Didáctica de la Matemática para Primaria. Madrid: Pearson	OBLIGATORIA	35	3	22504
Didáctica de la Geometría	Segundo Semestre	Rico, L., Segovia, I.. (2011). Matemáticas para maestros de Educación Primaria. Madrid: Pirámides.	OBLIGATORIA	35	0	
Didáctica de la Geometría	Segundo Semestre	Lerner, D. et al (2011). El lugar de los problemas en la clase de Matemática. Buenos Aires: Novedades Educativas.	COMPLEMENTARIA	35	3	25925
Didáctica de la Geometría	Segundo Semestre	Martínez, P., Rico, L. Enseñanza y aprendizaje de las matemáticas en Educación Primaria.	COMPLEMENTARIA	35	4	26901
Didáctica de la Geometría	Segundo Semestre	Riveros, M; Zanocco, P.(1992). Geometría: aprendizaje y juego. Santiago: Universidad Católica de Chile	COMPLEMENTARIA	35	1	5272
Taller Portafolio I	Segundo Semestre	Gallego, R. (1998) Discurso constructivista sobre las tecnologías. Cooperativa Editorial Magisterio  Bogotá.	OBLIGATORIA	35	2	20957-12519
Taller Portafolio I	Segundo Semestre	Tobon, S. (2006) Competencias en la educación superior : Políticas hacia la calidad, Ecoe Ediciones  Bogotá	OBLIGATORIA	35	1	23821
Taller Portafolio I	Segundo Semestre	Antunes, C. (2006) Cómo desarrollar las competencias en clase. Editorial Sb, reimp. Argentina	OBLIGATORIA	35	1	21636
Taller Portafolio I	SegundoSemestre	García, Ana & otros (2007) Aprendizaje basado en competencias : una propuesta para la evaluación de las competencias Ediciones Mensajero : Universidad de Deusto, Bilbao	COMPLEMENTARIA	35	1	20869
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	Gessel, Arnold. (1971). El adolescente de 10 a 16 años. Paidos, buenos aires.	OBLIGATORIA	35	1	4717
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	Gutiérrez, F (1993). Orientación y Desarrollo Afectivo. Coprim. Chile.	OBLIGATORIA	35	2	2135
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	Papalia, Diane (2009). Psicologia del desarrollo, de la infancia a la adolescencia. Santa Fe de Bogotá, Mc Graw-Hill.	OBLIGATORIA	35	8	4748-23143
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	Ruz, J. (2003). Convivencia escolar y calidad de educación. Ministerio de educación. Chile	OBLIGATORIA	35	4	18517
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	Sharp, Margaret (1978) Psicología del Aprendizaje Infantil. Kopetusz, Buenos Aires.	OBLIGATORIA	35	1	1933
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	Toledo, Virginia (1998) Adolescencia tiempo de decisiones. Manual para trabajar con adolescentes. Mediterráneo. Santiago, chile.	OBLIGATORIA	35	1	11571
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	Travers, Robert (1976). Fundamentos del Aprendizaje. Edición Abierta, Santillana, Madrid.	OBLIGATORIA	35	3	1842
Psicología del Desarrollo y el Aprendizaje II	Segundo Semestre	-Suarez, M, (1998). Familia y valores. Escuela para padres, la hora del encuentro. Editorial Magisterio. Bogotá.	COMPLEMENTARIA	35	4	22613
Didáctica de la Matemática I	Segundo Semestre	Cofré,A.,&Tapia, L.(1988).Cómo desarrollar el pensamiento lógico matemático. Santiago Chile: Universitaria	OBLIGATORIA	35	1	11252
Didáctica de la Matemática I	Segundo Semestre	Aharoni, Ron.2012.Aritmética para padres y madres : Un libro para adultos sobre la matemática escolar. Santiago, Chile : Academia Chilena de Ciencias. Universitaria.	OBLIGATORIA	35	20	26572
Didáctica de la Matemática I	Segundo Semestre	Castro, Enrique ed. 2008 .Didáctica de la matemática en la educación primaria. Madrid : Síntesis	OBLIGATORIA	35	3	25976
Didáctica de la Matemática I	Segundo Semestre	Lewin R., López A. . Martínez S., Rojas D., Zanocco P., Números. Colección ReFIP: Recursos para la formación de profesores de educación básica. Ediciones SM Chile. Santiago, Chile. 2014.	OBLIGATORIA	35	5	26133
Didáctica de la Matemática I	Segundo Semestre	Cofré, J. A., Tapia, A. L., &Lucchini, G.(2006). Matemática recreativa en el aula. Mexico: Alfaomega.	COMPLEMENTARIA	35	3	22022
Didáctica de la Matemática I	Segundo Semestre	"Yáñez .J et al Didáctica de las matemáticas para maestros de Educación Primaria.
"	COMPLEMENTARIA	35	2	26813
Didáctica de la Matemática I	Segundo Semestre	Cofré ,J .A.(1981) Cómo enseñar matemática en Educación Básica .Santiago, Chile : Universitaria	COMPLEMENTARIA	35	2	1959
Didáctica de la Matemática I	Segundo Semestre	Fernández Bravo, José Antonio.(2015) .Inventar problemas para desarrollar la competencia matemática .Madrid : La Muralla	COMPLEMENTARIA	35	4	26876
Didáctica de la Matemática I	Segundo Semestre	Gómez Chacón, Inés María. 2011 .Matemática emocional: Los afectos en el aprendizaje matemático. Madrid : Narcea	COMPLEMENTARIA	35	2	24537
Didáctica de la Matemática I	Segundo Semestre	Mora Hernández, Lorena. (2011) .Didáctica de la matemática para estudiantes con necesidades Otros recursos  Unidades LEM. (2007) Disponible en .: http://lem.uct.cl/?page_id=9  Ministerio de Educación. Gobierno de Chile. Estándares orientadores para egresados de carreras de Pedagogía en Educación Básica .2011.Disponible en  https://www.cpeip.cl/ wp-content/uploads/2018/09/Est%C3%A1ndares _B%C3%A1sica.pdf  Vergnaud, G. (1990) La teoría de los campos conceptuales. Recherches en Didáctique des Mathématiques, Vol. 10,nº 2, 3, pp. 133-170. https://edisciplinas.usp.br/pluginfile.php/122730/mod_resource/content/1 /art_vergnaud_espanhol.pdf  Vergnaud, G. ( 1981) El niño las matemáticas y la realidad. Problemas de la enseñanza de las matemáticas en la escuela primaria. Trillas Editorial. https://es.slideshare.net/edgar_2008/vergnaud-los-problemas-de-tipo-multiplicativo  Navarro, S y Venegas, M. (2005). Talleres Comunales de Perfeccionamiento. Nivel Básico 2 educativas especiales. San José, C. R. : EUNED	COMPLEMENTARIA	35	3	26896
Didáctica de la Matemática I	Segundo Semestre	"Riveros Rojas, Marta coaut..(1999)Vida, números y formas. Santiago, Chile: Ministerio de Educación.
 "	COMPLEMENTARIA	35	2	10515
Didáctica de la Matemática I	Segundo Semestre	Arteaga Martínez, Blanca. (2016)Didáctica de las matemáticas: en educación infantil. La Rioja : Universidad Internacional de la Rioja	COMPLEMENTARIA	35	2	26569
Didáctica de la Matemática I	Segundo Semestre	Broitman, Claudia comp. (2013) Matemáticas en la escuela primaria: Números naturales y decimales con niños y adultos.	COMPLEMENTARIA	35	7	26600
Didáctica de la Matemática I	Segundo Semestre	"Broitman, Claudia. (2013).Matemáticas en la escuela primaria: Saberes y conocimientos de niños y docentes. Buenos Aires: Paidós.
"	COMPLEMENTARIA	35	7	26603
Didáctica de la Matemática I	Segundo Semestre	Segovia Alex, Isidoro coord. (2011).Matemáticas  para maestros de Educación Primaria. Madrid : Ediciones Pirámides	COMPLEMENTARIA	35	3	25987
Didáctica de la Matemática I	Segundo Semestre	"Chamorro, M.(2003).(Didáctica de las matemáticas para primaria. Madrid.
"	COMPLEMENTARIA	35	3	22504
Didáctica de la Matemática I	Segundo Semestre	Stacey, Kaye .(1999).Resolver problemas: estrategias : unidades para desarrollar el razonamiento matemático.	COMPLEMENTARIA	35	2	13636
Elect.II. Taller de Guitarra Funcional I	Segundo Semestre	De La Vega, Alejandro. Método elemental de guitarra : Las canciones más populares	OBLIGATORIA	15	1	11168
Elect.II. Taller de Guitarra Funcional I	Segundo Semestre	Rodríguez M., Eugenia, Kaliski K., Enrique. Método de guitarra chilena. Santiago, Chile. Universitaria, 1996.	OBLIGATORIA	15	6	11207
Elect.II. Taller de Guitarra Funcional I	Segundo Semestre	Puccio, Alicia. Aprenda a tocar guitarra con las hermosas canciones de hoy y siempre. Santiago, Chile. Zig-Zag, 1989. en América Latina. México. Grijalbo. 1a. ed, 1997	OBLIGATORIA	15	1	4481
Psicologia Educacional	Tercer Semestre	- Alvares A (1987). Psicología y educación. Realizaciones y tendencias actuales en la investigación y en la práctica: axtas de las II jornadas internalizaciones de psicología y educación. Visor, Madrid.	OBLIGATORIA	35	1	14607
Psicologia Educacional	Tercer Semestre	- Arauyo Joâo B y otro; (1993) Tecnología Educacional, edit. Paidós, Barcelona.	OBLIGATORIA	35	1	13136
Psicologia Educacional	Tercer Semestre	- Aususbel D. (1998): Psicologia Educativa, Trillas; México.	OBLIGATORIA	35	1	13032
Psicologia Educacional	Tercer Semestre	- Bruner J. (1998): Actos de significado: más allá de la revolución cognitiva; Alianza, Madrid.	OBLIGATORIA	35	1	15001
Psicologia Educacional	Tercer Semestre	- Carretero, M. (1998): Introducción a la Psicología Cognitiva. AIQUE, Buenos Aires.	OBLIGATORIA	35	1	15504
Psicologia Educacional	Tercer Semestre	- Carretero, M. Bennet, N., Järvinen A., Pope, M., Ropo, E. (1998): Procesos de enseñanza y aprendizaje. AIQUE, Madrid.	OBLIGATORIA	35	1	16240
Psicologia Educacional	Tercer Semestre	- Coll Cesar, (2002) Constructivismo en el aula, edit. Grao, 3ra edición, Barcelona, Aprendizaje escolar y construcción del conocimiento.	OBLIGATORIA	35	6	21800
Psicologia Educacional	Tercer Semestre	- Coll, Marchesi y Palacios (1995). Desarrollo Psicológico y Educación. Editorial Alianza.	OBLIGATORIA	35	10	22513
Psicologia Educacional	Tercer Semestre	- Daud B.; Grahome F (1998); The Challenge of Problem Based Learning, Edit. Kage Page, USA.	OBLIGATORIA	35	2	11795
Psicologia Educacional	Tercer Semestre	- Good, T, L. y Brophy J(1986). Psicología Educativa contemporánea, Edit Mc Graw Hill, Mexico.	OBLIGATORIA	35	6	10887
Psicologia Educacional	Tercer Semestre	- Gardner H. (1995) Estructura de la mente: La teoría de las inteligencias múltiples, Ed. Fondo de cultura económica, México.	OBLIGATORIA	35	1	22493
Psicologia Educacional	Tercer Semestre	- Hagarty S.; Pocklington K (1989); Programas de Integración: Estudio de caso de integración de alumnos con necesidades especiales; Edit Siglo XXI de España; España.	OBLIGATORIA	35	1	12262
Psicologia Educacional	Tercer Semestre	- Henson, K. (2000). Psicología Educativa para la enseñanza eficaz. México: International Thomson Edits.	OBLIGATORIA	35	2	21829
Psicologia Educacional	Tercer Semestre	- Klinger C. (2000): Psicología cognitiva McGraw-Hill, Mexico.	OBLIGATORIA	35	1	16080
Psicologia Educacional	Tercer Semestre	- Losada, J.L. (2003) Métodos de Investigación en Ciencias Humanas y Sociales. Madrid: International Thompson Editores.	OBLIGATORIA	35	3	21038
Psicologia Educacional	Tercer Semestre	- Loughlin C.E. y otro (1990); El ambiente de aprendizaje: Diseño y Organización; edit. Morata, Madrid.	OBLIGATORIA	35	2	11882
Psicologia Educacional	Tercer Semestre	- Mayer, R. (1986). Pensamiento, resolución de problemas y cognición. Paidos, Barcelona.	OBLIGATORIA	35	2	14356-13137
Psicologia Educacional	Tercer Semestre	- Pilar y cols. (1992); Constructivismo y Educación; Edit. Trans Lo Blanch; Valencia.	OBLIGATORIA	35	2	2570-11854
Psicologia Educacional	Tercer Semestre	- Pérez M. Royman, Gallego B. Rómulo (1994)Ç; Corrientes Constructivistas, Edit. Magisterio, Colombia.	OBLIGATORIA	35	3	11746
Psicologia Educacional	Tercer Semestre	- Poeydomenge. M. (1986); La Educación según Rogers; Edit. Narcea, Madrid.	OBLIGATORIA	35	2	10997
Psicologia Educacional	Tercer Semestre	- Pozo, J.I, (1997) Teorías Cognitivas del Aprendizaje. Morata, Madrid.	OBLIGATORIA	35	5	10993
Evaluación para el  Aprendizaje	Tercer semestre	Förster, C.E. (2017) El poder de la Evaluación en el Aula. Santiago de Chile: Ediciones Universidad Católica.	OBLIGATORIA	35	4	27163
Evaluación para el  Aprendizaje	Tercer semestre	San Martí N. (2007) Diez ideas claves. Evaluar para aprender. Barcelona: Grao	COMPLEMENTARIA	30	0	
Comunicación Oral	Tercer Semestre	REAL ACADEMIA ESPAÑOLA. (2004), Gramática de la Lengua Española, Madrid: Espasa Calpe.	OBLIGATORIA	34	7	4267
Comunicación Oral	Tercer Semestre	FUENTES, JUAN LUIS, (1980), Comunicación estudio del Lenguaje, Madrid: M. Fernández y Cía., S.A.	OBLIGATORIA	34	4	8173
Comunicación Oral	Tercer Semestre	CONDEMARÍN, MABEL Y MEDINA, ALEJANDRA, (1998), Lenguaje Integrado II, Santiago: Ministerio de Educación de Chile.	OBLIGATORIA	34	1	13414
Comunicación Oral	Tercer Semestre	FUENTES, JUAN LUIS, (2001), Gramática Moderna de la Lengua Española, 10ª edic., Madrid: M. Fernández y Cía., S.A	COMPLEMENTARIA	34	1	4382
Comunicación Oral	Tercer Semestre	CONDEMARÍN, MABEL y MEDINA, ALEJANDRA, (2000), Evaluación de los Aprendizajes, Santiago: Ministerio de Educación de Chile.	COMPLEMENTARIA	34	1	16918
Comunicación Oral	Tercer Semestre	Guía: Escuchar hablar, leer y escribir en la EGB I y II	COMPLEMENTARIA	34	0	
Comunicación Oral	Tercer Semestre	Guía: Iguale ante la lengua, Desiguales en el uso. Bases sociolingüísticas para el desarrollo discursivo	COMPLEMENTARIA	34	0	
Matemática II	Tercer Semestre	Araneda, A., E. Chandía y M. Sorto (2014). Datos y Azar. ReFIP Matemática. Recursos para la Formación Inicial de Profesores de Educación Básica. Santiago de Chile: Ediciones SM.	OBLIGATORIA	30	5	26130
Matemática II	Tercer Semestre	Martínez, S.,Varas, M. (2013). Álgebra. ReFIP Matemática. Recursos para la Formación Inicial de Profesores de Educación Básica. Santiago: Ediciones SM.	OBLIGATORIA	30	5	26129
Matemática II	Tercer Semestre	Ronald E. Walpole, R.,H,&Vásquez, t.G.(1982). Probabilidad y estadística. México: MCGraw-Hill.	COMPLEMENTARIA	30	7	2207
Matemática II	Tercer Semestre	Lewin, R., López, A., Martínez, S., Rojas, D. y Zanocco, P. (2013). Números. ReFIP Matemática. Recursos para la Formación Inicial de Profesores de Educación Básica. Santiago de Chile: S.M. Ediciones.	COMPLEMENTARIA	30	5	26133
Matemática II	Tercer Semestre	Reyes,C., Dissett, L.,Gormaz, R.,Geometría. Colección ReFIP: Recursos para la formación de profesores de educación básica. Ediciones SM Chile. Santiago, Chile. 2014.	COMPLEMENTARIA	30	5	26162
Taller de Desarrollo Personal y Profesional I	Tercer Semestre	Albert, L., & Simon, P. (1991). Las relaciones interpersonales: manual del animador. Barcelona. Herder.	OBLIGATORIA	30	1	13072
Taller de Desarrollo Personal y Profesional I	Tercer Semestre	López, A., Parada, A., & Simonetti, F. (1995). Introducción a la psicología de la comunicación: textos y ejercicios. Universidad católica de Chile.	OBLIGATORIA	30	4	2868
