ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA
Optativo I		Pool, A. (2007, Vol 16, N° 2). Diagnóstico estructural a través de la prueba persona bajo la lluvia en niños y niñas de 9 a11 años de edad, víctimas de agresiones sexuales crónicas. Psykhe, 117-128.	NO INDICA
Optativo I		Rodriguez, C. (2007). Evaluación de la personalidad y sus trastornos a través de métodos proyectivos o pruebas basadas en la actuación. Clínica y Salud, Vol 18, N°3, 325-346.	NO INDICA
Psicodiagnóstico Integrado	401	Piccone Anabela, P. A. (s.f.). Algunas observaciones para evaluar las funciones yoicas de realidad con aplicación de una técnica gráfica. Anuario de Investigaciones, 185-194.	NO INDICA
Psicodiagnóstico Integrado	401	Piccone, A. (2005). Potencial suicida en el test persona bajo la lluvia. Anuario de psicologia Vol XII, 289-296.	NO INDICA
Psicodiagnóstico Integrado	401	Pool, A. (2007, Vol 16, N° 2). Diagnóstico estructural a través de la prueba persona bajo la lluvia en niños y niñas de 9 a11 años de edad, víctimas de agresiones sexuales crónicas. Psykhe, 117-128.	NO INDICA
Psicodiagnóstico Integrado	401	Rodriguez, C. (2007). Evaluación de la personalidad y sus trastornos a través de métodos proyectivos o pruebas basadas en la actuación. Clínica y Salud, Vol 18, N°3, 325-346.	NO INDICA
Psicología Comunitaria	201	Berroeta, H. (2014). El quehacer de la Psicología Comunitaria: Coordenadas para una cartografía. Psicoperspectivas. 13(2). 19-31	OBLIGATORIA
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Domínguez, R. A., Pupo, L. M., & Navarro, M. B. (2005). Sexualidad en el adulto mayor. Archivo Médico de Camagüey 9 (4).	NO INDICA
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Josefina Montes-Rojas, L. G.-G.-P. (2012). Perfil cognoscitivo de adultos mayores de 60 años con y sin deterioro cognoscitivo. Revsita Chilena de neuropsicología 7 (3), 121-126.	NO INDICA
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Lapuente, F. R. (1998). Cambios neuropsicológicos asociados al envejecimiento normal. Anales de psicología vol. 14, Nº 1, 27-43.	NO INDICA
Psicopatología del Adulto y del Adulto Mayor	302	Marquez, L. (2010). Modelo de intervención en crisis. Recuperado el 01 de 04 de 2015, de www.luriapsicologia.com	NO INDICA
Psicopatología del Adulto y del Adulto Mayor	302	Mendoza, R. (2004). Ética y psicologia clínica. Perspectivas psicológica, 18-22.	NO INDICA
Psicopatología Infanto-juvenil	301	Marquez, L. (2010). Modelo de intervención en crisis. Recuperado el 01 de 04 de 2015, de www.luriapsicologia.com	NO INDICA
Psicopatología Infanto-juvenil	301	Mendoza, R. (2004). Ética y psicologia clínica. Perspectivas psicológica, 18-22.	NO INDICA
Taller de Integración I	102	Alvear, K. (2008 volumen 26). ¿Códigos en la postmodernidad? Opiniones de psicólogos/as acerca del código de ética profesional del colegio de psicólogos de chile. terapia psicológica, 215-228.	NO INDICA
Taller de Integración I	102	Mendoza, R. (2004). Ética y psicologia clínica. Perspectivas psicológica, 18-22.	NO INDICA
Taller de Integración I	102	Velazquez, A. S. (2012). El rol del psicólogo visto desde la ética: importancia de esta en la cuestión de los derechos humanos. Contenido Arte y cultura/artículos de ciencias sociales, 45-57.	NO INDICA
Taller de Integración I	102	Winkler, M. I. (2012 volumen 21). Querer no basta deberes éticos en la práctica, formación e investigación en psicología comunitaria. Psykhe, 115-129.	NO INDICA
Taller de Integración I	102	http://www.leychile.cl/Navegar?idNorma=1039348. (24 de ABRIL de 2012). Recuperado el 08 de SEPTIEMBRE de 2015, de http://bcn.cl/1m0do	NO INDICA
Taller de Integración II	202	http://www.leychile.cl/Navegar?idNorma=1039348. (24 de ABRIL de 2012). Recuperado el 08 de SEPTIEMBRE de 2015, de http://bcn.cl/1m0do	NO INDICA
Taller de Integración II	202	Alvear, K. (2008 volumen 26). ¿Códigos en la postmodernidad? Opiniones de psicólogos/as acerca del código de ética profesional del colegio de psicólogos de chile. terapia psicológica, 215-228.	NO INDICA
Taller de Integración II	202	Mendoza, R. (2004). Ética y psicologia clínica. Perspectivas psicológica, 18-22.	NO INDICA
Taller de Integración II	202	Velazquez, A. S. (2012). El rol del psicólogo visto desde la ética: importancia de esta en la cuestión de los derechos humanos. Contenido Arte y cultura/artículos de ciencias sociales, 45-57.	NO INDICA
Taller de Integración III	302	Mendoza, R. (2004). Ética y psicologia clínica. Perspectivas psicológica, 18-22.	NO INDICA
Taller de Integración IV	402	Mendoza, R. (2004). Ética y psicologia clínica. Perspectivas psicológica, 18-22.	NO INDICA
Técnicas Proyectivas	302	Piccone Anabela, P. A. (s.f.). Algunas observaciones para evaluar las funciones yoicas de realidad con aplicación de una técnica gráfica. Anuario de Investigaciones, 185-194.	NO INDICA
Técnicas Proyectivas	302	Piccone, A. (2005). Potencial suicida en el test persona bajo la lluvia. Anuario de psicologia Vol XII, 289-296.	NO INDICA
Técnicas Proyectivas	302	Pool, A. (2007, Vol 16, N° 2). Diagnóstico estructural a través de la prueba persona bajo la lluvia en niños y niñas de 9 a11 años de edad, víctimas de agresiones sexuales crónicas. Psykhe, 117-128.	NO INDICA
Técnicas Proyectivas	302	Rodriguez, C. (2007). Evaluación de la personalidad y sus trastornos a través de métodos proyectivos o pruebas basadas en la actuación. Clínica y Salud, Vol 18, N°3, 325-346.	NO INDICA
Teorías Humanistas	202	Vásquez Rocca, Adolfo (2015). La cuestión del sujeto: psicopatologías del yo y latransformación biopolítica de la subjetividad. Nómadas 42 |Universidad central | colombia.	OBLIGATORIA
Psicología del desarrollo infanto-juvenil	201	- Desarrollo cognitivo, motor y psicomotor en la infancia (Apunte de clases en plataforma).	COMPLEMENTARIA
