PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022									
									
CARRERA:	Técnico universitario en Metalurgia								
									
									
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	CANTIDAD COPIA EN VALLENAR	N° DE BIB	CANTIDAD COPIA EN VALLENAR	Disponibilidad	Disponibilidad Vallenar
TALLER III OPERACIONES INDUSTRIALES	210	Concha A., F. (1990). Fundamentos de la clasificación. Universidad de Concepción. Escuela de Ingeniería	Básica	4	0	281	4	1	0
TALLER III OPERACIONES INDUSTRIALES	210	Cáceres Arenas, G. (1990). Hidrometalurgia y electrometalurgia. Editorial Universidad de Atacama.	Básica	3	1	366	4		1
TALLER III OPERACIONES INDUSTRIALES	210	Astorga Flores, A. (1987). Flotación, pruebas de flotación y clasificación de relaves. Editorial Universidad de Atacama.	Complementaria	3	1	138	4		1
TRATAMIENTO DE RESIDUOS INDUSTRIALES	210	Residuos sólidos: Estudios y planes de manejo. (1997). Santiago de Chile, Chile: Ministerio de Planificación y Cooperación. 	Básica	3	0	9947	3	1	0
TRATAMIENTO DE RESIDUOS INDUSTRIALES	210	Seminario Internacional sobre tecnologías limpias para la industria minera ( Santiago) 1996. Tecnologías limpias para la industria minera. Universidad de Concepción.	Básica	0	0	8858	2	0	0
TRATAMIENTO DE RESIDUOS INDUSTRIALES	210	Vadillo, F. L. (1995). Manual de reutilización de residuos de la industria minera, siderometalúrgica y termoeléctrica. Madrid: Instituto Tecnológico Geominero de España	Complementaria	1	0	222	1	1	0
PRÁCTICA LABORAL	220	Barberá, E. (2008). El estilo e-portafolio. Barcelona: UOC.	Básica	1	0	25975	1	1	0
PRÁCTICA LABORAL	220	Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación. Madrid: Narcea Edición. 	Básica	1	0	22639	1	1	0
PRÁCTICA LABORAL	220	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	Básica	0	0	14923	8	0	0
PRÁCTICA LABORAL	220	Adler, R. B., Elmhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	Complementaria	3	0	20977	3	1	0
PROYECTO DE TITULACIÓN 	220	Tugendhat, E., Vicuña, A. M., & López, C. (2001). El libro de Manuel y Camila: Diálogos sobre ética. Barcelona: Gedisa Editorial.	Básica	0	0	0		0	0
PROYECTO DE TITULACIÓN 	220	Muñoz, R. C. (2011). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	Básica	1	0	24839	1	1	0
PROYECTO DE TITULACIÓN 	220	Ñaupas, P. H., Valdivia, D. M. R., Palacios, V. J. J., & Romero, D. H. E. (2018). Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	Complementaria	3	6	27861	9		1
PROYECTO DE TITULACIÓN 	220	Hernández, S. R., & Fernández, C. C. B. L. M. P. (January 01, 2010). Metodología de la investigación. 	Complementaria	0	0	25115	18	0	0
