RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca	% Cobertura		
Didáctica para Educación Parvularia I	SEMESTRE 2	Murado, J. (2010). Didáctica de inglés en educación infantil. Métodos para la enseñanza y el aprendizaje de la lengua inglesa. España: Editorial Ideas Propias.	COMPLEMENTARIA		0
Didáctica para Educación Parvularia I	SEMESTRE 2	Larsen-Freeman, D. (2011) Techniques and Principles in Language Teaching. Oxford University Press	OBLIGATORIA	13	0
Fundamentos del Currículum	SEMESTRE 3	Ministerio de Educación. (2003). Marco para la Buena Enseñanza. Chile. Ministerio de Educación.	COMPLEMENTARIA	12	0
Literatura Infantil	SEMESTRE 3	Moss, A., Stott, J. (1986). The Family of Stories: An Anthology of Children’s Literature. New	COMPLEMENTARIA	12	0
Literatura Infantil	SEMESTRE 3	Munsch, R. (2005) [1980]. The Paper Bag Princess. New York: Annick Press Ltd.	COMPLEMENTARIA	12	0
Competencia Comunicativa III	SEMESTRE 3	Alexander, L.G. (1990). Longman English Grammar Practice. Londres: Longman.	COMPLEMENTARIA		0
Fonología Segmental	SEMESTRE 3	Marks, J. (2007). English Pronunciation in Use Elementary: Self-Study and Classroom Use. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	0
Fonología Segmental	SEMESTRE 3	Jones, D. (1995). An English Pronouncing Dictionary. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	0
Fonología Segmental	SEMESTRE 3	Hooke, R., Rowell, J. (1982). A handbook of English Pronunciation. Edward Arnold Publisher Ltd.	COMPLEMENTARIA	15	0
Didáctica para Educación Parvularia II	SEMESTRE 3	Wright, A. (1995). Storytelling with Children. Oxford: Oxford University Press.	COMPLEMENTARIA	13	0
Didáctica para Educación Parvularia II	SEMESTRE 3	Larsen-Freeman, D. (2011). Techniques and Principles in Language Teaching. Oxford University Press	COMPLEMENTARIA	13	0
TRABAJO DE CAMPO 1+ABP	SEMESTRE 3	Ministerio de Educación. (2004). Marco Para La Buena Enseñanza. Santiago: MINEDUC.	OBLIGATORIA		0
Evaluación Educacional	SEMESTRE 4	Hein A., y Taut, S. (2010). El uso de información evaluativa externa con fines formativos en	COMPLEMENTARIA		0
Cultura y Civilización de Estados Unidos	SEMESTRE 4	. Burke, M. (1979). United States History: The Growth of Our Land. Chicago: American	COMPLEMENTARIA		0
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Crapo, R. H. (1993). Cultural Anthropology. Understanding Ourselves and Others.	COMPLEMENTARIA		0
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Garraty, J. A., Carnes, M. C. (2001). The American Nation. A History of the United States to 1887. New York: Harper and Row.	COMPLEMENTARIA		0
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Holden, R. H., Zolov, E. (2000). Latin America and the United States. A Documentary	COMPLEMENTARIA		0
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Kirk, G., Okazawa-Rey, M. (2001). Women´s Lives. Multicultural Perspectives. Mountain	COMPLEMENTARIA		0
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Tindall, Gerge; Shi, David E. (1989). América. A Narrative History. New York: W. W. Norton &amp;	COMPLEMENTARIA		0
Competencia Comunicativa IV	SEMESTRE 4	Alexander, L. (1990). Longman English Grammar Practice. Londres: Longman.	COMPLEMENTARIA		0
Competencia Comunicativa IV	SEMESTRE 4	Hashemi, L., Thomas, B. (2014). Objective FCE Cambridge. Cambridge: Cambridge University Press.	COMPLEMENTARIA		0
Fonología Suprasegmental	SEMESTRE 4	Finch, D., Ortiz, H. (1982). A Course in English Phonetics for Spanish Speakers. Heinemann Educational Books, Ltd.	COMPLEMENTARIA	15	0
Fonología Suprasegmental	SEMESTRE 4	Hooke, R., Rowell, J. (1982). A handbook of English Pronunciation. Edward Arnold Publisher Ltd.	COMPLEMENTARIA	15	0
Fonología Suprasegmental	SEMESTRE 4	Hancock, M. (2007). English Pronunciation in Use Intermediate. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	0
Fonología Suprasegmental	SEMESTRE 4	Baker, A., Goldstein, S. (2009). Pronunciation Pair, an Introduction to the Sounds of English. Cambridge University Press.	OBLIGATORIA	15	0
Didática para Educación Básica I	SEMESTRE 4	to Children. Cambridge: Cambridge University Press.	OBLIGATORIA		0
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Saracostti, M. (2013).Herramientas para un trabajo colaborativo, Santiago, Chile. Editorial Universitaria.	OBLIGATORIA	15	0
Políticas Educacionales	SEMESTRE 5	Pontificia Universidad Católica de Chile, Teleduc. (1997). Familia y centros educativos, Santiago, Chile.	NO INDICA	15	0
Políticas Educacionales	SEMESTRE 5	Echeita, G. (2006). Educación para la inclusión o educación sin exclusiones. Madrid: Narcea.	COMPLEMENTARIA		0
Políticas Educacionales	SEMESTRE 5	Hargreaves, A. (2005). Profesorado, cultura y postmodernidad. Cambian los tiempos, cambia el profesorado. Madrid: Morata.	COMPLEMENTARIA		0
Políticas Educacionales	SEMESTRE 5	Oliva, M. (2008). Políticas educativas y profundización de la desigualdad en Chile. Estudios Pedagógicos, 207-226.	COMPLEMENTARIA		0
Políticas Educacionales	SEMESTRE 5	Sacristán, J. (2005). La educación que aún es posible. Madrid: Morata.	COMPLEMENTARIA		0
Políticas Educacionales	SEMESTRE 5	Sacristan, J. (2006). La reforma necesaria: Entre la política educativa y la práctica escolar. Madrid: Morata S. L.	COMPLEMENTARIA		0
Políticas Educacionales	SEMESTRE 5	Stainback, S., & Stainback, W. (2007). Aulas Inclusivas. Un nuevo modo de enfocar y vivir el currículo. Madrid: Narcea.	COMPLEMENTARIA		0
Políticas Educacionales	SEMESTRE 5	Torres, J. (2001). Educación en tiempos de neoliberalismo. Madrid: Moratas S. L	COMPLEMENTARIA		0
Cultura y Civilización del Reino Unido	SEMESTRE 5	McDowall, D. (2006). An Illustrated History of Britain, Longman. Pearson Education Limited.	COMPLEMENTARIA		0
Cultura y Civilización del Reino Unido	SEMESTRE 5	Crapo, Richley H. (1993). Cultural Anthropology. Understanding Ourselves and Others. Connecticut: The Duskin Publishing Group.	COMPLEMENTARIA		
Cultura y Civilización del Reino Unido	SEMESTRE 5	Storry, M. (2013). Contemporary British (4th Ed). Routledge.	COMPLEMENTARIA		
Competencia Comunicativa V	SEMESTRE 5	Alexander, L.G. (1990). Longman English Grammar Practice. Londres: Longman.	COMPLEMENTARIA	20	0
Competencia Comunicativa V	SEMESTRE 5	Savage, A., & Mayer, P. (2006) Effective Academic Writing 2: The Short Essay. Oxford: Oxford University Press.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Savage, A., & Mayer, P. (2006) Effective Academic Writing 2: The Short Essay. Oxford: Oxford University Press.	OBLIGATORIA		0
Lingüística Aplicada I	SEMESTRE 5	Akmajian Adrian, et al. (2001). Linguistics. An Introduction to Language and Communication. The MIT Press. Fifth Edition.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Bailey, Kathleen M. and Nunan, David. (1996). Voices from the Language Classroom. Cambridge University Press.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Blake, N. and Jean Moorhead. (1993). Introduction to English Language. MacMillan Press Ltd.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Celce-Murcia, Marianne and Diane Larsen-Freeman.(1999).  The Grammar Book, An ESL/EFL	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Crane, Ben L., Yeager, Edward and Whitman, Randal L. (1981). An Introduction to Linguistics. Little, Brown and Company.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Ellis, Rod. (1998). Second Language Acquisition. O.U.P.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Finch, Geoffrey. (2003). How to Study Linguistics. Palgrave MacMillan, Second Edition.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Lewis, Michael. (1993). The Lexical Approach. Commercial Colour Press.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Lightbown, Patsy and Nina Spada. (1995). How Languages are Learned. OUP.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Nunan, David. (1992). Collaborative Language Learning and Teaching. Cambridge University Press	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	O’Grady, William, et al. (2001). Contemporary Linguistics. An Introduction. Bedford. St. Martin’s.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Richard-Amato, Patricia. (1988). Making It Happen. Interaction in the Second Language Classroom. Longman.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Richards, Jack and Lockhart, Charles. (1994). Reflective Teaching in Second Language Classrooms. Cambridge University Press.	COMPLEMENTARIA		0
Lingüística Aplicada I	SEMESTRE 5	Richards, Jack C. and Renandya, Willy A. (2002). Methodology in Language Teaching. An Anthology of Current Practice. Cambridge University Press.	COMPLEMENTARIA		0
Electivo IV	SEMESTRE 6	"1.        Manzi J., González R., and SunY. (2011). La Evaluación Docente en Chile. Centro de Medición Mide UC. Facultad de Ciencias Sociales, Facultad de Psicología. Pontificia Universidad Católica de Chile.                                                                                   2.         Gilliland B, Pavez K, Muñoz A(2018) E-portfolio project: Assessing language teacher learning in the chilean desert.""
3.        Guerrero H., Polo S., Martinez J., Ariza P. (2018). Trabajo Colaborativo como estrategia didáctica para el desarrollo del pensamiento crítico. Universidad de la Costa, Barranquilla, Colombia.                                                                                                        4.        Cpeip. Estándares de la Profesión Docente, Marco para la buena enseñanza (primera edición). (2021). Ministerio de Educación. Chile.    "	NO INDICA		
Electivo IV	SEMESTRE 6	Gilliland, B., Pavez, K., & Muñoz, A. (2017). E-Portfolio Project: Assessing Language Teacher Learning in the Chilean Desert. Libro The Politics of English Second Language Writing Assessment in Global Contexts. Routledge Publishers	OBLIGATORIA		0
Electivo IV	SEMESTRE 6	Cpeip. Manual de Portafolio Educación Media 2021. Ministerio de Educación. p. 6-8	OBLIGATORIA		0
Electivo IV	SEMESTRE 6	Cpeip. (2020). Resultados Nacionales Evaluación Docente 2019. Ministerio de Educación. Chile	OBLIGATORIA		0
Electivo IV	SEMESTRE 6	Preiss D. et al. (2014). Buenas Prácticas Pedagógicas Observadas en el Aula de Segundo Ciclo Básico en Chile. Psykhe. Santiago. P. 4-6.	OBLIGATORIA		0
Fundamento de la Investigación Científica	SEMESTRE 6	Samaya, J. (1999). Epistemología y metodología: elementos para una teoría de la investigación científica. Buenos Aires: Eudeba.	OBLIGATORIA		0
Fundamento de la Investigación Científica	SEMESTRE 6	American Psychological Association (2010). Manual de Publicaciones. Tercera edición traducida de la sexta en inglés. México: Manual Moderno.	COMPLEMENTARIA		0
Informática Educativa	SEMESTRE 6	Ilabaca, J. S. (2000). Informática Educativa. Santiago: Editorial Universitaria.	OBLIGATORIA	25	0
Lingüística Aplicada II	SEMESTRE 6	Akmajian Adrian, et al. (2001). Linguistics. An Introduction to Language and Communication. The MIT Press. Fifth Edition.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Bailey, Kathleen M. and Nunan, David. (1996). Voices From the Language Classroom. Cambridge University Press.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Blake, N. and Jean Moorhead. (1993). Introduction to English Language.  MacMillan Press Ltd.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Celce-Murcia, Marianne and Diane Larsen-Freeman.(1999).  The Grammar Book, An ESL/EFL  Teacher’s Course. Heinle & Heinle Publishers. Second Edition.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Crane, Ben L., Yeager, Edward and Whitman, Randal L. (1981). An Introduction to Linguistics.Little, Brown and Company.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Ellis, Rod. (1998).  Second Language Acquisition. O.U.P.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Finch, Geoffrey. (2003). How to Study Linguistics.  Palgrave MacMillan, Second Edition.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Lewis, Michael. (1993). The Lexical Approach. Commercial Colour Press.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Nunan, David. (1992). Collaborative Language Learning and Teaching. Cambridge University Press.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	O’Grady, William, et al. (2001). Contemporary Linguistics. An Introduction. Bedford. St. Martin’s.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Richard-Amato, Patricia. (1988). Making It Happen. Interaction in the Second Language Classroom. Longman.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Richards, Jack. and Lockhart, Charles. (1994). Reflective Teaching in Second Language Classrooms. Cambridge University Press.	COMPLEMENTARIA		0
Lingüística Aplicada II	SEMESTRE 6	Richards, Jack C. and Renandya, Willy A. (2002). Methodology in Language Teaching. An Anthology of Current Practice. Cambridge University Press.	COMPLEMENTARIA		0
Lingüística Aplicada II		Savage, Alice; Shafiei, Masoud. (2007). Effective Academic Writing 3.  Hedge, Tricia Oxford (2008) Writing, Oxford University Press.	OBLIGATORIA	18	0
Electivo VI	SEMESTRE 8	"1.        Ley 20903, Art.19: Principio Orientadores del Sistema de Desarrollo Profesional Docente.
2.        MINEDUC (2008).Marco para la Buena Enseñanza
3.        MINEDUC Planes y Programas 5to a 6to básico
4.        MINEDUC Planes y Programas de Estudio 7mo a 2do medio
5.        MINEDUC Planes y Programas de Estudio 3ro a 4to medio
6.        MINEDUC: Mapas de progreso de aprendizaje :Sector idioma extranjero :Inglés: Mapa de progreso de comprensión lectora
7.        Pavez, Katterine, Tapia, Paulina, & Ralph, Susana. (2020). Simulaciones de prácticas progresivas: una respuesta ante la pandemia . editorial Dyckinson .
                                                                                                                                                                                                
"	NO INDICA		
Electivo VI	"
SEMESTRE 8
"	"1.         Aguilar, D., Pavez, K. y Godoy, G. 2021. Portafolio electrónico: innovación de los procesos formativos y reflexivos en la carrera de Traductología. Libro Desempeño docente y formación en competencia digital en la era sars cov. editorial dykinson.                                                                                                                                                                                                                                                                 2.         Lara B., Angulo A. (2020). Reflexiones de profesores chilenos en contextos de Evaluación Docente. Pontificia 
Universidad Católica de Valparaíso Perspectiva Educacional. Formación de Profesores Octubre 2020, Vol
59(3), pp. 24-44.
3.       Cpeip. (2020). Resultados Nacionales Evaluación Docente 2019. Ministerio de Educación. Chile.                                                                                                                                                                                   4.       Preiss D. et al. (2014). Buenas Prácticas Pedagógicas Observadas en el Aula de Segundo Ciclo Básico en Chile.
Psykhe. Santiago. P. 4-6.          "	NO INDICA		
Liderazgo y Administración Educacional	SEMESTRE 8	Liderar la escuela para transformar la educación	NO INDICA	20	0
	SEMESTRE 8	Carrasco, A. (2008) Investigación en Efectividad y Mejora Escolar. ¿Nueva Agenda? REICE.	COMPLEMENTARIA		0
	SEMESTRE 8	American Psychological Association (2010). Manual de Publicaciones. Tercera edición traducida de la sexta en inglés. México: Manual Moderno	OBLIGATORIA		0
Trabajo de Grado	SEMESTRE 8	American Psychological Association. (2020). Publication Manual of the American Psychological Association 2020: The Official Guide to APA Style (7th Ed.). American Psychological Association.	OBLIGATORIA		0
Trabajo de Grado	SEMESTRE 8	Schmelkes, C. (1988). Manual para la presentación de anteproyectos e informes de investigación. México: Harla.	OBLIGATORIA	17	0
Composición Avanzada	SEMESTRE 9	Savage, A& Shafiei, M. (20). Effective Academic Writing 3.  Hedge, T. (2008) Writing, Oxford University Press.	OBLIGATORIA	20	0
Trabajo de Título	SEMESTRE 9	American Psychological Association. (2020). Publication Manual of the American Psychological Association 2020: The Official Guide to APA Style (7th Ed.). American Psychological Association.	OBLIGATORIA	19	0
Optativo	SEMESTRE 9	Hooke, R., Rowell, J. (1982). A handbook of English Pronunciation. Edward Arnold Publisher Ltd. 	OBLIGATORIA		0
Optativo	SEMESTRE 9	Kachru,B. (2008). The Handbook of World Englishes, ed. Hoboken:   John Wiley & Sons.	COMPLEMENTARIA		0
