 BIBLIOGRAFICA GEOLOGIA							
							
CARRERA:	GEOLOGÍA						
							
							
ASIGNATURA	NIVEL	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	 ESTUDIANTES POR ASIGNATURA	DISPONIBLES EN BTCA	NRO DE BIB# 	Disponibilidad
Inglés II	201	McCarthy, M., McCarten, J. & Sandiford, H. (2005). “Touchstone 1”. Cambridge: Cambridge University Press.	OBLIGATORIA		1	28297	1
Inglés II	201	Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Inglés II	201	Richards, J. C. (2004). Interchange intro. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Inglés II	201	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	COMPLEMENTARIA		0		0
Inglés II	201	Marks, J. (2007). English pronunciation in use elementary. Cambridge: Cambridge University Press.	COMPLEMENTARIA		12	27074	1
Paleontología	201	Benton, M. J. & Harper D.A. T.  (2009). Introduction to paleobiology and the fossil record.Hoboken, NJ: Wiley-Blackwell, 2009	OBLIGATORIA		5	26565	1
Paleontología	201	Meléndez, B., 1998. Tratado de paleontología. Tomo I. Madrid: CSIC	OBLIGATORIA		2	24676	1
Paleontología	201	Allison, P. A. & Bottjer, D. J. (2010). Taphonomy: process and bias through time. New York: Springer.	COMPLEMENTARIA		6	24972	1
Paleontología	201	 Benton M. J. (2008). The history of life. A very short introduction. New York: Oxford University Press.	COMPLEMENTARIA		0		0
Paleontología	201	Camacho H. (2007). Los invertebrados fósiles. Editado por Monica Longobucco. Tomo I. Buenos Aires: Vazquez Mazzini Editores.	COMPLEMENTARIA		0		0
Paleontología	201	Fernández-López, S. R. (2000). Fernández-López, S. R. (2000). Temas de tafonomía. Madrid: Departamento de Paleontología. Universidad Complutense de Madrid.Madrid: Departamento de Paleontología. Universidad Complutense de Madrid.	COMPLEMENTARIA		0		0
Paleontología	201	Martin, R. E. (1999). Taphonomy: a process approach. Cambridge: Cambridge University Press.	COMPLEMENTARIA		0		0
Paleontología	201	Miller, W. (Ed.). (2007). Trace fossils concepts, problems, prospects. Oxford: Elsevier.	COMPLEMENTARIA		3	25020	1
Paleontología	201	Turner D. (1974). Paleontology: a philosophical introduction. Cambridge: Cambridge University Press.	COMPLEMENTARIA		1	24970	1
Cálculo II	201	Leithold, L. (1998). El cálculo. México: Oxford University Press Harla.	OBLIGATORIA		306	11253	1
Cálculo II	201	Larson, R., Hostetler, R. P. & Edwards, B. H. (2009). Cálculo integral: Matemáticas 2. México: McGrawHill.	OBLIGATORIA		2	22563	1
Cálculo II	201	Thomas, G. (2006). Cálculo en una Variable. México: Pearson Educación.	COMPLEMENTARIA		0		0
Física II	201	Freedman, R. A., Sears, F. W., Young, H. D. & Zemansky, M. W. (2009). Física universitaria	OBLIGATORIA		25	22557	1
Física II	201	México: Addison Wesley Longman. Clasificación Biblioteca UDA: 530 F537fis 2009	OBLIGATORIA		25	22557	1
Física II	201	Díaz, J. E., Ibarra, M., Leiva, R. & Villarroel, L. Física “Electromagnetismo”. Copiapó: Universidad de Atacama	OBLIGATORIA		198	7921	1
Física II	201	Alonso, M. & Finn, E. (2000). Física. México: Pearson Educación	OBLIGATORIA		47	18161	1
Física II	201	Resnick, R., Halliday, D. & Krane, K. S. (2004). Física, vol. 2. México: Compañia Editorial	OBLIGATORIA		142	18282	1
Física II	201	Giancoli, D. C. (2002). Física para Universitarios. México: Pearson Educación.	OBLIGATORIA		129	18168	1
Autogestión del aprendizaje	201	Brockbank, A. & McGill, I. (2002). Aprendizaje reflexivo en la educación superior. Madrid: Morata.	OBLIGATORIA		6	23070	1
Autogestión del aprendizaje	201	Monte, M. & Sebastiani, E.M. (2006). Ser estratégico y Autónomo Aprendiendo. Barcelona: Grao.	OBLIGATORIA		7	16677	1
Petrología Ígnea y Metamórfica I	202	Francis, J. T. & Verhoogen J. (1963). Petrología Ígnea y Metamórfica. Barcelona: Omega.	OBLIGATORIA		1	2924	1
Petrología Ígnea y Metamórfica I	202	Winkler, H. (1976). Petrogenesis of Metamorphic rocks. Berlin: Springer.	OBLIGATORIA		2	2979	1
Petrología Ígnea y Metamórfica I	202	Yardley, B. W. D. (1998). An introduction to metamorphic petrology. London: Longman.	OBLIGATORIA		2	11604	1
Petrología Ígnea y Metamórfica I	202	Winter, J. (2010). An introduction to igneous and metamorphic petrology. New York: Prentice Hall.	OBLIGATORIA		2	23914	1
Petrología Ígnea y Metamórfica I	202	Sigurdsson, H., Houghton, B., Rymer, H., Stix, J., and McNutt, S. (2015). Encyclopedia of Volcanoes. New York, United States: Academic Press.	COMPLEMENTARIA		2	23190	1
Petrología Ígnea y Metamórfica I	202	Tyrrell, G. W. (1969). Principios de petrología: introducción al estudio de las ciencias de las rocas. Ciudad de México, México: Continental.	COMPLEMENTARIA		2	2937	1
Petrología Ígnea y Metamórfica I	202	Pérez. E. (1961). Petrografía Macroscópica. Santiago, Chile: Universidad de Chile.	COMPLEMENTARIA		1	2954	1
Petrología Ígnea y Metamórfica I	202	Best, M.G. (1995). Igneous and metamorphic petrology. Massachusetts, United States: Blackwell science.	COMPLEMENTARIA		3	2637	1
Petrología Ígnea y Metamórfica I	202	Wilson, M. (1989). Igneous petrogenesis. London, United Kingdom: Chapman & Hall.	COMPLEMENTARIA		0		0
Petrología Ígnea y Metamórfica I	202	Cas, R., and Wright, J. (1987). Volcanic Successions. London, United Kingdom: Unwin Hyman.	COMPLEMENTARIA		0		0
Inglés III	202	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	OBLIGATORIA		0		0
Inglés III	202	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA		0		0
Inglés III	202	Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Inglés III	202	Allaby, M.  (2013). A Dictionary of Geology and Earth Sciences Oxford: Oxford University Press.Crowther, J. (1995). Oxford Advanced Learner‟s Dictionary: Of Current English. Oxford: Oxford	COMPLEMENTARIA		0		0
Inglés III	202	Crowther, J. (1995). Oxford Advanced Learner‟s Dictionary: Of Current English. Oxford: Oxford University Press.	COMPLEMENTARIA		10	9992	1
Geología Estructural	202	Billings, M. P. (1974). Geología Estructural. Buenos Aires: Editorial Universitaria de Buenos Aires.	OBLIGATORIA		9	2948	1
Geología Estructural	202	Marshak, S. & Mitra, G. (Eds). (1988) Basic methods of structural geology. New Jersey: Prentice-Hall.	OBLIGATORIA		2	22285	1
Geología Estructural	202	Lahee, F. H. (1075). Geología práctica. Barcelona: Omega.	OBLIGATORIA		10	2964	1
Geología Estructural	202	Lisle, R. J. (1996). Geological structures and maps: a practical guide. Amsterdam: Elsevier.	OBLIGATORIA		1	25938	1
Geología Estructural	202	Ragan, D. M. (1973). Structural Geology: An introduction to geometrical techniques. Cambridge: Cambridge Univesity Press	OBLIGATORIA		2	2411	1
Geología Estructural	202	Niemeyer, H. (2008). Geología Estructural. Santiago: RIL Editores.	OBLIGATORIA		11	22088	1
Estadística Aplicada	202	Freund, J. E., Miller, I. & Miller, M. (2000). Estadística matemática con aplicaciones. México: Pearson Educación.	OBLIGATORIA		103	18165	1
Estadística Aplicada	202	Devore, J. L. (2005). Probabilidad y estadística para ingeniería y ciencias. México: International Thomson Editores.	COMPLEMENTARIA		11	20883	1
Estadística Aplicada	202	Montgomery, D. C. & Runger, G. C. (1996). Probabilidad y estadística aplicadas a la ingeniería. México: McGraw-Hill.	COMPLEMENTARIA		2	7576	1
Física III	202	Díaz, J. E., Ibarra, M., Leiva, R. & Villarroel L. Física: electromagnetismo y óptica. Copiapó: Universidad de Atacama.	OBLIGATORIA		198	7921	1
Física III	202	Resnick, R., Halliday, D. & Krane, K. S. (2002). Física Volumen I y II, México: CECSA.	OBLIGATORIA		20	15076	1
Física III	202	Freedman, R. A., Sears, F. W., Young, H. D. & Zemansky, M. W. (2009). Física universitaria México: Addison Wesley Longman	OBLIGATORIA		25	22557	1
Física III	202	Alonso, M. & Finn, E. (2000). Física. México: Pearson Educación	OBLIGATORIA		47	18161	1
Física III	202	Serway, R. A. & Serway & Jewett, J. W. (2014). Física para ciencias e ingeniería vol II. México : Cengage Learning.	OBLIGATORIA		10	26198	1
Termodinámica	202	Aguilar-Pérez, J. (2001).Curso de termodinámica. Madrid: Alhambra Universidad.	OBLIGATORIA		63	18170	1
Termodinámica	202	Castellan, G. (1998). Físico-química.  México: Editorial Addison-Wesley Iberoamericana.	OBLIGATORIA		29	2817	1
Termodinámica	202	Gaskell, D. R. (1973). Introduction to Metallurgical Thermodynamics. New York: McGraw-Hill.	OBLIGATORIA		16	3050	1
Termodinámica	202	Gurry, R. & Darken, L. (1953) Physical Chemistry of Metals. New York: McGraw-Hill.	OBLIGATORIA		2	13942	1
Termodinámica	202	Atkins, P. (1985). Físicoquímica. Mexico: FEI.	OBLIGATORIA		5	2965	1
Termodinámica	202	Zemansky, M. (1984). Fisicoquímica”  Madrid: La Colina.	OBLIGATORIA		0		0
Termodinámica	202	Upadhyaya, G. S. (1979). Problemas de termodinámica y cinética en metalurgia. Buenos Aires: Genrinis.	OBLIGATORIA		5	190	1
Geoquímica	301	Albarède, F. (2009). Geochemistry: An introduction. Cambridge: Cambridge University Press.	OBLIGATORIA		2	23896	1
Geoquímica	301	Dickin, A.P. (1995). Radiogenic isotope geology. Cambridge: Cambridge University Press.	OBLIGATORIA		1	22485	1
Geoquímica	301	Faure, G. & Mensing, T. S. (2005). Isotopes: Principles and applications. Hoboken, N.J.: Wiley.	OBLIGATORIA		1	22472	1
Geoquímica	301	Fyfe, W. S. (1981). Introducción a la geoquímica (versión española por José Beltrán). Barcelona: Reverté.	OBLIGATORIA		1	25581	1
Geoquímica	301	Garrels, R. M. & Christ, C. L. (1965). Solutions, minerals, and equilibria. San Francisco: Freeman.	OBLIGATORIA		1	22395	1
Geoquímica	301	Hoefs, J. (1997). Stable isotope geochemistry. New York: Springer-Verlag.	OBLIGATORIA		1	12317	1
Geoquímica	301	Krauskopf, K. B. (1979). Introduction to geochemistry. New York: MacGraw-Hill Book Company.	OBLIGATORIA		2	22379	1
Geoquímica	301	Misra, K. C. (2012). Introduction to geochemistry: Principles and applications. Oxford: Wiley-Blackwell.	OBLIGATORIA		2	23904	1
Geoquímica	301	Rankama, K. & Sahama, T. G. (1962). Geoquímica (traducido del inglés por Ignacio Bolívar Izquierdo). Madrid: Aguilar.	OBLIGATORIA		3	20452	1
Geoquímica	301	Albarède, F. (1995). Introduction to geochemical modeling. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Geoquímica	301	Anderson, G. M. & Crerar, D. A. (1993). Thermodynamics in geochemistry: The equilibrium model. Oxford: Oxford University Press.	COMPLEMENTARIA		0		0
Geoquímica	301	Bowen, R. (1988). Isotopes in the earth science. London: Elsevier Applied Science.	COMPLEMENTARIA		0		0
Geoquímica	301	Brownlow, A. H. (1995). Geochemistry. New Jersey: Prentice-Hall.	COMPLEMENTARIA		0		0
Geoquímica	301	Davis, J. C. (1973). Statistics and data analysis in geology. New York: John Wiley & Sons.	COMPLEMENTARIA		2	11135	1
Geoquímica	301	Faure, G. (1986). Principles of isotope geology. New York: Wiley.	COMPLEMENTARIA		0		0
Geoquímica	301	Faure, G. (1998). Principles and applications of geochemistry. New Jersey: Prentice Hall.	COMPLEMENTARIA		0		0
Geoquímica	301	Faure, G. (2001). Origin of the igneous rocks: The isotopic evidence. Berlin: Springer.	COMPLEMENTARIA		0		0
Geoquímica	301	Henderson, P. (1982). Inorganic geochemistry. Oxford: Pergamon Press.	COMPLEMENTARIA		0		0
Geoquímica	301	Holland, H. D. & Turekian, K. K (Eds.) (2003). Treatise on Geochemistry. Oxford: Elsevier Pergamon.	COMPLEMENTARIA		0		0
Geoquímica	301	Le Maitre, R. W. (1982). Numerical petrology: Statistical interpretation of geochemical data. Amsterdam: Elsevier.	COMPLEMENTARIA		0		0
Geoquímica	301	Marshall, C. P. & Fairbridge, R. W. (Eds.) (1999). Encyclopedia of Geochemistry (Encyclopedia of Earth Sciences Series). Berlin: Springer.	COMPLEMENTARIA		0		0
Geoquímica	301	Mason, B. & Moore, C. B. (1982). Principles of Geochemistry. New York: John Wiley & Sons.	COMPLEMENTARIA		0		0
Geoquímica	301	McSween, H. Y., Richardson, S. M. & Uhle, M. (2003). Geochemistry: Pathways and Processes. New York: Columbia University Press.	COMPLEMENTARIA		0		0
Geoquímica	301	Nordstrom, D. K. & Muñoz, J. L. (2006). Geochemical thermodynamics. Caldwell, New Jersey: Blackburn Press.	COMPLEMENTARIA		0		0
Geoquímica	301	Rollinson, H. (1993). Using geochemical data: evaluation, presentation, interpretation. New York: Longman Scientific & Technical.	COMPLEMENTARIA		0		0
Geoquímica	301	Rose, A. W., Hawkes, H. E. & Webb, J. S. (1979). Geochemistry in mineral exploration. New York: Academic Press.	COMPLEMENTARIA		5	10406	1
Geoquímica	301	Smith, D. G. (1989). The Cambridge Encyclopedia of Earth Sciences. Cambridge: Cambridge University Press.	COMPLEMENTARIA		0		0
Geoquímica	301	Walther, J. V. (2009). Essentials of geochemistry. Boston: Jones and Barlett.	COMPLEMENTARIA		0		0
Geoquímica	301	White, W. M. (2013) Geochemistry. Chichester: Wiley-Blackwell.	COMPLEMENTARIA		0		0
Geoquímica	301	Zou, H. (2009). Quantitative geochemistry. London: Imperial College Press.	COMPLEMENTARIA		0		0
Inglés IV	301	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	OBLIGATORIA		0		0
Inglés IV	301	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA		0		0
Inglés IV	301	Moreno, T. & Wibbons, W. (Eds.). (2007). The geology of Chile. London: The Geological Society of London.	OBLIGATORIA		4	22440	1
Inglés IV	301	Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Inglés IV	301	UDA English Center (2017). Material propio elaborado por académicos.	OBLIGATORIA		0		0
Inglés IV	301	Allaby, M.  (2013). A Dictionary of Geology and Earth Sciences Oxford: Oxford University Press.	COMPLEMENTARIA		0		0
Inglés IV	301	Crowther, J. (1995). Oxford Advanced Learner‟s Dictionary: Of Current English. Oxford: Oxford University Press.	COMPLEMENTARIA		10	9992	1
Cartografía geológica y SIG	301	Marshak, S. & Mitra, G. (1988). Basic methods of structural geology. London, London: Prentice	OBLIGATORIA		2	22285	1
Cartografía geológica y SIG	301	Lahee,  F. H. (1975). Geología práctica. Barcelona, España: Omega.	OBLIGATORIA		10	2964	1
Cartografía geológica y SIG	301	Lisle, R. J. (1996) Geological structures and maps: a practical guide. Oxford: Butterworth-Heinemann.	OBLIGATORIA		1	25938	1
Petrología Sedimentaria	301	Arche, A. (2010). Sedimentología: Del proceso físico a la cuenca sedimentaria. Madrid, España: Consejo Superior de Investigaciones Científicas.	OBLIGATORIA		8	25003	1
Petrología Sedimentaria	301	Boggs, S. (2009). Petrology of Sedimentary Rocks. - 2nd Edition. Cambridge, Cambridge: University Press.	OBLIGATORIA		1	27617	1
Petrología Sedimentaria	301	Flugel, E. (2004).  Microfacies of Carbonate Rocks. Berlín. Springer-Verlag Berlin Heidelberg.	OBLIGATORIA		0		0
Petrología Sedimentaria	301	Hallam A. (1981).  Facies interpretation and stratigraphic record. Oxford, Ingland:Geol. J., 17: 345–346.	OBLIGATORIA		1	20723	1
Petrología Sedimentaria	301	Krumbein, W. & L Sloss, L. (1969).  Estratigrafía y sedimentación. México, México : Unión Tipográfica Editorial Hispano Americana.	OBLIGATORIA		3	2938	1
Petrología Sedimentaria	301	Mackenzie, F. T. (2005). Sediments, diagenesis, and sedimentary rocks. Treatise on geochemistry. Volumen 7. Amsterdam, Alemania: Elsevier.	OBLIGATORIA		0		0
Petrología Sedimentaria	301	Nichols, G. (1999). Sedimentology and Stratigraphy, Second Edition. India Printed and bound in the United Kingdom :Wiley and Blackwell.	OBLIGATORIA		1	27804	1
Petrología Sedimentaria	301	Pettijohn, F. (1963). Rocas sedimentarias. Buenos Aires, Argentina: EUDEBA.	OBLIGATORIA		1	3012	1
Petrología Sedimentaria	301	Pettijohn, F., Potter, P. E. & Siever, R. (1973). Sand and sandstone. New York: Springer- Verlag.	OBLIGATORIA		3	16994	1
Petrología Sedimentaria	301	Potter, P. & Pettijohn, F. J. (1977). Paleocurrents and basin analysis. New York: Springer-Verlag Berlin Heidelberg.	OBLIGATORIA		1	21434	1
Petrología Sedimentaria	301	Reading H. G. (1986). Sedimentary Enviroment and Facies. Second Edition.  United Kingdom: Blackwell Scientific.	OBLIGATORIA		1	25943	1
Petrología Sedimentaria	301	Reineck, H. E. (1980). Depositional sedimentary environments. New York: Springer-Verlag.	OBLIGATORIA		2	21437	1
Petrología Sedimentaria	301	Tow, A. V. (2007). Sedimentary Rocks in the Field. -  A color Guide. 3rd edition. London, Canadá Manson Publishing LTD.	OBLIGATORIA		2	24993	1
Petrología Sedimentaria	301	Tucker, M. E. (2001). Sedimentary Petrology. An introduction to the origin of sedimentary rocks. (3rd Ed.).Oxford, Ingland: Blackwell Scientific Publications.	OBLIGATORIA		2	22445	1
Mecánica de fluidos	301	Mott, R. L. (2006). Mecánica de fluidos aplicada. México: Pearson Educación.	OBLIGATORIA		7	21832	1
Mecánica de fluidos	301	Munson, B., Young, D. & Okiishi, T. (2004). Fundamentos de mecánica de fluidos. México: Limusa-Wiley.	OBLIGATORIA		8	18374	1
Mecánica de fluidos	301	 Shames, I. H. (1995). Mecánica de fluidos. Bogota: McGraw-Hill.	OBLIGATORIA		7	2465	1
Mecánica de fluidos	301	Ocon, J. & Tojo, G. (1968) Problemas de ingeniería química. Madrid: Aguilar.	OBLIGATORIA		2	783	1
Mecánica de fluidos	301	Gaskell, D. R. (2013). An introduction to transport phenomena in materials engineering. New Jersey: Momentum Press.	OBLIGATORIA		0		0
Mecánica de fluidos	301	 Vega, R. & Christiansen, A. (1984). Transporte hidráulico de sólidos. Copiapó: Universidad de Atacama	OBLIGATORIA		31	2866	1
Técnicas de la comunicación	301	Balmes, Z. & González, G. (2001). Comunicación escrita. México: Trillas.	OBLIGATORIA		1	7584	1
Técnicas de la comunicación	301	Cessany, D. (1999). Construir la escritura. Barcelona: Paidós.	OBLIGATORIA		11	14260	1
Técnicas de la comunicación	301	Ender-Egg, E. & Aguilar, M. (1994). Como Aprender a Hablar en Público. Buenos Aires: Editorial Lumen.	OBLIGATORIA		1	10598	1
Técnicas de la comunicación	301	Gonzáles, A. (2004). Estrategias de Comprensión Lectora. Revista Galego-Portuguesa de psicoloxía e educación. Madrid.	OBLIGATORIA		3	22422	1
Técnicas de la comunicación	301	González, W. (1990). Aspectos metodológicos de la investigación científica: un enfoque multidisciplinario. España: Universidad Autónoma de Madrid.	OBLIGATORIA		5	5383	1
Técnicas de la comunicación	301	Hernández, R., Fernández, C. &  Baptista, P. (1991). Metodología de la investigación. México: Editorial McGraw-Hill.	OBLIGATORIA		7	5098	1
Técnicas de la comunicación	301	Pérez, H. (1995). Comunicación Escrita: Producción e Interpretación del Discurso Escrito.	OBLIGATORIA		1	12301	1
Técnicas de la comunicación	301	Pérez, H. (1995). Comunicación Escrita: Producción e Interpretación del Discurso Escrito.	OBLIGATORIA		1	12301	1
Ejercicio físico y salud	301	Blanco, A.  (2007).   1000 Ejercicios de Preparación Física. (3. ed.).  Madrid, España: Paidotribo.	OBLIGATORIA		2	7320	1
Ejercicio físico y salud	301	Blázquez, D. (2010). Evaluar en Educación Física. (11.ed.) Barcelona, España. INDE.	OBLIGATORIA		1	26145	1
