RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
Métodos Cuantitativos de Investigación en Trabajo Social	Briones, G. (2002), Metodologías de la Investigación Cuantitativa en Ciencias Sociales. Bogotá: ARFO Editores e Impresores Ltda.	OBLIGATORIA	0	
Interculturalidad, Diversidad y Trabajo Social	Cádiz Córdoba, M. (1993) Etnicidad: identidad y conflicto social. Madrid: Universidad Complutense	COMPLEMENTARIA	0	
Aproximación Crítica a la Realidad Social Local I (Contextos locales)	Carballeda, A. (2002) La intervención en lo social. Exclusión e integración en los nuevos escenarios sociales. Buenos Aires. Paidós.	OBLIGATORIA	0	
Problemas Sociales Contemporáneos	Carballeda, A. (2002) La intervención en lo Social. Exclusión e integración en los nuevos escenarios sociales. Buenos Aires: Paidós.	COMPLEMENTARIA	0	
Problemas Sociales Contemporáneos	Carballeda, A. (2002) Los Nuevos Escenarios y la Intervención del Trabajo Social. En: Nuevos Escenarios y Práctica Profesional. Una mirada crítica desde el Trabajo Social. Buenos Aires: Editorial Espacio	OBLIGATORIA	0	
Fundamentos de la Intervención Social	Carballeda, A. (2007). La intervención en lo social. Exclusión e integración en los nuevos escenarios sociales: Paidos. Buenos Aires, Argentina	OBLIGATORIA	0	Mismo titulo
Transversalidad de Género en la Intervención Social	Chávez, J. (2004) Perspectiva de Género, Serie Género y Trabajo Social. Ediciones Plaza y Valdés S. A. Distrito Federal.	COMPLEMENTARIA	0	
Ética Profesional	Colectivo de Trabajo Social. (1990). Trabajo Social y derechos Humanos: Compromiso con la Dignidad; la Experiencia Chilena. Buenos Aires: Hvmanitas.	COMPLEMENTARIA	0	
Ética Profesional	Colegio de AASS de Chile. (2000). Código de Ética. Ed. Colegio de Asistentes Sociales. Stgo. Chile. Documento	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Convención sobre los Derechos del Niño	COMPLEMENTARIA	0	
Gerontología Social	Cordero, L., Cabanillas, S., Lerchundi, G. (2003). Trabajo social con adultos mayores: intervención profesional desde una perspectiva clínica. Buenos Aires: Espacio editorial	OBLIGATORIA	0	
Ética Profesional	Cortina, A (2000). Ética Mínima. Madrid: Tecnos.	OBLIGATORIA	0	
Derechos Humanos y Trabajo Social	Cortina, A. (2010). Ética mínima: Introducción a la filosofía. Madrid: Tecnos.	COMPLEMENTARIA	0	
Ética Profesional	Cortina, A. y García-Maza, D. (eds.) (2003). Razón Pública y Éticas Aplicadas. Los caminos de la razón práctica en una sociedad pluralista. Madrid: Tecnos.	COMPLEMENTARIA	0	
Trabajo Social y Epistemología de las ciencias sociales	Costas, X. (2010) Sociología del conocimiento y la cultura. Madrid: Editorial Tirant Lo Blanch.	OBLIGATORIA	0	
Métodos Cuantitativos de Investigación en Trabajo Social	De la Torre Villar, Ernesto; Navarro de Anda, Ramiro. Metodología de la Investigación. Mc Graw –Hill.	COMPLEMENTARIA	0	
Aproximación crítica a la Realidad Social Local III (actores y sujetos sociales)	Delgado, J. y Gutiérrez, J. (editores) 1995. Métodos y técnicas cualitativas de investigación en ciencias sociales. Madrid: Síntesis.	COMPLEMENTARIA	0	
Estrategias de aprendizaje autónomo	Drapeau, C (1998) Aprendiendo a aprender. Técnicas de aprendizaje acelerado. México, Océano, p. 135	OBLIGATORIA	0	
Teorías Sociológicas Contemporáneas	Elster, J (1990) Tuercas y tornillos, Barcelona, Gedisa.	COMPLEMENTARIA	0	
Práctica Micro I	Escartín, María José. (1998) Manual de Trabajo Social. 2° edición. Barcelona: Aguaclara.	COMPLEMENTARIA	0	
Trabajo Social con Comunidades	Fernández García, T; López Peláez, A. (2008). Trabajo Social comunitario: Afrontando juntos los retos del siglo XXI. Madrid: Alianza.	OBLIGATORIA	0	
Estrategias de aprendizaje autónomo	Ferreiro, E (2000) Pasado y presente de los verbos leer y escribir. México, SEP (Cuadernos)	COMPLEMENTARIA	0	
Ética Profesional	Foscolo, N. (2007). Desafíos éticos del trabajo social latinoamericano. Bs. As.: Editorial Espacio.	COMPLEMENTARIA	0	
Mediación Familiar	Fox M., Culotta C., Duo A. (2006). Avances en mediación y resolución de conflictos, Zeta, Buenos Aires, Argentina	OBLIGATORIA	0	
Derechos Humanos y Trabajo Social	Freire, P. (1970) Pedagogía del oprimido. Madrid: Siglo XXI.	COMPLEMENTARIA	0	
Estrategias Socio-educativas para el Trabajo Social	Freire, P. (1970). Pedagogía del Oprimido. Montevideo: Tierra Nueva.	OBLIGATORIA	0	
Pobreza y Exclusión Social	Fundación Superación de la Pobreza (2012) Umbrales Sociales. Edición propia. Santiago de Chile.	OBLIGATORIA	0	
Pobreza y Exclusión Social	Fundación Superación Pobreza (2012). Voces de la pobreza. Edición propia. Santiago de Chile	COMPLEMENTARIA	0	
Teorías Sociológicas Contemporáneas	García, J. R. F., Puigvert, L., & Alonso, J. G. (2001). Teoría sociológica contemporánea.	COMPLEMENTARIA	0	
Teorías Sociológicas Contemporáneas	Giddens, A (1997) Las nuevas reglas del método sociológico. Buenos Aires. Amorrortu.	COMPLEMENTARIA	0	
Análisis e Intervención Socio Ambiental	Giorgi, G. y Rodríguez, F (2007). Ensayos sobre Biopolítica. Ediciones Paidos, Buenos Aires, Argentina.	OBLIGATORIA	0	
Fundamentos del Trabajo Social	González, M. (2010). Historias del Trabajo Social en Chile, 1995-2008. Contribución para nuevos relatos. Santiago de Chile: Ediciones Técnicas de Ed. Superior.	COMPLEMENTARIA	0	
Aproximación Crítica a la Realidad Social II (Colectivos Sociales)	Grassi, E. (1995). Trabajo Social e Investigación Social una Relación Necesaria. En: Perspectivas. UCBC.	OBLIGATORIA	0	
Aproximación Crítica a la Realidad Social Local I (Contextos locales)	Gutiérrez, J. F., & Delgado, J. M. (1995). Teoría de la observación. In Métodos y técnicas cualitativas de investigación en ciencias sociales (pp. 141-176). Síntesis	OBLIGATORIA	0	
Interculturalidad, Diversidad y Trabajo Social	Habermas, J. (1999) La inclusión del otro. Barcelona: Paidos	COMPLEMENTARIA	0	
Antropología Socio cultural	Harris, M. (2008). El Desarrollo de la Teoría Antropológica. Una historia de las teorías de la cultura. Madrid: Siglo XXI Editores. 16ª edición.	COMPLEMENTARIA	0	
Aproximación Crítica a la Realidad Social II (Colectivos Sociales)	Healy, K. (2001). Trabajo social: perspectivas contemporáneas. Madrid: Ediciones Morata	COMPLEMENTARIA	0	
Aproximación Crítica a la Realidad Social Local I (Contextos locales)	Healy, K. (2001). Trabajo social: perspectivas contemporáneas. Madrid: Ediciones Morata.	COMPLEMENTARIA	0	
Inglés I	Hewings, M. 1999. Advanced Grammar in Use. Cambridge: Cambridge University Press.	COMPLEMENTARIA	0	
Inglés II	Hewings, M. 1999. Advanced Grammar in Use. Cambridge: Cambridge University Press.	COMPLEMENTARIA	0	
Trabajo Social con Grupos	Huici, C., & Morales, J. F. (2004). Psicología de grupos I: estructura y procesos. Madrid: Universidad Nacional de Educación a Distancia.	COMPLEMENTARIA	0	
Psicología Social	Ibañez , T. (1990) Aproximaciones a la Psicología Social. Sendai: Barcelona.	OBLIGATORIA	0	
Sistematización	Jara O. (2012). La sistematización de experiencias, práctica y teórica para otros mundos posibles. Centro de Estudios y Publicaciones Alforja, Consejo de Educación de Adultos de América Latina e INTERMON-OXFAM. San José, Costa Rica.	OBLIGATORIA	0	
Gerontología Social	Junis, J., Urbano, C. (2005). Educación de adultos mayores: Teoría investigación e intervenciones. Córdoba: Brujas.	COMPLEMENTARIA	0	
Desarrollo Organizacional	Lawrence, P y Lorsch, J (1991). Desarrollo de Organizaciones: Diagnostico y Acción. Fondo Educativo Interamericano.	COMPLEMENTARIA	0	
Gerontología Social	Lefrancois, G. (2005). El ciclo de la vida. Buenos aires: Cono sur.	COMPLEMENTARIA	0	
Trabajo Social con Grupos	López Peláez, A. (2010) Teoría del Trabajo Social con Grupos. Madrid: Académica.	COMPLEMENTARIA	0	
Teorías Sociológicas Contemporáneas	Luckmann, T (1996) Teoría de la acción social. Barcelona. Paidós.	COMPLEMENTARIA	0	
Trabajo Social con Comunidades	Marchioni, M. (2007). Comunidad, Participación y desarrollo. Teoría y metodologías de la intervención comunitaria (3ª edición). Madrid: Editorial Popular.	COMPLEMENTARIA	0	
Economía aplicada al Trabajo Social	Markiw, N (1998). Principios de la macroeconomía. Madrid: McGraw-Hill	COMPLEMENTARIA	0	
Psicología Social	Martín-Baró, I. (1976). Problemas de Psicología Social en América Latina. UCA/Editores. San Salvador. Centroamérica.	OBLIGATORIA	0	
Psicología Social	Martín-Baró, I. (1996). Acción e ideología: psicología social desde Centroamérica. UCA ed.	COMPLEMENTARIA	0	
Fundamentos de la Intervención Social	Martínez M. (2005). Modelos teóricos del trabajo social. Editorial Diego Marín	COMPLEMENTARIA	0	
Ética Profesional	Martínez, E. y Cortina, A. (1996). Ética. Madrid: Akal.	OBLIGATORIA	0	
Transversalidad de Género en la Intervención Social	Martínez, I; Bonilla, A. (2000) Sistema Sexo/Género Identidades y construcción de la subjetividad. Impresiones Guada. Valencia.	OBLIGATORIA	0	
Fundamentos del Trabajo Social	Martínez, M. (2005) Modelos teóricos del trabajo social. Murcia: Diego Marín	COMPLEMENTARIA	0	
Fundamentos del Trabajo Social	Martínez, S. y Agüero, J. (2008). La dimensión político-ideológica del trabajo social. Buenos Aires: Dunken.	OBLIGATORIA	0	
Inglés I	McCarthy, M. & F. A. O’Dell. 1997. Vocabulary in Use Upper Intermediate: Vocabulary Reference & Practice for Intermediate to Advanced Students. Cambridge: Cambridge University Press	COMPLEMENTARIA	0	
Inglés II	McCarthy, M. & F. A. O’Dell. 1997. Vocabulary in Use Upper Intermediate: Vocabulary Reference & Practice for Intermediate to Advanced Students. Cambridge: Cambridge University Press	COMPLEMENTARIA	0	
Pensamiento Social Latinoamericano	Mignolo, Walter 1998 “Posoccidentalismo: el argumento desde América Latina” en Castro-Gómez, Santiago y Mendieta, Eduardo (eds.) Teorías sin disciplina: Latinoamericanismo, poscolonialidad y globalización en debate (México: University of San Francisco/Miguel Ángel Porrúa).	COMPLEMENTARIA	0	
Trabajo Social con Familias I	Minuchin, P. Y otros(2000): Pobreza, Institución y Familia. Amorrortu. Buenos Aires.	COMPLEMENTARIA	0	
Práctica Micro I	Minuchin, S. y Fischman, C. (1981): Técnicas de terapia familiar. Paidos. Barcelona.	COMPLEMENTARIA	0	
Práctica Micro II	Minuchin, S. y Fischman, C. (1981): Técnicas de terapia familiar. Paidos. Barcelona.	COMPLEMENTARIA	0	
Práctica Profesional	Minuchin, S. y Fischman, C. (1981): Técnicas de terapia familiar. Paidos. Barcelona.	COMPLEMENTARIA	0	
Trabajo Social con Familias II	Minuchin, S. y Fischman, C.(1981): Técnicas de terapia familiar. Paidos. Barcelona.	COMPLEMENTARIA	0	
Fundamentos de la Intervención Social	"Molina Molina, L. y Romero Saint Bonet, C. (2004). Modelos de intervención asistencial, socioeducativo y terapéutico en Trabajo Social. San José de Costa Rica: Universidad de Costa Rica.
 "	COMPLEMENTARIA	0	
Género y Masculinidades	Montecino, Sonia (1998). Juego de Identidades y Diferencias: representaciones de lo masculino en tres relatos de vida de hombres chilenos. Serie Documentos PIEG, Universidad de Chile, Facultad de Ciencias Sociales, Santiago.	OBLIGATORIA	0	
Psicología Social	Montero, M. (1995). Psicología social comunitaria. Universidad de Guadalajara.	OBLIGATORIA	0	
Aproximación crítica a la Realidad Social Local III (actores y sujetos sociales)	Mora-Ninci, C. (2001). La observación dialéctica: problemas de método en investigaciones educativas. C. Torres (comp.), Paulo Freire y la agenda educativa Latinoamericana en el siglo XXI, 179-199.	OBLIGATORIA	0	
Interculturalidad, Diversidad y Trabajo Social	Nash, M. (2001) Multiculturalismos y género. Barcelona: Bellaterra.	COMPLEMENTARIA	0	
Práctica Macro I	Navarro, S. (2004). Redes sociales y construcción comunitaria. Madrid: Editorial CCS.	COMPLEMENTARIA	0	
Práctica Macro II	Navarro, S. (2004). Redes sociales y construcción comunitaria. Madrid: Editorial CCS.	COMPLEMENTARIA	0	
Práctica Profesional	Navarro, S. (2004). Redes sociales y construcción comunitaria. Madrid: Editorial CCS.	COMPLEMENTARIA	0	
Metodología de investigación aplicada al Trabajo Social	Netto, P (1992) La investigación en Trabajo Social. Lima: Alaets-Celats, serie Materiales de Enseñanza	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Pacheco, M. (1976), Introducción al Derecho, Chile, Editorial: Jurídica	OBLIGATORIA	0	
Estrategias Socio-educativas para el Trabajo Social	Pérez Serrano G. (2003) Pedagogía Social/Educación Social. Construcción científica e intervención práctica. Madrid: Narcea.	OBLIGATORIA	0	
Estrategias de aprendizaje autónomo	Pichardo, P & Josafat, J (1999) Taller de introducción a la didáctica de los mapas conceptuales. México, Ed. Jertalhum, pp. 7–47.	COMPLEMENTARIA	0	
Aproximación crítica a la Realidad Social Local III (actores y sujetos sociales)	PNUD. (2002)Nuevos actores sociales. Bolivia. Plural editores.	COMPLEMENTARIA	0	
	Porret, M. (2006) Gestión de personas. Manual para la gestión del capital humano en las organizaciones.	OBLIGATORIA	0	
Desarrollo Local y Territorial	Precedo, L.; Andrés J. (2002). Nuevas realidades territoriales para el siglo XXI: Desarrollo local, identidad territorial y ciudad difusa. Edición Nº1. Madrid España. Editorial Síntesis,	COMPLEMENTARIA	0	
Desarrollo Local y Territorial	Propuestas para el Desarrollo Rural 2ª Version Ampliada. Enero 2008. 243 páginas Coedición: GIA – UAHC	COMPLEMENTARIA	0	
Pensamiento Social Latinoamericano	Richard, Nelly. Globalización académica, estudios culturales y crítica latinoamericana. En libro: Cultura, política y sociedad Perspectivas latinoamericanas. Daniel Mato. CLACSO, Consejo Latinoamericano de Ciencias Sociales, Ciudad Autónoma de Buenos Aires, Argentina. 2005. pp. 455-470.	COMPLEMENTARIA	0	
Teorías Sociológicas Contemporáneas	Ritzer, G (1998) Teoría Sociológica Contemporánea, Mac Graw –Hill. México.	OBLIGATORIA	0	
Pensamiento Social Latinoamericano	Roig, Arturo Andrés, (1981) Teoría y Crítica del Pensamiento Latinoamericano, Fondo de Cultural Económica, México.	OBLIGATORIA	0	
Investigación en Trabajo Social II	Rojas, R.l (1998) Guía para realizar investigaciones sociales. México: Editorial Plaza y Valdés.	COMPLEMENTARIA	0	
Práctica Micro II	Rozas, M. (1998) El proceso Metodológico en la intervención profesional”. Espacio Editorial, Bs As. Argentina	OBLIGATORIA	0	
Trabajo Social con Familias II	Rozas, M. (1998) El proceso Metodológico en la intervención profesional”. Espacio Editorial, Bs As. Argentina.	OBLIGATORIA	0	
Ciudanía y Movimientos Sociales	Salazar G.(2003). Historia Contemporánea de Chile”. Volúmenes I, II y III.: Editorial LOM, Santiago de Chile.	COMPLEMENTARIA	0	
Ética Profesional	Salcedo Megales, D. (2003). “La Ética del Trabajo Social en la época posmoderna”. En: Fernández, Tomás y Alemán, C. (coords.). Introducción al Trabajo Social. Madrid: Alianza Editorial, pp 313-339.	COMPLEMENTARIA	0	
Aproximación Crítica a la Realidad Social II (Colectivos Sociales)	Sánchez, S. R. (2001). La observación participante como escenario y configuración de la diversidad de significados. Observar, escuchar y comprender sobre la tradición cualitativa en la investigación social. México, DF, Porrúa, CM, FLACSO.	COMPLEMENTARIA	0	
Aproximación Crítica a la Realidad Social II (Colectivos Sociales)	Sanmartín, R. (2000). La observación participante. El análisis de la realidad social, Madrid, Alianza, 148-150	OBLIGATORIA	0	
Interculturalidad, Diversidad y Trabajo Social	Sartori, G. (2001) La sociedad multiétnica. Madrid: Taurus.	COMPLEMENTARIA	0	
Trabajo Social y Epistemología de las ciencias sociales	Sobremonte, E. (ed) (2012) Epistemología, teoría y modelos de intervención en Trabajo Social. Bilbao: Editorial Deusto Digital	COMPLEMENTARIA	0	
Interculturalidad, Diversidad y Trabajo Social	Spivak, Ch (2010) Crítica de la razón poscolonial. Hacia una crítica del presente evanescente. Madrid: Akal.	COMPLEMENTARIA	0	
Ciudanía y Movimientos Sociales	Tarrow, S. (1997) El Poder En movimiento. Los movimientos sociales, la acción colectiva y la política, Madrid, Alianza Universidad (N° 877).	COMPLEMENTARIA	0	
Interculturalidad, Diversidad y Trabajo Social	Taylor, Ch. (1993). El multiculturalismo y la política. México: FCE.	COMPLEMENTARIA	0	
Trabajo Social con Comunidades	Tellería, I. (2010). Recuperar la comunidad en clave democrática. En III Jornada de Trabajo social. REDefiniendo el trabajo comunitario. Vitoria: EUTS-UPV.	COMPLEMENTARIA	0	
Habilidades y Destrezas para el Trabajo Social	"-Threvitick, P. (2002). Habilidades de comunicación en intervención social. Madrid: Editorial Naroea. 
.
"	OBLIGATORIA	0	
Pobreza y Exclusión Social	Tironi, M. (2003) Nueva pobreza urbana: vivienda y capital social en Santiago de Chile, 1985-2001, capítulo II. Predes editores, Santiago de Chile.	OBLIGATORIA	0	
Teorías Sociológicas Contemporáneas	Touraine, A (2000) Crítica de la modernidad. Bogotá. Fondo de Cultura Económica.	COMPLEMENTARIA	0	
Ciudanía y Movimientos Sociales	Touraine, A. (1995). El Sujeto como movimiento Social. En: Crítica de la modernidad. Temas de hoy-Ensayo Ediciones. Madrid. Pp. 299-324. 1993.	OBLIGATORIA	0	
Ciudanía y Movimientos Sociales	Touraine, A. (2006). Un nuevo paradigma para comprender el mundo de hoy. Paidós, Buenos Aires,	OBLIGATORIA	0	
Aproximación crítica a la Realidad Social Local III (actores y sujetos sociales)	Vargas, A. (1999). Metodología de la Investigación. Spanta. México.	COMPLEMENTARIA	0	
Habilidades y Destrezas para el Trabajo Social	Vargas, L. Bustillas, G. (1985). Técnicas Participativas de Educación Popular. Madrid. Editorial Popular.	COMPLEMENTARIA	0	
Psicología Social	Vázquez , J. (1990). La formación histórica de la Psicología Social. En: Polis 90, Anuario de Sociología, UAM, México.	COMPLEMENTARIA	0	
Práctica Macro II	Villasante, T.R. (1994). “De los movimientos sociales a las metodologías participativas”. En Delgado, J.M. y Gutiérrez, J. Métodos y técnicas cualitativas de investigación en las Ciencias Sociales. Madrid: Síntesis.	COMPLEMENTARIA	0	
Práctica Profesional	Villasante, T.R. (1994). “De los movimientos sociales a las metodologías participativas”. En Delgado, J.M. y Gutiérrez, J. Métodos y técnicas cualitativas de investigación en las Ciencias Sociales. Madrid: Síntesis.	COMPLEMENTARIA	0	
Gestión de Capital Humano	VV. AA. (2008). La gestión del capital Humano. Editorial Deusto. Barcelona.	OBLIGATORIA	0	
Teorías Sociológicas Contemporáneas	Wolff, M (1982) Sociologías de la vida cotidiana. Cap. I. Madrid: Cátedra.	COMPLEMENTARIA	0	
Aproximación Crítica a la Realidad Social II (Colectivos Sociales)	Zayas, E. L. B. (1998). La observación participante	COMPLEMENTARIA	0	
Pensamiento Social Latinoamericano	Zea, Leopoldo, (1997)6.El pensamiento latinoamericano, Editorial Ariel, Barcelona, España	COMPLEMENTARIA	0	
