RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura		
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	García-Huidobro, J; Falabella, A. 2011 Los Fines de la Educación. Santiago Ediciones Universidad Católica.	Complementaria	30	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	Lira, M; Edwards G. y otros, 2012: Auto reportes del Bienestar Socioemocional para Niños. Santiago Ediciones Universidad Católica.	Complementaria	30	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	Ministerio de Educación (2011). Orientaciones para dar respuestas educativas a la diversidad y a las necesidades educativas especiales. Editorial Atenas Ltda. ISBN: 978-956-292-203-6. Santiago de Chile.	Complementaria	30	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	Santelices L. y Scagliotti J 2011 El Educador y los Padres: Estrategias de intervención educativa Santiago Ediciones Universidad Católica.	Complementaria	30	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	Sapelli, C. 2011 CHILE ¿MÁS EQUITATIVO? Una Mirada Distinta a la Distribución del Ingreso, la Movilidad Social y la Pobreza en Chile Santiago Ediciones Universidad Católica.	Complementaria	30	0
Seminario de grado y defensa	Octavo semestre 	Elliot, J. (1994). La Investigación en educación. Madrid: Ediciones Morata	Obligatoria	30	0
Seminario de grado y defensa	Octavo semestre 	Fernández, A. M. y López, M. (1997). Algunas puntuaciones sobre epistemología y campos de problemáticas en Ciencias Sociales. Veracruz – México.	Obligatoria	30	0
Seminario de grado y defensa	Octavo semestre 	Kemmis S., Mctaggart R. (1988). ¿Cómo planificar la investigación Acción. Barcelona: Laertes.	Obligatoria	30	0
Seminario de grado y defensa	Octavo semestre 	Pérez Serrano, Gloria (1998), Metodología de la Investigación Cualitativa, Retos e Interrogantes, Tomo I y II.	Obligatoria	30	0
Seminario de grado y defensa	Octavo semestre 	Pérez, C. (2001). Técnicas de Estadísticas con SPSS. Pearson Educación.	Obligatoria	30	0
Seminario de grado y defensa	Octavo semestre 	Rodríguez, G.; Gil, J. y García, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L.	Obligatoria	30	0
Optativo Introducción a la literatura rusa.	Noveno semestre	BAJTÍN, M. M. Problemas de la poética de Dostoievski. Trad. T. Bubnova. México: Fondo de Cultura Económica, 1986	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	"Brown, Edward J. (1970). ""Literatura y Revolución en la Rusia Soviética (1917-1962)"". Simposio editado por Hayward, Max y Labedz, Leopold. Caracas: Ediciones de la Biblioteca de la Universidad Central de Venezuela. Colección Temas."	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	DOSTOIEVSKI, F. M. Obras reunidas, 10 ts. [En ruso]. Moscú: Xudozhestvennaia Literatura, 1956-1958.	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Figes, Orlando. La revolución rusa (1891–1924). La tragedia de un pueblo. Barcelona: Edhasa, 2010.	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Hickey, Martha Weitzel. The Writer in Petrograd and the House of Arts. Evanston, Illinois, Nortwestern University Press, 2009.	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Nabokov, Vladimir. Habla, memoria. Barcelona: Anagrama, 2006.	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Said, Edward W. (2007). Representaciones del intelectual. Bogota D.C.: Editorial Debate.	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Santiván, Fernando. Memorias de un Tolstoyano. Santiago: Zig-Zag, 1955.	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Service, Robert (2000). Historia de Rusia en el siglo XX. Barcelona, España: Editorial Crítica.	Obligatoria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Schostakovsky, Pablo. Historia de la literatura rusa. Buenos Aires: Losada, 1945.	Complementaria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Tolstói, León. La Escuela de Yásnaia Poliana. Barcelona: El Barquero, 2003.	Complementaria	15	0
Optativo Introducción a la literatura rusa.	Noveno semestre	Steiner, George. Lenguaje y silencio. Ensayos sobre la literatura, el lenguaje y lo inhumano. Barcelona: Gedisa, 2013.	Complementaria	15	0
Práctica profesional	Noveno semestre	Arends, Richards. Teoría Pedagógica - Aprender a Enseñar. McGraw- Hill, 2007.	Obligatoria	25	0
Práctica profesional	Noveno semestre	Armani, Mirta Bonvecchiode. Evaluación de Aprendizajes. Buenos Aires: Novedades Educativas, 2006.	Obligatoria	25	0
Práctica profesional	Noveno semestre	Daniels, Harry. Vigotsky y la Pedagogía. Barcelona: Paidos Ibérica S.A., 2003.	Obligatoria	25	0
Práctica profesional	Noveno semestre	Malajovich, Ana. Recorridos Didácticos en la Educación Infantil. Barcelona: Paidos, 2006.	Obligatoria	25	0
Práctica profesional	Noveno semestre	Ortega, J.I. Gallegos. Enciclopedia de la Educación Infantil. Madrid: Aljibe, 2006.	Obligatoria	25	0
