BIBLIOGRAFÍA DE INGENIERIA CIVIL DE MINAS							
							
CARRERA:	INGENIERIA CIVIL MINAS						
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO. DE BIB	Prestamos 0	
Dibujo de Ingeniería 	102	“Dibujo y Diseño de Ingeniería”. C.H Jensen, Jon M. Duff, Mc Graw-Hill. Ed11,1997.	NO INDICA	2c	11269	0	
Dibujo de Ingeniería 	102	“Proyecciones Cartográficas, Uso y Manejo”. Ana M. Errrazuriz, José Ignacio González. Universidad Católica de Chile. Ed 1, 1992.	NO INDICA	2c	2910	0	
Dibujo de Ingeniería 	102	“Cartografía”. Erwin Raisz. Omega, Ed 5, 2001.	NO INDICA	7c	2420		
Dibujo de Ingeniería 	102	“Dibujo de Ingeniería”. Profesor Manuel Hidalgo. Universidad de Atacama. 2001.	NO INDICA	6c	16460		
Geología General 	102	Lahee, F. (1979). Geología Práctica; 895p. Ediciones Omega, Barcelona.	OBLIGATORIA	10c	2964		
Geología General 	102	Strahler, A. (1992). Geología Física. 629 p.; Omega ediciones, Barcelona.	OBLIGATORIA	61c	3082		
Geología General 	102	Watt, A. (1986). Diccionario Ilustrado de la Geología. Everest. 208p; Editorial Everest, Madrid.	OBLIGATORIA	0			
Geología General 	102	Williams, Turner, Gilbert (1968). Petrografía; 430p, Ed. Continental, San Francisco.	OBLIGATORIA	10c	3023		
Geología General 	102	Press, F. &Siever, R. (1983). The Earth; 656p, W.H. Freeman y Company; New York.	COMPLEMENTARIA	1c	8933	0	
Geología General 	102	Maresch, W., Medenbach, O. &Trochim, H.D. (1990). Rocas. 287 p. Ed. Blume.	COMPLEMENTARIA	1c	14443		
Optativo II 	102						
Cálculo II 	201	El Cálculo, Louis Leithold. Oxford University Press- Harla México, S.A, séptima edición.	OBLIGATORIA	306c	11253		
Cálculo II 	201	Cálculo I, Larson-Hostetler-Edwards. Mc Graw Hill. Vol. 1.	OBLIGATORIA	118	15386		
Cálculo II 	201	Cálculo en una variable, George Thomas Jr. Editorial Pearson, ISBN 970-26-0643-8. 	COMPLEMENTARIA	0			
Física I	201	Física Universitaria, Sears -Zemansky, Volumen I, 9na Edición Autores: Young & Freedman.	NO INDICA	24c	10790		
Física I	201	Ed. Addison – Wesley.  Clasificación Biblioteca UDA: 530 F537fi V.1	NO INDICA	24c	10790		
Física I	201	Física, 5ta Edición, Serway & Faughn. Ed. Pearson education. (530 S492 2001)	NO INDICA	231c	18152		
Física I	201	Física, Volumen I, 5ta Edición, Autores: Resnick, Halliday & Krane. Ed. CECSA. (530 R434 v.1 2004)	NO INDICA	142c	18282		
Física I	201	Física para Universitarios, Giancoli, 3ra Edición. Ed. Pearson Education. (530 G433 2002)	NO INDICA	129c	18168		
Introducción a la Economía 	201	Principios de Economía. Tercera Edición. Editora Ana Navarro ISBN: : 84-481-4656-5 Autor Francisco Mochón.	NO INDICA	9c	22161		
Introducción a la Economía 	201	Economía. Decimoctava edición.  Paul Samuelson.- WilliamNordhaus. McGraw Hill. ISBN 13: 970-10-5381-8. Año 2005.	NO INDICA	5c 14c	1443-1445		
Introducción a la Economía 	201	Introducción a la Economía - Manuel J. y Amelia Pérez. Segunda edición. ISBN: 978-84832-2221-8. Año 2009.	NO INDICA	11c	18156		
Introducción a la Economía 	201	Principios de Economía. Gregory Mankiw. Sexta Edición. ISBN 978-607-481-809-3.	NO INDICA	7c	24810		
Introducción a Depósitos Minerales 	201	Peter Laznicka. (2006). Giant  Metallic Deposits : Future Sources of Industrial Metals. Berlin, Springer. 948 páginas.	OBLIGATORIA	2c	23902		
Introducción a Depósitos Minerales 	201	Beane, R.E.  yBodnar, R.J. (1995). Hydrothermal fluids and hydrothermal alterations in porphyry copper deposits. In: Porphyry Copper Deposits of the American Cordillera. Arizona Geol. Soc. Digest. Vol.20, p. 83-93.	COMPLEMENTARIA	0			
Introducción a Depósitos Minerales 	201	Candela, P. (1997). A review of shallow, ore-related granites: textures, volatiles, and ore metals. Journal of Petrology. Vol.38, no.12, p. 1619-1633.	COMPLEMENTARIA	0			
Introducción a Depósitos Minerales 	201	Cox, S.F., Knackstedt, M.A., Braun, J. (2001). Principles of structural control on Reviews, Vol. 14, p. 1-24.	COMPLEMENTARIA	0			
Introducción a Depósitos Minerales 	201	Gustafson, L y Hunt, J. (1975).The porphyry copper deposit at El Salvador, Chile. Economic Geology. Vol. 70, p.  857-912.	COMPLEMENTARIA	0			
Introducción a Depósitos Minerales 	201	Hedenquist, J. y Lowenstern, J. (1994). The role of magmas in the formation of hydrothermal ore deposits. Nature, Vol. 370, p. 519-527.	COMPLEMENTARIA	0			
Introducción a Depósitos Minerales 	201	Lowell, J.D., and Guilbert, J.M. (1970). Lateral and vertical alteration-mineralization zoning in porphyry copper ore deposits: Economic Geology. Vol. 65, p. 373-408.	COMPLEMENTARIA	0			
Mineralogía	201	Cornelius S Hurlbut, Jr. (1974) Manual de Mineralogía de Dana - Editorial Reverté S.A.España.	OBLIGATORIA	27c	2518		
Mineralogía	201	Edward S. Dana - William E. Ford (1971) Tratado de Mineralogía - Editorial Continental S.A.	OBLIGATORIA	1	2518		
Mineralogía	201	Heinrich, E. ( 1960) Microscopia Óptica, Edición Omega S.A.	COMPLEMENTARIA	0			
Mineralogía	201	Susaeta Javier (1989) La Gran Enciclopedia de los Minerales. Susaeta S.A..	COMPLEMENTARIA	0			
Optativo III 	201						
Cálculo III 	201	Marsden-Tromba, Cálculo Vectorial, Cuarta edición, Pearson Education, 1998.	OBLIGATORIA	36c	18158		
Cálculo III 	201	 Louis Leithold, El Cálculo. Oxford University Press- Harla México, S.A, septima edición.	OBLIGATORIA	306c	11253		
Cálculo III 	201	James Stewart. Cálculo Multivariable. Thompson editores.	COMPLEMENTARIA	0			
Física II 	202	Física universitaria, volumen II. F. Sears – M. Zemansky . H. Young / Freedman Decimosegunda edición, Pearson Educación	NO INDICA	25c	22557		
Física II 	202	Física “Electromagnetismo” J.E. Díaz – M. Ibarra – R. Leiva – L. Villarroel, Departamento de Física, Universidad de Atacama	NO INDICA	198c	7921		
Física II 	202	Física, M. Alonso – E. Finn 2000 Pearson Educación	NO INDICA	47c	18161		
Física II 	202	Resnick D. Halliday and Krane. Física Vol II CECSA México 2002	NO INDICA	142c	18282		
Física II 	202	Giancoli, Douglas. Física Para Universitarios, Vol. 2, Prentice Hall, México 2002.	NO INDICA	129c	18168		
Termodinámica 	202	José Aguilar Peris, “Curso de Termodinámica”. Pearson Educación 1989, última reimpresión 2001.	NO INDICA	63c	18170		
Termodinámica 	202	Gilbert Castellan, “Físico-Química”,  Addison Wesley Longman, tercera edición, 1998.	NO INDICA	29c	2817		
Termodinámica 	202	David R. Gaskell,  “Introduction to Metallurgical Thermodynamics”, McGraw-Hill, 1973.Gurry R. y Darken L., “Physical Chemistry of Metals”, McGraw-Hill, N.Y., 1953.	NO INDICA	16c	3050		
Termodinámica 	202	P. Atkins, “Físico-Química”, FEI, Mexico, 1985.	NO INDICA	5c	2965		
Termodinámica 	202	Mark Zemansky, “ Fisico-Química”  Editorial La Colina, Madrid, 1984.	NO INDICA	0			
Termodinámica 	202	G. S. Upadhyaya, “Problemas de Termodinámica y Cinética en Minas”, Genrinis, Bueno Aires, 1979.	NO INDICA	5c	190		
Ingeniería Económica 	202	Baca Urbina, G. (2003). Fundamentos de Ingeniería Económica. Quinta edición, Editorial Mc Graw Hill.	NO INDICA	10c	18637		
Ingeniería Económica 	202	Blank, L. & Tarquin, A. (2005). Ingeniería Económica. Séptima edición, Editorial Mc Graw Hill.	NO INDICA	12c	18636		
Ingeniería Económica 	202	Paul De Garmo, E. et. al. (1998). Ingeniería Económica. Editorial Prentice-Hall	NO INDICA	0			
Petrografía 	202	Pérez E. (1961). Petrografía Macroscópica. Monografía - escuela de Geología de la Universidad de Chile	OBLIGATORIA	1c	2954		
Petrografía 	202	Heinrich, E. (1960). Petrografía Microscópica, Edición Omega S.A.	OBLIGATORIA	5c	3027		
Petrografía 	202	Turner W. (1968). Petrografía Macroscópica, Editorial Continental S.A.	COMPLEMENTARIA	0			
Topografía General 	202	Topografia. Miguel Montes de Oca. México: Alfaomega, 1989 , (4ta edición)	OBLIGATORIA	4c	2502		
Topografía General 	202	Topografía. Dante Alcantara Garcia. Mexico: Ebook ,2014, (1era edición)	OBLIGATORIA	1c	3025	0	
Topografía General 	202	Topografía /Paul R. Wolf, Russell C. Brinker, Traducido por: José De La Cera Alonso, Mexico Alfaomega, 1997 (9na edición)	OBLIGATORIA	0			
Topografía General 	202	Topografía aplicada  para  ingenieros.  García, Rosique  y  Segado. España, Universidad  de Murcia, 1996.(1era edición)	COMPLEMENTARIA	0			
Topografía General 	202	Topografía para ingenieros, Philip Kissam, España: Ed. del Castillo, 1966.(1era edición)	COMPLEMENTARIA	8c	576	0	1977
Ecuaciones Diferenciales y Álgebra Lineal 	301	Ecuaciones Diferenciales, V. Guíñez, R. Labarca y M. Martínez. Facultad de Ciencias. Usach.	NO INDICA	0			
Ecuaciones Diferenciales y Álgebra Lineal 	301	Ecuaciones Diferenciales con Aplicaciones, D. Zill. Grupo Editorial Iberoamericana, 1988.	NO INDICA	8c	2728		
Ecuaciones Diferenciales y Álgebra Lineal 	301	Teoría y Aplicaciones de Ecuaciones Diferenciales, F. Ayre.	NO INDICA	42c	2542		
Física III 	301	Física: electromagnetismo y Óptica; J.E. Díaz, M. Ibarra, R. Leiva, L. Villarroel; Universidad de Atacama.	NO INDICA	198c	7921		
Física III 	301	Resnick D. Halliday and Krane. Física Volumen I y  II, CECSA México 2002	NO INDICA	145			
Física III 	301	Física universitaria, volumen I y II. F. Sears – M. Zemansky . H. Young / Freedman Decimosegunda edición, Pearson Educación	NO INDICA	25c	22557		
Física III 	301	Física vol II, M. Alonso, E. Finn	NO INDICA	47c	18161		2000
Física III 	301	Física para ciencias e ingeniería vol II, Serway y Beichner.	NO INDICA	4c	27788	0	
Física III 	301	Óptica, E. Hecht.	NO INDICA	49c	3001		
Geología Estructural 	301	SITTER, L.U. (1976): Geología estructural; 521 p. Edición Omega, Barcelona.	OBLIGATORIA	8c	2993		
Geología Estructural 	301	HOBBS, MEANS& WILLIAMS (1981): Geología Estructural; 518p., New York.	OBLIGATORIA	2c	2770		
Geología Estructural 	301	 RAMSAY & HUBER (1987): Modern Structural Geology, Vol. II: Folds and Fractures : 700 p., Academic Press: London	OBLIGATORIA	0			
Geología Estructural 	301	Scientific American: Deriva Continental y Tectónica de Placas (1976) 271 p.	OBLIGATORIA	0			
Geología Estructural 	301	ISACKS, JORDAN, ALLMENDINGER & RAMOS (1982): La segmentación tectónica de los Andes Centrales y su relacion con la geometria de la plaza de Nazca subductada.   Quinto congreso latinoamericano de geologia Bd.3 p.587-606  Buenos Aires.	COMPLEMENTARIA	0			
Métodos de Explotación	301	Hartman, H. (Ed) (1992). SME Mining Engineering Handbook. AIME 2º Edición, vol 1 y 2.	OBLIGATORIA	2c	373		
Métodos de Explotación	301	 Hustrulid, W., Kuchta, M. & Martin, R. (2013). Open Pit Mine Planning and Design, CRC Press, Barcelona.	OBLIGATORIA	7c	25326		
Métodos de Explotación	301	Hustrulid W. and Bullock, L., (1992), Underground Mining, SME. 	COMPLEMENTARIA	3c	27153	0	
Topografía Minera 	301	Miguel Montes de Oca. Topografia. Alfaomega. México. 1989, (4ta edición)	OBLIGATORIA	4c	2502		
Topografía Minera 	301	Dante Alcantara Garcia. Topografía. Alfaomega. México. 2014, (1era edición)	OBLIGATORIA	1c	3025	0	
Topografía Minera 	301	Paul R. Wolf, Russell C. Brinker, Topografía. Alfaomega. Mexico. 1997 (9na edición)	OBLIGATORIA	2c	21141		
Topografía Minera 	301	Miguel Estruch Serra, Topografía Subterránea para Minería y Obras. UPC, 2003.	OBLIGATORIA	0			
Topografía Minera 	301	García, Rosique y Segado. Topografía Aplicada para ingenieros. Universidad de Murcia. España. 1996. (1era edición)	COMPLEMENTARIA	0			
Topografía Minera 	301	Philip Kissam, Topografía para ingenieros. Ed. del Castillo. España. 1966.(1era edición)	COMPLEMENTARIA	8c	576	0	
Antropología Aplicada a la Minería 	301	P Berger & T Luckmann, La Construcción Social de la Realidad. Amorrortu Editores,Madrid 1968	OBLIGATORIA	2c  1c	17548 - 25344		 2001-2011
Antropología Aplicada a la Minería 	301	Lindgren, Henry Clay.  Introducción a la psicología social. México: Trillas, 1995. Zúñiga Burmester, Ricardo.  “El aprendizaje social: la base psicológica de la socialización”. Valparaíso: Universitaria, 1971.	COMPLEMENTARIA	1c	12842	0	
Antropología Aplicada a la Minería 	301	Beal, George M. Conducción a acción dinámica del grupo. Buenos Aires Kapelusz, 1964. Gómez, José. Desarrollo del potencial humano: aportaciones de una psicología humanista. México: Trillas, 1985.	COMPLEMENTARIA	7c	9960	0	
Métodos Numéricos 	302	María Leonor Varas, Introducción al Cálculo Numérico, Apuntes de Clases, Departamento de Ingeniería Matemática, Universidad de Chile.	NO INDICA	0			
Métodos Numéricos 	302	Burden, R – Douglas, J., Análisis Numérico.	NO INDICA	7c	18988		
Estadística Aplicada 	302	Freund, JE; Miller, I; Miller, M. Estadística matemática con aplicaciones. Pearson Educación, 2000.	OBLIGATORIA	103c	18165		
Estadística Aplicada 	302	Devore, JL. Probabilidad y estadística para ingeniería y ciencias. Thomson Editores, 2005.	COMPLEMENTARIA	11c  7c	20883- 25558		2005 -2012
Estadística Aplicada 	302	Meyer, PL. Probabilidad y aplicaciones estadísticas. Addison-Wesley Iberoamericana, 1992.	COMPLEMENTARIA	14c 5c	2988-2561		1973-1983
Estadística Aplicada 	302	Montgomery, DC; Runger, GC. Probabilidad y estadística aplicadas a la ingeniería. McGraw-Hill, 1996.	COMPLEMENTARIA	2c   13c	7576 -25911		1996-2013
Resistencia de Materiales 	302	Hibbeler Russell C., “Mecánica de Materiales” 8ᵃ edición, Editorial Pearson, 2011.	NO INDICA	1c	10840		1998
Resistencia de Materiales 	302	Ferdinand P. Beer, “Mecánica de Materiales” 5ᵃ Edición, Editorial MC Graw Hill, 2000.	NO INDICA	0			
Resistencia de Materiales 	302	Ferdinand P. Beer, “Mecánica Vectorial para Ingenieros” 8ᵃ Edición, Editorial MC Graw Hill,2007.	NO INDICA	2c	2439		1973
Resistencia de Materiales 	302	Askeland Donald, R. “La Ciencia e Ingeniería de los Materiales”. University of Missouri-Rolla. Editorial Chapman and Hall, 1995.	NO INDICA	32c	18280		2004
Resistencia de Materiales 	302	Schaffer, J. “Ciencia y Diseño de Materiales para Ingeniería” Editorial Compañía editorial Continental CECSA. 1ª edición, 2000.	NO INDICA	8c	18281	0	
Servicios Mineros 	302	Ortiz de Urbin, F. (1988). Servicios y Mantenimiento. Madrid, España: Universidad politécnica de Madrid.	OBLIGATORIA	0			
Servicios Mineros 	302	Mujal Rosas, R. (2002). Cálculo de líneas y redes eléctricas. Catalunya, España: Ediciones de la Universitat Politécnica de Catalunya, SL	COMPLEMENTARIA	0			
Servicios Mineros 	302	Robert L. Mott. (1996). Mecánica de Fluidos Aplicada. México: Prentice-Hal Hispanoamericana, S.A.	COMPLEMENTARIA	48c	10854		
Servicios Mineros 	302	Munson B., Young  D., Okiishi T. (2004).  Fundamentos de Mecánica de Fluidos. México Editorial Limusa-Wiley.	COMPLEMENTARIA	8c	18374		2004
Perforación 	302	López J., C. (1994). Manual de Perforación y Voladura de Roca. Madrid: Instituto Tecnológico Geominero de España.	OBLIGATORIA	5c	203		
Perforación 	302	Gustafssono, R. (1977). Técnica Sueca de Voladuras. Suecia: Nora Boktryckeri.	OBLIGATORIA	3c	256	0	
Perforación 	302	López J., C. (2000). Manual de Sondeos - Tecnología de Perforación. Madrid: Grafica Arias Montano S.A.	OBLIGATORIA	2c	20092		
Perforación 	302	López J., C. (2001). Manual de Sondeos - Aplicaciones. Madrid: Graficas Arias Montano S.A.	OBLIGATORIA	2			
Perforación 	302	Atlas Copco. (2012). Blasthole Drilling in Open Pit Mining, Third edition. EE.UU.: Ulf Linder.	COMPLEMENTARIA	0			
Perforación 	302	Atlas Copco. (2015). Deephole Drilling in the water well, oil & gas, geothermal and exploration markets, First edition. EE.UU.: Justin Cocchiola.	COMPLEMENTARIA	0			
Inglés I 	302	Cambridge English Skills Real Listening and Speaking 1, 2, 3   by Sally Logan	NO INDICA	0			
Inglés I 	302	English Grammar in Use Book with Answers and Interactive eBook by Raymond Murphy	NO INDICA	0			
Inglés I 	302	English vocabulary in Use Upper- intermediate by Michael McCarthy	NO INDICA	0			
Mecánica de Fluidos 	401	Robert L. Mott, “Mecánica de Fluidos Aplicada”, Prentice-Hall Hispanoamericana, S.A., México 1996.	NO INDICA	48c	10854		
Mecánica de Fluidos 	401	Munson B., Young  D., Okiishi T., “Fundamentos de Mecánica de Fluidos”, Editorial Limusa Wiley, 2004.	NO INDICA	8c	18374		
Mecánica de Fluidos 	401	Irving H. Shames, “Mecánica de Fluidos”, McGraw-Hill, 3ª Edición, Colombia.	NO INDICA	7c	2465		
Mecánica de Fluidos 	401	Ocon y Tojo, “Problemas de Ingeniería Química”, Ed. Aguilar, España.	NO INDICA	2c	783	0	
Mecánica de Fluidos 	401	David R. Gaskell, “ An introduction to Transport Phenomena in Materials Engineering” Macmillan Publishing Company, E.E.U.U., 1992.	NO INDICA	0			
Mecánica de Fluidos 	401	Vega B. Rolando, “Transporte Hidráulico de Sólidos”, Apuntes  Curso Departamento de Capacitación, Universidad de Atacama.	NO INDICA	31c	2866	0	
Investigación Operativa 	401	Taha, H.A., Investigación de Operaciones. Prentice Hall, 2005.	OBLIGATORIA	2c	11377		
Investigación Operativa 	401	Manuel Barahona Droguett, Investigación de operaciones., UDA.	OBLIGATORIA	70c	15113		
Investigación Operativa 	401	Winston W., Operations Research Applications and Algorithms. Thomson Brooks, 2004.	COMPLEMENTARIA	0			
Investigación Operativa 	401	Hillier, F., Liberman, G. J., Introducción a la investigación de  operaciones., mc Graw Hill, 1991	COMPLEMENTARIA	5c	10110		1997
Evaluación de Yacimientos	401	Orche, E., (1999). Manual de evaluación de yacimiento de minerales. Carlos López Jimeno	OBLIGATORIA	3c	18983		
Evaluación de Yacimientos	401	Alfaro, M. (1990) Introducción a la geoestadística operativa. Universidad Politécnica de Madrid	OBLIGATORIA	1c	208		
Evaluación de Yacimientos	401	Alfaro, M. (2007), Estimación de Recursos mineros. Recuperado de http://cg.ensmp.fr/bibliotheque/public/ALFARO_Cours_00606.pdf John B. Kennedy / Adam M. Neville, Estadística para ciencias e ingeniería.	COMPLEMENTARIA	1c	208		
Carguío y Transporte 	401	Hartman, H. (Ed) (1992). SME Mining Engineering Handbook. AIME 2º Edición.	OBLIGATORIA	2c	373		
Carguío y Transporte 	401	Hustrulid, W., Kuchta, M. & Martin, R. (2013). Open Pit Mine Planning and Design, CRC Press, Barcelona.	OBLIGATORIA	7c	25326		
Carguío y Transporte 	401	CEMA (Ed), (1994). Belt conveyor for bulk materials. CEMA	OBLIGATORIA	1c	951		
Carguío y Transporte 	401	Novitzky, A. (1966). Transporte y Extracción en Minas y a Cielo Abierto. Universidad de Oriente.	OBLIGATORIA	3c	276		
Carguío y Transporte 	401	Kennedy B.A. (1990). Surface Mining 2º Edition, AIME	OBLIGATORIA	1c	987		
Carguío y Transporte 	401	Noakes. M, & Lanz. T. (1993). Cost Estimation Handbook for the Australian Mining Industry. Aus/IMM	COMPLEMENTARIA	1c	2188		
Carguío y Transporte 	401	López, C., López, E., Manglano, S. & Toledo, J. (1991). Manual de Arranque, Carga yTransporte en Minería a Cielo Abierto, Instituto Tecnológico Geominero de España.	COMPLEMENTARIA	6c	178		
Carguío y Transporte 	401	Vallejo, J. & Latorre, E. (2015). Tesis: Optimización en la selección de equipos de	COMPLEMENTARIA	1c	25403		
Carguío y Transporte 	401	carguío según el tipo de yacimiento para la pequeña minería de Atacama. Universidadde Atacama.	COMPLEMENTARIA	0			
Carguío y Transporte 	401	Neyth, D. & Latorre, E. (2015). Tesis: Calculo de flota de carguío y transporte. Universidad de Atacama.	COMPLEMENTARIA	1c	25803		
Carguío y Transporte 	401	Díaz, G. & Latorre, E. (2014). Tesis: Mejoramiento en la estimación de flota de camiones y secuencia de llenado de botaderos. Universidad de Atacama	COMPLEMENTARIA	1c	25606	0	
Carguío y Transporte 	401	Becerra, C. & Latorre, E. (2013). Tesis: Diagnóstico y propuesta de mejoramiento sistema ferroviario mina subterránea Codelco División Salvador. Universidad de Atacama	COMPLEMENTARIA	3c	25437		
Carguío y Transporte 	401	Parra, F. & Olmos, H. (2013). Tesis: Post evaluación a equipos LHD semiautomáticossector Pipa Norte El Teniente. Universidad de Atacama.	COMPLEMENTARIA	1c	25602	0	
Carguío y Transporte 	401	Núñez, M. & Latorre, E. (2012). Evaluación de software en estimación de flota de transporte. Compañía Minera Maricunga. Universidad de Atacama.	COMPLEMENTARIA	1c	23911	0	
Carguío y Transporte 	401	Ortíz, C. & Fribla, M. (2008). Tesis: Evaluación de flota única de carguío y transporte en Anglo American Chile, División Manto Verde. Universidad de Atacama.	COMPLEMENTARIA	1c	22849	0	
Carguío y Transporte 	401	Guaita, E. & Arias, C. (2004). Tesis: Implementación del software minero Talpac parasimulación del sistema de carguío y transporte en Min Los Colorados. Universidad deAtacama.	COMPLEMENTARIA	1c	18454		
Carguío y Transporte 	401	Marín, G. & Latorre, E. (2004). Tesis: Propuesta de estándares de diseño de caminos para Compañía Contractual Minera Candelaria. Universidad de Atacama.	COMPLEMENTARIA	2c	18472		
Carguío y Transporte 	401	Astudillo, C. & Santibañez, E. (1998). Tesis: Validación de herramientas de simulacióde carguío y transporte de mina Chuquicamata. Universidad de Atacama.	COMPLEMENTARIA	1c	12978	0	
Carguío y Transporte 	401	Medina, J. & Olmos, H. (1998). Tesis: Estrategia de manejo de minerales proyecto reservas norte: Mina el Teniente. Universidad de Atacama.	COMPLEMENTARIA	0			
Carguío y Transporte 	401	Rojas, L. & Santibañez, E. (1991). Tesis: Estudio de transporte con locomotoras para Mina Las Palmas. Universidad de Atacama.	COMPLEMENTARIA	1c	7089	0	
Tronadura 	401	Explosivos. ENAEX [1990]. 662.2 E56	OBLIGATORIA	5c	333	0	
Tronadura 	401	Explosivos. Campos V., Marcos [1991]. 662.2 C198	OBLIGATORIA	1c	1057		
Tronadura 	401	Explosivos permisibles en la minería del carbón. Molina Suazo, Guillermo [1977]. T UTE TIN-MI N M722	OBLIGATORIA	3c	6536		
Tronadura 	401	Manual de explosivos. Ireco [1991]. 662.2 I65	OBLIGATORIA	2c	325		
Tronadura 	401	Técnica sueca de voladuras. Gustafsson, Rune [1977]. 622.23 G982	OBLIGATORIA	3c	256	0	
Tronadura 	401	Técnica moderna de voladura de rocas. Langefors, U [1971]. 622.2 L274	OBLIGATORIA	12c	16961	0	
