BIBLIOGRAFÍA DE INGENIERIA CIVIL DE MINAS							
							
CARRERA:	INGENIERIA CIVIL MINAS						
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO. DE BIB	Prestamos 0	
Proyecto Minero Subterráneo 	601	Hartman, H. L., (1992), SME Mining Engineering Handbook, AIME 2º Edición,	OBLIGATORIA	2c	373		
Proyecto Minero Subterráneo 	601	Darling, P. (2011). SME Mining Engineering Handbook. AIME 3º Edición	OBLIGATORIA	8c	26563		
Proyecto Minero Subterráneo 	601	Hustrulid, W. A. &Bullock, R.L. (2001). Engineering Fundamentals and International Case Studies: Underground Mining Methods. Society for Mining, Metallurgy and Exploration Inc.	OBLIGATORIA	3c	26548		
Proyecto Minero Subterráneo 	601	Gertsch, R. E. and Bullock, R.L (1998). Techniques in underground mining: Selection from underground mining methods handbook. SME.	OBLIGATORIA	3c	26564	0	
Proyecto Minero Subterráneo 	601	Mine and Mill equipment Cost: an estimator's guide. Wester Mine Engineering Inc, 1999	COMPLEMENTARIA	2c	2224		
Proyecto Minero Subterráneo 	601	Runge, I. C. (1998). Mining economics and strategy. SME.	COMPLEMENTARIA	1c	12675	0	
Análisis y Simulación de Sistemas Mineros 	601	Coss, R. (1999) Simulación: un enfoque práctico, Editorial Limusa	NO INDICA	1c	12854	0	
Análisis y Simulación de Sistemas Mineros 	601	García,  E. & García,  H. (2006). Análisis de sistemas con Promodel, Pearson Educación, Mexico	NO INDICA	0			
Análisis y Simulación de Sistemas Mineros 	601	 Sturgul, J. (2000). Mine design: examples using simulation. SME - USA.	NO INDICA	0			
Análisis y Simulación de Sistemas Mineros 	601	Banks, J. & Carson, J. (1984). Discrete Event System Simulation. Prentice Hall.	NO INDICA	1c	9528		
Análisis y Simulación de Sistemas Mineros 	601	Pardo, L. & Valdés, T. (1987). Simulación: aplicaciones prácticas en la empresa. Días de Santo - Madrid.	NO INDICA	4c	7662	0	
Análisis y Simulación de Sistemas Mineros 	601	Hillier, F. & Lieberman, G. (1997). Introducción a la investigación de operaciones. McGraw-Hill	NO INDICA	5c	10110		
Economía de Minerales 	601	Singer, Hans W., 1950, “The Distribution of Gains between Investing and Borrowing Countries”, American Economic Review, Vol. 40, Nº 2. PP. 473-485.	OBLIGATORIA	0			
Economía de Minerales 	601	Radetzki, Marian, and Tilton, John, 1990, “Conceptual and Methodological Issues”. Tilton, John, ed., “World Metal Demand: Trends and Prospects”. Pp. 13-34.	OBLIGATORIA	0			
Economía de Minerales 	601	Tilton, John E., 1991, “Material Substitution: The Role of New Technology”. Nebojsa and Arnulf, eds., Diffusion of Technologies and Social Behavior. Pp. 383-406.	OBLIGATORIA	0			
Economía de Minerales 	601	Howard L. Hartman, ed., 1992, SME Mining Engineering Handbook, 2º Edition, Vol. 1. Littleton, CO: SME.	OBLIGATORIA	0			
Economía de Minerales 	601	Tilton John E., 1992, “Mineral Endowment, Public Policy and Competitiveness: A Survey of Issues”, Resources Policy, Dec, pp. 237-249.	COMPLEMENTARIA	0			
Economía de Minerales 	601	Peck, Merton J., Landsberg, Hans H., and Tilton, John E., eds., 1994, “Competitiveness in Metals: The Impact of Public Policy”, Mining Journal Books, London.	COMPLEMENTARIA	0			
Economía de Minerales 	601	David, Simpson, ed., 1999, Productivity in Natural Resource Industries. Washington, DC: Resources for the Future.	COMPLEMENTARIA	0			
Economía de Minerales 	601	Tilton, John E., 1999, “The Future of Recycling”, Resources Policy, Vol 25, Nº3, pp 197-204	COMPLEMENTARIA	0			
Economía de Minerales 	601	Tilton, John E., 2003, “Creating Wealth and Competitiveness in Mining”, Mining Engineering, Sep, pp. 15-22.	COMPLEMENTARIA	0			
Economía de Minerales 	601	Lagos, Gustavo, ed., 2004, “¿Minería para Siempre?”. Santiago, Universidad Católica.	COMPLEMENTARIA	1c	19258		
Economía de Minerales 	601	Tilton John E., ed., 2004, “¿Con los Días Contados? Un Análisis del Agotamiento de los Minerales”, Santiago, Chile: Universidad Católica.	COMPLEMENTARIA	0			
Economía de Minerales 	601	Lagos, Gustavo, ed., 2004, “Minería y Desarrollo”. Santiago, Universidad Católica.	COMPLEMENTARIA	1c	19269	0	
Taller de Relaciones Interpersonales 	601	Ribeiro, L (1994). La Comunicación Eficaz, México, Editorial Urano. 	OBLIGATORIA	3c	22660		
Taller de Relaciones Interpersonales 	601	Goleman, D (1997), Inteligencia Emocional. Barcelona, Editorial Kairós.	COMPLEMENTARIA	2c 2c	9007-27107		
Taller de Relaciones Interpersonales 	601	Viveros, J A (2003), Liderazgo, Comunicación Efectiva y Resolución de Conflictos. Santiago, Organización Internacional del Trabajo.	COMPLEMENTARIA	0			
Electivo III 	601	Hernández Sampieri, R. et. al.  (2010). Metodología de la investigación, 5° Ed. McGrawHill	OBLIGATORIA	18c	25115		
Trabajo de Titulación 	602	Quezada, N. (2010). Metodología de la investigación. Ed. Empresa Editora Macro	OBLIGATORIA	0			
