RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
TIPO DE BIBLIOGRAFÍA	TOTAL CONSIGNADA	TOTAL DISPONIBLE	% COBERTURA
Geoquímica	301	Henderson, P. (1982). Inorganic geochemistry. Oxford: Pergamon Press.	COMPLEMENTARIA
Geoquímica	301	Holland, H. D. & Turekian, K. K (Eds.) (2003). Treatise on Geochemistry. Oxford: Elsevier Pergamon.	COMPLEMENTARIA
Geoquímica	301	Le Maitre, R. W. (1982). Numerical petrology: Statistical interpretation of geochemical data. Amsterdam: Elsevier.	COMPLEMENTARIA
Geoquímica	301	Marshall, C. P. & Fairbridge, R. W. (Eds.) (1999). Encyclopedia of Geochemistry (Encyclopedia of Earth Sciences Series). Berlin: Springer.	COMPLEMENTARIA
Geoquímica	301	Mason, B. & Moore, C. B. (1982). Principles of Geochemistry. New York: John Wiley & Sons.	COMPLEMENTARIA
Geoquímica	301	McSween, H. Y., Richardson, S. M. & Uhle, M. (2003). Geochemistry: Pathways and Processes. New York: Columbia University Press.	COMPLEMENTARIA
Geoquímica	301	Nordstrom, D. K. & Muñoz, J. L. (2006). Geochemical thermodynamics. Caldwell, New Jersey: Blackburn Press.	COMPLEMENTARIA
Geoquímica	301	Rollinson, H. (1993). Using geochemical data: evaluation, presentation, interpretation. New York: Longman Scientific & Technical.	COMPLEMENTARIA
Geoquímica	301	Smith, D. G. (1989). The Cambridge Encyclopedia of Earth Sciences. Cambridge: Cambridge University Press.	COMPLEMENTARIA
Geoquímica	301	Walther, J. V. (2009). Essentials of geochemistry. Boston: Jones and Barlett.	COMPLEMENTARIA
Geoquímica	301	White, W. M. (2013) Geochemistry. Chichester: Wiley-Blackwell.	COMPLEMENTARIA
Geoquímica	301	Zou, H. (2009). Quantitative geochemistry. London: Imperial College Press.	COMPLEMENTARIA
Inglés IV	301	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	OBLIGATORIA
Inglés IV	301	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA
Inglés IV	301	Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA
Inglés IV	301	Allaby, M.  (2013). A Dictionary of Geology and Earth Sciences Oxford: Oxford University Press.	COMPLEMENTARIA
Petrología Sedimentaria	301	Flugel, E. (2004).  Microfacies of Carbonate Rocks. Berlín. Springer-Verlag Berlin Heidelberg.	OBLIGATORIA
Petrología Sedimentaria	301	Mackenzie, F. T. (2005). Sediments, diagenesis, and sedimentary rocks. Treatise on geochemistry. Volumen 7. Amsterdam, Alemania: Elsevier.	OBLIGATORIA
Mecánica de fluidos	301	Gaskell, D. R. (2013). An introduction to transport phenomena in materials engineering. New Jersey: Momentum Press.	OBLIGATORIA
Ejercicio físico y salud	301	Rueda, A., Frías, G., Quintana, R. M. & Portilla, J. L.  (2001).   La condición física en la educación secundaria. (2.ed.). Barcelona, España. INDE	COMPLEMENTARIA
Petrología Ígnea y Metamórfica II	302	Kornprobst, J. (2002). Metamorphic Rocks and Their Geodynamic Significance. A petrologicalHandbook. Dordrecht, Netherlands: Kluwer Academic Publishers.	COMPLEMENTARIA
Petrología Ígnea y Metamórfica II	302	Spear, F. S. (1993). Metamorphic Phase Equilibria and Pressure-Temperature-Time Paths.	COMPLEMENTARIA
Petrología Ígnea y Metamórfica II	302	Chantilly, United States: Mineralogical Society of America. Monograph.	COMPLEMENTARIA
Geología Histórica	302	Benedetto, J. L. (2010). El continente de Gondwana a través del tiempo. Una introducción a la Geología Histórica. Córdoba, Argentina: Academia Nacional de Ciencias.	OBLIGATORIA
Geología Histórica	302	Benton, M. J. (2008). The History of Life. A very Short Introduction. Oxford University Press Inc.,New York.	COMPLEMENTARIA
Geología Histórica	302	Gould, S. (1989). La Vida Maravillosa. Burgess Shale y la naturaleza de la historia. Crítica. Barcelona.	COMPLEMENTARIA
Geología Histórica	302	Gradstein, F. M. (2012). The Geologic Time Scale. Elsevier.	COMPLEMENTARIA
Geología Histórica	302	Complex Interactions at the Biosphere–Geosphere Interface. Geological Society London, Special Publications.	COMPLEMENTARIA
Geotectónica	302	Condie, K. C. (2003). Plate tectonics and crustal evolution. London: Pergamon Press.	OBLIGATORIA
Geotectónica	302	Frisch, W., Meschede, M. & Blakey, R. (2011). Plate tectonics: continental drift and mountain building. Berlin Heidelberg: Springer-Verlag.	OBLIGATORIA
Geotectónica	302	Mc Clay, K. R. (1992). Thrust tectonics. London: Chapman and Hall. 	COMPLEMENTARIA
Geotectónica	302	Twiss, R. J. & Moore, E. (1992). Structural geology. Freeman and Company.	COMPLEMENTARIA
Geotectónica	302	Moores, E. & Twiss, R. (1995). Tectonics. New York: Freeman and Company.	COMPLEMENTARIA
Geotectónica	302	Park, R. (1993). Geological structures and moving plates. London: Blackie academic and professional.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Albarède, F. (1995). Introduction to geochemical modeling. Cambridge: Cambridge University Press.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Anderson, G. M. & Crerar, D. A. (1993). Thermodynamics in geochemistry: The equilibrium model.Oxford: Oxford University Press.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Bowen, R. (1988). Isotopes in the earth science. London: Elsevier Applied Science.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Brownlow, A. H. (1995). Geochemistry. New Jersey: Prentice-Hall.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Faure, G. (1986). Principles of isotope geology. New York: Wiley.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Faure, G. (1998). Principles and applications of geochemistry. New Jersey: Prentice Hall.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Faure, G. (2001). Origin of the igneous rocks: The isotopic evidence. Berlin: Springer.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Henderson, P. (1982). Inorganic geochemistry. Oxford: Pergamon Press.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Holland, H. D. & Turekian, K. K (2003). Treatise on Geochemistry. Oxford: Elsevier Pergamon.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Le Maitre, R. W. (1982). Numerical petrology: Statistical interpretation of geochemical data. Amsterdam: Elsevier.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Marshall, C. P. & Fairbridge, R. W. (1999). Encyclopedia of Geochemistry (Encyclopedia of Earth Sciences Series). Berlin: Springer.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Mason, B. & Moore, C. B. (1982). Principles of Geochemistry. New York: John Wiley & Sons.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	McSween, H. Y., Richardson, S. M. & Uhle, M. (2003). Geochemistry: Pathways and Processes. New York: Columbia University Press.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Nordstrom, D. K. & Muñoz, J. L. (2006). Geochemical thermodynamics. Caldwell, New Jersey: Blackburn Press.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Rollinson, H. (1993). Using geochemical data: evaluation, presentation, interpretation. New York: Longman Scientific & Technical.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Smith, D. G. (1989). The Cambridge Encyclopedia of Earth Sciences. Cambridge: Cambridge University Press.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Walther, J. V. (2009). Essentials of geochemistry. Boston: Jones and Barlett.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	White, W. M. (2013) Geochemistry. Chichester: Wiley-Blackwell.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Zou, H. (2009). Quantitative geochemistry. London: Imperial College Press.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Dabrio, C. & Hernando, S. (2003). Estratigrafía. Colección Geociencias. Facultad de Ciencias Geológicas, U.C.M., Madrid.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Hedberg, H. D. (1980). Guía para la clasificación, terminología y procedimientos estratigráficos. Editorial Reverté, S.A.	COMPLEMENTARIA
Estratigrafía y Análisis de Cuencas	302	Leeder, M. R. (1982). Sedimentology. Process and Product. George Allen & Unwin, London. 344 pp.	COMPLEMENTARIA
Petrogénesis avanzada	302	Bucher, K. & Frey, M. (2002). Petrogenesis of Metamorphic Rocks. Berlin/Heidelberg: Springer.	COMPLEMENTARIA
Petrogénesis avanzada	302	De Paolo, D. J. (1988). Neodymium Isotope Geochemistry. An Introduction. Berlin/Heidelberg: Springer.	COMPLEMENTARIA
Petrogénesis avanzada	302	Dickinson, W. (1974). Plate tectonics and sedimentation. Society of Economic Paleontologists and Mineralogists, Special Publication.	COMPLEMENTARIA
Petrogénesis avanzada	302	Faure, G. (1986). Principles of Isotope Geology. New York: John Wyley.	COMPLEMENTARIA
Petrogénesis avanzada	302	Garrels, R. M. & Mackenzie, F. T. (1971). Evolution of sedimentary rocks. New York: Norton y Cía.	COMPLEMENTARIA
Petrogénesis avanzada	302	Kornprobst, J. (2002). Metamorphic Rocks and Their Geodynamic Significance. A petrological Handbook. Dordrecht: Kluwer Academic Publishers.	COMPLEMENTARIA
Petrogénesis avanzada	302	Sigurdsson, H., Houghton, B., Rymer, H., Stix, J. & Metamorphic Rocks and Their Geodynamic SignificanMcNutt, S. (2015). Encyclopedia of Volcanoes. Cambridge: Academic Press.	COMPLEMENTARIA
Petrogénesis avanzada	302	Spear, F. S. (1993). Metamorphic Phase Equilibria and Pressure-Temperature-Time Paths. Chantilly: Mineralogical Society of America.	COMPLEMENTARIA
Hidrogeología I 	401	Appelo, C. & Postma, D.  (2005). Geochemistry, Groundwater and Pollution. Leiden: Balkema.	OBLIGATORIA
Hidrogeología I 	401	Drever, J. (2002). The geochemistry of natural waters. Upper Saddle River, N.J.: Prentice Hall.	OBLIGATORIA
Hidrogeología I 	401	Fetter, C. (2014). Applied hydrogeology. Essex: Pearson Education.	OBLIGATORIA
Hidrogeología I 	401	Freeze, R. & Cherry, J. (1982). Groundwater. Englewood Cliffs, N.J.: Prentice-Hall.	OBLIGATORIA
Hidrogeología I 	401	Domenico, P. & Schwartz, F. (1998). Physical and chemical hydrogeology. New York: Wiley.	COMPLEMENTARIA
Hidrogeología I 	401	Fitts, C. (2017). Groundwater science. Amsterdam: Elsevier Academic Press.	COMPLEMENTARIA
Hidrogeología I 	401	Hiscock, K. & Bense, V. (2014). Hydrogeology. Hoboken: Wiley.	COMPLEMENTARIA
Hidrogeología I 	401	Kasenow, M. (2010). Applied ground-water hydrology and well hydraulics. Highlands Ranch, Colo.: Water Resources Publications.	COMPLEMENTARIA
Hidrogeología I 	401	Merkel, B., Nordstrom, D. & Planer-Friedrich, B. (2008). Groundwater Geochemistry. Berlin, Heidelberg: Springer-Verlag.	COMPLEMENTARIA
Hidrogeología I 	401	Schwartz, F. & Zhang, H. (2003). Fundamentals of ground water. New York: Wiley.	COMPLEMENTARIA
Metodología de la investigación	401	Archangelsky, S. (1970). Fundamentos de paleobotánica. Serie Técnica y Didáctica no. 11,Facultad de Ciencias Naturales y Museo, Universidad de la Plata, Argentina, 347 p.	COMPLEMENTARIA
Metodología de la investigación	401	Behrensmeyer, A. K., Damuth, J. D., DiMichele, W. A., Potts, R., Sues, H.-D. & Wing, S.L. (1992). Terrestrial ecosystems through time - Evolutionary paleoecology of terrestrial plants and animals. The University of Chicago Press.  588 p	COMPLEMENTARIA
Metodología de la investigación	401	Fraser, N.C. & Sues, H.-D. (2017). Terrestrial Conservation Lagerstatten: Windows into the Evolution of Life on Land. 356 p.	COMPLEMENTARIA
Metodología de la investigación	401	Labandeira, C.C., Wilf, P., Johnson, K.R. & Marsh, F. (2007). Guide to Insect (and Other)	COMPLEMENTARIA
Metodología de la investigación	401	Damage Types on Compressed Plant Fossils. Version 3.0. Smithsonian Institution, Washington, D.C. 25 p.	COMPLEMENTARIA
Metodología de la investigación	401	Stewart, W. N. & Rothwell., G. W. (1993). Paleobotany and the evolution of plants. 2nd edition. Cambridge University Press, Cambridge. 521 p.	COMPLEMENTARIA
Metodología de la investigación	401	Taylor, T.N., Taylor, E.L. & Krings, M. (2008). Paleobotany: The Biology and Evolution of Fossil Plants. 2nd Edition. Academic Press. 1252 p.	COMPLEMENTARIA
Metodología de la investigación	401	Tiffney, B. 1985. Geological factors and the evolution of plants. Yale University Press. 294 p.	COMPLEMENTARIA
Paleobotánica	401	Archangelsky, S. 1970. Fundamentos de paleobotánica. Serie Técnica y Didáctica no. 11, Facultad de Ciencias Naturales y Museo, Universidad de la Plata, Argentina, 347 p.	COMPLEMENTARIA
Paleobotánica	401	Behrensmeyer, A. K., Damuth, J. D., DiMichele, W. A., Potts, R., Sues, H.-D. & Wing, S.L. 1992. Terrestrial ecosystems through time - Evolutionary paleoecology of terrestrial plants and animals. The University of Chicago Press.  588 p	COMPLEMENTARIA
Paleobotánica	401	Fraser, N.C. & Sues, H.-D. 2017. Terrestrial Conservation Lagerstatten: Windows into the Evolution of Life on Land. 356 p.	COMPLEMENTARIA
Paleobotánica	401	Labandeira, C.C., Wilf, P., Johnson, K.R. & Marsh, F. 2007. Guide to Insect (and Other) Damage Types on Compressed Plant Fossils. Version 3.0. Smithsonian Institution, Washington, D.C. 25 p.	COMPLEMENTARIA
Paleobotánica	401	Stewart, W. N. & Rothwell., G. W. 1993. Paleobotany and the evolution of plants. 2nd edition. Cambridge University Press, Cambridge. 521 p.	COMPLEMENTARIA
Paleobotánica	401	Taylor, T.N., Taylor, E.L. & Krings, M. 2008. Paleobotany:The Biolo gy and Evolution of Fossil Plants. 2nd Edition. Academic Press. 1252 p.	COMPLEMENTARIA
Paleobotánica	401	Tiffney, B. 1985. Geological factors and the evolution of plants. Yale University Press. 294 p.	COMPLEMENTARIA
Hidroquímica y Geoquímica Ambiental	402	Appelo, C. y Postama, D. (2005). Geochemistry, groundwater and pollution. 2ª ed. London: Taylor & Francis.	OBLIGATORIA
Hidroquímica y Geoquímica Ambiental	402	Drever, J. I. (1982). The geochemistry of natural waters. New York: Prentice-Hall Inc.	OBLIGATORIA
Hidroquímica y Geoquímica Ambiental	402	Hem, J. D. (1992). Study and interpretation of the chemical characteristics of natural waters. U.S.G.S. Water-Supply Paper 2254.	OBLIGATORIA
Hidroquímica y Geoquímica Ambiental	402	Langmuir, D. (1997). Aqueous environmental geochemistry. NewJersey: Prentice Hall.	OBLIGATORIA
Exploraciones mineras	501	Ellis, D. V. & Singer, J. M. (2008). Well logging for earth scientists. Amsterdam: Springer.	OBLIGATORIA
Exploraciones mineras	501	Kearey, P., Brooks, M. & Hill, I. (2002). An Introduction to geophysical exploration. Oxford: Blackwell Science.	OBLIGATORIA
Exploraciones mineras	501	 Lowrie, W. (2007). Fundamentals of geophysics. Cambridge: Cambridge University Press.	OBLIGATORIA
Exploraciones mineras	501	Richards, J. R. (2003). Tectono-magmatic precursors for porphyry Cu-(Mo-Au) deposit formation. Economic Geology, 98, 1515-1533.	OBLIGATORIA
Exploraciones mineras	501	Seigel, H. O. (1995). A guide to high precision land gravimeter surveys. – 122 ps, Canada (documento en formato pdf).	OBLIGATORIA
Hidrogeología II 	501	Appelo, C. y Postma; D.  (2005). Geochemistry, Groundwater and Pollution. Leiden: Balkema.	OBLIGATORIA
Hidrogeología II 	501	Drever, J. (2002). The geochemistry of natural waters. Upper Saddle River, N.J.: Prentice Hall.	OBLIGATORIA
Hidrogeología II 	501	Fetter, C. (2014). Applied hydrogeology. Essex: Pearson Education.	OBLIGATORIA
Hidrogeología II 	501	Freeze, R. y Cherry, J. (1982). Groundwater. Englewood Cliffs, N.J.: Prentice-Hall.	OBLIGATORIA
Hidrogeología II 	501	Merkel, B., Nordstrom, D. y Planer-Friedrich, B. (2008). Groundwater Geochemistry. Berlin,Heidelberg: Springer-Verlag.	OBLIGATORIA
Hidrogeología II 	501	Domenico, P. y Schwartz, F. (1998). Physical and chemical hydrogeology. New York: Wiley.	COMPLEMENTARIA
Hidrogeología II 	501	Fitts, C. (2017). Groundwater science. Amsterdam: Elsevier Academic Press.	COMPLEMENTARIA
Hidrogeología II 	501	Hiscock, K. y Bense, V. (2014). Hydrogeology. Hoboken: Wiley.	COMPLEMENTARIA
Hidrogeología II 	501	Kasenow, M. (2010). Applied ground-water hydrology and well hydraulics. Highlands Ranch, Colo.: Water Resources Publications.	COMPLEMENTARIA
Hidrogeología II 	501	Schwartz, F. y Zhang, H. (2003). Fundamentals of ground water. New York: Wiley.	COMPLEMENTARIA
Geoestadística	501	Montero, J. M. & Larras, B. (2008). Introducción a la geoestadística lineal. Coruña: Netbiblo	COMPLEMENTARIA
Geotermia	501	Economides, M. & Ungemach, P. (1987). Applied Geothermics. Nueva York: John Wiley & Sons.	OBLIGATORIA
Geotermia	501	Goguel, J. (1976). Geothermics (Translated from La Géothermie). Nueva York: McGraw Hill Book Company.	OBLIGATORIA
Geotermia	501	"Kruger, P. & Otte, C. (Eds) (1973). Geothermal Energy: Resources, Production, Simulation.Stanford, California: Stanford University Press.
"	OBLIGATORIA
Geotermia	501	Chandrasekharam, D. & Bundschuh, J. (Ed.) (2002). Geothermal Energy Resources for Developing Countries. Lisse, Holanda: A.A. Balkema Publishers.	OBLIGATORIA
Geotermia	501	Ellis, A.J. & Mahon, W. (1977). Water Chemistry and Geothermal Systems. Londres: Academy Press.	COMPLEMENTARIA
Geotermia	501	Romijin, E., Laugier, R., Groba, E., Löhnert, E., Lüttig, G., Garagunis, C. & Fiedler, K. (Eds) (1985). Geothermics: Thermal-Mineral Waters and Hydrogeology. Atenas Theophrastus Publications.	COMPLEMENTARIA
Geotermia	501	Nicholson, K. (1993). Geothermal Fluids: Chemistry and Exploration Techniques. Berlin: Springer-Verlag.	COMPLEMENTARIA
Geotermia	501	Arnórsson, S. (Ed) (2000). Isotopic and Chemical Techniques in Geothermal Exploration, Development and Use: Sampling Methods, Data Handling, Interpretation. Viena: International Atomic Energy Agency.	COMPLEMENTARIA
Geotermia	501	D‟Amore, F. (Ed) (1991). Application of Geochemistry in Geothermal Reservoir development -Series of Technical Guides on the Use of Geothermal Energy. Roma: UNITAR/UNDP Centre on Small Energy Resources.	COMPLEMENTARIA
Geotermia	501	Chandrasekharam, D. & Bundschuh, J. (2008). Low-Enthalpy Geothermal Resources for Power Generation. Ámsterdam: CRC Press.	COMPLEMENTARIA
Ingeniería geológica	502	 Bieniawski, Z.T. (1989). Engineering rock mass classifications. New York: Wiley-Interscience.	OBLIGATORIA
Ingeniería geológica	502	Crespo, C. (2004).  Mecánica de suelos y cimentaciones. México: Limusa.	OBLIGATORIA
Ingeniería geológica	502	Laubscher, D. H. (1977). Geomechanics classification of jointed rock masses-mining applications.  Transactions of the Institution of Mining and Metallurgy, Section A, Mining industry, 86, PA1-A8.	OBLIGATORIA
Ingeniería geológica	502	Terzaghi, K. & Peck, R.B. (1978). Mecánica de suelos en la ingeniería práctica, Barcelona: El Ateneo.	OBLIGATORIA
Ingeniería geológica	502	Brady, B. H. G. & Brown, E. T. (1999), Rock mechanics for underground mining. Kluwer Academic Publishers.	COMPLEMENTARIA
Ingeniería geológica	502	Terzaghi, K., Peck, R. B. & Mesri, G. (1996). Soil Mechanics in Engineering Practice. New York: John Wiley & Sons, Inc.	COMPLEMENTARIA
Geoquímica geotérmica	502	Arnórsson, S. (Ed) (2000). Isotopic and chemical techniques in geothermal exploration, development and use: sampling methods, data handling, interpretation. Vienna: International Atomic Energy Agency.	OBLIGATORIA
Geoquímica geotérmica	502	D‟Amore, F. (Coordinator) (1991). Application of Geochemistry in Geothermal Reservoir development - Series of Technical Guides on the Use of Geothermal Energy. Rome: UNITAR/UNDP Centre on Small Energy Resources.	OBLIGATORIA
Geoquímica geotérmica	502	Drever, J. (2002). The geochemistry of natural waters. Upper Saddle River, N.J.: Prentice Hall.	OBLIGATORIA
Geoquímica geotérmica	502	Ellis, A. J., Mahon, W. A. J. (1977). Chemistry and Geothermal System. New York: Academic Press.	OBLIGATORIA
Geoquímica geotérmica	502	Nicholson, K. (1993) Geothermal Fluids: Chemistry and Exploration Techniques. Berlin: Springer-Verlag.	OBLIGATORIA
Geoquímica geotérmica	502	Albarède, F. (1995). Introduction to Geochemical Modeling. Cambridge: Cambridge University Press, 543 p.	COMPLEMENTARIA
Geoquímica geotérmica	502	Bethke, C. M. (1996) Geochemical Reaction Modeling: Concepts and Applications. London: Oxford University Press.	COMPLEMENTARIA
Geoquímica geotérmica	502	Browne, P. R. L. (1978). Hydrothermal Alteration in Active Geothermal Fields. Annual Review of Earth and Planetary Sciences, 6, pp. 229-248.	COMPLEMENTARIA
Geoquímica geotérmica	502	Chandrasekharam, D. y Bundschuh, J. (2008). Low-Enthalpy Geothermal Resources for Power Generation. Ámsterdam: CRC Press.	COMPLEMENTARIA
Geoquímica geotérmica	502	Giggenbach, W. F. y Goguel, R. L. (1989) Collection and analysis of geothermal and volcanic water and gas discharges. Pentone: Chemistry Division, Department of Scientific and Industrial Research.	COMPLEMENTARIA
Geoquímica geotérmica	502	Kühn, M. (2004). Reactive Flow Modeling of Hydrothermal Systems. Berlin: Springer-Verlag.	COMPLEMENTARIA
Geoquímica geotérmica	502	Paces, T. (Ed) (1991). Fluid Sampling for Geothermal Prospecting - Series of Technical Guides on the Use of Geothermal Energy. Rome: UNTAR/UNDP Centre on Small Energy Resources.	COMPLEMENTARIA
Geoquímica geotérmica	502	Pirajno, F.  (2008). Hydrothermal Processes and Mineral Systems, Springer.	COMPLEMENTARIA
Práctica profesional	601	Watt, A., (1986). Diccionario Ilustrado de la Geología. Madrid. España: Editorial Everest.	COMPLEMENTARIA
