RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografia	Total de Consignada	Total Disponible	% Cobertura		
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	SIEDENTOP, D. (1998). Aprendiendo a enseñar la Educación Física. Barcelona, España. Editorial INDE Publicaciones.	Obligatoria	13	0
Didáctica del Voleibol	301	Federación Internacional de Voleibol (2021). Reglas oficiales, Suiza Edit. FIVB.	Obligatoria	25	0
Didáctica del Voleibol	301	Iglesias, C. (2006). Aprendiendo a jugar voleibol en la escuela. Argentina. Edit. Stadium	Obligatoria	25	0
Didáctica del Voleibol	301	Jáuregui, H. (2011). Iniciación, Vóleibol. Santiago, Chile. Edit. COCH.	Obligatoria	25	0
Didáctica del Voleibol	301	Lucas, J. (2005). Vóleibol, iniciación y perfeccionamiento. España. Edit. Paidotribo	Obligatoria	25	0
Didáctica del Voleibol II	302	Federación Internacional de Voleibol. (2021). Reglas Oficiales Lausanne, Suiza Edit. FIVB.	Obligatoria		0
Didáctica del Voleibol II	302	García, J. (2000). Deportes de equipo. Barcelona, España. Edit. INDE.	Obligatoria		0
Didáctica del Voleibol II	302	Iglesias, C. (2006). Aprendiendo a jugar voleibol en la escuela. Argentina. Edit. Stadium	Obligatoria		0
Didáctica del Voleibol II	302	Loscher, A. (2003). Juegos predeportivos en grupo Barcelona, España Edit. Paidotribo	Obligatoria		0
Educación y Motricidad en el ciclo vital	401	Barrow H. Y Brown J. (1988) Hombre y Movimiento Edit. Doyma. Barcelona	Obligatoria	25	0
Educación y Motricidad en el ciclo vital	401	Manual de educación física deporte y recreación por edades (2001) Editorial Cultural S.A.	Complementaria	25	0
Educación y Motricidad en el ciclo vital	401	Saavedra, C. (2005)   Guía de Actividad Física en adultos mayores Edit. Chiledeportes	Complementaria	25	0
Educación y Motricidad en el ciclo vital	401	Tefarikis, E (2008) Motricidad humana, un cambio urgente y necesario.	Complementaria	25	0
Teorías de la Motricidad	101	Toro, S. (2005) Motricidad en la Vida Humana. Apunte División Educación General-	Obligatoria	30	0
Teorías de la Motricidad	101	Unidad Deporte y Tiempo Libre Escolar. Stgo, Chile MINEDUC	Obligatoria	30	0
Desarrollo Motor	201	Carrasco, D. (1998). Desarrollo Motor. (1.ed.). España. Edit. Univ. Politécnica Madrid.	Obligatoria	13	0
Orientación y convivencia escolar	301	Ministerio de Educación. (2003). Marco para la Buena Enseñanza.Chile.Ministerio de Educación.	Obligatoria	25	0
