RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
Inglés I	202	Fuscoe K. Garside B. Prodromou L. Attitude Students book and Workbook. México: Mcmillan. 2006..	OBLIGATORIA	0
		Soars L. Wheeldon S. New Headway Elementary Workbook. Mexico: Oxford University Press. 2006.	OBLIGATORIA	0
		Evans- V. Salcido. K. Nursing. United States: Express Publishing . 2011.	OBLIGATORIA	0
		Heyer S. Easy True Stories “ Pictures Based Begginer Reader”.. UK: Longman. 1994.	COMPLEMENTARIA	0
		Lebeau I, Rees G. Language Leader Workbook and Student´s book.. Edinburgh: Pearson- Longman. 2008.	COMPLEMENTARIA	0
Practica de Cuidados de Enfermería En personas mayores	301	Moraga R. Gerontología social: envejecimiento y calidad de vida. Barcelona: Herder. 1991	OBLIGATORIA	0
		Izal M. MI. Gerontología conductual: intervención y ámbito de aplicación. Madrid: Síntesis. 1999	OBLIGATORIA	0
		Gándara MJ. Envejecer en soledad: repercusiones psicopatológicas de la soledad en los ancianos. Madrid: Popular. 1995	COMPLEMENTARIA	0
		Pont Geis P. tercera edad, actividad física y salud: Teoría y práctica. Paidotribo. 1990.	COMPLEMENTARIA	0
análisis e interpretación de pruebas diagnósticas	301	Ruiz Reyes G. Fundamentos de interpretación clínica de los exámenes de laboratorio. Buenos Aires. Editorial Médica Panamericana. 2010.	OBLIGATORIA	0
		González Ramírez JF. Procedimientos de relajación (método auditivo). Madrid: Eos.1998	COMPLEMENTARIA	0
		Kaminoff L. Anatomía de Yoga. Madrid: Tutor. 2012	COMPLEMENTARIA	0
Inglés II	301	Fuscoe K. Garside B. Prodromou L. Attitude Students book and Workbook. México: Mcmillan. 2006..	OBLIGATORIA	0
		Soars L. Wheeldon S. New Headway Elementary Workbook. Mexico: Oxford University Press. 2006.	OBLIGATORIA	0
		Evans- V. Salcido. K. Nursing. United States: Express Publishing . 2011.	OBLIGATORIA	0
		Heyer S. Easy True Stories “ Pictures Based Begginer Reader”.. UK: Longman. 1994.	COMPLEMENTARIA	0
		Lebeau I, Rees G. Language Leader Workbook and Student´s book.. Edinburgh: Pearson- Longman. 2008.	COMPLEMENTARIA	0
		Hidalgo CG. CBE. Salud familiar: un modelo de atención integral en la atención primaria. Santiago: Universidad Católica de Chile. 1999	COMPLEMENTARIA	0
		Chiavenato I. Administración de recursos humanos: el capital Humano de las organizaciones. México: McGraw-Hill. 2011	OBLIGATORIA	0
		Chiavenato I. Administración de recursos humanos: el capital Humano de las organizaciones. México: McGraw-Hill. 2011	OBLIGATORIA	0
		González Ramírez JF. Procedimientos de relajación (método auditivo). Madrid: Eos.1998	COMPLEMENTARIA	0
		Kaminoff L. Anatomía de Yoga. Madrid: Tutor. 2012	COMPLEMENTARIA	0
Cuidados de Enfermería en Salud Mental	402	Johnson B. Enfermería psiquiátrica y salud mental. Madrid: McGraw-Hill. 4ª Edición.	OBLIGATORIA	0
		Pichot P. Diagnóstico, evaluación y tratamiento de los trastornos psiquiátricos graves. Madrid: Aula Médica ediciones. 2005	OBLIGATORIA	0
		Casassas SR. CSMC. JPS. Cuidados básicos del niño sano y enfermo. Santiago: Universidad Católica de Chile. 4° edición. 2012	COMPLEMENTARIA	0
Formulación y ejecución de proyectos en salud	402	Sapag Chian N. Proyectos de inversión: Formulación y evaluación. Santiago: Prentice Hall.2011.	OBLIGATORIA	0
		Pichardo Muñiz A. Planificación y programación social: bases para el diagnóstico y formulación de programas y proyectos sociales. Buenos Aires: Lumen. 2008.	OBLIGATORIA	0
		Chiavenato I. Administración: teoría, proceso y practica. Bogotá: McGraw-Hill 2001	COMPLEMENTARIA	0
		Barros Vera O. Sistemas de informacion administrativa: la informatica aplicada a la administracion de organizaciones. Santiago: Uiversitaria. 1978	COMPLEMENTARIA	0
