RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
Taller de Negocio Tecnológico	402	Anderson, J., Narus, J. & Van Rossum W., Propuesta de valor para el cliente en los mercados de empresas. Harvard Business Review, Marzo 2006.	NO INDICA	0
Taller de Negocio Tecnológico	402	"Miranda Olivan, A., Como elaborar un plan de Empresas. Cengage  Learning Editores. Create and implement the best strategy for your Business, 2005. Harvard Business Press.
Alexander Osterwalder. Business Model Generation (Canvas)."	NO INDICA	0
Taller de Negocio Tecnológico	402	Create and implement the best strategy for your Business, 2005. Harvard Business Press.	NO INDICA	0
Ingeniería de Software II	501	Pfleeger, S.L. “Software Engineering-Theory and Practice”. Prentice-Hall, Chap. 4, 1998.	NO INDICA	0
Ingeniería de Software II	501	Martin, Robert C. “Agile Software Development: Principles, Patterns and Practices”.	NO INDICA	0
Taller de Conectividad	501	CCNA Exploration 4. Conceptos y protocolos de enrutamiento.	NO INDICA	0
Taller de Conectividad	501	CCNA Exploration 4. Conmutación.	NO INDICA	0
Taller de Conectividad	501	CCNA Exploration 4. Acceso a la WAN.	NO INDICA	0
Taller de Conectividad	501	TCP/IP Protocol Suite. 4th Edition,Behrouz Forouzan, McGraw Hill.	NO INDICA	0
Taller de Conectividad	501	Computer Network. Andrew Tanenbaum. 5° Edition. Prentice Hall.	NO INDICA	0
Taller de Conectividad	501	Data and Computer Communications. William Stallings. 8° Edition. Pearson.	NO INDICA	0
Administración de Servidores	501	Aprenda Linux como si estuviera en primero, Javier García de Jalón	NO INDICA	0
Administración de Servidores	501	Redes GNU Linux, Emiliano Francisco Espinela	NO INDICA	0
Administración de Servidores	501	Oreilly administración de sistemas Linux, adelstein, tom	NO INDICA	0
Inteligencia de Negocios	502	"Josep Curto Díaz, "" Introducción al Business Intelligence""."	NO INDICA	0
Inteligencia de Negocios	502	Cesar Pérez, “´Técnicas de mineria de datos e inteligencia de negocios”, 2014.	NO INDICA	0
Proyecto de Software	502	"Bandel David; Napier Robert, ""Linux"", Sexta Edición, Editorial Prentice may, 2010."	NO INDICA	0
Proyecto de Software	502	"WEBB, Jeff with Microsoft, ""Developing Web Aplications with Visual Basic NET and Visual C#.NET"", Editorial Mc Graw-Hill, 2009."	NO INDICA	0
Gestión Informática	502	Laundon, K “Sistema de información gerencial”, 8º Edición, Pearson, 2004.	NO INDICA	0
Seminario de Título 	601	Taborga, Huáscar: “Cómo hacer una Tesis”, México, Edit. Grijalbo S.A., 1980, P.170-219	NO INDICA	0
Trabajo de Título  	602	"Metodología De La Investigación Edición 2010, ISBN: 9786124034503, Quezada, Nel; Editorial: Empresa Editora Macro
"	NO INDICA	0
