RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de Cobertura		
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	OBLIGATORIA	0	0
		Urrutia María Teresa y otros. (2014). Enfermería Ginecológica. Santiago: Mediterráneo.	COMPLEMENTARIA	0	0
		Gayo M, (2013), Fundamentos de la farmacología básica y clínica, España, Ed. Médica Panamericana.	OBLIGATORIA	0	0
		Caballero M. Erika. (1997). Valoración Física del Recién Nacido. Santiago de Chile: Editorial PUC.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
ATENCIÓN PRIMARIA OBSTÉTRICA	301	Caballero M. Erika. (1997). Valoración Física del Recién Nacido. Santiago de Chile: Editorial PUC	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Cuello, Mauricio. (2005). Pautas de práctica clínica en Ginecología. Santiago: Ediciones Universidad Católica.	COMPLEMENTARIA	0	0
		Escribano Tórtola Juan José y otros. (2001). Ginecología y atención primaria. Madrid: Edit. Schering.	COMPLEMENTARIA	0	0
		Pineda, Elia, Luz de Alvarado, Eva. (2008). Metodología de la investigación. Washington	COMPLEMENTARIA	0	Titulo disponible en otra Biblioteca de la Red
		Caballero M. Erika. (1997). Valoración Física del Recién Nacido. Santiago de Chile: Editorial PUC.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Chabner. (2009). Harrison: Manual de Oncología. EE.UU: McGraw-Hill.	OBLIGATORIA	0	0
		Linda Williams. (2009). Enfermería Médico Quirúrgica. España: McGraw-Hill.	OBLIGATORIA	0	0
		Jose Guadalajara Boo. (2007). Manual de urgencias cardiovasculares. España: McGraw- Hill.	OBLIGATORIA	0	0
		Caballero M. Erika. (1997). Valoración Física del Recién Nacido. Santiago de Chile: Editorial PUC.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Pineda, Elia, Luz de Alvarado, Eva. (2008). Metodología de la investigación. Washington	COMPLEMENTARIA	0	Titulo disponible en otra Biblioteca de la Red
PSICOLOGÍA DE LA MUJER	302	Papalia, Diana E. (2001). Desarrollo humano. México. McGraw Interamericana, Ed. 12..	OBLIGATORIA	0	0
		Feldman R. (2007). Desarrollo Psicológico. (1ª Ed.) México. Pearson Educación.	OBLIGATORIA	0	0
		Berger, K. (2007). Psicología del desarrollo. Madrid. Editorial Panamericana.	OBLIGATORIA	0	0
		Davidoff, L. (2001). Introducción a la Psicología.	COMPLEMENTARIA	0	0
		Zepeda, F. (2003). Introducción a la Psicología. México. Pearson Educación.	COMPLEMENTARIA	0	0
		Arcila, Adriana. Educación para la salud sexual. Editorial Universidad de Caldas, Manizales, Colombia, 2003.	OBLIGATORIA	0	0
		Arango, Iván. Sexualidad Humana. Editorial el Manual Moderno, México, 2008.	COMPLEMENTARIA	0	0
		Chiavenato, I. Administración de Recursos Humanos; Ed. Mc Graw Hill. Quinta Edición, año 2000.	OBLIGATORIA	0	0
		Charles W. L. Hill/Jones. Administración Estratégica un enfoque integrado Ed. McGraw Hill. Sexta edición, año 2005.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Koontz Harold, Weihrich Heinz. “Administración una perspectiva Global”. Ed. Mc Graw Hill. 12va edición, año 2004.	OBLIGATORIA	0	0
		Malik, A. “Manual de Recursos Humanos en Salud” OPS.OMS. Fundación WK Kellog, año 1996.	OBLIGATORIA	0	0
PROCESO DE INTERVENCIÓN COMUNITARIA	401	Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	OBLIGATORIA	0	0
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	OBLIGATORIA	0	0
		Pineda, Elia, Luz de Alvarado, Eva. (2008). Metodología de la investigación. Washington	COMPLEMENTARIA	0	Titulo disponible en otra Biblioteca de la Red
		Cuello, Mauricio. (2005). Pautas de práctica clínica en Ginecología. Santiago: Ediciones Universidad Católica.	OBLIGATORIA	0	0
GESTIÓN EN SALUD II	402	Cosialls, D. “Gestión Clínica y Gerencial de Hospitales Servicios de Información”. Editorial Mediterráneo, año 2000.	OBLIGATORIA	0	0
		Mompart-Tomey, A. “Administración y Gestión” Edit, DAE. Madrid, año 2004.	OBLIGATORIA	0	0
		Gareth R. Jones y otros. “Administración contemporánea”. Edit. McGraw-Hill. Sexta Edición, año 2010.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Lussier Robert N. y otros. “Liderazgo: teoría, aplicación, desarrollo de habilidades”. Thomson Learning, año 2002.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Marriner Tomey Ann. “Gestión y Dirección en Enfermería”. Edt. Elsevier España, año 2009.	OBLIGATORIA	0	0
		Pineda, Elia, Luz de Alvarado, Eva. (2008). Metodología de la investigación. Washington	COMPLEMENTARIA	0	Titulo disponible en otra Biblioteca de la Red
GESTIÓN EN SALUD III	501	Mompart-Tomey, A. “Administración y Gestión” Edit, DAE. Madrid, año 2004.	OBLIGATORIA	0	0
		Gareth R. Jones y otros. “Administración contemporánea”. Edit. McGraw-Hill. Sexta Edición, año 2010.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Lussier Robert N. y otros. “Liderazgo: teoría, aplicación, desarrollo de habilidades”. Thomson Learning, año 2002.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Cosialls, D. “Gestión Clínica y Gerencial de Hospitales Servicios de Información”. Editorial Mediterráneo, año 2000.	OBLIGATORIA	0	0
		Martínez R. Armando. “Manual de gestión y mejora de procesos en los Servicios de Salud”. Editorial Manual Moderno 1era Edición, año 2005.	OBLIGATORIA	0	0
		Caballero M. Erika. (1997). Valoración Física del Recién Nacido. Santiago de Chile: Editorial PUC.	OBLIGATORIA	0	Titulo disponible en otra Biblioteca de la Red
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	OBLIGATORIA	0	0
