PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022							
							
CARRERA:  Traductología y traductor e intérprete Inglés-Español 							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BTCA.	BIB BTCA.	Prestamos 0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Real Academia Española (2014). Diccionario de la lengua española. Madrid, España: RAE.	OBLIGATORIA		29	4152-16264	0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Ullmann, S. (1996). Memántica. Introducción a la ciencia del significado. Madrid. España: Aguilar.	OBLIGATORIA		1	4127	0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Coseriu, E. (1982). Teoría del lenguaje y lingüística general: Cinco estudios. Madrid, España: Gredos	COMPLEMENTARIA		2	4226	0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Kristeva, J. (1988). El lenguaje, ese desconocido. Madrid, España: Editorial Fundamentos.	COMPLEMENTARIA		0		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Fuentes, J. (1980). Comunicación. Madrid, España: M. Fernández y Cía., S.A.	COMPLEMENTARIA		4	8173	
Competencia Comunicativa II	Segundo semestre 	Hughes, J; Stephenson, H; Dummet, P. (2014). Life: Elementary. United Kingdom: Cheriton House Publishing	OBLIGATORIA	40	5	27211	
Competencia Comunicativa II	Segundo semestre 	Clarke, S. (2008) Macmillan English Grammar in Context. Oxford. Macmillan.	COMPLEMENTARIA	40	5	28403	
Competencia Comunicativa II	Segundo semestre 	Murphy, R. (2015) Grammar in Use, fourth edition. New York. Cambridge University Press.	COMPLEMENTARIA	40	22	26240-10050-18172	0
Competencia Comunicativa II	Segundo semestre 	Tilbury, A., et. al. (2013). English Unlimited : A2 Elementary Coursebook. Cambridge : Cambridge University Press.	COMPLEMENTARIA	35	8	26346	
Introducción a la Traducción II	Segundo semestre 	García Yebra, V. (1982). Teoría y práctica de la traducción. Madrid, España: Gredos.	OBLIGATORIA	35	0		0
Introducción a la Traducción II	Segundo semestre 	Hurtado, A. (2001). Traducción y Traductología: introducción a la Traductología. Madrid: Ediciones Cátedra.	OBLIGATORIA	35	5	26361	
Sistema de la Lengua Inglesa II	Segundo semestre 	Hughes, J; Stephenson, H; Dummet, P. (2014). Life: Elementary. United Kingdom: Cheriton House Publishing. Yule, G. (2017) The study of language, 6th Ed. Cambridge: Cambridge University Press.	OBLIGATORIA	35	5	27211	
Sistema de la Lengua Inglesa II	Segundo semestre 	Orellana, M. (2002). La traducción del inglés al castellano. Santiago, Chile: Editorial Universitaria.	OBLIGATORIA	35	1	4453	
Sistema de la Lengua Inglesa II	Segundo semestre 	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	35	0		0
Sistema de la Lengua Inglesa II	Segundo semestre 	Samuelsson-Brown, G. (1993). A Practical Guide for Translators. England: WBC Books	OBLIGATORIA	35	1	22357	
Sistema de la Lengua Inglesa II	Segundo semestre 	Gómez, L. (2011). Ortografía y Gramática. Las Normas Académicas: Últimos Cambios. Madrid, España: Ediciones SM.	COMPLEMENTARIA	35	0		0
Sistema de la Lengua Inglesa II	Tercer semestre	Real Academia Española. (2014). Diccionario de la lengua española (23. a ed.). Recuperado	COMPLEMENTARIA	35	8	16264	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Ferreiro, E. y Gómez, M. (2002). Nuevas perspectivas sobre los procesos de lectura y escritura. México: Editorial Siglo XXI.	OBLIGATORIA	30	0		0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Rodríguez, G. (1983). Didáctica de la lengua materna. Valdivia, Chile: UACH.	OBLIGATORIA	30	4	1465-1722	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Cuervo, R. (1998). Diccionario de construcción y régimen de la lengua castellana. Barcelona, España: Herder.	OBLIGATORIA	30	8	12093	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Condemarín, M. (1997). Lectura correctiva y remedial, 2da Ed. Santiago, Chile: Editorial Andrés Bello.	OBLIGATORIA	30	2	22365-10411	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Calvo Rodríguez, A. (1994). Programas para mejorar la comprensión lectora. Madrid. España: Escuela Española.	OBLIGATORIA	30	0		0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Alcoba, S. (Coord.) (2000). La expresión oral. Barcelona, España: Ariel.	OBLIGATORIA	30	0		0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	"Gómez Torrego, L. (2006). Hablar y escribir correctamente: Gramática normativa del español actual. Madrid, España: Arco/Libros.
"	OBLIGATORIA	30			0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Reyzábal, M. (1993). La comunicación oral y su didáctica. Madrid, España: La Muralla.	COMPLEMENTARIA	30	10	12042	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Sánchez Lobato, J. (coord.) (2006). Saber escribir. Madrid, España: Instituto Cervantes-Aguilar.	COMPLEMENTARIA	30	0		0
Gramática, Lengua y Comunicación en Español II	Tercer semestre	"Equipo Editorial Centro de Investigación y Publicaciones del Idioma (2018)
“Enseñar gramática en el aula de Español”, Madrid, Centro de Investigación…
"	OBLIGATORIA	35	0		0
Gramática, Lengua y Comunicación en Español II		"2) Loreto Busquets y Lidia Bonzi (2010), Ejercicios gramaticales de Español, Madrid,
Editorial Verbum"	OBLIGATORIA	35	0		0
Competencia Comunicativa III	Tercer semestre	Murphy, R. (2015) Grammar in Use, fourth edition. New York. Cambridge University Press.	COMPLEMENTARIA	30	5	27211	
Competencia Comunicativa III	Tercer semestre	Savage, A. & Shafiei, M. (2007). Effective Academic Writing 1: The paragraph. New York. Oxford University Press. R. 811 S263	COMPLEMENTARIA	30	0		0
Competencia Comunicativa III	Tercer semestre	Tilbury, A., et. al. (2015). B1 Pre-intermediate Coursebook. Cambridge : Cambridge University Press.	COMPLEMENTARIA	30	8	26346	
Competencia Comunicativa III	Tercer semestre	Vince, M. (2008). Macmillan English Grammar: In Context. London. Macmillan.	COMPLEMENTARIA	30	5	28405	
Traducción I	Tercer semestre	Carreres, Á., Noriega-Sánchez, M., & Calduch, C. (2018). Mundos en palabras: Learning Advanced Spanish through Translation. Routledge.	OBLIGATORIA	25	0		0
Traducción I	Tercer semestre	Hurtado, A. (2001). Traducción y traductología: introducción a la traductología. Ediciones Cátedra.	OBLIGATORIA	25	5	26361	
Traducción I	Tercer semestre	Jiménez, J. A. F., & Muñoz-Basols, J. (2018). Introducción a la traducción: inglés-español. Routledge.	OBLIGATORIA	25	2	28300	
Traducción I	Tercer semestre	Orellana, M. (2005). La traducción del inglés al castellano. Editorial Universitaria.	OBLIGATORIA	25	1	4453	
Traducción I	Tercer semestre	Orozco Jutorán, M. (2015). Metodología de la traducción directa del inglés al español. Materiales didácticos para traducción general y especializada, 3ra ed. Comares.	OBLIGATORIA	25	2	27468	
Práctica Progresiva I	Tercer semestre	Nolan, J. (2012). Interpretation: Techniques and exercises. Multilingual Matters; Edición: 2nd edition.	OBLIGATORIA	30	0		0
Práctica Progresiva I	Tercer semestre	Orellana, M. (2002). La traducción del inglés al castellano. Santiago, Chile: Editorial Universitaria.	OBLIGATORIA	30	1	4453	
Práctica Progresiva I	Tercer semestre	Orellana, M. (2003). Glosario internacional para el traductor. Santiago, Chile: Editorial Universitaria.	OBLIGATORIA	30	4	26135	
Práctica Progresiva I	Tercer semestre	Pöchhacker Franz (2016). Introducing interpreting studies. Routledge.	COMPLEMENTARIA	30	0		0
Electivo I	Tercer semestre	Bartoll, E. (2015) Introducción a la Traducción Audiovisual. Editorial UOC.	OBLIGATORIA	25	1	27484	
Electivo I	Tercer semestre	Cronin, M. (2009). Translation Goes to the Movies. Routledge.	OBLIGATORIA	25	0		0
Electivo I	Tercer semestre	Duro, M. (2001). La traducción para el doblaje y la subtitulación. Editorial Cátedra.	OBLIGATORIA	25	0		0
Electivo I	Tercer semestre	Díaz, J. (2003). Teoría y práctica de la subtitulación inglés/español. Editorial Ariel.	OBLIGATORIA	25	0		0
Ética profesional	Cuarto semestre	Hortal Alonso, A. (2007). Ética profesional de traductores e intérpretes. Bilbao, España: Desclée de Brouwer.	OBLIGATORIA	25	0		0
Ética profesional	Cuarto semestre	Gouadec, Daniel (2007). Translation as a Profession. Amsterdam/Philadelphia: John Benjamins Publishing Company.	COMPLEMENTARIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Álvarez, G. y Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción. Chile: Universidad de Concepción.	OBLIGATORIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Álvarez, G; Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción, Chile: Universidad de Concepción.	OBLIGATORIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Aznar, J. (2000). Etimologías grecolatinas. Orígenes del Español. México: Pearson Educación.	OBLIGATORIA	25	3	22713	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	"Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.
"	OBLIGATORIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Coseriu, E. (1992). Competencia lingüística. Elementos de la teoría del hablar. Madrid. España: Gredos.	OBLIGATORIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Cuervo, R. (1988). Diccionario de construcción y régimen de la lengua diccionario de construcción y régimen de la lengua castellana. Barcelona, España: Herder.	OBLIGATORIA	25	8	12093	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	De Saussure, F. (1987). Curso de lingüística general. Madrid, España: Alianza.	OBLIGATORIA	25	2	4134	
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Fuentes, J. (2001). Gramática moderna de la lengua española. Sao Paulo, Brazil: M. Fernández y Cía. S.A.	OBLIGATORIA	25	1	4382	
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Fuentes, J. L. (1988). Gramática moderna de la lengua española. Sao Paulo, Brasil: M. Fernández y Cía., S.A. 	OBLIGATORIA	25	1	4382	
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Jakobson, R. (1985). Ensayos de lingüística general. Barcelona, España: Planeta Agostini.	OBLIGATORIA	25	1	4082	
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Knapp, M. (2007). La comunicación no verbal: el cuerpo y el entorno. Buenos Aires, Argentina.	OBLIGATORIA	25	2	1186	
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Lázaro, F. (2008). Diccionario de términos filológicos. Madrid, España: Aurea Hispánicos.	OBLIGATORIA	25	1	4431	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Pilleux, M. (2016). “Competencia comunicativa y análisis del discurso”, en Estudios Filológicos, N° 36. Valdivia, Chile: Facultad de Humanidades, Universidad Austral de Chile.	OBLIGATORIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Real Academia Esp., (2004). Gramática de la lengua española. Madrid, España: Calpe.	OBLIGATORIA	25	7	4267	
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Real Academia Española (2014). Diccionario de la lengua española. Madrid, España: RAE.	OBLIGATORIA	25	29	16264-4152	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Ullmann, S. (1996). Semántica. Introducción a la ciencia del significado. Madrid. España: Aguilar.	OBLIGATORIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Coseriu, E. (1982). Teoría del lenguaje y lingüística general: Cinco estudios. Madrid, España: Gredos.	COMPLEMENTARIA	25	2	4226	0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Kristeva, J. (1988). El lenguaje, ese desconocido. Madrid, España: Editorial Fundamentos. 	COMPLEMENTARIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Fuentes, J. (1980). Comunicación. Madrid, España: M. Fernández y Cía., S.A.	COMPLEMENTARIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Painean, O. (2016). Apunte de circulación interna para los estudiantes del curso. Presented at Étimos grecolatinos en el Español en Universidad de Atacama, Copiapó.	COMPLEMENTARIA	25	0		0
Gramática, Lengua y Comunicación en Español IV	Cuarto semestre	Painean, O. (2016). Apunte de circulación interna para los estudiantes del curso. Presented at Elementos para un mapa conceptual de la oración simple. Universidad de Atacama, Copiapó.	COMPLEMENTARIA	25	0		0
Competencia Comunicativa IV	Cuarto semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: Pre-Intermediate. United Kingdom: Cheriton House Publishing.	OBLIGATORIA	30	3	28344	
Competencia Comunicativa IV	Cuarto semestre	Clarke, S. (2008) Macmillan English Grammar in Context. Oxford. Macmillan.	COMPLEMENTARIA	30	5	28403	
Competencia Comunicativa IV	Cuarto semestre	Murphy, R. (2015) Grammar in Use, fourth edition. New York. Cambridge University Press.	COMPLEMENTARIA	30	22	26240-10050-18172	0
Competencia Comunicativa IV	Cuarto semestre	Savage, A. & Shafiei, M. (2007). Effective Academic Writing 1: The paragraph. New York. Oxford University Press. R. 811 S263	COMPLEMENTARIA	30	2	23999	
Competencia Comunicativa IV	Cuarto semestre	Tilbury, A., et. al. (2015). B1 Pre-intermediate Coursebook. Cambridge : Cambridge University Press.	COMPLEMENTARIA	30	16	26156-26246	0
Competencia Comunicativa IV	Cuarto semestre	Vince, M. (2008). Macmillan English Grammar: In Context. London. Macmillan.	COMPLEMENTARIA	30	5	28405	
Competencia Comunicativa IV	Cuarto semestre	"LA ERA DE LA TRADUCCIÓN
ANTONIE BERMAN · BONILLA ARTIGA"	COMPLEMENTARIA	30	0		0
Traducción II	Cuarto semestre	Traducir Funciones. Manual De Enseñanza Y Autoaprendizaje	OBLIGATORIA	30	0		0
Traducción II	Cuarto semestre	Calvi, M. V. (2010). Los géneros discursivos en la lengua del comercio exterior: una propuesta de clasificación. Ibérica, 19, 9 -32.	OBLIGATORIA	30	0		0
Traducción II	Cuarto semestre	García Yebra, V. (1982). Teoría y práctica de la traducción. Madrid, España: Gredos.	OBLIGATORIA	30	0		0
Traducción II	Cuarto semestre	Newmark, P. (1999). Manual de traducción. Madrid, España: Ediciones Cátedra.	OBLIGATORIA	30	0		0
Práctica Progresiva II	Cuarto semestre	Vázquez-Ayora, G. (1977). Introducción a la traductología. Washington DC, United States: Georgetown University Press.	OBLIGATORIA	30	1	22483	
Práctica Progresiva II	Cuarto semestre	Gillies Andrew (2017). Note--taking for Consecutive Interpreting: A Short Course. New York: Routledge. Taylor &amp; Francis Group	OBLIGATORIA	30	1	28311	0
Práctica Progresiva II	Cuarto semestre	Gómez, L. (2011). Ortografía y Gramática. Las Normas Académicas: Últimos Cambios. Madrid, España: Ediciones SM.	COMPLEMENTARIA	30	0		0
Práctica Progresiva II	Cuarto semestre	Fournier, C. (2006). Estrategias de ortografía. México: Tecnológico de Monterrey: Thomson.	OBLIGATORIA	30	3	22495	0
Práctica Progresiva II	Cuarto semestre	Fuentes, J. (2001). Gramática moderna de la lengua española. Sao Paulo, Brasil: M. Fernández y Cía. S.A.	OBLIGATORIA	30	1	4382	
Electivo II	Cuarto semestre	Martín, V. G. (2014). Curso de redacción: Teoría y práctica de la composición y del estilo. Madrid: Paraninfo.	OBLIGATORIA	30	4	21511	
Electivo II	Cuarto semestre	Rodríguez, J. V. (2001). Manual de redacción: Nuevas normas ortográficas, recursos literarios, estilos, comentarios de texto. Madrid.	OBLIGATORIA	30	3	22680	
Electivo II	Cuarto semestre	Lorenzini, M. E., & Ruiz, J. M. (2003). La ortografía de nuestra lengua. Santiago: Editorial Forja.	OBLIGATORIA	30	4	22764	0
Electivo II	Cuarto semestre	Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.	COMPLEMENTARIA	30	0		0
Electivo II	Cuarto semestre	Ciruelo, P. (2010). Los Signos de Puntuación: Para Aprender el uso de la Puntuación de Textos en Español. Barcelona: Octaedro.	COMPLEMENTARIA	30	0		0
Electivo II	Cuarto semestre	Gómez, L. (2009). Ortografía práctica del español. España: Espasa Calpe.	COMPLEMENTARIA	30	0		0
Electivo II	Quinto semestre	Clarke, S. (2008) Macmillan English Grammar in Context. Oxford. Macmillan.	COMPLEMENTARIA	25	5	28403	
Electivo II	Quinto semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: Intermediate. United Kingdom: Cheriton House Publishing	OBLIGATORIA	25	5	28343	
Redacción en Español I	Quinto semestre	Coseriu, E. (1982). Teoría del Lenguaje y Lingüística General. Cinco Estudios. Madrid, Gredos.  	OBLIGATORIA	25	2	4226	0
Redacción en Español I	Quinto semestre	Real Academia Española. (2004). Gramática de la Lengua Española. Madrid, Espasa, Calpe. 	OBLIGATORIA	25	7	4267	
Redacción en Español I	Quinto semestre	Sánchez Pérez, A. (2001). Redacción Avanzada. México, Thomson Learning.	OBLIGATORIA	25	2	18901	0
Redacción en Español I	Quinto semestre	Vivaldi, M. (2006) Curso de Redacción: Teoría y Práctica de la Composición y del Estilo. Madrid. Thomson Learning.	COMPLEMENTARIA	25	4	21511	
Competencia Comunicativa V	Quinto semestre	Davis, J., & Liss, R. (2006) Effective Academic Writing 3: The essay. Oxford: Oxford University Press.	COMPLEMENTARIA	25	1	24000	
Competencia Comunicativa V	Quinto semestre	Murphy, R. (2015) Grammar in Use, fourth edition. New York. Cambridge University Press.	COMPLEMENTARIA	25	19	10049-26240-10050-18172	
Competencia Comunicativa V	Quinto semestre	Savage, A. & Shafiei, M. (2007). Effective Academic Writing 1: The paragraph. New York. Oxford University Press. R. 811 S263	COMPLEMENTARIA	25	2	23999	
Competencia Comunicativa V	Quinto semestre	Tilbury, A., et. al. (2013). B2 Upper intermediate Coursebook with e-Portfolio Cambridge. Cambridge University Press.	COMPLEMENTARIA	25	8	26218	0
Competencia Comunicativa V	Quinto semestre	Vince, M. (2008). Macmillan English Grammar: In Context. London. Macmillan.	COMPLEMENTARIA	25	5	28405	
Competencia Comunicativa V		"Tecnicas Documentales Aplicadas a la Traduccion (Biblioteca Minima) (Spanish Edition)
Jose Antonio Cordon,Maria Pinto · Sintesis Editorial"	OBLIGATORIA	25	0		0
Competencia Comunicativa V	Quinto semestre	Gonzalo García, C. y V. García Yebra (2005). Documentación, terminología y traducción.	OBLIGATORIA	25	2	22303	
Traducción III	Quinto semestre	"Hurtado, A. (2001). Traducción y traductología: Introducción a la traductología. Madrid, España:
Ediciones Cátedra."	OBLIGATORIA	25	5	26361	
Traducción III	Quinto semestre	"Orellana, M. (2005). Glosario internacional para el traductor. Santiago, Chile: Ed. Universitaria.
Translation Centre for the Bodies of the European Union. (2004). Inter-Active Terminology for
Europe. Recuperado de http://iate.europa.eu/about_IATE.html"	COMPLEMENTARIA	25	5	4387-26135	0
Traducción III	Quinto semestre	"United Nations. (s.f.). The United Nations Terminology Database. Recuperado de
http://untermportal.un.org/UNTERM/portal/welcome"	COMPLEMENTARIA	25	0		0
Traducción III	Quinto semestre	García Yebra, V. (1982). Teoría y práctica de la traducción. Madrid, España: Gredos.	OBLIGATORIA	25	0		0
Análisis Contrastivo I	Quinto semestre	Gillies, A. (2017). Note-taking for consecutive interpreting: A short course. London: Routledge.	OBLIGATORIA	25	1	28311	0
Práctica Progresiva III	Quinto semestre	Fournier, C. (2006). Estrategias de ortografía. México: Tecnológico de Monterrey: Thomson.	OBLIGATORIA	25	3	22495	0
Práctica Progresiva III	Quinto semestre	Fuentes, J. (2001). Gramática moderna de la lengua española. Sao Paulo, Brasil: M. Fernández y Cía. S.A.	OBLIGATORIA	25	1	4382	
Optativo	Quinto semestre	Martín, V. G. (2014). Curso de redacción: Teoría y práctica de la composición y del estilo. Madrid: Paraninfo.	OBLIGATORIA	25	4	21511	
Optativo	Quinto semestre	Rodríguez, J. V. (2001). Manual de redacción: Nuevas normas ortográficas, recursos literarios, estilos, comentarios de texto. Madrid.	OBLIGATORIA	25	3	22680	
Optativo	Quinto semestre	Lorenzini, M. E., & Ruiz, J. M. (2003). La ortografía de nuestra lengua. Santiago: Editorial Forja.	OBLIGATORIA	25	4	22764	0
Optativo	Quinto semestre	Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.	COMPLEMENTARIA	25	0		0
Optativo	Quinto semestre	Ciruelo, P. (2010). Los Signos de Puntuación: Para Aprender el uso de la Puntuación de Textos en Español. Barcelona: Octaedro.	COMPLEMENTARIA	25	0		0
Optativo	Quinto semestre	Gómez, L. (2009). Ortografía práctica del español. España: Espasa Calpe.	COMPLEMENTARIA	25	0		0
Optativo	Sexto semestre	Clarke, S. (2008) Macmillan English Grammar in Context. Oxford. Macmillan.	COMPLEMENTARIA	25	5	28403	
Optativo	Sexto semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: UpperIntermediate. United Kingdom: Cheriton House Publishing.	OBLIGATORIA	25	3	27212	
Redacción en Español II	Sexto semestre	Coseriu, E. (1982). Teoría del lenguaje y lingüística general. Madrid, Gredos: Cinco Estudios.	OBLIGATORIA	25	2	4226	0
Redacción en Español II	Sexto semestre	Ferreiro, E. y Gómez, M. (2002). Nuevas perspectivas sobre los procesos de lectura y escritura, México: Siglo XXI.	OBLIGATORIA	25	0		0
Redacción en Español II	Sexto semestre	Garrido Medina, J. (1997). Estilo y texto en la lengua, Madrid, España: Gredos.	OBLIGATORIA	25	0		0
Redacción en Español II	Sexto semestre	Kaufman, A. y Rodríguez M. (2003). Hacia una tipología de los textos y caracterización lingüística de los textos. México: SEP/Santillana, pp. 5, 19-28 y 29-56.	OBLIGATORIA	25	0		0
