BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS II	502	Sapag Chain, Nassir Formulación y Evaluación de Proyectos, Bogotá: McGraw-Hill,1989. ISBN 84-237-0470-X. Ubicación en biblioteca: 658.404 S241	NO INDICA	3	582-21628	
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS II	502	- Canada, John R. Analisis de la inversion de capital para ingenieria y administración. Mexico:Prentice-Hall Hispanoamericana,1997. ISBN 968-880-956-X. Ubicación en biblioteca: 658.152 C212.	NO INDICA	4	10834	
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS II	502	- Fontaine, Ernesto R. Evaluación social de proyectos. Santiago, Chile: Universidad Católica, 1981. Ubicación en biblioteca: 658.404 F678	NO INDICA	13	572	
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS II	502	- Sapag Chain, Nassir. Evaluación de proyectos de inversión en la empresa. Buenos Aires: Prentice - Hall,2001. Ubicación en biblioteca: 658.404 S241eva	NO INDICA	1	16505	0
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS II	502	- MIDEPLAN. Preparacion y presentacion de proyectos de inversión. Santiago:Mideplan,1993. Ubicación en biblioteca: 332.6725 P969.	NO INDICA	2	8877	0
ADMINISTRACIÓN DE LA PRODUCCION E INVENTARIO II	501	· Daniel Kaplan and Leon Glass. Understanding Nonlinear Dynamics. Springer Verlag. 1995.	NO INDICA	0		
ADMINISTRACIÓN DE LA PRODUCCION E INVENTARIO II	501	- Schroeder, Roger G. (1990) . Administración de operaciones :toma de decisiones en la función de operaciones México: McGraw - Hill ISBN 968-451-367-4. ubicación Biblioteca Universidad 658.5 S381	NO INDICA	3	462	
MACROECONOMIA	501	- Samuelson/Nordhaus, (1986). Economia. Mexico: McGraw-Hill.	NO INDICA	17	1445-14434	
SISTEMAS DINAMICOS Y MODELACION	501	· Javier Aracil y Francisco Gordillo. Dinámica de Sistemas. Alianza Universidad Textos. Madrid. 1997.	NO INDICA	0		
SISTEMAS DINAMICOS Y MODELACION	501	· Bruce Hannon & Matthias Ruth. Dynamic Modeling. Springer Verlang. 1994.	NO INDICA	4	8912	0
SISTEMAS DINAMICOS Y MODELACION	501	· Matthias Ruth & Bruce Hannon. Modeling Dynamic Economic Systems. Springer. 1997.	NO INDICA	0		
SISTEMAS DINAMICOS Y MODELACION	501	· Daniel Kaplan and Leon Glass. Understanding Nonlinear Dynamics. Springer Verlag. 1995.	NO INDICA	0		
SISTEMAS DINAMICOS Y MODELACION	501	· Ludwig von Bertalanffy. Perspectivas en la Teoría General de Sistemas. Alianza Universidad. 1992.	NO INDICA	0		
SISTEMAS DINAMICOS Y MODELACION	501	· Arnaud Spire. El Pensamiento de Prigogine, la Belleza del Caos. Editorial Andrés Bello. 2000.	NO INDICA	1	15815	0
SISTEMAS DINAMICOS Y MODELACION	501	· Muhammand Yunus. Hacia un Mundo sin Pobreza. Editorial Andrés Bello. 1998.	NO INDICA	4	15758	0
SISTEMAS DINAMICOS Y MODELACION	501	· Elíseo Martínez H. Dinámica de Sistemas y Modelación. Monografía. 2001.	NO INDICA	0		
ADMINIST. DE MERCADO Y POLÍTICA DE PRODUCTOS I	601	Kotler, Philip.(1993):Dirección de la Mercadotecnia. Séptima Edición. Prentice Hall. ISBN : Ubicación biblioteca: 968130615-5	NO INDICA	22	919-9729	
ADMINIST. DE MERCADO Y POLÍTICA DE PRODUCTOS I	601	Kotler y Armstrong(2001):Marketing. Octava Edición. Prentice Hall. ISBN : Ubicación biblioteca:6581834.K87	NO INDICA	11	18650	
ADMINIST. DE MERCADO Y POLÍTICA DE PRODUCTOS I	601	Solomon y Stuart.(2001):Marketing.Segunda Edición. Prentice Hall.	NO INDICA	0		
ADMINIST. DE MERCADO Y POLÍTICA DE PRODUCTOS II	602	Kotler, Philip.(1993):Dirección de la Mercadotecnia. Séptima Edición. Prentice Hall. ISBN :  Ubicación biblioteca: 96813061-5	NO INDICA	1	9219	0
ADMINIST. DE MERCADO Y POLÍTICA DE PRODUCTOS II	602	Kotler y Armstrong(2001):Marketing. Octava Edición. Prentice Hall. ISBN :  . Ubicación biblioteca: 658.1834.K87	NO INDICA	11	18650	
ADMINIST. DE MERCADO Y POLÍTICA DE PRODUCTOS II	602	Solomon y Stuart.(2001):Marketing.Segunda Edición. Prentice Hall.	NO INDICA	0		
FINANZAS CORPORATIVAS I	601	Fred Weston, Eugene F. Brigham: Fundamentos de administración Financiera, Edit. Mc Graw Hill, 1996 Ubicación en Biblioteca Central 658.15 w535	NO INDICA	1	1151	0
FINANZAS CORPORATIVAS I	601	2.- Van Horne, James: Administración Financiera. Edit. Pearson 1997 Ubicación en Biblioteca Central 658.15 v217a	NO INDICA	3	10874-2180	
FINANZAS CORPORATIVAS I	601	3.- Brealey, Richard : Fundamentos de Financiación Empresarial. Edit. Mc Graw Hill, 1996. Ubicación en Biblioteca Central 658.15b828	NO INDICA	3	744	
FINANZAS CORPORATIVAS I	601	4.- Schall, Lawrence, “Administración financiera“, Editorial McGraw-Hill,1986, Ubicación en Biblioteca Central 658.15 S298	NO INDICA	2	2172	0
FINANZAS CORPORATIVAS II	602	Fred Weston, Eugene F. Brigham: Fundamentos de administración Financiera, Edit. Mc Graw Hill, 1996 Ubicación en Biblioteca Central 658.15 w535	NO INDICA	1	1151	0
FINANZAS CORPORATIVAS II	602	2.- Van Horne, James: Administración Financiera. Edit. Pearson 1997 Ubicación en Biblioteca Central 658.15 v217a	NO INDICA	3	10874-2180	
FINANZAS CORPORATIVAS II	602	3.- Brealey, Richard : Fundamentos de Financiación Empresarial. Edit. Mc Graw Hill, 1996. Ubicación en Biblioteca Central 658.15b828	NO INDICA	3	744	
FINANZAS CORPORATIVAS II	602	4.- Diez de Castro, Luis, “Ingenieria financiera: La gestión en los mercados financieros internacionales”, Editorial McGraw-Hill,1991, 332 D568	NO INDICA	1	12287	0
GESTIÓN ESTRATÉGICA I	601	1. Hill, C; Jones,G “Administración estratégica”, tercera edición, Editorial McGraw Hill, 1996.Ubicación en Biblioteca Central 658.4012h645	NO INDICA	17	10981-10934-18649-23702	
GESTIÓN ESTRATÉGICA I	601	2. Hax, A.; Majluf, N. ”Gestión de empresas con una visión estratégica”, Cuarta edición, Ediciones Dolmen, 1996. Ubicación Biblioteca Central 658.401.h411	NO INDICA	4	1386	0
GESTIÓN ESTRATÉGICA I	601	3. Sol, Patricio del “Evaluación de Decisiones Estratégicas” Ediciones McGraw-Hill Interamericana,1999, Ubicación en Biblioteca 658.4012 S684	NO INDICA	1	15645	0
GESTIÓN ESTRATÉGICA II	602	1. Hill, C; Jones,G “Administración estratégica”, tercera edición, Editorial McGraw Hill, 1996.Ubicación en Biblioteca Central 658.4012h645	NO INDICA	17	10981-10934-18649-23702	
GESTIÓN ESTRATÉGICA II	602	2. Hax, A.; Majluf, N. ”Gestión de empresas con una visión estratégica”, Cuarta edición, Ediciones Dolmen, 1996. Ubicación Biblioteca Central 658.401.h411	NO INDICA	4	1386	0
GESTIÓN ESTRATÉGICA II	602	3. Sol, Patricio del “Evaluación de Decisiones Estratégicas” Ediciones McGraw-Hill Interamericana,1999, Ubicación en Biblioteca 658.4012 S684	NO INDICA	1	15645	0
Inglés VII	601	Robert O`Neill, (1996). English Works 2- Students' book. Editorial Longman. Tercera edición.	NO INDICA	0		
Inglés VII	601	-Robert O`Neill, (1996). English Works 2- Workbook. Editorial Longman. Tercera edición.	NO INDICA	0		
Inglés VII	601	-Sindermann, Gerda y Ana María Harvey. (1998) English for Business and Economics Editorial Gestión. Cuarta edición.	NO INDICA	0		
