ASIGNATURAS 	SEMESTRE	BIBLIOGRAFIA	TITULO	AUTOR	AÑO	ED.	Nro. Ejemplares	N° EJEMPLARES EN BIBLIOTECA OBLIGATORIA
FISIOPATOLOGIA I	4	OBLIGATORIA:	Fisiopatología y Patología General Básicas para Ciencias de la Salud	Pastrana, J.	2013		0	0
DERMATOLOGIA	8	OBLIGATORIA:	Fitzpatrick's Color Atlas and Synopsis of Clinical Dermatology	Wolff et al	2013	7a.	0	0
GINECOLOGIA Y OBSTETRICIA	10	OBLIGATORIA:	Ginecología General y Salud de la Mujer	Cuello M., Miranda V. Y Ralph C.	2017		0	0
FARMACOLOGIA MEDICA I	4	OBLIGATORIA:	Goodman & Gilman's Pharmacological Basic of Therapeutics	Brunton, e.a.	2017		0	0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Hematología: Manual Básico Razonado	San Miguel y Sánchez Guijo	2015	4a.	0	0
HISTOLOGIA	3	OBLIGATORIA:	Histología y Biología Celular	Fortoul, Teresa	2013	2a.	0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Instrumentación Quirúrgica. Principios y Prácticas	Fuller, J.	2013		0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Introducción a la Pediatría	Games EJ, et al	2013	8a.	0	0
BIOETICA APLICADA II	7	OBLIGATORIA:	Kaplan Medical USMLE Medical Ethics. Kaplan: New York	Oneto & Fischer	2009		0	0
SOCIOLOGIA MEDICA	6	OBLIGATORIA:	Key Concept in Medical Sociology	Gabe, Bury, Mike, & Elston, Mary Ann	2004		0	0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	La Epidemia de la Obesidad y las Mujeres. Género y Salud en Cifras	González de León, D. et al	2009		0	0
FISIOPATOLOGIA I	4	OBLIGATORIA:	La Fisiopatología como Base Fundamental del Diagnóstico Clínico	Gutierrez, I 	2011		0	0
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Lo Esencial en Investigación Clínica	Bottasso, Oscar	2006		0	0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Manual de Diagnóstico Etiológico	Marañón, G.	1956		0	0
OFTALMOLOGIA	9	OBLIGATORIA:	Manual de Oftalmología	García-Feijoo, Julián y Pablo-Júlvez, Luis E.	2012	1a.	0	0
OTORRINOLARINGOLOGIA	10	OBLIGATORIA:	Manual de Otorrinolaringología, Cabeza y Cuello	Peñaranda, A.	2007	1a.	0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Manual de Pediatría	Cruz, M.	2008	2a.	0	0
INTERNADO DE PEDIATRIA	14	OBLIGATORIA:	Manual de Pediatría Ambulatoria	Saieh, C.	2013		0	0
INTERNADO DE MEDICINA INTERNA	11	OBLIGATORIA:	Manual Oxford de Medicina Interna	Longmore et al	2012		0	0
MEDICINA FISICA Y REHABILITACION	8	OBLIGATORIA:	Manual SERMEF de Rehabilitación y Medicina Física	Sánchez et al	2006	1a.	0	0
ENFERMEDADES INFECCIOSAS	5	OBLIGATORIA:	Medical Microbiology	Murray, e.a.	2015		0	0
ENFERMEDADES INFECCIOSAS	5	OBLIGATORIA:	Medical Microbiology for the new Curriculum. A case-base approach	Carey, e.a.	2008		0	0
SOCIOLOGIA MEDICA	6	OBLIGATORIA:	Medical Sociology: An Introduction	Brady, H.	2009		0	0
MEDICINA LEGAL Y FORENSE	10	OBLIGATORIA:	Medicina Legal y Criminalística	Teke Schlicht, A.	2010	2a.	0	0
MEDICINA LEGAL Y FORENSE	10	OBLIGATORIA:	Medicina Legal y Toxicológica	Gisbert Clabuig, J.A.	2004	6a.	0	0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Medicine I. New York	McCarter	2009		0	0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Métodos de Análisis Multivariante	Cuadras, C.	1991	2a.	0	0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Métodos de Investigación Aplicados a la Atención Primaria de Salud	Argimón Pallás, J. & Jiménez Villa, J.	1994	2a.	0	0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	OBLIGATORIA:	Microbiología Médica de Sherrys	Kenneth J. Ryan	2011	6a.	0	0
INFORMATICA MEDICA	8	OBLIGATORIA:	Microsoft Access 2016 Step by Step	Lambert, J. Lambert, S.	2016		0	0
INFORMATICA MEDICA	8	OBLIGATORIA:	Microsoft Office 2016: Word, Excel, Power Point, Outlook y OneNote 2016: Domine las funciones avanzadas de la suite Microsoft 	VV.AA.	20016		0	0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Multivariate Analysis	Dillon, W. & Goldstein, M.	1984		0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Nelson Compendio de Pediatría	Behrman R. y kliegman R.	2004	4a.	0	0
INTERNADO DE PEDIATRIA	14	OBLIGATORIA:	Nelson Essential of Pediatrics	Marcdante, KJ, et al	2015		0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Nelson Pediatría Esencial	Marcdante, KJ, et al	2015	7a.	0	0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Netter Anatomía Patológica	Buja, M.	2006		0	0
HISTOLOGIA	3	OBLIGATORIA:	Nuevo Atlas de Histología Normal de di Fiore	Piezzine, R. & Fornes, M.	2015	8a.	0	0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutrición y Dietética Clínica	Salas-Salvado J. et al	2008	2a.	0	0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutrición y Dietoterapia de Krause	Mahan, L.K.& Escott-Stump, S	2004	11a.	0	0
OFTALMOLOGIA	9	OBLIGATORIA:	Oftalmología en la Práctica de la Medicina General	Graue E.	2014	4a.	0	0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Ortopedia y Traumatología	Miller M.	2009	5a.	0	0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Ortopedia: Fundamentos	Sam W. Wiesel, John N. Delahay, Marc C. Connell	1994		0	0
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	OBLIGATORIA:	Oxford Handbook of General Practice	Chantal et al	2014	4a.	0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Patologías de la Pared Torácica en Pediatría	Acastello Eduardo	2012		0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Pediatría Extrahospitalataria. Aspectos Básicos en Atención Primaria	Muñoz Calvo M.T.	2001	3a.	0	0
MEDICINA FISICA Y REHABILITACION	8	OBLIGATORIA:	Physical Medicine & Rehabilitation Secrets	O'Young et al	2007	3a.	0	0
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	OBLIGATORIA:	Procedimientos Clínicos de Enfermería	Jamieson et. Al	2014	5a.	0	0
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica	De la Fuente	2008		0	0
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica Salud Mental	Cortese, Elisa	2004	2a.	0	0
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	OBLIGATORIA:	Psiquiatría Essentials for Primary Care	Schneider, & L.	2007		0	0
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	OBLIGATORIA:	Psiquiatría para la Atención Primaria y el Médico General: Depresión, Ansiedad y Somatización	Acuña, R. e.	2009		0	0
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psychological Basis of Psiquiatría	Thambirajah M.	2005		0	0
QUIMICA GENERAL Y ORGANICA	1	OBLIGATORIA:	Química Orgánica: Conceptos y Aplicaciones	Bailey, P. S., & Bailey, C. A.	1998		0	0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Rheumatology: A Clinical Handbook	Al-Sukani et al	2014	1a.	0	0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Robbins y Cotran Atlas de Anatomía Patológica	Edward, C. Klatt, R.	2016	3a.	0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Salud y Enfermedad del Niño y del Adolescente	Martínez y Martínez, R.	2013	7a.	0	0
ENFERMEDADES INFECCIOSAS	5	OBLIGATORIA:	Schaechter, Mecanismos de las enfermedades microbianas	Engleberg, N.C.	2013		0	0
PROYECTO DE INVESTIGACION EN SALUD I	8	OBLIGATORIA:	Study Design and Statistical Analysis: A Practical Guide for Clinicians	Katz, M.H.	2006		0	0
PSICOPATOLOGIA  MEDICA	5	OBLIGATORIA:	Texto Introductorio de Psiquiatría	Black & Andreasen	2015	6a.	0	0
NEUROCIENCIA CLINICA	6	OBLIGATORIA:	Texto Introductorio de Psiquiatría. El Manual Moderno, Edición DSM-5	Black & Andreasen	2015	6a.	0	0
SOCIOLOGIA MEDICA	6	OBLIGATORIA:	The New Blackwell Companion to Medical Sociology	Cockerham, C. William	2010		0	0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Touchstone I	McCarthy, M., McCarten, J. & Sandiford, H.	2005	1a.	0	0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Traumatología y Ortopedia para el Grado en Medicina	Marco, F.	2015		0	0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Traumatología, Ortopedia y Medicina Física	Martínez R., A., Erstnes B., G.	2014	3a.	0	0
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Un Sistema de Clasificación de los Diseños de Investigación en Psicología. Anales de Psicología, 1038-1059 (https://dx.doi.org/10.6018/analesps.29.3.178511)	Ato, M.L.	2013		0	0
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	OBLIGATORIA:	Williams Gynecology	Bradshaw, Karen D., Corton, Marlene M., Halvorson, Lisa M., Hoffman, Barbara L., Schaffer, Marlene., & Schorge, John O.	2016	3a.	0	0
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	OBLIGATORIA:	Williams Obstetrics and Jodi	Dashe, K.	2014		0	0
