RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
TIPO DE BIBLIOGRAFIA	CONSIGNADO	DISPONIBLE EN BTCA	% COBERTURA		
Régimen Jurídico  de la Economía y de la Competencia	TERCERO	González,  Rodrigo  (2005)  El recurso  de amparo  económico.  Editorial  Jurídica  Congreso.	OBLIGATORIA	0	
Teoría  de los Bienes	CUARTO	HERNÁN TRONCOSO LARRONDE, De los Bienes. LegalPublishing Chile.	OBLIGATORIA	0	
Recursos Procesales	OCTAVO	HORWITZ,M.,  Manual de Derecho procesal penal chileno. Ed. Jurídica de Chile.	OBLIGATORIA	0	
Introducción  al Derecho  Procesal	TERCERO	LANA TA FUENZALIDA, Gabriela. (2011) Manual de derecho procesal Thomson Reuters	COMPLEMENTARIA	0	
Pasantías	OCTAVO	Legal Publishing Editores (20 l O) Estrategia y práctica profesional contratos - 4 tomos  Legal   Publishin  .	OBLIGATORIA	0	
Clínica  Comunitaria	NOVENO	Legal Publishing Editores (2010) Estrategia y práctica profesional contratos - 4 tomos. Legal Publishing.	OBLIGATORIA	0	Mismo Titulo
Clínica Jurídica	SEPTIMO	Legal Publishing Editores (201O)   Estrategia y  práctica profesional contratos -  4 tomos. Legal Publishing	OBLIGATORIA	0	
Teoría del Estado	SEGUNDO	LÓPEZ,  Mario  ( 1994) Manual  de Derecho  Político,  Ed. Depalma.	COMPLEMENTARIA	0	
Recursos Procesales	OCTAVO	MATURANA, C., Manual de Derecho procesal penal chileno. Ed. Jurídica de Chile.	OBLIGATORIA	0	
Derecho y Actividad Económica	CUARTO	Mayorga,  Morales  y  Polanco  (201 O).  Inversión  extranjera.  Régimen  jurídico  y  solución de controversias.  Ed. Abeledo  Perrot.  Santiago.	OBLIGATORIA	0	
Teoría  Jurídica  de los Derechos  Humanos	CUARTO	MEDINA QUIROGA, CECILIA Y NASH ROJAS, CLAUDIO; Sistema  Interamericano  de  Derechos Humanos: Introducción  a  sus  mecanismos  de  protección,  Universidad  de  Chile,  Facultad  de Derecho,  Centro  de Derechos  Humanos,  Segunda  edic.  2011.	OBLIGATORIA	0	
Instituciones  de Derecho Romano	PRIMERO	MIQUEL.  Derecho  Privado  Romano.  Primera  ed.  1992,  Madrid  ,España,  Marcial  Pons Ed. Jur.	COMPLEMENTARIA	0	
Teoría  Jurídica  de los Derechos  Humanos	CUARTO	NASH ROJAS, CLAUDIO; Derecho  Internacional  de  los Derechos  Humanos  en Chile,  Universidad de Chile,  Facultad  de Derecho,  Centro  de Derechos  Humanos,  Santiago,  Chile,  2012.	OBLIGATORIA	0	
Procedimientos Civiles Especiales	SEXTO	ORELLANA,  Fernando  (2015)  Manual  de Derecho  procesal,  T. III. Procesos  de ejecución librotecnia.	OBLIGATORIA	0	
Sociedad  y Derecho	PRIMERO	Programa  de  las Naciones  Unidas  para  el Medio  Ambiente  Oficina  Regional  para  América Latina.	COMPLEMENTARIA	0	
Teoría  de la Responsabilidad  Civil	OCTAVO	RODRIGUEZ GREZ, Pablo (2003) Responsabilidad Contractual. Ed Jurídica de Chile.	OBLIGATORIA	0	
Teoría General de la Norma Jurídica	PRIMERO	SQUELLA,  Agustín  (1981)  ¿Tenemos  Obligación  moral de obedecer  el Derecho?,  Edeval.	COMPLEMENTARIA	0	
Derecho Tributario	OCTAVO	UGALDE,  Rodrigo  [et al.] (2011) Tribunales  tributarios  y aduaneros.  Legal  Publishing.	OBLIGATORIA	0	
