BIBLIOGRAFIA TRABAJO SOCIAL				
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 
Análisis e Intervención Socio Ambiental	Arnold, Marcelo (2003) “Autoproducción de la amenaza ambiental”. Revista MAD n° 9 septiembre. Departamento de Antropología Universidad de Chile. Htpp//rehue.csociales.uchile.cl/publicaciones/mad/09/paper01.pdf.	COMPLEMENTARIA	0	
Psicología Social	Fernández, P. (2004) . Las tradiciones de la psicología colectiva. En: Fundamentos y crónicas de la Psicología social en México, Revista de la Sociedad Mexicana de Psicología Social. Año 1 No. 1	COMPLEMENTARIA	0	
Psicología Social	Montero, M. (1980). La psicología social y el desarrollo de comunidades en América Latina. Revista Latinoamericana de Psicología, 12(1), 159-170.	COMPLEMENTARIA	0	
Sistematización	"Valdés, Ximena. 1992. ""Las cuentas pendientes de la sistematización""; en Revista de Trabajo"	COMPLEMENTARIA	0	
Ética Profesional	Duarte, C. (2012) Fundamentos ético Políticos del trabajo social comunitario. Revista Debate e Sociedade, Vol. 3, año 2012.	COMPLEMENTARIA	0	
Ciudanía y Movimientos Sociales	González, M. (2003). Treinta años de Movimientos Sociales en Chile: Revisión Histórica y Programas de Investigación Futura [versión electrónica]. Persona y Sociedad, XVII (3), 249 - 262.	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Ley Nº 19.947 de Matrimonio Civil	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Ley Nº 19.968 de Tribunales de Familia	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Ley Nº 16.618 de Menores	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Ley 19.620 de Adopción	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Ley 14.908 sobre abandono de familia y pago de pensión alimenticia	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Ley 20.066 sobre Violencia Intrafamiliar	COMPLEMENTARIA	0	
Marco jurídico de la intervención social	Ley 20.084 de Responsabilidad penal adolescente	COMPLEMENTARIA	0	
Ética Profesional	Matus, T. (2000). Reflexiones en torno a una ética de la intervención social. Rev. Perspectivas. Nº 9. UCSH. Stgo., Chile. (Pgs. 17 a 32)	COMPLEMENTARIA	0	
